,Concept_ID,lt,da
0,Auge::N,akis,øje
1,Ohr::N,ausis,øre
2,Nase::N,nosis,næse
3,Mund::N,burna,mund
4,Zahn::N,dantis,tand
5,Zunge::N,liežuvis,tunge
6,Lippe::N,lūpa,læbe
7,Wange::N,žandas,kind
8,Wange::N,skruostas,kind
9,Gesicht::N,veidas,ansigt
10,Stirn::N,kakta,pande
11,Haar::N,plaukai,hår
12,Schnurrbart::N,ūsai,overskæg
13,Bart::N,barzda,skæg
14,Kinn::N,smakras,hage
15,Kiefer[Anatomie]::N,žandikaulis,kæbe
16,Kehle::N,gerklė,strube
17,Hals::N,kaklas,hals
18,Genick::N,sprandas,nakke
19,Kopf::N,galva,hoved
20,Rücken::N,nugara,ryg
21,Bauch::N,pilvas,mave
22,Nabel::N,bamba,navle
23,Busen::N,krūtinė,barm
24,Brust::N,krūtis,bryst
25,Schulter::N,petys,skulder
26,Arm::N,ranka,arm
27,Ellenbogen::N,alkūnė,albue
28,Hand::N,ranka,hånd
29,Hand::N,plaštaka,hånd
30,Handfläche::N,delnas,håndflade
31,Handfläche::N,plaštaka,håndflade
32,Finger::N,pirštas,finger
33,Fingernagel::N,nagas,fingernegl
34,Nagel[Anatomie]::N,nagas,negl
35,Zeh::N,pirštas,tå
36,Fuß::N,pėda,fod
37,Ferse::N,kulnas,hæl
38,Knie::N,kelis,knæ
39,Oberschenkel::N,kulšis,lår
40,Oberschenkel::N,šlaunis,lår
41,Bein::N,koja,ben
42,Körper::N,kūnas,krop
43,Körper::N,kūnas,legeme
44,Haut::N,oda,hud
45,Blut::N,kraujas,blod
46,Ader::N,kraujagyslė,åre
47,Sehne::N,sausgyslė,sene
48,Knochen::N,kaulas,ben
49,Gehirn::N,smegenys,hjerne
50,Herz::N,širdis,hjerte
51,Magen::N,skrandis,mave
52,Leber::N,kepenys,lever
53,Atem::N,kvapas,ånde
54,Hunger::N,badas,sult
55,Hunger::N,alkis,sult
56,Träne::N,ašara,tåre
57,Geschmack::N,skonis,smag
58,Geruch::N,kvapas,lugt
59,Schlaf::N,miegas,søvn
60,Traum::N,sapnas,drøm
61,Himmel::N,dangus,himmel
62,Sonne::N,saulė,sol
63,Mond::N,mėnulis,måne
64,Stern::N,žvaigždė,stjerne
65,Luft::N,oras,luft
66,Wind::N,vėjas,vind
67,Welle::N,banga,bølge
68,Welle::N,vilnis,bølge
69,Wasser::N,vanduo,vand
70,Stein::N,akmuo,sten
71,Boden::N,žemė,jord
72,Boden::N,dugnas,jord
73,Erde::N,žemė,jord
74,Staub::N,dulkės,støv
75,Rauch::N,dūmai,røg
76,Funke::N,kibirkštis,gnist
77,Feuer::N,ugnis,ild
78,Licht::N,šviesa,lys
79,Schatten::N,paūksmė,skygge
80,Wetter::N,oras,vejr
81,Nebel::N,migla,tåge
82,Nebel::N,rūkas,tåge
83,Wolke::N,debesis,sky
84,Regen::N,lietus,regn
85,Schnee::N,sniegas,sne
86,Eis::N,ledas,is
87,Frost::N,šalna,frost
88,Kälte::N,šaltis,kulde
89,Hitze::N,karštis,hede
90,Raureif::N,šerkšnas,rimfrost
91,Regenbogen::N,vaivorykštė,regnbue
92,Donner::N,perkūnas,torden
93,Donner::N,griaustinis,torden
94,Strömung::N,tėkmė,strømning
95,Tropfen::N,lašas,dråbe
96,Schaum::N,putos,skum
97,Schmutz::N,purvas,snavs
98,See::N,ežeras,sø
99,Sumpf::N,klampynė,sump
100,Sumpf::N,liūnas,sump
101,Moor::N,pelkė,mose
102,Wiese::N,pieva,eng
103,Wald::N,miškas,skov
104,Hügel::N,kalva,høj
105,Hügel::N,kalva,bakke
106,Anhöhe::N,kauburys,høj
107,Anhöhe::N,kauburys,bakke
108,Berg::N,kalnas,bjerg
109,Gipfel::N,viršūnė,top
110,Höhle::N,ola,hule
111,Abhang::N,šlaitas,skrænt
112,Abhang::N,šlaitas,skråning
113,Abhang::N,nuokalnė,skrænt
114,Abhang::N,nuokalnė,skråning
115,Quelle::N,versmė,kilde
116,Quelle::N,šaltinis,kilde
117,Bach::N,upelis,bæk
118,Fluss::N,upė,flod
