,Concept_ID,br,fa
0,Auge::N,lagad,چشم
1,Ohr::N,skouarn,گوش
2,Nase::N,fri,بینی
3,Mund::N,genoù,دهان
4,Zahn::N,dant,دندان
5,Zunge::N,teod,زبان
6,Lippe::N,muzell,لب
7,Wange::N,chot,لپ
8,Gesicht::N,dremm,رو
9,Gesicht::N,dremm,چهره
10,Stirn::N,tal,پیشانی
11,Haar::N,blev,مو
12,Schnurrbart::N,mourenn,سبیل
13,Bart::N,barv,ریش
14,Kinn::N,groñj,چانه
15,Kiefer[Anatomie]::N,javed,فک
16,Kiefer[Anatomie]::N,javed,آرواره
17,Kehle::N,gouzoug,حلق
18,Hals::N,gouzoug,گردن
19,Genick::N,choug,پشت گردن
20,Kopf::N,penn,سر
21,Kopf::N,penn,کله
22,Rücken::N,kein,پشت
23,Bauch::N,kof,شکم
24,Nabel::N,begel,ناف
25,Busen::N,bronn,پستان
26,Brust::N,bruched,سینه
27,Schulter::N,skoaz,دوش
28,Schulter::N,skoaz,شانه
29,Arm::N,brec'h,بازو
30,Ellenbogen::N,ilin,آرنج
31,Hand::N,dorn,دست
32,Handfläche::N,palv,کف دست
33,Finger::N,biz,انگشت
34,Fingernagel::N,ivin,ناخن دست
35,Nagel[Anatomie]::N,ivin,ناخن
36,Zeh::N,biz-troad,انگشت پا
37,Fuß::N,troad,پا
38,Ferse::N,seul,پاشنه
39,Knie::N,glin,زانو
40,Oberschenkel::N,morzhed,ران
41,Bein::N,gar,پا
42,Bein::N,gar,لنگ
43,Körper::N,korf,تن
44,Körper::N,korf,بدن
45,Haut::N,kroc'hen,پوست
46,Blut::N,gwad,خون
47,Ader::N,gwazhi,رگ
48,Sehne::N,stir,زردپی
49,Knochen::N,askorn,استخوان
50,Gehirn::N,empenn,مخ
51,Gehirn::N,empenn,مغز
52,Herz::N,kalon,دل
53,Herz::N,kalon,قلب
54,Magen::N,stomog,معده
55,Leber::N,avu,کبد
56,Atem::N,anal,نفس
57,Hunger::N,naon,گرسنگی
58,Träne::N,daer,اشک
59,Geschmack::N,blaz,مزه
60,Geruch::N,c'hwezh,بو
61,Schlaf::N,kousked,خواب
62,Traum::N,hune,رؤیا
63,Himmel::N,oabl,فلک
64,Himmel::N,oabl,آسمان
65,Sonne::N,heol,آفتاب
66,Sonne::N,heol,خورشید
