,Concept_ID,ps,ku
0,Auge::N,سترګه,çav
1,Ohr::N,غوږ,guh
2,Nase::N,پوزه,bêvil
3,Mund::N,خوله,dev
4,Zahn::N,غاښ,didan
5,Zunge::N,جبه,ziman
6,Lippe::N,شونډه,lêv
7,Wange::N,باړخو,dêm
8,Wange::N,باړخو,hinarik
9,Gesicht::N,مخ,rû
10,Stirn::N,تندی,enî
11,Stirn::N,وچولی,enî
12,Haar::N,وېښته,por
13,Schnurrbart::N,برېت,simbêl
14,Bart::N,ږیره,rih
15,Kinn::N,زنه,zenî
16,Kiefer[Anatomie]::N,جامه,arguşk
17,Kehle::N,غاړه,qirik
18,Hals::N,غاړه,stû
19,Hals::N,غاړه,qirik
20,Genick::N,ورمېږ,stû
21,Kopf::N,سر,serî
22,Rücken::N,شا,pişt
23,Bauch::N,نس,ûr
24,Bauch::N,نس,zik
25,Bauch::N,ګېډه,ûr
26,Bauch::N,ګېډه,zik
27,Nabel::N,نوم,navik
28,Busen::N,تی,sîng
29,Brust::N,سینه,sîng
30,Schulter::N,اوږه,mil
31,Arm::N,لاس,çepil
32,Ellenbogen::N,څنګل,enîşk
33,Hand::N,لاس,dest
34,Handfläche::N,ورغوی,kefadest
35,Finger::N,ګوته,tilî
36,Fingernagel::N,نوک,neynuk
37,Nagel[Anatomie]::N,نوک,bizmar
38,Zeh::N,ګوته,tilî linga
39,Fuß::N,پښه,ling
40,Ferse::N,پونده,pahnî
41,Knie::N,زنګون,kabok
42,Oberschenkel::N,پتون,rahn
43,Bein::N,پښه,çip
44,Körper::N,ځان,laş
45,Körper::N,ځان,gowde
46,Haut::N,پوټکی,çerm
47,Blut::N,وینه,xwîn
48,Ader::N,رګ,reh
49,Sehne::N,پله,reh
50,Knochen::N,هډوکی,hestî
51,Gehirn::N,ماغزه,mêjî
52,Herz::N,زړه,dil
53,Magen::N,معده,navêş
54,Leber::N,ينه,kezeb
55,Leber::N,ځیګر,kezeb
56,Atem::N,نفس,hilm
57,Hunger::N,ولږه,birçîtî
58,Träne::N,اوښکه,hêstir
59,Geschmack::N,مزه,tam
60,Geschmack::N,خوند,tam
61,Geruch::N,بوی,bêhn
62,Schlaf::N,خوب,xew
63,Traum::N,خوب,xewn
64,Himmel::N,اسمان,ezman
65,Sonne::N,لمر,roj
66,Mond::N,سپوږمۍ,heyv
67,Stern::N,ستوری,stêrk
68,Luft::N,هوا,ba
69,Wind::N,ورښ,ba
70,Welle::N,موج,şewl
71,Wasser::N,اوبه,av
72,Stein::N,ډبره,kevir
73,Boden::N,مځکه,herd
74,Erde::N,خاوره,ax
75,Staub::N,ګرد,toz
76,Staub::N,خاوره,toz
77,Rauch::N,دود,dû
78,Rauch::N,لوګی,dû
79,Funke::N,سپرغۍ,çirûşk
80,Feuer::N,اور,agir
81,Licht::N,رڼا,ronahî
