,Concept_ID,ps,lv
0,Auge::N,سترګه,син
1,Auge::N,سترګه,acs
2,Ohr::N,غوږ,пель
3,Ohr::N,غوږ,auss
4,Nase::N,پوزه,ныр
5,Nase::N,پوزه,deguns
6,Mund::N,خوله,вом
7,Mund::N,خوله,mute
8,Zahn::N,غاښ,пинь
9,Zahn::N,غاښ,zobs
10,Zunge::N,جبه,кыв
11,Zunge::N,جبه,mēle
12,Lippe::N,شونډه,вом дор
13,Lippe::N,شونډه,lūpa
14,Wange::N,باړخو,бан
15,Wange::N,باړخو,vaigs
16,Gesicht::N,مخ,чужӧм
17,Gesicht::N,مخ,seja
18,Gesicht::N,مخ,ģīmis
19,Stirn::N,تندی,плеш
20,Stirn::N,تندی,кымӧс
21,Stirn::N,تندی,piere
22,Stirn::N,وچولی,плеш
23,Stirn::N,وچولی,кымӧс
24,Stirn::N,وچولی,piere
25,Haar::N,وېښته,си
26,Haar::N,وېښته,юрси
27,Haar::N,وېښته,mats
28,Schnurrbart::N,برېت,ус
29,Schnurrbart::N,برېت,пыртсим
30,Schnurrbart::N,برېت,ūsas
31,Bart::N,ږیره,тош
32,Bart::N,ږیره,bārda
33,Kinn::N,زنه,тшӧка
34,Kinn::N,زنه,zods
35,Kinn::N,زنه,smakrs
36,Kiefer[Anatomie]::N,جامه,черлы
37,Kiefer[Anatomie]::N,جامه,алака лы
38,Kiefer[Anatomie]::N,جامه,вомкӧтш лы
39,Kiefer[Anatomie]::N,جامه,žoklis
40,Kehle::N,غاړه,голя
41,Kehle::N,غاړه,rīkle
42,Hals::N,غاړه,сьылі
43,Hals::N,غاړه,kakls
44,Genick::N,ورمېږ,юрбӧр
45,Genick::N,ورمېږ,балябӧж
46,Genick::N,ورمېږ,sprands
47,Kopf::N,سر,юр
48,Kopf::N,سر,galva
49,Rücken::N,شا,мыш
50,Rücken::N,شا,mugura
51,Bauch::N,نس,рушку
52,Bauch::N,نس,vēders
53,Bauch::N,ګېډه,рушку
54,Bauch::N,ګېډه,vēders
55,Nabel::N,نوم,гӧг
56,Nabel::N,نوم,naba
57,Busen::N,تی,морӧс
58,Busen::N,تی,krūts
59,Brust::N,سینه,морӧс
60,Brust::N,سینه,krūts
61,Schulter::N,اوږه,пельпом
62,Schulter::N,اوږه,plecs
63,Arm::N,لاس,ки
64,Arm::N,لاس,roka
65,Arm::N,لاس,delms
66,Ellenbogen::N,څنګل,гырддза
67,Ellenbogen::N,څنګل,elkonis
68,Hand::N,لاس,ки
69,Hand::N,لاس,roka
70,Hand::N,لاس,plauksta
71,Handfläche::N,ورغوی,ки пыдӧс
72,Handfläche::N,ورغوی,delna
73,Handfläche::N,ورغوی,plauksta
74,Finger::N,ګوته,чунь
75,Finger::N,ګوته,pirksts
76,Fingernagel::N,نوک,гыж
77,Fingernagel::N,نوک,nags
78,Nagel[Anatomie]::N,نوک,гыж
79,Nagel[Anatomie]::N,نوک,nags
80,Zeh::N,ګوته,кок чунь
81,Zeh::N,ګوته,pirksts
82,Fuß::N,پښه,кок
83,Fuß::N,پښه,kāja
84,Ferse::N,پونده,кокбӧр
85,Ferse::N,پونده,papēdis
86,Knie::N,زنګون,пидзӧс
87,Knie::N,زنګون,celis
88,Oberschenkel::N,پتون,лядьвей
89,Oberschenkel::N,پتون,бек
90,Oberschenkel::N,پتون,ciska
91,Oberschenkel::N,پتون,augšstilbs
92,Bein::N,پښه,кок
93,Bein::N,پښه,kāja
94,Körper::N,ځان,туша
95,Körper::N,ځان,вывтыр
96,Körper::N,ځان,miesa
97,Körper::N,ځان,ķermenis
98,Haut::N,پوټکی,ку
99,Haut::N,پوټکی,āda
100,Blut::N,وینه,вир
101,Blut::N,وینه,asins
102,Ader::N,رګ,сӧн
103,Ader::N,رګ,asinsvads
104,Sehne::N,پله,вез
105,Sehne::N,پله,dzīsla
106,Knochen::N,هډوکی,лы
107,Knochen::N,هډوکی,kauls
108,Gehirn::N,ماغزه,вем
109,Gehirn::N,ماغزه,smadzenes
110,Herz::N,زړه,сьӧлӧм
111,Herz::N,زړه,sirds
112,Magen::N,معده,кынӧм
113,Magen::N,معده,kuņģis
114,Leber::N,ينه,мус
115,Leber::N,ينه,aknas
116,Leber::N,ځیګر,мус
117,Leber::N,ځیګر,aknas
118,Atem::N,نفس,лов
119,Atem::N,نفس,elpa
120,Hunger::N,ولږه,тшыг
121,Hunger::N,ولږه,bads
122,Hunger::N,ولږه,izsalkums
123,Träne::N,اوښکه,синва
124,Träne::N,اوښکه,asara
125,Geschmack::N,مزه,кӧр
126,Geschmack::N,مزه,чӧсмӧс
127,Geschmack::N,مزه,garša
128,Geschmack::N,خوند,кӧр
129,Geschmack::N,خوند,чӧсмӧс
130,Geschmack::N,خوند,garša
131,Geruch::N,بوی,зын
132,Geruch::N,بوی,дук
133,Geruch::N,بوی,smaka
134,Schlaf::N,خوب,узьӧм
135,Schlaf::N,خوب,miegs
136,Traum::N,خوب,вӧт
137,Traum::N,خوب,вӧтасьӧм
138,Traum::N,خوب,sapnis
139,Himmel::N,اسمان,енэж
140,Himmel::N,اسمان,debess
141,Sonne::N,لمر,шонді
142,Sonne::N,لمر,saule
143,Mond::N,سپوږمۍ,тӧлысь
144,Mond::N,سپوږمۍ,mēness
145,Stern::N,ستوری,кодзув
146,Stern::N,ستوری,zvaigzne
147,Luft::N,هوا,сынӧд
148,Luft::N,هوا,gaiss
149,Wind::N,ورښ,тӧв
150,Wind::N,ورښ,vējš
151,Welle::N,موج,гы
152,Welle::N,موج,vilnis
153,Wasser::N,اوبه,ва
154,Wasser::N,اوبه,ūdens
155,Stein::N,ډبره,из
156,Stein::N,ډبره,akmens
157,Boden::N,مځکه,му
158,Boden::N,مځکه,augsne
159,Erde::N,خاوره,му
160,Erde::N,خاوره,му-ва
161,Erde::N,خاوره,zeme
162,Staub::N,ګرد,бус
163,Staub::N,ګرد,putekļi
164,Staub::N,خاوره,бус
165,Staub::N,خاوره,putekļi
166,Rauch::N,دود,тшын
167,Rauch::N,دود,dūmi
168,Rauch::N,لوګی,тшын
169,Rauch::N,لوګی,dūmi
170,Funke::N,سپرغۍ,кинь
171,Funke::N,سپرغۍ,би кинь
172,Funke::N,سپرغۍ,dzirkstele
173,Feuer::N,اور,би
174,Feuer::N,اور,uguns
175,Licht::N,رڼا,югӧр
176,Licht::N,رڼا,gaisma
177,Schatten::N,سیوری,вуджӧр
178,Schatten::N,سیوری,ēna
179,Wetter::N,هوا,поводдя
180,Wetter::N,هوا,laiks
181,Nebel::N,لړه,ру
182,Nebel::N,لړه,онь
183,Nebel::N,لړه,migla
184,Wolke::N,ورېځ,кымӧр
185,Wolke::N,ورېځ,mākonis
186,Regen::N,وریا,зэр
187,Regen::N,وریا,lietus
188,Regen::N,باران,зэр
189,Regen::N,باران,lietus
190,Schnee::N,واوره,лым
191,Schnee::N,واوره,sniegs
192,Eis::N,یخ,йи
193,Eis::N,یخ,ledus
194,Eis::N,کنګل,йи
195,Eis::N,کنګل,ledus
196,Frost::N,یخ,кӧдзыд
197,Frost::N,یخ,sals
198,Kälte::N,ساړه,кӧдзыд
199,Kälte::N,ساړه,saltums
200,Kälte::N,ساړه,aukstums
201,Hitze::N,تودوخي,пӧсь
202,Hitze::N,تودوخي,гожӧд
203,Hitze::N,تودوخي,karstums
204,Raureif::N,سپینه پرخه,пуж
205,Raureif::N,سپینه پرخه,гыӧр
206,Raureif::N,سپینه پرخه,sarma
207,Regenbogen::N,بوډۍ ټال,ӧшкамӧшка
208,Regenbogen::N,بوډۍ ټال,varavīksne
209,Regenbogen::N,سره زرغونه,ӧшкамӧшка
210,Regenbogen::N,سره زرغونه,varavīksne
211,Donner::N,تالنده,гым
212,Donner::N,تالنده,pērkons
213,Strömung::N,بهېدنه,ва ныр
214,Strömung::N,بهېدنه,визувтӧм
215,Strömung::N,بهېدنه,straume
216,Strömung::N,بهېدنه,strāvojums
217,Tropfen::N,قطره,войт
218,Tropfen::N,قطره,lāse
219,Tropfen::N,څاڅکی,войт
220,Tropfen::N,څاڅکی,lāse
221,Schaum::N,ځګ,быг
222,Schaum::N,ځګ,быгзьӧм
223,Schaum::N,ځګ,putas
224,Schmutz::N,ناپاکي,няйт
225,Schmutz::N,ناپاکي,dubļi
226,See::N,جهیل,ты
227,See::N,جهیل,ezers
228,Sumpf::N,جبه,гыбад
229,Sumpf::N,جبه,кад
230,Sumpf::N,جبه,dumbrājs
231,Sumpf::N,جبه,staignājs
232,Moor::N,جبه,нюр
233,Moor::N,جبه,purvs
234,Moor::N,جبه,muklājs
235,Wiese::N,چمن,видз
236,Wiese::N,چمن,pļava
237,Wiese::N,شنېلی,видз
238,Wiese::N,شنېلی,pļava
239,Wald::N,ځنګل,вӧр
240,Wald::N,ځنګل,mežs
241,Hügel::N,تپه,дзиб
242,Hügel::N,تپه,мыльк
243,Hügel::N,تپه,нӧрыс
244,Hügel::N,تپه,paugurs
245,Anhöhe::N,غونډۍ,мыльк
246,Anhöhe::N,غونډۍ,нӧрыс
247,Anhöhe::N,غونډۍ,paugurs
248,Berg::N,غ‍‍‍‍‍ر,чой
249,Berg::N,غ‍‍‍‍‍ر,керӧс
250,Berg::N,غ‍‍‍‍‍ر,kalns
251,Gipfel::N,څوکه,чук
252,Gipfel::N,څوکه,virsotne
253,Höhle::N,کاز,рудӧг
254,Höhle::N,کاز,ala
255,Abhang::N,لمن,ньывк
256,Abhang::N,لمن,бокша
257,Abhang::N,لمن,nogāze
258,Quelle::N,چینه,ӧшмӧс
259,Quelle::N,چینه,avots
260,Bach::N,واله,шор
261,Bach::N,واله,urga
262,Bach::N,واله,strauts
263,Fluss::N,سیند,ю
264,Fluss::N,سیند,upe
265,Ufer::N,غاړه,вадор
266,Ufer::N,غاړه,krasts
267,Küste::N,ساحل,вадор
268,Küste::N,ساحل,piekraste
269,Festland::N,وچه,му
270,Festland::N,وچه,sauszeme
271,Meer::N,بحر,саридз
272,Meer::N,بحر,jūra
273,Meer::N,سمندر,саридз
274,Meer::N,سمندر,jūra
275,Bucht::N,کارۍ,куръя
276,Bucht::N,کارۍ,līcis
277,Insel::N,ټاپو,ді
278,Insel::N,ټاپو,sala
279,Insel::N,جزيره,ді
280,Insel::N,جزيره,sala
281,Blume::N,ګل,дзоридз
282,Blume::N,ګل,puķe
283,Blume::N,ګل,zieds
284,Gras::N,واښه,турун
285,Gras::N,واښه,zāle
286,Wurzel::N,ریښه,вуж
