,Concept_ID,mdf,lt
0,Auge::N,сельме,akis
1,Ohr::N,пиле,ausis
2,Nase::N,шалхка,nosis
3,Mund::N,курга,burna
4,Zahn::N,пей,dantis
5,Zunge::N,кяль,liežuvis
6,Lippe::N,търва́,lūpa
7,Wange::N,щёка,žandas
8,Wange::N,щёка,skruostas
9,Gesicht::N,шама,veidas
10,Stirn::N,коня,kakta
11,Haar::N,шя́ярь,plaukai
12,Schnurrbart::N,уса́,ūsai
13,Bart::N,сакал,barzda
14,Kinn::N,ула,smakras
15,Kiefer[Anatomie]::N,саласка,žandikaulis
16,Kehle::N,кълдома,gerklė
17,Kehle::N,кърга́парь,gerklė
18,Hals::N,сялдаз,kaklas
19,Genick::N,шовонь,sprandas
20,Kopf::N,пря,galva
21,Rücken::N,копорь,nugara
22,Bauch::N,пеке,pilvas
23,Nabel::N,по́кон,bamba
24,Busen::N,потя,krūtinė
25,Brust::N,мяште,krūtis
26,Schulter::N,лафту,petys
27,Arm::N,кядь,ranka
28,Ellenbogen::N,кенерьба́карь,alkūnė
29,Hand::N,кядь,ranka
30,Hand::N,кядь,plaštaka
31,Handfläche::N,кядьлапш,delnas
32,Handfläche::N,кядьлапш,plaštaka
33,Finger::N,сур,pirštas
34,Fingernagel::N,кенже,nagas
35,Nagel[Anatomie]::N,кенже,nagas
36,Zeh::N,пильгосу́р,pirštas
37,Fuß::N,пильге,pėda
38,Fuß::N,пильгелапа,pėda
39,Ferse::N,кочкяря,kulnas
40,Knie::N,эль,kelis
41,Knie::N,пълма́нжа,kelis
42,Oberschenkel::N,пильгепукша,kulšis
43,Oberschenkel::N,пильгепукша,šlaunis
44,Bein::N,пильге,koja
45,Körper::N,ро́нга,kūnas
46,Körper::N,по́нда,kūnas
47,Haut::N,киське,oda
48,Blut::N,вер,kraujas
49,Ader::N,сан,kraujagyslė
50,Ader::N,верза́н,kraujagyslė
51,Sehne::N,коське сан,sausgyslė
52,Knochen::N,пакарь,kaulas
53,Gehirn::N,уй,smegenys
54,Herz::N,седи,širdis
55,Magen::N,коткърдазь,skrandis
56,Leber::N,макса,kepenys
57,Atem::N,лекома,kvapas
58,Atem::N,ваймонь тарксема,kvapas
59,Hunger::N,вачеши,badas
60,Hunger::N,вачеши,alkis
61,Träne::N,сельмове́дь,ašara
62,Geschmack::N,таньф,skonis
63,Geruch::N,шине,kvapas
64,Schlaf::N,удома́,miegas
65,Traum::N,он,sapnas
