,Concept_ID,cv,eu
0,Auge::N,куҫ,begi
1,Ohr::N,хӑлха,belarri
2,Nase::N,сӑмса,sudur
3,Mund::N,ҫӑвар,aho
4,Zahn::N,шӑл,hortz
5,Zunge::N,чӗлхе,mihi
6,Lippe::N,тута,ezpain
7,Wange::N,пит ҫӑмарти,masail
8,Gesicht::N,пит,aurpegi
9,Gesicht::N,пит-куҫ,aurpegi
10,Stirn::N,ҫамка,bekoki
11,Haar::N,ҫӳҫ,ile
12,Haar::N,ҫӳҫ,bilo
13,Schnurrbart::N,усси,bibote
14,Schnurrbart::N,усси,sudurpeko
15,Bart::N,сухал,bizar
16,Kinn::N,янах,kokots
17,Kiefer[Anatomie]::N,янах,masailezur
18,Kehle::N,пыр,eztarri
19,Kehle::N,карланкӑ,eztarri
20,Hals::N,пыр,sama
21,Genick::N,ӗнсе,garondo
22,Kopf::N,пуҫ,buru
23,Rücken::N,ҫурӑм,bizkar
24,Nabel::N,кӑвапа,zilbor
25,Busen::N,кӑкӑр,titi
26,Busen::N,кӑкӑр,ugatz
27,Brust::N,умӗ,bular
28,Schulter::N,хул пуҫҫи,besaburu
29,Arm::N,алӑ,beso
30,Ellenbogen::N,чавса,ukondo
31,Hand::N,алӑ сыппи,esku
32,Handfläche::N,ал лаппи,ahur
33,Finger::N,пӳрне,hatz
34,Fingernagel::N,чӗрне,azazkal
35,Nagel[Anatomie]::N,чӗрне,azazkal
36,Zeh::N,пӳрне,behatz
37,Fuß::N,ура лаппи,oin
38,Ferse::N,кӗле,orpo
39,Ferse::N,кӗле,oinburu
40,Knie::N,чӗркуҫҫи,belaun
41,Oberschenkel::N,пӗҫӗ,izter
42,Bein::N,ура,zango
43,Körper::N,ӳт,soin
44,Körper::N,ӳт-пӳ,soin
45,Haut::N,тир,azal
46,Blut::N,юн,odol
47,Ader::N,вена,zain
48,Sehne::N,шӑнӑр,gihar-zain
49,Knochen::N,шӑмӑ,hezur
50,Gehirn::N,миме,garun
51,Gehirn::N,миме,burmuin
52,Herz::N,чӗре,bihotz
53,Magen::N,хырӑмлӑх,urdail
54,Leber::N,пӗвер,gibel
55,Atem::N,сывлав,hats
56,Atem::N,сывлав,arnasa
57,Hunger::N,выҫлӑх,gose
58,Träne::N,куҫҫуль,malko
59,Geschmack::N,техӗм,dasta
60,Geruch::N,шӑршӑ,usain
61,Schlaf::N,ыйхӑ,lo
62,Traum::N,тӗлӗк,amets
63,Himmel::N,пӗлӗт,zeru
64,Sonne::N,хӗвел,eguzki
65,Mond::N,уйӑх,ilargi
66,Stern::N,ҫӑлтӑр,izar
67,Luft::N,сывлӑш,aire
68,Wind::N,ҫил,haize
69,Welle::N,хум,uhin
70,Welle::N,хум,olatu
71,Wasser::N,шыв,ur
72,Wasser::N,шыв-шур,ur
73,Stein::N,чул,harri
74,Boden::N,тӑпра,lur
75,Boden::N,тӑпра,zoru
