,Concept_ID,ru,ca
0,Auge::N,глаз,ull
1,Ohr::N,ухо,orella
2,Nase::N,нос,nas
3,Mund::N,рот,boca
4,Zahn::N,зуб,dent
5,Zunge::N,язык,llēngua
6,Lippe::N,губа,llavi
7,Wange::N,щека,galta
8,Gesicht::N,лицо,cara
9,Stirn::N,лоб,front
10,Haar::N,волос,cabēll
11,Haar::N,волосы,cabēll
12,Schnurrbart::N,ус,bigoti
13,Schnurrbart::N,усы,bigoti
14,Bart::N,борода,barba
15,Kinn::N,подбородок,mentó
16,Kinn::N,подбородок,barbeta
17,Kiefer[Anatomie]::N,челюсть,queix
18,Kiefer[Anatomie]::N,челюсть,mandíbula
19,Kehle::N,горло,gola
20,Kehle::N,горло,gorja
21,Hals::N,шея,coll
22,Genick::N,затылок,nuca
23,Kopf::N,голова,cap
24,Rücken::N,спина,esquena
25,Bauch::N,живот,panxa
26,Nabel::N,пупок,llombrígol
27,Busen::N,женская грудь,pit
28,Busen::N,женская грудь,mama
29,Brust::N,грудь,pit
30,Schulter::N,плечо,espatlla
31,Arm::N,рука,braç
32,Ellenbogen::N,локоть,colze
33,Hand::N,кисть,mà
34,Handfläche::N,ладонь,palma
35,Finger::N,палец,dit
36,Fingernagel::N,ноготь,ungla
37,Nagel[Anatomie]::N,ноготь,ungla
38,Zeh::N,палец,dit del peu
39,Fuß::N,ступня,peu
40,Ferse::N,пята,taló
41,Ferse::N,пятка,taló
42,Knie::N,колено,genoll
43,Oberschenkel::N,бедро,cuixa
44,Bein::N,нога,cama
45,Körper::N,тело,cos
46,Haut::N,кожа,pell
47,Blut::N,кровь,sang
48,Ader::N,вена,vena
49,Ader::N,сосуд,vena
50,Sehne::N,жила,tendó
51,Sehne::N,тетива,tendó
52,Sehne::N,сухожилие,tendó
53,Knochen::N,кость,os
54,Gehirn::N,мозг,cervell
55,Herz::N,сердце,cor
56,Magen::N,желудок,estómac
57,Leber::N,печень,fetge
58,Atem::N,дух,alè
59,Atem::N,дух,hàlit
60,Atem::N,дыхание,alè
61,Atem::N,дыхание,hàlit
