,Concept_ID,nl,sl
0,Auge::N,oog,okó
1,Ohr::N,oor,uhó
2,Nase::N,neus,nós
3,Mund::N,mond,ústa
4,Zahn::N,tand,zób
5,Zunge::N,tong,jêzik
6,Lippe::N,lip,ústnica
7,Wange::N,wang,líce
8,Gesicht::N,gelaat,oblíčje
9,Gesicht::N,gezicht,oblíčje
10,Stirn::N,voorhoofd,čêlo
11,Haar::N,haar,lás
12,Schnurrbart::N,snor,bŕki
13,Bart::N,baard,bráda
14,Kinn::N,kin,bráda
15,Kiefer[Anatomie]::N,kaak,čeljúst
16,Kehle::N,keel,gŕlo
17,Kehle::N,strot,gŕlo
18,Hals::N,hals,vrát
19,Genick::N,nek,zatílnik
20,Kopf::N,hoofd,gláva
21,Rücken::N,rug,hrbèt
22,Bauch::N,buik,trébuh
23,Nabel::N,navel,pópek
24,Busen::N,boezem,nédrja
25,Brust::N,borst,pŕsi
26,Schulter::N,schouder,ráma
27,Schulter::N,schouder,plêče
28,Arm::N,arm,rôka
29,Ellenbogen::N,elleboog,komólec
30,Hand::N,hand,rôka
31,Handfläche::N,handpalm,dlán
32,Finger::N,vinger,pŕst
33,Fingernagel::N,nagel,nóht na rôki
34,Nagel[Anatomie]::N,nagel,nóht
35,Zeh::N,teen,pŕst na nôgi
36,Fuß::N,voet,nôga
37,Ferse::N,hak,pêta
38,Ferse::N,hiel,pêta
39,Knie::N,knie,koléno
40,Oberschenkel::N,dij,stêgno
41,Bein::N,been,nôga
42,Körper::N,lichaam,teló
43,Haut::N,huid,kóža
44,Blut::N,bloed,krí
45,Ader::N,ader,žíla
46,Sehne::N,pees,kíta
47,Knochen::N,bot,kóst
48,Knochen::N,been,kóst
49,Knochen::N,knook,kóst
50,Gehirn::N,hersenen,možgáni
51,Herz::N,hart,srcé
52,Magen::N,maag,želódec
53,Leber::N,lever,jétra
54,Atem::N,adem,díh
55,Hunger::N,honger,glád
56,Träne::N,traan,sólza
57,Geschmack::N,smaak,okús
58,Geruch::N,geur,vónj
59,Schlaf::N,slaap,sèn
60,Schlaf::N,slaap,spánec
61,Traum::N,droom,sánje
62,Himmel::N,hemel,nebó
63,Sonne::N,zon,sónce
64,Mond::N,maan,lúna
65,Mond::N,maan,mésec
66,Stern::N,ster,zvézda
67,Luft::N,lucht,zràk
68,Wind::N,wind,véter
69,Welle::N,golf,vál
70,Wasser::N,water,vôda
71,Stein::N,steen,kámen
72,Boden::N,grond,tlà
73,Erde::N,aarde,pŕst
74,Erde::N,aarde,zêmlja
75,Staub::N,stof,práh
76,Rauch::N,rook,dìm
77,Funke::N,vonk,ískra
78,Feuer::N,vuur,ôgenj
79,Licht::N,licht,lúč
80,Schatten::N,schaduw,sénca
81,Wetter::N,weer,vrême
82,Nebel::N,mist,meglà
83,Nebel::N,nevel,meglà
84,Wolke::N,wolk,oblák
85,Regen::N,regen,dèž
86,Schnee::N,sneeuw,snég
87,Eis::N,ijs,léd
