,Concept_ID,ba,sv
0,Auge::N,күҙ,öga
1,Ohr::N,ҡолаҡ,öra
2,Nase::N,танау,näsa
3,Mund::N,ауыҙ,mun
4,Zahn::N,теш,tand
5,Zunge::N,тел,tunga
6,Lippe::N,ирен,läpp
7,Wange::N,яцаҡтар,kind
8,Gesicht::N,бит,syn
9,Gesicht::N,бит,ansikte
10,Stirn::N,маңлай,panna
11,Haar::N,сәс,hår
12,Schnurrbart::N,мылтыҡ,mustasch
13,Bart::N,һаҡал,skägg
14,Kinn::N,эйэк,haka
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,käke
16,Kehle::N,тамаҡ,strupe
17,Hals::N,муйын,hals
18,Genick::N,соңҡа,nacke
19,Kopf::N,баш,huvud
20,Rücken::N,арҡа,rygg
21,Bauch::N,ҡорһаҡ,buk
22,Bauch::N,ҡорһаҡ,mage
23,Nabel::N,кендек,navel
24,Busen::N,күкрәк,barm
25,Brust::N,түш,bröst
26,Schulter::N,яурын,skuldra
27,Arm::N,ҡул,arm
28,Ellenbogen::N,терһәк,armbåge
29,Hand::N,ҡул,hand
30,Hand::N,ҡул суғы,hand
31,Handfläche::N,ус төбө,handflata
32,Finger::N,бармаҡ,finger
33,Fingernagel::N,тырнаҡ,fingernagel
34,Nagel[Anatomie]::N,тырнаҡ,nagel
35,Zeh::N,бармаҡ,tå
36,Fuß::N,табан,fot
37,Ferse::N,үксә,häl
38,Knie::N,тубыҡ,knä
39,Oberschenkel::N,сандыр,lår
40,Bein::N,аяҡ,ben
41,Körper::N,тән,kropp
42,Haut::N,тире,hud
43,Haut::N,тире,skinn
44,Blut::N,ҡан,blod
45,Ader::N,тамыр,åder
46,Sehne::N,һеңер,sena
47,Sehne::N,тарамыш,sena
48,Knochen::N,һойәк,ben
49,Gehirn::N,мейе,hjärna
50,Herz::N,йорәк,hjärta
51,Magen::N,ашҡаҙан,mage
52,Leber::N,бауыр,lever
53,Atem::N,һулыш,anda
54,Atem::N,һулыш,andedräkt
55,Hunger::N,аслыҡ,svält
56,Hunger::N,аслыҡ,hunger
57,Träne::N,күҙ иәше,tår
58,Geschmack::N,тәм,smak
59,Geruch::N,еҫ,lukt
60,Schlaf::N,йоҡлау,sömn
61,Traum::N,төш,dröm
62,Himmel::N,күк,himmel
63,Sonne::N,ҡояш,sol
64,Mond::N,ай,måne
65,Stern::N,йондоҙ,stjärna
66,Luft::N,һауа,luft
67,Wind::N,ел,vind
68,Welle::N,тулҡын,våg
69,Welle::N,тулҡын,bölja
70,Wasser::N,һыу,vatten
71,Stein::N,таш,sten
72,Boden::N,тупраҡ,mark
73,Erde::N,балсҡ,jord
74,Staub::N,туҙан,damm
75,Rauch::N,төтөн,rök
76,Funke::N,осҡон,gnista
77,Feuer::N,ут,eld
78,Licht::N,яҡтылыҡ,ljus
79,Schatten::N,күләгә,skugga
80,Wetter::N,һауа торошо,väder
81,Nebel::N,төман,dimma
82,Nebel::N,төман,töcken
83,Wolke::N,болот,sky
84,Wolke::N,болот,moln
85,Regen::N,ямғыр,regn
86,Schnee::N,ҡар,snö
87,Eis::N,боҙ,is
88,Frost::N,һалҡын,frost
89,Kälte::N,һыуыҡ,köld
90,Hitze::N,томра,hetta
91,Hitze::N,эҫелек,hetta
92,Raureif::N,ҡырау,rimfrost
93,Regenbogen::N,йәйғор,regnbåge
94,Donner::N,күк күкрәү,åska
95,Donner::N,күк күкрәү,dunder
96,Strömung::N,ағым,strömning
