,Concept_ID,cv,udm
0,Auge::N,куҫ,син
1,Ohr::N,хӑлха,пель
2,Nase::N,сӑмса,ныр
3,Mund::N,ҫӑвар,ым
4,Zahn::N,шӑл,пинь
5,Zunge::N,чӗлхе,кыл
6,Lippe::N,тута,ымдур
7,Wange::N,пит ҫӑмарти,бам
8,Gesicht::N,пит,ымныр
9,Gesicht::N,пит-куҫ,ымныр
10,Stirn::N,ҫамка,кымес
11,Haar::N,ҫӳҫ,йырси
12,Schnurrbart::N,усси,мыйык
13,Bart::N,сухал,туш
14,Kinn::N,янах,ангес
15,Kiefer[Anatomie]::N,янах,ан
16,Kiefer[Anatomie]::N,янах,анлы
17,Kehle::N,пыр,гульым
18,Kehle::N,карланкӑ,гульым
19,Hals::N,пыр,чырты
20,Genick::N,ӗнсе,йырбер
21,Kopf::N,пуҫ,йыр
22,Rücken::N,ҫурӑм,мыш
23,Nabel::N,кӑвапа,гогы
24,Busen::N,кӑкӑр,ноны
25,Brust::N,умӗ,мӧля
26,Schulter::N,хул пуҫҫи,пельпум
27,Arm::N,алӑ,суй
28,Ellenbogen::N,чавса,гырпум
29,Hand::N,алӑ сыппи,ки
30,Handfläche::N,ал лаппи,ки пыдэс
31,Handfläche::N,ал лаппи,кырым пыдэс
32,Finger::N,пӳрне,чиньы
33,Fingernagel::N,чӗрне,гижы
34,Fingernagel::N,чӗрне,гиждӥнь
35,Nagel[Anatomie]::N,чӗрне,гижы
36,Zeh::N,пӳрне,пыдчиньы
37,Fuß::N,ура лаппи,пыд
38,Ferse::N,кӗле,пыдбер
39,Knie::N,чӗркуҫҫи,пыдес
40,Oberschenkel::N,пӗҫӗ,макес
41,Bein::N,ура,пыд
42,Körper::N,ӳт,мугор
43,Körper::N,ӳт,вылтыр
44,Körper::N,ӳт-пӳ,мугор
45,Körper::N,ӳт-пӳ,вылтыр
46,Haut::N,тир,ку
47,Blut::N,юн,вир
48,Ader::N,вена,вирсэр
49,Sehne::N,шӑнӑр,вуж
50,Knochen::N,шӑмӑ,лы
51,Gehirn::N,миме,вим
52,Herz::N,чӗре,сюлэм
53,Magen::N,хырӑмлӑх,ӝуш
54,Leber::N,пӗвер,мус
55,Atem::N,сывлав,лул
56,Atem::N,сывлав,шокан
57,Hunger::N,выҫлӑх,кӧтсюман
58,Träne::N,куҫҫуль,синкыли
59,Geschmack::N,техӗм,шӧм
60,Geruch::N,шӑршӑ,зын
61,Schlaf::N,ыйхӑ,вӧт
62,Traum::N,тӗлӗк,уйвӧт
63,Himmel::N,пӗлӗт,ин
64,Sonne::N,хӗвел,шунды
65,Mond::N,уйӑх,толэзь
66,Stern::N,ҫӑлтӑр,кизили
67,Luft::N,сывлӑш,омыр
68,Wind::N,ҫил,тӧл
69,Welle::N,хум,тулкым
70,Wasser::N,шыв,ву
71,Wasser::N,шыв-шур,ву
72,Stein::N,чул,из
73,Boden::N,тӑпра,музъем
74,Erde::N,ҫӗр,му
75,Staub::N,тусан,пыль
76,Rauch::N,тӗтӗм,ӵын
77,Funke::N,хӗм,гизьы
78,Feuer::N,вут,тыл
79,Feuer::N,ҫулӑм,тыл
80,Licht::N,ҫутӑ,тыл
81,Schatten::N,сулхӑн,вужер
82,Wetter::N,ҫанталӑк,куазь
83,Nebel::N,тӗтре,бус
84,Wolke::N,пӗлӗт,пилем
85,Regen::N,ҫумӑр,зор
86,Schnee::N,юр,лымы
87,Eis::N,пӑр,йӧ
88,Frost::N,сивӗ,кезьыт
89,Kälte::N,сивӗ,кезьыт
90,Hitze::N,вӗри,пӧсь
91,Hitze::N,шӑрӑх,пӧсь
92,Raureif::N,пас,гӧр
93,Regenbogen::N,асамат кӗперӗ,вуюись
94,Donner::N,аслати,гудыри
95,Strömung::N,юхӑ,бызён
96,Tropfen::N,тумлам,шапык
97,Schaum::N,кӑпӑк,шукы
98,Schmutz::N,пылчӑк,нӧд
99,Schmutz::N,пылчӑк,дэри
100,See::N,кӳлӗ,ты
101,Sumpf::N,шур,нюр
102,Sumpf::N,шурлӑх,нюр
103,Moor::N,торфлӑ шурлӑх,нюр
104,Wiese::N,улӑх,возь
105,Wiese::N,улӑх,возьвыл
106,Wiese::N,ҫаран,возь
107,Wiese::N,ҫаран,возьвыл
108,Wald::N,вӑрман,сик
109,Wald::N,вӑрман,нюлэс
110,Hügel::N,сӑрт,выр
111,Hügel::N,сӑрт,вырйыл
112,Hügel::N,тӗмеске,выр
113,Hügel::N,тӗмеске,вырйыл
114,Anhöhe::N,сӑрт,выр
115,Anhöhe::N,сӑрт,вырйыл
116,Berg::N,ту,гурезь
117,Gipfel::N,тӳпе,йыл
118,Höhle::N,ҫӗр хӑвӑлӗ,гу
119,Abhang::N,тӑвайкки,бам
120,Quelle::N,ҫӑл куҫ,ошмес
121,Bach::N,пӗчӗк шыв,пичи шур
122,Fluss::N,юхан шыв,шур
123,Ufer::N,ҫыран,ярдур
124,Küste::N,тинӗс ҫыранӗ,вудур
125,Festland::N,тип ҫӗр,мувыр
126,Meer::N,тинӗс,зарезь
127,Bucht::N,тинӗс кукӑрӗ,вукож
128,Insel::N,утрав,вумуӵ
129,Insel::N,утрав,шормуӵ
130,Blume::N,чечек,сяська
131,Gras::N,курӑк,турын
132,Wurzel::N,тымар,выжы
133,Baum::N,йывӑҫ,пу
134,Stamm::N,вулӑ,модос
135,Rinde::N,хуйӑр,сул
136,Ast::N,турат,ул
137,Zweig::N,турат,вай
