,Concept_ID,cv,lez
0,Auge::N,куҫ,вил
1,Ohr::N,хӑлха,яб
2,Nase::N,сӑмса,нер
3,Mund::N,ҫӑвар,сив
4,Zahn::N,шӑл,сас
5,Zahn::N,шӑл,свах
6,Zunge::N,чӗлхе,мез
7,Lippe::N,тута,пӏуз
8,Wange::N,пит ҫӑмарти,хъвехъ
9,Gesicht::N,пит,ччин
10,Gesicht::N,пит-куҫ,ччин
11,Stirn::N,ҫамка,пел
12,Haar::N,ҫӳҫ,чӏар
13,Schnurrbart::N,усси,спел
14,Schnurrbart::N,усси,спелар
15,Bart::N,сухал,ччуру
16,Kinn::N,янах,чене
17,Kiefer[Anatomie]::N,янах,чене
18,Kehle::N,пыр,туьд
19,Kehle::N,карланкӑ,туьд
20,Hals::N,пыр,гардан
21,Genick::N,ӗнсе,кьам
22,Kopf::N,пуҫ,кьил
23,Rücken::N,ҫурӑм,далу
24,Nabel::N,кӑвапа,пицӏ
25,Busen::N,кӑкӑр,мам
26,Brust::N,умӗ,хур
27,Schulter::N,хул пуҫҫи,къуьн
28,Arm::N,алӑ,гъил
29,Ellenbogen::N,чавса,кьуьнт
30,Hand::N,алӑ сыппи,капаш
31,Handfläche::N,ал лаппи,капан юкь
32,Finger::N,пӳрне,тӏуб
33,Fingernagel::N,чӗрне,кек
34,Nagel[Anatomie]::N,чӗрне,кек
35,Zeh::N,пӳрне,кул
36,Fuß::N,ура лаппи,кӏвач
37,Ferse::N,кӗле,дабан
38,Knie::N,чӗркуҫҫи,мет
39,Oberschenkel::N,пӗҫӗ,
40,Bein::N,ура,кӏвач
41,Körper::N,ӳт,беден
42,Körper::N,ӳт-пӳ,беден
43,Haut::N,тир,хам
44,Blut::N,юн,иви
45,Ader::N,вена,дамар
46,Sehne::N,шӑнӑр,кьуру дамар
47,Knochen::N,шӑмӑ,кӏараб
48,Gehirn::N,миме,мефт
49,Herz::N,чӗре,рикӏ
50,Magen::N,хырӑмлӑх,хук
51,Leber::N,пӗвер,лекь
52,Atem::N,сывлав,ял
53,Atem::N,сывлав,нефес
54,Hunger::N,выҫлӑх,каш
55,Träne::N,куҫҫуль,вилин нагъв
56,Geschmack::N,техӗм,дад
57,Geschmack::N,техӗм,тӏям
58,Geruch::N,шӑршӑ,ни
59,Schlaf::N,ыйхӑ,ахвар
60,Traum::N,тӗлӗк,ахвар
61,Himmel::N,пӗлӗт,цав
62,Sonne::N,хӗвел,рагъ
63,Mond::N,уйӑх,варз
64,Stern::N,ҫӑлтӑр,гъед
65,Luft::N,сывлӑш,гьава
66,Wind::N,ҫил,гар
67,Welle::N,хум,лепе
68,Wasser::N,шыв,яд
69,Wasser::N,шыв-шур,яд
70,Stein::N,чул,къван
71,Boden::N,тӑпра,накьв
72,Erde::N,ҫӗр,ччил
73,Staub::N,тусан,руг
74,Rauch::N,тӗтӗм,гум
75,Funke::N,хӗм,цӏелхем
76,Feuer::N,вут,цӏай
77,Feuer::N,ҫулӑм,цӏай
78,Licht::N,ҫутӑ,экв
79,Schatten::N,сулхӑн,серин
80,Wetter::N,ҫанталӑк,гьава
81,Nebel::N,тӗтре,ччилин циф
82,Wolke::N,пӗлӗт,циф
83,Regen::N,ҫумӑр,марф
84,Schnee::N,юр,жив
85,Eis::N,пӑр,мурк
86,Frost::N,сивӗ,аяз
87,Kälte::N,сивӗ,мекь
88,Kälte::N,сивӗ,мекьивал
89,Hitze::N,вӗри,зегьем
90,Hitze::N,шӑрӑх,зегьем
91,Raureif::N,пас,къирав
92,Regenbogen::N,асамат кӗперӗ,яргъируш
93,Donner::N,аслати,цавун ван
94,Strömung::N,юхӑ,
95,Tropfen::N,тумлам,стӏал
96,Schaum::N,кӑпӑк,каф
97,Schmutz::N,пылчӑк,чирк
98,Schmutz::N,пылчӑк,кьуруш
99,See::N,кӳлӗ,вир
100,Sumpf::N,шур,уьлен
101,Sumpf::N,шурлӑх,уьлен
102,Moor::N,торфлӑ шурлӑх,
103,Wiese::N,улӑх,векь
104,Wiese::N,ҫаран,векь
105,Wald::N,вӑрман,там
106,Hügel::N,сӑрт,кӏунтӏ
107,Hügel::N,тӗмеске,кӏунтӏ
108,Anhöhe::N,сӑрт,тепе
109,Anhöhe::N,сӑрт,гьуьндуьрвал
110,Berg::N,ту,дагъ
111,Gipfel::N,тӳпе,кӏукӏ
112,Höhle::N,ҫӗр хӑвӑлӗ,кьветӏ
113,Abhang::N,тӑвайкки,гуьне
114,Quelle::N,ҫӑл куҫ,чешме
115,Bach::N,пӗчӗк шыв,булах
116,Fluss::N,юхан шыв,вацӏ
117,Ufer::N,ҫыран,къерех
118,Küste::N,тинӗс ҫыранӗ,къерех
119,Festland::N,тип ҫӗр,кьурамат
120,Meer::N,тинӗс,гьуьл
121,Bucht::N,тинӗс кукӑрӗ,бухта
122,Insel::N,утрав,остров
123,Blume::N,чечек,цуьк
124,Gras::N,курӑк,хъач
125,Wurzel::N,тымар,дувул
126,Baum::N,йывӑҫ,ттар
127,Stamm::N,вулӑ,тан
128,Rinde::N,хуйӑр,чкал
129,Ast::N,турат,тӏур
130,Zweig::N,турат,хел
131,Blatt::N,ҫулҫӑ,пеш
132,Birke::N,хурӑн,верх
133,Kiefer[Baum]::N,хыр,шамагъаж
134,Weide[Baum]::N,хӑва,цӏвелин ттар
135,Tanne::N,чӑрӑш,ель
136,Horn::N,мӑйрака,карч
137,Feder::N,тӗк,цӏакул
138,Fell::N,ҫӑм,хам
139,Flügel::N,ҫунат,лув
140,Klaue::N,чӗрне,къармах
141,Kralle::N,ура,пац
142,Kralle::N,ура,тапас
143,Schwanz::N,хӳре,ттум
144,Ei::N,ҫӑмарта,кака
145,Nest::N,йӑва,муг
146,Bau::N,йӗнӗ,тӏеквен
147,Tier::N,выльӑх,гьайван
148,Herde::N,кӗтӳ,суьруь
149,Kuh::N,ӗне,ккал
150,Bulle::N,вӑкӑр,яц
151,Bulle::N,вӑкӑр,бугъа
152,Pferd::N,лаша,балкӏан
153,Schaf::N,сурӑх,хеб
154,Schwein::N,сысна,вак
155,Hund::N,йытӑ,кицӏ
156,Katze::N,кушак,кац
157,Bär::N,упа,сев
158,Eichhörnchen::N,пакша,белка
159,Elch::N,пӑши,лось
160,Fuchs::N,тилӗ,сикӏ
161,Hase::N,куян,къуьр
162,Hase::N,мулкач,къуьр
163,Maus::N,шӑши,кьиф
164,Wolf::N,кашкӑр,жанавур
165,Vogel::N,кайӑк,луван ничхир
166,Vogel::N,вӗҫен кайӑк,луван ничхир
167,Schwarm::N,ушкӑн,луж
168,Huhn::N,чӑх,верч
169,Huhn::N,чӑхӑ,верч
170,Hahn::N,автан,кӏек
171,Gans::N,хур,къаз
172,Adler::N,ӑмӑрт кайӑк,лекь
173,Ente::N,кӑвакал,пӏатӏ
174,Eule::N,тӑмана,тӏиб
175,Kranich::N,тӑрна,дурна
176,Krähe::N,ула курак,къаргъа
177,Kuckuck::N,куккук,кукупӏ
178,Schwan::N,акӑш,къугь
179,Fisch::N,пулӑ,гъед
180,Barsch::N,уланкӑ,окунь
181,Hecht::N,ҫӑрттан,щука
182,Schlange[Tier]::N,ҫӗлен,илан
183,Schlange[Tier]::N,ҫӗлен,гъуьлягъ
184,Wurm::N,ӑман,квак
185,Spinne::N,эрешмен,хуьшрекан
186,Ameise::N,кӑткӑ,цегв
187,Laus::N,пыйтӑ,нет
188,Mücke::N,вӑрӑм туна,ветӏ
189,Fliege::N,шӑна,тӏветӏ
190,Schmetterling::N,лӗпӗш,чепелукь
191,Beere::N,ҫырла,куьлуь емиш
192,Apfel::N,улма,ич
193,Apfel::N,пан улми,ич
194,Pilz::N,кӑмпа,къарникъуз
195,Zwiebel::N,сухан,чичӏек
196,Saat::N,вӑрӑ,тумар
197,Korn::N,тӗшӗ,твар
198,Korn::N,пӗрчӗ,твар
199,Heu::N,утӑ,векь
200,Heu::N,утӑ,векьер
201,Schale::N,хупӑ,пириш
202,Schale::N,хупӑ,хъуьруьш
203,Grube::N,шӑтӑк,фур
204,Falle::N,тапӑ,ракьар
205,Falle::N,капкӑн,ракьар
206,Schlinge::N,йӑлӑ,гьалкъа
207,Spur::N,йӗр,гел
208,Asche::N,кӗл,руьхъ
209,Dreck::N,пылчӑк,чирк
210,Dreck::N,пылчӑк,кьуруш
211,Eisen::N,тимӗр,ракь
212,Gold::N,ылтӑн,алтун
213,Silber::N,кӗмӗл,гимиш
214,Kohle::N,кӑмрӑк,цӏивин
215,Glas::N,кӗленче,шуьше
216,Lehm::N,тӑм,ччеб
217,Sand::N,хӑйӑр,къум
218,Mensch::N,ҫын,инсан
219,Mensch::N,этем,инсан
220,Mann::N,ар,итим
221,Frau::N,хӗрарӑм,паб
222,Frau::N,хӗрарӑм,дишегьли
223,Kind::N,ача,аял
224,Junge::N,ача,гада
225,Junge::N,ар ҫын ача,гада
226,Mädchen::N,хӗр ача,руш
227,Familie::N,ҫемье,хзан
228,Familie::N,ҫемье,килфет
229,Familie::N,кил-йыш,хзан
230,Familie::N,кил-йыш,килфет
231,Großvater::N,кукаҫи,чӏехи буба
232,Großmutter::N,кукамай,чӏехи диде
233,Eltern::N,аҫа-ама,диде-буба
234,Vater::N,атте,буба
235,Mutter::N,анне,диде
236,Sohn::N,ывӑл,хва
237,Tochter::N,хӗр,руш
238,Bruder::N,ар тӑван,стха
239,Schwester::N,аппа,вах
240,Schwester::N,йӑмӑк,вах
241,Onkel::N,мучи,ими
242,Onkel::N,мучи,халу
243,Onkel::N,пичче,ими
244,Onkel::N,пичче,халу
245,Tante::N,аппа,эме
246,Tante::N,аппа,хала
247,Ehemann::N,упӑшка,гъуьл
248,Ehefrau::N,арӑм,паб
249,Freude::N,савӑнӑҫ,шадвал
250,Freude::N,хаваслӑх,шадвал
251,Gelächter::N,кулӑ,хъвер
252,Glück::N,телей,бахт
253,Glück::N,ӑраскал,бахт
254,Kummer::N,хурлӑх,дерт
255,Kummer::N,хурлӑх,хажалат
256,Wunsch::N,ӗмӗт,мурад
257,Wunsch::N,кӑмӑл,мурад
258,Lust::N,кӑмӑл,гьевес
259,Geist::N,чун-чӗм,руьгь
260,Geist::N,ыр-усал,руьгь
261,Geist::N,чун хавалӗ,руьгь
262,Gedanke::N,шухӑш,фикир
263,Gedächtnis::N,ас,
264,Verstand::N,ӑс,акьул
265,Verstand::N,ӑс-тӑн,акьул
266,Verstand::N,ӑс-хакӑл,акьул
267,Sinn::N,тупсӑм,мана
268,Sinn::N,пӗлтерӗш,мана
269,Grund::N,сӑлтав,себеб
270,Wahrheit::N,чӑнлӑх,керчек
271,Wahrheit::N,чӑнлӑх,гьакъикъат
272,Gespräch::N,калаҫу,ихтилат
273,Märchen::N,юмах,мах
274,Erzählung::N,акалав,кьиса
275,Erzählung::N,каласа пани,кьиса
276,Nachricht::N,хыпар,хабар
277,Neuigkeit::N,ҫӗнӗ хыпар,цӏийи хабар
278,Name::N,ят,тӏвар
279,Rätsel::N,сутмалли юмах,мискӏал
280,Rede::N,сӑмах,рахун
281,Sprache::N,чӗлхе,чӏал
282,Stimme::N,сасӑ,ван
283,Wort::N,сӑмах,гаф
284,Zeichen::N,паллӑ,ишара
285,Ruf::N,йыхрав,эвер
286,Ruf::N,чӗнӳ,эвер
287,Lärm::N,шав,ван-сес
288,Laut::N,сасӑ,ван
289,Laut::N,сасӑ,сес
290,Ton::N,сасӑ,ван-сес
291,Lied::N,юрӑ,мани
292,Ruhe::N,канӑҫлӑх,ласвал
293,Ruhe::N,канӑҫлӑх,фаракъат
294,Ruhe::N,канӑҫлӑх,асайиш
295,Ruhe::N,лӑпкӑлӑх,ласвал
296,Ruhe::N,лӑпкӑлӑх,фаракъат
297,Ruhe::N,лӑпкӑлӑх,асайиш
298,Leute::N,ҫамрӑксем,инсанар
299,Leute::N,ҫамрӑк ҫынсем,инсанар
300,Volk::N,халӑх,халкь
