,Concept_ID,lez,av
0,Auge::N,вил,
1,Ohr::N,яб,гӏин
2,Nase::N,нер,мегӏер
3,Mund::N,сив,кӏал
4,Zahn::N,сас,гӏус
5,Zahn::N,свах,гӏус
6,Zunge::N,мез,мацӏ
7,Lippe::N,пӏуз,кӏветӏ
8,Wange::N,хъвехъ,гӏоно
9,Gesicht::N,ччин,гьумер
10,Stirn::N,пел,нодо
11,Haar::N,чӏар,рас
12,Schnurrbart::N,спел,михъ
13,Schnurrbart::N,спелар,михъ
14,Bart::N,ччуру,мегеж
15,Kinn::N,чене,нилъу
16,Kiefer[Anatomie]::N,чене,чанагъ
17,Kehle::N,туьд,щекъер
18,Hals::N,гардан,габур
19,Genick::N,кьам,гъванща
20,Kopf::N,кьил,бетӏер
21,Rücken::N,далу,мугъ
22,Bauch::N,руфун,чехь
23,Nabel::N,пицӏ,цӏину
24,Busen::N,мам,керен
25,Brust::N,хур,керен
26,Schulter::N,къуьн,гъажазубетӏер
27,Arm::N,гъил,гъеж
28,Ellenbogen::N,кьуьнт,гӏункӏрукь
29,Hand::N,капаш,квер
30,Handfläche::N,капан юкь,огъохъат
31,Handfläche::N,капан юкь,жанисахъат
32,Finger::N,тӏуб,килищ
33,Fingernagel::N,кек,малъ
34,Nagel[Anatomie]::N,кек,малъ
35,Zeh::N,кул,килищ
36,Fuß::N,кӏвач,хӏетӏ
37,Fuß::N,кӏвач,хӏетӏе
38,Ferse::N,дабан,эгъе
39,Knie::N,мет,наку
40,Bein::N,кӏвач,бох
41,Körper::N,беден,къаркъала
42,Haut::N,хам,тӏом
43,Blut::N,иви,би
44,Ader::N,дамар,бидурихь
45,Sehne::N,кьуру дамар,
46,Knochen::N,кӏараб,ракьа
47,Gehirn::N,мефт,гӏадалнах
48,Herz::N,рикӏ,ракӏ
49,Magen::N,хук,кванирукъ
50,Leber::N,лекь,тӏул
51,Atem::N,ял,хӏухь
52,Atem::N,нефес,хӏухь
53,Hunger::N,каш,ракъи
54,Träne::N,вилин нагъв,магӏу
55,Geschmack::N,дад,тату
56,Geschmack::N,тӏям,тату
57,Geruch::N,ни,махӏ
58,Schlaf::N,ахвар,макьу
59,Traum::N,ахвар,макьу
60,Himmel::N,цав,зоб
61,Sonne::N,рагъ,бакъ
62,Mond::N,варз,моцӏ
63,Stern::N,гъед,цӏва
64,Luft::N,гьава,гьава
65,Wind::N,гар,гьури
66,Welle::N,лепе,карачел
67,Wasser::N,яд,лъим
68,Stein::N,къван,гьецӏо
69,Boden::N,накьв,ракь
70,Erde::N,ччил,ракь
71,Erde::N,ччил,дуниял
72,Staub::N,руг,хӏур
73,Rauch::N,гум,кӏкӏуй
74,Funke::N,цӏелхем,
75,Feuer::N,цӏай,цӏа
76,Licht::N,экв,канлъи
77,Schatten::N,серин,рагӏад
78,Wetter::N,гьава,гьава-бакъ
79,Nebel::N,ччилин циф,гӏодобнакӏкӏ
80,Wolke::N,циф,накӏкӏ
81,Regen::N,марф,цӏад
82,Schnee::N,жив,гӏазу
83,Eis::N,мурк,цӏер
84,Frost::N,аяз,замгьари
85,Kälte::N,мекь,квач
86,Kälte::N,мекьивал,квач
87,Hitze::N,зегьем,багӏари
88,Raureif::N,къирав,мартӏ
89,Regenbogen::N,яргъируш,нур
90,Regenbogen::N,яргъируш,чамбара
91,Donner::N,цавун ван,гъугъай
92,Donner::N,цавун ван,гъугъади
93,Tropfen::N,стӏал,резел
94,Tropfen::N,стӏал,тӏинкӏ
95,Tropfen::N,стӏал,къатӏра
96,Tropfen::N,стӏал,тӏенкӏел
97,Schaum::N,каф,полоп
98,Schmutz::N,чирк,чороклъи
99,Schmutz::N,кьуруш,чороклъи
100,See::N,вир,хӏор
101,Sumpf::N,уьлен,хьуцӏ
102,Wiese::N,векь,мегъ
103,Wiese::N,векь,гӏурдаллъи
104,Wald::N,там,рохь
105,Hügel::N,кӏунтӏ,гохӏ
106,Anhöhe::N,тепе,сийитма
107,Anhöhe::N,гьуьндуьрвал,сийитма
108,Berg::N,дагъ,мегӏер
109,Gipfel::N,кӏукӏ,тӏогь
110,Höhle::N,кьветӏ,нохъо
111,Abhang::N,гуьне,лабаллъи
112,Quelle::N,чешме,ицц
113,Bach::N,булах,лъар
114,Fluss::N,вацӏ,гӏор
115,Ufer::N,къерех,рагӏал
116,Küste::N,къерех,рагӏал
117,Festland::N,кьурамат,ракь
118,Festland::N,кьурамат,ракъдаллъи
119,Meer::N,гьуьл,ралъад
120,Bucht::N,бухта,кӏветӏ
121,Insel::N,остров,чӏинкӏиллъи
122,Blume::N,цуьк,тӏегь
123,Gras::N,хъач,хер
124,Wurzel::N,дувул,кьибил
125,Baum::N,ттар,гъветӏ
126,Stamm::N,тан,рохти
127,Rinde::N,чкал,макъар
128,Ast::N,тӏур,ноцӏ
129,Zweig::N,хел,гӏаркьел
130,Blatt::N,пеш,тӏамах
131,Birke::N,верх,мах
132,Birke::N,верх,махигъветӏ
133,Kiefer[Baum]::N,шамагъаж,накӏкӏигъветӏ
134,Weide[Baum]::N,цӏвелин ттар,рицӏцӏ
135,Weide[Baum]::N,цӏвелин ттар,рицӏцӏигъветӏ
136,Tanne::N,ель,ёлка
137,Horn::N,карч,лълъар
138,Feder::N,цӏакул,хӏули
139,Fell::N,хам,тӏом
140,Fell::N,хам,цӏоко
141,Flügel::N,лув,кваркьи
142,Klaue::N,къармах,галъ
143,Kralle::N,пац,квачӏ
144,Kralle::N,пац,катиквачӏ
145,Kralle::N,тапас,квачӏ
146,Kralle::N,тапас,катиквачӏ
147,Schwanz::N,ттум,рачӏ
148,Ei::N,кака,хоно
149,Nest::N,муг,бусен
150,Bau::N,тӏеквен,каратӏ
151,Tier::N,гьайван,хӏайван
152,Herde::N,суьруь,рехъен
153,Herde::N,суьруь,рехъед
154,Kuh::N,ккал,гӏака
155,Bulle::N,яц,оц
156,Bulle::N,бугъа,оц
157,Pferd::N,балкӏан,чу
158,Schaf::N,хеб,чахъу
159,Schwein::N,вак,болъон
160,Hund::N,кицӏ,гьой
161,Katze::N,кац,кету
162,Bär::N,сев,ци
163,Eichhörnchen::N,белка,гвангва
164,Elch::N,лось,
165,Fuchs::N,сикӏ,цер
166,Hase::N,къуьр,гӏанкӏ
167,Maus::N,кьиф,гӏункӏкӏ
168,Wolf::N,жанавур,бацӏ
169,Vogel::N,луван ничхир,хӏинчӏ
170,Schwarm::N,луж,тӏел
171,Huhn::N,верч,гӏанкӏу
172,Hahn::N,кӏек,хӏелеко
173,Gans::N,къаз,хъаз
174,Adler::N,лекь,цӏум
175,Ente::N,пӏатӏ,ордек
176,Eule::N,тӏиб,беццаруз
177,Kranich::N,дурна,къункъра
178,Krähe::N,къаргъа,гъеду
179,Kuckuck::N,кукупӏ,гагу
180,Schwan::N,къугь,хӏанкъва
181,Fisch::N,гъед,ччугӏа
182,Barsch::N,окунь,окунь
183,Hecht::N,щука,щука
184,Schlange[Tier]::N,илан,борохь
185,Schlange[Tier]::N,гъуьлягъ,борохь
186,Wurm::N,квак,хӏапара
187,Spinne::N,хуьшрекан,хъанхъра
188,Ameise::N,цегв,цӏунцӏра
189,Laus::N,нет,нацӏ
190,Mücke::N,ветӏ,кӏкӏара
191,Fliege::N,тӏветӏ,тӏутӏ
192,Schmetterling::N,чепелукь,кӏалкӏучӏ
193,Beere::N,куьлуь емиш,
194,Apfel::N,ич,гӏеч
195,Pilz::N,къарникъуз,гӏурдахӏан
196,Zwiebel::N,чичӏек,кӏочӏопер
197,Saat::N,тумар,хьон
198,Korn::N,твар,мугь
199,Heu::N,векь,хер
200,Heu::N,векьер,хер
201,Schale::N,пириш,хъал
202,Schale::N,хъуьруьш,хъал
203,Grube::N,фур,гвенд
204,Falle::N,ракьар,къор
205,Falle::N,ракьар,къотен
206,Schlinge::N,гьалкъа,кӏичӏ
207,Spur::N,гел,лъалкӏ
208,Asche::N,руьхъ,рахъу
209,Dreck::N,чирк,гъиз
210,Dreck::N,чирк,хӏарщ
211,Dreck::N,кьуруш,гъиз
212,Dreck::N,кьуруш,хӏарщ
213,Eisen::N,ракь,махх
214,Gold::N,алтун,месед
215,Silber::N,гимиш,гӏарац
216,Kohle::N,цӏивин,тӏурччи
217,Glas::N,шуьше,цӏер
218,Lehm::N,ччеб,хӏатӏ
219,Sand::N,къум,сали
220,Mensch::N,инсан,чи
221,Mann::N,итим,бихьинчи
222,Frau::N,паб,гӏадан
223,Frau::N,дишегьли,гӏадан
224,Kind::N,аял,лъимер
225,Junge::N,гада,вас
226,Mädchen::N,руш,яс
227,Familie::N,хзан,хъизан
228,Familie::N,килфет,хъизан
229,Großvater::N,чӏехи буба,кӏудада
230,Großmutter::N,чӏехи диде,кӏодо
231,Eltern::N,диде-буба,эбел-эмен
232,Vater::N,буба,эмен
233,Mutter::N,диде,эбел
234,Sohn::N,хва,вас
235,Tochter::N,руш,яс
236,Bruder::N,стха,вац
237,Schwester::N,вах,яц
238,Onkel::N,ими,даци
239,Onkel::N,халу,даци
240,Tante::N,эме,ада
241,Tante::N,хала,ада
242,Ehemann::N,гъуьл,рос
243,Ehefrau::N,паб,чӏужу
244,Freude::N,шадвал,ракӏбохи
245,Gelächter::N,хъвер,релъи
246,Glück::N,бахт,талихӏ
247,Glück::N,бахт,талихӏ-рохел
248,Kummer::N,дерт,хӏалкъай
249,Kummer::N,хажалат,хӏалкъай
250,Wunsch::N,мурад,къасд
251,Lust::N,гьевес,гъира
252,Geist::N,руьгь,чӏанкӏ
253,Geist::N,руьгь,рухӏ-жан
254,Gedanke::N,фикир,пикру
255,Verstand::N,акьул,лумалъи
256,Verstand::N,акьул,цӏодорлъи
257,Sinn::N,мана,магӏна
258,Grund::N,себеб,багьана
259,Wahrheit::N,керчек,ритӏухълъи
260,Wahrheit::N,гьакъикъат,ритӏухълъи
261,Gespräch::N,ихтилат,накъит
262,Märchen::N,мах,маргьа
263,Erzählung::N,кьиса,къиса
264,Nachricht::N,хабар,хабар
265,Neuigkeit::N,цӏийи хабар,хабар-гӏазаб
266,Name::N,тӏвар,цӏар
267,Rätsel::N,мискӏал,бицанкӏо
268,Rede::N,рахун,речь
269,Rede::N,рахун,калам
270,Sprache::N,чӏал,мацӏ
271,Stimme::N,ван,гьаракь
272,Wort::N,гаф,рагӏи
273,Zeichen::N,ишара,ишара
274,Zeichen::N,ишара,гӏаламат
275,Ruf::N,эвер,ахӏи
276,Lärm::N,ван-сес,хъуй
277,Lärm::N,ван-сес,хъуди
278,Laut::N,ван,гьаракь
279,Laut::N,ван,сас
280,Laut::N,сес,гьаракь
281,Laut::N,сес,сас
282,Ton::N,ван-сес,
283,Lied::N,мани,кечӏ
284,Ruhe::N,ласвал,рахӏат
285,Ruhe::N,фаракъат,рахӏат
286,Ruhe::N,асайиш,рахӏат
287,Leute::N,инсанар,гӏадамал
288,Volk::N,халкь,халкъ
289,Arbeit::N,кӏвалах,хӏалтӏи
290,Gast::N,мугьман,гьобол
291,Geschenk::N,савкьат,сайигъат
292,Spiel::N,къугъун,хӏай
293,Spiel::N,къугъун,расанди
294,Gesellschaft::N,жемят,жамагӏат
295,Gesellschaft::N,общество,жамагӏат
296,Hilfe::N,куьмек,кумек
297,Freund::N,дуст,гьудул
298,Kamerad::N,яр-дуст,гьалмагъ
299,Angelegenheit::N,кар,къваригӏел
300,Anzahl::N,сан,рикӏкӏен
301,Anzahl::N,кьадар,рикӏкӏен
302,Art::N,жуьре,жинс
303,Stück::N,кӏус,кесек
304,Teil::N,пай,пай
305,Hälfte::N,зур,бащдаб
306,Hälfte::N,зур пай,бащдаб
307,Kreis::N,круг,гор
308,Kreis::N,чкаяр,гор
309,Kreis::N,элкъвей цӏар,гор
310,Kreuz::N,хаш,хъанч
311,Linie::N,цӏар,мухъ
312,Strich::N,цӏар,хӏучч
313,Abstand::N,ара,манзил
314,Entfernung::N,мензил,манзил
315,Gegend::N,чка,рахъ
316,Platz::N,ара,бакӏ
317,Ort::N,чка,бакӏ
318,Seite::N,пад,рахъ
319,Mitte::N,юкь,бакьулъбакӏ
320,Gegenstand::N,затӏ,жо
321,Sache::N,шей,жо
322,Sache::N,затӏ,жо
323,Rand::N,къерех,мицӏир
324,Kante::N,син,рагӏал
325,Kante::N,син,рагӏа-ракьан
326,Ecke::N,пӏипӏ,цили
327,Spitze::N,кӏвенкӏв,тӏогь
328,Ende::N,кьил,кӏал
329,Loch::N,тӏеквен,каратӏ
330,Winkel::N,пӏипӏ,
331,Muster::N,гишир,накъиш
332,Größe::N,кьадар,кӏодо́лъи
333,Länge::N,яргъивал,халалъи
334,Höhe::N,кьакьанвал,борхалъи
335,Gewicht::N,заланвал,бакӏлъи
336,Menge::N,кьадар,
337,Haufen::N,хара,гъуни
338,Reihe::N,жерге,ирга́
339,Boot::N,луьткве,раса
340,Ruder::N,кьусу,раххан
341,Schlitten::N,гъелерар,чанагъ
342,Lagerfeuer::N,цӏай,цӏа
343,Last::N,заланвал,бакӏлъи
344,Gang::N,ериш,хьвади
345,Gang::N,ериш,хьвада-чӏвади
346,Schritt::N,къадам,гали
347,Norden::N,кефер,шимал
348,Norden::N,кефер пад,шимал
349,Süden::N,кьибле,юг
350,Süden::N,кьибле,къибла
351,Westen::N,рагъакӏидай пад,гъарб
352,Westen::N,рагъакӏидай пад,магъриб
353,Osten::N,рагъэкъечӏдай пад,шаркъ
354,Osten::N,рагъэкъечӏдай пад,машрикъ
355,Holz::N,кӏарас,цӏул
356,Brett::N,кьул,хъарщи
357,Brett::N,тахта,хъарщи
358,Stütze::N,даях,
359,Stange::N,юрк,гӏер
360,Stock::N,лаш,тӏил
361,Stab::N,юрк,гӏер
362,Rohr::N,турба,турба
363,Haus::N,ужагъ,ригь
364,Haus::N,ужагъ,рукъзал
365,Heim::N,кӏвал,рукъ
366,Ofen::N,пич,печь
367,Fußboden::N,кӏвалин ччил,чӏабар
368,Tisch::N,стол,стол
369,Stuhl::N,стул,бакӏу
370,Wiege::N,кьеб,кини
371,Bett::N,тахт,кровать
372,Regal::N,кьацӏ,хъарщи
373,Kiste::N,ящик,ящик
374,Kiste::N,ящик,тӏалагъуд
375,Fenster::N,дакӏар,гордо
376,Tür::N,рак,нуцӏа
377,Tor::N,варар,каву
378,Zaun::N,пару,раци
379,Dach::N,къав,тӏох
380,Leiter::N,гурар,мали
381,Besen::N,таран кул,жул
382,Spaten::N,ппер,бел
383,Schaufel::N,хекендаз,раххан
384,Gabel::N,шиш,гӏучӏ
385,Löffel::N,тӏур,гъуд
386,Messer::N,чукӏул,нус
387,Nagel::N,мих,магӏ
388,Netz::N,чил,гьин
389,Haken::N,къармах,гъанцӏа
390,Griff::N,ттум,гӏоркь
391,Schloss::N,куьлег,кӏулал
392,Bild::N,шикил,сурат
393,Bild::N,суьрет,сурат
394,Figur::N,фигура,
395,Puppe::N,нини,нани
396,Beutel::N,тагъар,таргьа
397,Bündel::N,галгам,къай
398,Tasche::N,чанта,сумка
399,Tasche::N,чанта,къвачӏа
400,Eimer::N,ведре,ведро
401,Deckel::N,кьил,тӏалъел
402,Deckel::N,кьил,дадитӏалъел
403,Deckel::N,къалпагъ,тӏалъел
404,Deckel::N,къалпагъ,дадитӏалъел
405,Geschirr::N,къаб-къажах,цӏарагӏ
406,Sack::N,чувал,хъап
407,Sack::N,чувал,къандалъо
408,Tasse::N,сукӏра,чашка
409,Topf::N,къажгъан,хьаг
410,Kessel::N,къажгъан,хьаг
411,Kessel::N,къажгъан,гереги
412,Essen::N,тӏуьн,тӏагӏам
413,Nahrung::N,тӏуьн,квен
414,Speise::N,хуьрек,квен
415,Fleisch::N,як,гьан
416,Getreide::N,техил,бугӏа-ролъ
417,Getreide::N,техил,могьолабл_культураби
418,Brei::N,хапӏа,карщ
419,Brei::N,хешил,карщ
420,Brot::N,фу,чед
421,Scheibe::N,чӏук,мочӏу
422,Fett::N,ягълу,беэнлъи
423,Butter::N,гъери,нах
424,Öl::N,ягълу,нах
425,Salz::N,кьел,цӏам
426,Suppe::N,суп,чурпа
427,Suppe::N,шурпа,чурпа
428,Honig::N,вирт,гьоцӏо
429,Milch::N,нек,рахь
430,Tee::N,чай,чай
431,Leder::N,тумаж,тӏом
432,Wolle::N,йис,квас
433,Stoff::N,парча,ххам
434,Nadel::N,раб,рокӏкӏен
435,Faden::N,гъал,кун
436,Knopf::N,дуьгме,маргъал
437,Knoten::N,тӏвал,гарацӏ
438,Farbe::N,ранг,релъен
439,Kleidung::N,партал,ретӏел
440,Hemd::N,перем,гурде
441,Kragen::N,хев,габур
442,Ärmel::N,хел,къвал
443,Hose::N,шалвар,тӏажу
444,Gürtel::N,чӏул,рачел
445,Mütze::N,бармак,тӏагъур
446,Mütze::N,бапӏах,тӏагъур
447,Schuh::N,ботинка,
448,Stiefel::N,чекме,этек
449,Stiefel::N,чекме,чакма
450,Ring::N,тупӏал,баргъич
451,Band::N,тасма,лента
452,Kamm::N,регъ,гьоркьо
453,Spiegel::N,гуьзгуь,матӏу
454,Riemen::N,къайиш,рижу
455,Schnur::N,еб,
456,Decke::N,яргъан,одея́ло
457,Kissen::N,хъуьцуьган,къандалъо
458,Tuch::N,шал,квархьи
459,Handtuch::N,дасмал,беркӏалрацӏцӏ
460,Kraft::N,гуж,гуч
461,Kraft::N,гуж,къуват
462,Stärke::N,къуват,хӏалкӏвей
463,Gesundheit::N,сагъвал,сахлъи́
464,Krankheit::N,тӏал,унти
465,Krankheit::N,тӏал,щокълъи
466,Schmerz::N,тӏал,унти
467,Schmerz::N,тӏарвал,унти
468,Wunde::N,хер,ругъун
469,Fieber::N,ифин,цӏа-кан
470,Arznei::N,дарман,дару
471,Brücke::N,муьгъ,кьо
472,Brunnen::N,къуй,гъуй
473,Weide::N,уьруьш,рицӏцӏ
474,Weide::N,уьруьш,лъичӏирма
475,Weide::N,уьруьш,гӏурдаллъи
476,Weide::N,уьруьш,ри́цӏигъветӏ
477,Weide::N,уьруьш,рицӏцӏигъветӏ
478,Pfad::N,рехъ,сухъмахъ
479,Weg::N,рехъ,нух
480,Straße::N,рехъ,нух
481,Dorf::N,хуьр,росу
482,Stadt::N,шегьер,шагьар
483,Brief::N,кагъаз,кагъат
484,Brief::N,кагъаз,рисалат
485,Buch::N,улуб,тӏехь
486,Buchstabe::N,гьарф,хӏарп
487,Zeitung::N,газета,газет
488,Leben::N,уьмуьр,яшав
489,Tod::N,кьиникь,хвел
490,Grab::N,сур,хоб
491,Kirche::N,килиса,килиса
492,Sünde::N,гунагь,хӏакъ
493,Sünde::N,гунагь,мунагь
494,Gott::N,аллагь,бичас
495,Gott::N,аллагь,аллагь
496,Arbeiter::N,фяле,хӏалтӏухъан
497,Chef::N,гьаким,хӏаким
498,Chef::N,гьаким,начальник
499,Meister::N,устӏар,устар
500,Meister::N,устӏар,мастер
