,Concept_ID,de,cs
0,Auge::N,Auge,oko
1,Ohr::N,Ohr,ucho
2,Nase::N,Nase,nos
3,Mund::N,Mund,pusa
4,Zahn::N,Zahn,zub
5,Zunge::N,Zunge,jazyk
6,Lippe::N,Lippe,ret
7,Wange::N,Wange,tvář
8,Gesicht::N,Gesicht,obličej
9,Stirn::N,Stirn,čelo
10,Haar::N,Haar,vlas
11,Haar::N,Haar,vlasy
12,Schnurrbart::N,Schnurrbart,kníry
13,Bart::N,Bart,vousy
14,Kinn::N,Kinn,brada
15,Kiefer[Anatomie]::N,Kiefer,čelist
16,Kehle::N,Kehle,hrdlo
17,Hals::N,Hals,krk
18,Genick::N,Genick,týl
19,Kopf::N,Kopf,hlava
20,Rücken::N,Rücken,záda
21,Rücken::N,Rücken,hřbet
22,Bauch::N,Bauch,břicho
23,Nabel::N,Nabel,pupek
24,Busen::N,Busen,ňadra
25,Brust::N,Brust,prsa
26,Schulter::N,Schulter,plece
27,Schulter::N,Schulter,rameno
28,Arm::N,Arm,ruka
29,Ellenbogen::N,Ellenbogen,loket
30,Hand::N,Hand,ruka
31,Handfläche::N,Handfläche,dlaň
32,Finger::N,Finger,prst
33,Fingernagel::N,Fingernagel,nehet
34,Nagel[Anatomie]::N,Nagel,nehet
35,Zeh::N,Zeh,prst u nohy
36,Fuß::N,Fuß,noha
37,Ferse::N,Ferse,pata
38,Knie::N,Knie,koleno
39,Oberschenkel::N,Oberschenkel,stehno
40,Bein::N,Bein,noha
41,Körper::N,Körper,tělo
42,Haut::N,Haut,kůže
43,Blut::N,Blut,krev
44,Ader::N,Ader,céva
45,Sehne::N,Sehne,šlacha
46,Knochen::N,Knochen,kost
47,Gehirn::N,Gehirn,mozek
48,Herz::N,Herz,srdce
49,Magen::N,Magen,žaludek
50,Leber::N,Leber,játra
51,Atem::N,Atem,dech
52,Hunger::N,Hunger,hlad
53,Träne::N,Träne,slza
54,Geschmack::N,Geschmack,vkus
55,Geruch::N,Geruch,vůně
56,Geruch::N,Geruch,zápach
57,Schlaf::N,Schlaf,spánek
58,Traum::N,Traum,sen
59,Himmel::N,Himmel,nebe
60,Sonne::N,Sonne,slunce
61,Mond::N,Mond,měsíc
62,Stern::N,Stern,hvězda
63,Luft::N,Luft,vzduch
64,Wind::N,Wind,vítr
65,Welle::N,Welle,vlna
66,Wasser::N,Wasser,voda
67,Stein::N,Stein,kámen
68,Boden::N,Boden,půda
69,Erde::N,Erde,země
70,Staub::N,Staub,prach
71,Rauch::N,Rauch,dým
72,Rauch::N,Rauch,kouř
73,Funke::N,Funke,jiskra
74,Feuer::N,Feuer,oheň
75,Licht::N,Licht,světlo
76,Schatten::N,Schatten,stín
77,Wetter::N,Wetter,počasí
78,Nebel::N,Nebel,mlha
79,Wolke::N,Wolke,mrak
80,Wolke::N,Wolke,oblak
81,Regen::N,Regen,déšť
82,Schnee::N,Schnee,sníh
83,Eis::N,Eis,led
84,Frost::N,Frost,mráz
85,Kälte::N,Kälte,chlad
86,Hitze::N,Hitze,horko
87,Raureif::N,Raureif,jinovatka
88,Regenbogen::N,Regenbogen,duha
89,Donner::N,Donner,hrom
90,Strömung::N,Strömung,proudění
91,Tropfen::N,Tropfen,kapka
92,Schaum::N,Schaum,pěna
93,Schmutz::N,Schmutz,špína
94,See::N,See,jezero
95,Sumpf::N,Sumpf,močál
96,Sumpf::N,Sumpf,bažina
97,Moor::N,Moor,bažina
98,Moor::N,Moor,slatina
99,Wiese::N,Wiese,louka
100,Wald::N,Wald,les
101,Hügel::N,Hügel,kopec
102,Anhöhe::N,Anhöhe,pahorek
103,Berg::N,Berg,hora
104,Gipfel::N,Gipfel,vrchol
105,Höhle::N,Höhle,jeskyně
106,Abhang::N,Abhang,svah
107,Abhang::N,Abhang,stráň
108,Quelle::N,Quelle,pramen
109,Bach::N,Bach,potok
110,Fluss::N,Fluss,řeka
111,Ufer::N,Ufer,břeh
112,Küste::N,Küste,pobřeží
113,Festland::N,Festland,souš
114,Festland::N,Festland,pevnina
115,Meer::N,Meer,moře
116,Bucht::N,Bucht,záliv
117,Bucht::N,Bucht,zátoka
118,Insel::N,Insel,ostrov
119,Blume::N,Blume,květina
120,Gras::N,Gras,tráva
121,Wurzel::N,Wurzel,kořen
122,Baum::N,Baum,strom
123,Stamm::N,Stamm,kmen
124,Rinde::N,Rinde,kůra
125,Ast::N,Ast,větev
126,Zweig::N,Zweig,větev
127,Blatt::N,Blatt,lupen
