,Concept_ID,uk,sk
0,Auge::N,око,oko
1,Ohr::N,вухо,ucho
2,Nase::N,ніс,nos
3,Mund::N,рот,ústa
4,Zahn::N,зуб,zub
5,Zunge::N,язик,jazyk
6,Lippe::N,губа,pera
7,Wange::N,щока,líce
8,Gesicht::N,обличчя,tvár
9,Gesicht::N,обличчя,obličaj
10,Stirn::N,лоб,čelo
11,Haar::N,волосся,vlas
12,Schnurrbart::N,вуса,fúzy
13,Bart::N,борода,brada
14,Kinn::N,підборіддя,brada
15,Kiefer[Anatomie]::N,щелепа,čeľusť
16,Kehle::N,горло,hrdlo
17,Hals::N,шия,krk
18,Genick::N,потилиця,väzy
19,Kopf::N,голова,hlava
20,Rücken::N,спина,chrbát
21,Bauch::N,живіт,brucho
22,Nabel::N,пупок,pupok
23,Busen::N,груди,prsia
24,Brust::N,груди,hruď
25,Schulter::N,плече,plece
26,Arm::N,рука,rameno
27,Ellenbogen::N,лікоть,lakeť
28,Hand::N,рука,ruka
29,Handfläche::N,долоня,dlaň
30,Finger::N,палець,prst
31,Fingernagel::N,ніготь,necht
32,Nagel[Anatomie]::N,ніготь,necht
33,Zeh::N,палець на нозі,prst na nohe
34,Fuß::N,нога,noha
35,Ferse::N,п’ятка,päta
36,Knie::N,коліно,koleno
37,Oberschenkel::N,стегно,stehno
38,Bein::N,нога,noha
39,Körper::N,тіло,telo
40,Haut::N,шкіра,koža
41,Blut::N,кров,krv
42,Ader::N,вена,žila
43,Sehne::N,сухожилля,šľacha
44,Knochen::N,кістка,kosť
45,Gehirn::N,мозок,mozog
46,Herz::N,серце,srdce
47,Magen::N,шлунок,žalúdok
48,Leber::N,печінка,pečeň
49,Atem::N,дихання,dych
50,Hunger::N,голод,hlad
51,Träne::N,сльоза,slza
52,Geschmack::N,смак,chuť
53,Geruch::N,запах,pach
54,Schlaf::N,сон,spánok
55,Schlaf::N,сплячка,spánok
56,Traum::N,сон,sen
57,Himmel::N,небо,nebo
58,Sonne::N,сонце,slnko
59,Mond::N,місяць,mesiac
60,Stern::N,зірка,hviezda
61,Luft::N,повітря,vzduch
62,Wind::N,вітер,vietor
