,Concept_ID,hi,et
0,Auge::N,आँख,silm
1,Auge::N,चक्षु,silm
2,Ohr::N,कान,kõrv
3,Ohr::N,कर्ण,kõrv
4,Nase::N,नाक,nina
5,Nase::N,नासा,nina
6,Mund::N,मुख,suu
7,Mund::N,मुँह,suu
8,Zahn::N,दंत,hammas
9,Zahn::N,दाँत,hammas
10,Zunge::N,जीभ,keel
11,Zunge::N,ज़बान,keel
12,Zunge::N,जिह्वा,keel
13,Lippe::N,ओंठ,huul
14,Lippe::N,होंठ,huul
15,Wange::N,गाल,põsk
16,Wange::N,कपोल,põsk
17,Gesicht::N,मुँह,nägu
18,Gesicht::N,चेहरा,nägu
19,Stirn::N,माथा,otsmik
20,Stirn::N,मस्तक,otsmik
21,Haar::N,बाल,juus
22,Schnurrbart::N,मूँछें,vurrud
23,Schnurrbart::N,मूँछें,vuntsid
24,Bart::N,दाढ़ी,habe
25,Kinn::N,चिबुक,lõug
26,Kiefer[Anatomie]::N,जबड़ा,lõualuu
27,Kehle::N,गला,kõri
28,Hals::N,गला,kael
29,Hals::N,गरदन,kael
30,Genick::N,गरदन,kukal
31,Genick::N,ग्रीवा,kukal
32,Kopf::N,सिर,pea
33,Kopf::N,शीर्ष,pea
34,Rücken::N,पीठ,selg
35,Bauch::N,उदर,kõht
36,Nabel::N,नाभि,naba
37,Nabel::N,ढोंढी,naba
38,Busen::N,कुच,rind
39,Busen::N,स्तन,rind
40,Brust::N,वक्ष,rind
41,Schulter::N,कंधा,õlg
42,Schulter::N,स्कंध,õlg
43,Arm::N,बाँह,käsivars
44,Arm::N,बाज़ू,käsivars
45,Ellenbogen::N,कुहनी,küünarnukk
46,Hand::N,हाथ,käsi
47,Hand::N,हस्त,käsi
48,Handfläche::N,हथेली,pihk
49,Finger::N,उँगली,sõrm
50,Finger::N,अँगुली,sõrm
51,Fingernagel::N,नख,küüs
52,Fingernagel::N,नाख़ून,küüs
53,Nagel[Anatomie]::N,नख,küüs
54,Nagel[Anatomie]::N,नाख़ून,küüs
55,Zeh::N,उँगली,varvas
56,Zeh::N,पाँव की उँगली,varvas
57,Fuß::N,चरण,jalg
58,Fuß::N,पाँव,jalg
59,Ferse::N,एड़ी,kand
60,Knie::N,जानु,põlv
61,Knie::N,घुटना,põlv
62,Oberschenkel::N,उरु,reis
63,Bein::N,टाँग,jalg
64,Körper::N,तन,ihu
65,Körper::N,तन,keha
66,Körper::N,देह,ihu
67,Körper::N,देह,keha
68,Körper::N,शरीर,ihu
69,Körper::N,शरीर,keha
70,Haut::N,चर्म,nahk
71,Haut::N,त्वचा,nahk
72,Blut::N,लहू,veri
73,Blut::N,ख़ून,veri
74,Ader::N,रग,veen
75,Ader::N,शिरा,veen
76,Sehne::N,कंडरा,kõõlus
77,Sehne::N,स्नायु,kõõlus
78,Knochen::N,अस्थि,luu
79,Gehirn::N,दिमाग़,aju
80,Gehirn::N,मस्तिष्क,aju
81,Herz::N,दिल,süda
82,Herz::N,हृदय,süda
83,Magen::N,मेदा,magu
84,Magen::N,अमाशय,magu
85,Leber::N,जिगर,maks
86,Leber::N,यकृत्,maks
87,Atem::N,दम,hingeõhk
88,Atem::N,दम,hingamine
89,Atem::N,साँस,hingeõhk
90,Atem::N,साँस,hingamine
91,Atem::N,श्वास,hingeõhk
92,Atem::N,श्वास,hingamine
93,Hunger::N,भूख,nälg
94,Hunger::N,क्षुधा,nälg
95,Träne::N,आँसू,pisar
96,Träne::N,अश्रु,pisar
97,Geschmack::N,स्वाद,maitse
98,Geschmack::N,ज़ायक़ा,maitse
99,Geruch::N,बू,lõhn
100,Geruch::N,गंध,lõhn
101,Schlaf::N,नींद,uni
102,Schlaf::N,निद्रा,uni
103,Traum::N,सपना,unenägu
104,Traum::N,स्वप्न,unenägu
105,Himmel::N,आकाश,taevas
106,Himmel::N,आसमान,taevas
107,Sonne::N,रवि,päike
108,Sonne::N,सूरज,päike
109,Sonne::N,सूर्य,päike
110,Mond::N,चाँद,kuu
111,Mond::N,चंद्र,kuu
112,Stern::N,तारा,täht
113,Stern::N,सितारा,täht
114,Luft::N,हवा,õhk
115,Luft::N,वायु,õhk
116,Wind::N,पाद,tuul
