,Concept_ID,el,be
0,Auge::N,μάτι,вока
1,Auge::N,οφθαλμός,вока
2,Ohr::N,αυτί,вуха
3,Nase::N,μύτη,нос
4,Mund::N,στόμα,рот
5,Zahn::N,δόντι,зуб
6,Zunge::N,γλώσσα,язык
7,Lippe::N,χείλος,губа
8,Wange::N,παρειά,шчака
9,Wange::N,μάγουλο,шчака
10,Gesicht::N,πρόσωπο,твар
11,Stirn::N,μέτωπο,лоб
12,Haar::N,μαλλιά,волас
13,Haar::N,μαλλιά,валасы
14,Schnurrbart::N,μουστάκι,вус
15,Schnurrbart::N,μουστάκι,вусы
16,Bart::N,γένια,барада
17,Kinn::N,πιγούνι,падбародак
18,Kiefer[Anatomie]::N,σαγόνι,сківіца
19,Kehle::N,λαρύγγι,горла
20,Hals::N,λαιμός,шыя
21,Genick::N,σβέρκος,патыліца
22,Kopf::N,κεφάλι,галава
23,Rücken::N,ράχη,спіна
24,Bauch::N,κοιλιά,жывот
25,Nabel::N,αφαλός,пупок
26,Busen::N,στήθος,грудзі
27,Brust::N,στήθος,грудзі
28,Schulter::N,ώμος,плячо
29,Arm::N,χέρι,рука
30,Arm::N,μπράτςο,рука
31,Ellenbogen::N,αγκώνας,локаць
32,Hand::N,χέρι,кісць
33,Handfläche::N,παλάμη,далонь
34,Finger::N,δάχτυλο,палец
35,Fingernagel::N,νύχι,ногаць
36,Nagel[Anatomie]::N,νύχι,ногаць
37,Zeh::N,δάχτυλο του ποδιού,палец
38,Fuß::N,πόδι,нага
39,Ferse::N,φτέρνα,пята
40,Ferse::N,φτέρνα,пятка
41,Knie::N,γόνατο,калена
42,Oberschenkel::N,μηρός,бядро
43,Oberschenkel::N,μηρός,сцягно
44,Bein::N,πόδι,нага
45,Körper::N,σώμα,цела
46,Körper::N,κορμί,цела
47,Haut::N,πετσί,скура
48,Blut::N,αίμα,кроў
49,Ader::N,φλέβα,вена
50,Ader::N,φλέβα,сасуд
51,Sehne::N,νεύρο,жыла
52,Sehne::N,νεύρο,цеціва
53,Sehne::N,νεύρο,сухажылле
54,Sehne::N,τένοντας,жыла
55,Sehne::N,τένοντας,цеціва
56,Sehne::N,τένοντας,сухажылле
57,Knochen::N,οστό,косць
58,Knochen::N,κόκκαλο,косць
59,Gehirn::N,μυαλό,мозг
60,Gehirn::N,εγκέφαλος,мозг
61,Herz::N,καρδιά,сэрца
62,Magen::N,στομάχι,страўнік
63,Leber::N,ήπαρ,печань
64,Leber::N,συκωτί,печань
65,Atem::N,αναπνοή,дыханне
66,Hunger::N,πείνα,голад
67,Träne::N,δάκρυ,сляза
68,Geschmack::N,γεύση,смак
69,Geruch::N,οσμή,пах
70,Geruch::N,μυρωδία,пах
71,Schlaf::N,ύπνος,сон
72,Traum::N,όνειρο,сон
73,Himmel::N,ουρανός,неба
74,Sonne::N,ήλιος,сонца
75,Mond::N,σελήνη,месяц
76,Mond::N,φεγγάρι,месяц
77,Stern::N,άστρο,зорка
78,Stern::N,αστέρι,зорка
79,Luft::N,αέρας,паветра
80,Wind::N,αέρας,вецер
81,Wind::N,άνεμος,вецер
82,Welle::N,κύμα,хваля
83,Wasser::N,νερό,вада
84,Stein::N,πέτρα,камень
85,Boden::N,χώμα,глеба
86,Erde::N,γη,зямля
87,Staub::N,σκόνη,пыл
88,Rauch::N,καπνός,дым
89,Funke::N,σπίθα,іскра
90,Funke::N,σπινθήρας,іскра
91,Feuer::N,φωτιά,агонь
92,Licht::N,φως,святло
93,Schatten::N,σκιά,цень
94,Schatten::N,ίσκιος,цень
95,Wetter::N,καιρός,пагода
96,Wetter::N,καιρός,надворʼе
97,Nebel::N,ομίχλη,туман
98,Wolke::N,σύννεφο,воблака
99,Regen::N,βροχή,дождж
100,Schnee::N,χιόνι,снег
101,Eis::N,πάγος,лёд
102,Frost::N,παγωνία,мароз
103,Kälte::N,κρύο,холад
104,Kälte::N,ψύχος,холад
105,Hitze::N,ζέστη,спёка
106,Raureif::N,πάχνη,іней
107,Regenbogen::N,ουράνιο τόξο,вясёлка
108,Donner::N,βροντή,гром
109,Strömung::N,ρεύμα,цячэнне
110,Tropfen::N,στάλα,кропля
111,Schaum::N,αφρός,пена
112,Schmutz::N,βρωμιά,гразь
113,See::N,λίμνη,возера
114,Sumpf::N,βάλτος,багна
115,Moor::N,έλος,балота
116,Wiese::N,λιβάδι,луг
117,Wald::N,δάσος,лес
118,Hügel::N,λόφος,узгорак
119,Anhöhe::N,ύψωμα,узвышша
120,Berg::N,όρος,гара
121,Berg::N,βουνό,гара
122,Gipfel::N,κορυφή,вяршыня
123,Höhle::N,σπηλιά,пячора
124,Abhang::N,πλαγιά,схіл
125,Quelle::N,πηγή,крыніца
126,Quelle::N,βρύση,крыніца
127,Bach::N,ρυάκι,ручай
128,Fluss::N,ποτάμι,рака
129,Fluss::N,ποταμός,рака
130,Ufer::N,όχθη,бераг
131,Küste::N,ακτή,узбярэжжа
132,Küste::N,ακρογιαλιά,узбярэжжа
133,Festland::N,στεριά,суша
134,Meer::N,θάλασσα,мора
135,Bucht::N,κόλπος,бухта
136,Insel::N,νησί,востраў
137,Insel::N,νήσος,востраў
138,Blume::N,άνθος,кветка
139,Blume::N,λουλούδι,кветка
140,Gras::N,χόρτο,трава
141,Gras::N,χορτάρι,трава
142,Wurzel::N,ρίζα,корань
143,Baum::N,δέντρο,дрэва
144,Stamm::N,κορμός,ствол
145,Rinde::N,φλούδα,кара
146,Ast::N,κλαδί,сук
147,Zweig::N,κλαδί,галіна
148,Zweig::N,κλάδος,галіна
149,Blatt::N,φύλλο,ліст
150,Birke::N,σημύδα,бяроза
151,Kiefer[Baum]::N,πεύκο,хвоя
152,Kiefer[Baum]::N,πεύκο,сасна
153,Weide[Baum]::N,ιτιά,вярба
154,Tanne::N,έλατο,яліна
155,Horn::N,κέρας,рог
156,Horn::N,κέρατο,рог
157,Feder::N,φτερό,пяро
158,Fell::N,δέρμα,шкура
159,Fell::N,τομάρι,шкура
160,Flügel::N,πτερύγιο,крыло
161,Klaue::N,κουλό,кіпцюр
162,Kralle::N,νύχι,лапа
163,Schwanz::N,ουρά,хвост
164,Ei::N,αβγό,яйка
165,Nest::N,φωλιά,гняздо
166,Bau::N,φωλιά,нара
167,Tier::N,ζώο,жывёла
168,Herde::N,κοπάδι,статак
169,Kuh::N,αγελάδα,карова
170,Bulle::N,ταύρος,бык
171,Pferd::N,άλογο,конь
172,Schaf::N,πρόβατο,авечка
173,Schwein::N,γουρούνι,свіння
174,Hund::N,σκυλί,сабака
175,Hund::N,σκύλος,сабака
176,Katze::N,γάτα,кошка
177,Bär::N,άρκτος,мядзведзь
178,Bär::N,αρκούδα,мядзведзь
179,Eichhörnchen::N,βερβερίτσα,вавёрка
180,Elch::N,άλκη,лось
181,Fuchs::N,αλεπού,ліса
182,Hase::N,λαγός,заяц
183,Maus::N,ποντικός,мыш
184,Wolf::N,λύκος,воўк
185,Vogel::N,πουλί,птах
186,Vogel::N,πουλί,птушка
187,Schwarm::N,σμήνος,чарада
