,Concept_ID,sl,ru
0,Auge::N,okó,глаз
1,Ohr::N,uhó,ухо
2,Nase::N,nós,нос
3,Mund::N,ústa,рот
4,Zahn::N,zób,зуб
5,Zunge::N,jêzik,язык
6,Lippe::N,ústnica,губа
7,Wange::N,líce,щека
8,Gesicht::N,oblíčje,лицо
9,Stirn::N,čêlo,лоб
10,Haar::N,lás,волос
11,Haar::N,lás,волосы
12,Schnurrbart::N,bŕki,ус
13,Schnurrbart::N,bŕki,усы
14,Bart::N,bráda,борода
15,Kinn::N,bráda,подбородок
16,Kiefer[Anatomie]::N,čeljúst,челюсть
17,Kehle::N,gŕlo,горло
18,Hals::N,vrát,шея
19,Genick::N,zatílnik,затылок
20,Kopf::N,gláva,голова
21,Rücken::N,hrbèt,спина
22,Bauch::N,trébuh,живот
23,Nabel::N,pópek,пупок
24,Busen::N,nédrja,женская грудь
25,Brust::N,pŕsi,грудь
26,Schulter::N,ráma,плечо
27,Schulter::N,plêče,плечо
28,Arm::N,rôka,рука
29,Ellenbogen::N,komólec,локоть
30,Hand::N,rôka,кисть
31,Handfläche::N,dlán,ладонь
32,Finger::N,pŕst,палец
33,Fingernagel::N,nóht na rôki,ноготь
34,Nagel[Anatomie]::N,nóht,ноготь
35,Zeh::N,pŕst na nôgi,палец
36,Fuß::N,nôga,ступня
37,Ferse::N,pêta,пята
38,Ferse::N,pêta,пятка
39,Knie::N,koléno,колено
40,Oberschenkel::N,stêgno,бедро
41,Bein::N,nôga,нога
42,Körper::N,teló,тело
43,Haut::N,kóža,кожа
44,Blut::N,krí,кровь
45,Ader::N,žíla,вена
46,Ader::N,žíla,сосуд
47,Sehne::N,kíta,жила
48,Sehne::N,kíta,тетива
49,Sehne::N,kíta,сухожилие
50,Knochen::N,kóst,кость
51,Gehirn::N,možgáni,мозг
52,Herz::N,srcé,сердце
53,Magen::N,želódec,желудок
54,Leber::N,jétra,печень
55,Atem::N,díh,дух
56,Atem::N,díh,дыхание
57,Hunger::N,glád,голод
58,Träne::N,sólza,слеза
59,Geschmack::N,okús,вкус
60,Geruch::N,vónj,запах
61,Schlaf::N,sèn,сон
62,Schlaf::N,spánec,сон
63,Traum::N,sánje,сновидение
64,Himmel::N,nebó,небо
65,Sonne::N,sónce,солнце
66,Mond::N,lúna,луна
67,Mond::N,mésec,луна
68,Stern::N,zvézda,звезда
69,Luft::N,zràk,воздух
70,Wind::N,véter,ветер
71,Welle::N,vál,волна
72,Wasser::N,vôda,вода
73,Stein::N,kámen,камень
74,Boden::N,tlà,почва
75,Erde::N,pŕst,земля
76,Erde::N,zêmlja,земля
77,Staub::N,práh,пыль
78,Rauch::N,dìm,дым
79,Funke::N,ískra,искра
80,Feuer::N,ôgenj,огонь
81,Licht::N,lúč,свет
82,Schatten::N,sénca,тень
83,Wetter::N,vrême,погода
84,Nebel::N,meglà,туман
85,Wolke::N,oblák,облако
86,Regen::N,dèž,дождь
87,Schnee::N,snég,снег
88,Eis::N,léd,лед
89,Frost::N,zmrzál,мороз
90,Kälte::N,mràz,холод
91,Hitze::N,pripéka,жара
