,Concept_ID,lez,cy
0,Auge::N,вил,llygad
1,Ohr::N,яб,clust
2,Nase::N,нер,trwyn
3,Mund::N,сив,ceg
4,Zahn::N,сас,dant
5,Zahn::N,свах,dant
6,Zunge::N,мез,tafod
7,Lippe::N,пӏуз,gwefus
8,Wange::N,хъвехъ,boch
9,Gesicht::N,ччин,wyneb
10,Stirn::N,пел,talcen
11,Haar::N,чӏар,blew
12,Schnurrbart::N,спел,mwstas
13,Schnurrbart::N,спелар,mwstas
14,Bart::N,ччуру,barf
15,Kinn::N,чене,gên
16,Kiefer[Anatomie]::N,чене,gên
17,Kehle::N,туьд,gwddf
18,Hals::N,гардан,gwddf
19,Genick::N,кьам,gwar
20,Genick::N,кьам,gwegil
21,Kopf::N,кьил,pen
22,Rücken::N,далу,cefn
23,Bauch::N,руфун,bol
24,Nabel::N,пицӏ,bogail
25,Busen::N,мам,bron
26,Brust::N,хур,brest
27,Schulter::N,къуьн,ysgwydd
28,Arm::N,гъил,braich
29,Ellenbogen::N,кьуьнт,penelin
30,Hand::N,капаш,llaw
31,Handfläche::N,капан юкь,palf
32,Finger::N,тӏуб,bys
33,Fingernagel::N,кек,ewin
34,Nagel[Anatomie]::N,кек,ewin
35,Zeh::N,кул,bys troed
36,Fuß::N,кӏвач,troed
37,Ferse::N,дабан,sawdl
38,Knie::N,мет,glin
39,Bein::N,кӏвач,coes
40,Körper::N,беден,corff
41,Haut::N,хам,croen
42,Blut::N,иви,gwaed
43,Ader::N,дамар,gwythïen
44,Sehne::N,кьуру дамар,gewyn
45,Knochen::N,кӏараб,asgwrn
46,Gehirn::N,мефт,ymennydd
47,Herz::N,рикӏ,calon
48,Magen::N,хук,cylla
49,Magen::N,хук,stumog
50,Leber::N,лекь,iau
51,Atem::N,ял,anadl
52,Atem::N,нефес,anadl
53,Hunger::N,каш,newyn
54,Träne::N,вилин нагъв,deigryn
55,Geschmack::N,дад,cyflas
56,Geschmack::N,тӏям,cyflas
57,Geruch::N,ни,aroglau
58,Schlaf::N,ахвар,cwsg
59,Traum::N,ахвар,breuddwyd
60,Himmel::N,цав,awyr
61,Sonne::N,рагъ,haul
62,Mond::N,варз,lleuad
63,Stern::N,гъед,seren
64,Luft::N,гьава,awyr
65,Wind::N,гар,gwynt
66,Welle::N,лепе,ton
67,Wasser::N,яд,dŵr
68,Stein::N,къван,carreg
69,Boden::N,накьв,llawr
70,Erde::N,ччил,pridd
71,Staub::N,руг,llwch
72,Rauch::N,гум,mwg
73,Funke::N,цӏелхем,gwreichioni
74,Feuer::N,цӏай,tân
75,Licht::N,экв,golau
76,Schatten::N,серин,cysgod
77,Wetter::N,гьава,tywydd
78,Nebel::N,ччилин циф,niwl
79,Wolke::N,циф,cwmwl
80,Regen::N,марф,glaw
81,Schnee::N,жив,ôd
82,Schnee::N,жив,eira
83,Eis::N,мурк,iâ
84,Frost::N,аяз,rhew
85,Kälte::N,мекь,oerni
86,Kälte::N,мекь,annwyd
87,Kälte::N,мекьивал,oerni
88,Kälte::N,мекьивал,annwyd
89,Hitze::N,зегьем,gwres
90,Raureif::N,къирав,barrug
91,Regenbogen::N,яргъируш,enfys
92,Donner::N,цавун ван,tyrfau
93,Tropfen::N,стӏал,dafn
94,Tropfen::N,стӏал,diferyn
95,Schaum::N,каф,ewyn
96,Schmutz::N,чирк,baw
97,Schmutz::N,чирк,budreddi
98,Schmutz::N,кьуруш,baw
99,Schmutz::N,кьуруш,budreddi
100,See::N,вир,llyn
101,Sumpf::N,уьлен,cors
102,Wiese::N,векь,dôl
103,Wald::N,там,coedwig
104,Hügel::N,кӏунтӏ,bryn
105,Anhöhe::N,тепе,bryn
106,Anhöhe::N,гьуьндуьрвал,bryn
107,Berg::N,дагъ,mynydd
108,Gipfel::N,кӏукӏ,copa
109,Höhle::N,кьветӏ,ogof
110,Abhang::N,гуьне,llethr
111,Quelle::N,чешме,tarddiad
112,Quelle::N,чешме,ffynhonnell
113,Bach::N,булах,nant
114,Bach::N,булах,afonig
115,Bach::N,булах,cornant
116,Fluss::N,вацӏ,afon
117,Ufer::N,къерех,glan
118,Küste::N,къерех,traeth
119,Küste::N,къерех,arfordir
120,Festland::N,кьурамат,tir
121,Meer::N,гьуьл,môr
122,Bucht::N,бухта,bae
123,Insel::N,остров,ynys
124,Blume::N,цуьк,blodyn
125,Gras::N,хъач,glaswellt
126,Wurzel::N,дувул,gwreiddyn
127,Baum::N,ттар,coeden
128,Stamm::N,тан,colfen
129,Stamm::N,тан,boncyff
130,Rinde::N,чкал,rhisgl
131,Ast::N,тӏур,cangen
132,Zweig::N,хел,cainc
133,Zweig::N,хел,cangen
134,Blatt::N,пеш,deilen
135,Birke::N,верх,bedwen
136,Kiefer[Baum]::N,шамагъаж,pinwydden
137,Weide[Baum]::N,цӏвелин ттар,helygen
138,Tanne::N,ель,ffynidwydden
139,Horn::N,карч,corn
140,Feder::N,цӏакул,plufyn
141,Fell::N,хам,ffwr
142,Flügel::N,лув,adain
143,Klaue::N,къармах,crafanc
144,Kralle::N,пац,ewin
145,Kralle::N,тапас,ewin
146,Schwanz::N,ттум,cwt
147,Schwanz::N,ттум,cynffon
148,Ei::N,кака,wy
149,Nest::N,муг,nyth
150,Bau::N,тӏеквен,ffau
151,Tier::N,гьайван,anifail
152,Herde::N,суьруь,praidd
153,Herde::N,суьруь,diadell
154,Kuh::N,ккал,buwch
155,Bulle::N,яц,tarw
156,Bulle::N,бугъа,tarw
157,Pferd::N,балкӏан,ceffyl
158,Schaf::N,хеб,dafad
159,Schwein::N,вак,mochyn
160,Hund::N,кицӏ,ci
161,Katze::N,кац,cath
162,Bär::N,сев,arth
163,Eichhörnchen::N,белка,gwiwer
164,Elch::N,лось,elc
165,Fuchs::N,сикӏ,cadno
166,Hase::N,къуьр,ysgyfarnog
167,Maus::N,кьиф,llygoden
168,Wolf::N,жанавур,blaidd
169,Vogel::N,луван ничхир,aderyn
170,Schwarm::N,луж,haid
171,Huhn::N,верч,cyw
172,Hahn::N,кӏек,ceiliog
173,Gans::N,къаз,gŵydd
174,Adler::N,лекь,eryr
175,Ente::N,пӏатӏ,hwyad
176,Eule::N,тӏиб,tylluan
177,Kranich::N,дурна,garan
178,Kranich::N,дурна,crychydd
179,Krähe::N,къаргъа,brân
180,Kuckuck::N,кукупӏ,cog
181,Kuckuck::N,кукупӏ,cwcw
