,Concept_ID,eu,br
0,Auge::N,begi,lagad
1,Ohr::N,belarri,skouarn
2,Nase::N,sudur,fri
3,Mund::N,aho,genoù
4,Zahn::N,hortz,dant
5,Zunge::N,mihi,teod
6,Lippe::N,ezpain,muzell
7,Wange::N,masail,chot
8,Gesicht::N,aurpegi,dremm
9,Stirn::N,bekoki,tal
10,Haar::N,ile,blev
11,Haar::N,bilo,blev
12,Schnurrbart::N,bibote,mourenn
13,Schnurrbart::N,sudurpeko,mourenn
14,Bart::N,bizar,barv
15,Kinn::N,kokots,groñj
16,Kiefer[Anatomie]::N,masailezur,javed
17,Kehle::N,eztarri,gouzoug
18,Hals::N,sama,gouzoug
19,Genick::N,garondo,choug
20,Kopf::N,buru,penn
21,Rücken::N,bizkar,kein
22,Bauch::N,sabel,kof
23,Nabel::N,zilbor,begel
24,Busen::N,titi,bronn
25,Busen::N,ugatz,bronn
26,Brust::N,bular,bruched
27,Schulter::N,besaburu,skoaz
28,Arm::N,beso,brec'h
29,Ellenbogen::N,ukondo,ilin
30,Hand::N,esku,dorn
31,Handfläche::N,ahur,palv
32,Finger::N,hatz,biz
33,Fingernagel::N,azazkal,ivin
34,Nagel[Anatomie]::N,azazkal,ivin
35,Zeh::N,behatz,biz-troad
36,Fuß::N,oin,troad
37,Ferse::N,orpo,seul
38,Ferse::N,oinburu,seul
39,Knie::N,belaun,glin
40,Oberschenkel::N,izter,morzhed
41,Bein::N,zango,gar
42,Körper::N,soin,korf
43,Haut::N,azal,kroc'hen
44,Blut::N,odol,gwad
45,Ader::N,zain,gwazhi
46,Sehne::N,gihar-zain,stir
47,Knochen::N,hezur,askorn
48,Gehirn::N,garun,empenn
49,Gehirn::N,burmuin,empenn
50,Herz::N,bihotz,kalon
51,Magen::N,urdail,stomog
52,Leber::N,gibel,avu
53,Atem::N,hats,anal
54,Atem::N,arnasa,anal
55,Hunger::N,gose,naon
56,Träne::N,malko,daer
57,Geschmack::N,dasta,blaz
58,Geruch::N,usain,c'hwezh
59,Schlaf::N,lo,kousked
60,Traum::N,amets,hune
61,Himmel::N,zeru,oabl
62,Sonne::N,eguzki,heol
63,Mond::N,ilargi,loar
64,Stern::N,izar,steredenn
65,Luft::N,aire,aer
66,Wind::N,haize,avel
67,Welle::N,uhin,houlenn
68,Welle::N,olatu,houlenn
69,Wasser::N,ur,dour
70,Stein::N,harri,maen
71,Boden::N,lur,tachenn
72,Boden::N,zoru,tachenn
73,Erde::N,lur,douar
74,Staub::N,hauts,poultr
75,Rauch::N,ke,moged
76,Funke::N,zirta,ful
77,Funke::N,txinparta,ful
78,Feuer::N,su,tan
79,Licht::N,argi,gouloù
80,Schatten::N,itzal,disheol
81,Schatten::N,geriza,disheol
82,Wetter::N,eguraldi,amzer
83,Nebel::N,laino,brumenn
84,Wolke::N,hodei,koumoulenn
85,Regen::N,euri,glav
86,Schnee::N,elur,erc'h
87,Eis::N,horma,skorn
88,Frost::N,izotzaldi,rev
89,Kälte::N,hotz,yen
90,Hitze::N,bero,tommder
91,Raureif::N,antzigar,frim
92,Regenbogen::N,ostadar,gwareg-ar-glav
93,Regenbogen::N,ortzadar,gwareg-ar-glav
94,Donner::N,ostots,kurun
95,Donner::N,ihurtzuri,kurun
96,Strömung::N,laster,red
97,Tropfen::N,xorta,bannac'h
98,Tropfen::N,xorta,takenn
99,Schaum::N,bits,spoum
100,Schmutz::N,lohi,fank
101,Schmutz::N,zikin,fank
102,See::N,laku,lenn
103,See::N,aintzira,lenn
104,Sumpf::N,zingira,gwern
105,Moor::N,zohikaztegi,taouarc'heg
106,Wiese::N,larre,prad
107,Wiese::N,belardi,prad
108,Wald::N,baso,koad
109,Wald::N,oihan,koad
110,Hügel::N,muino,torgenn
111,Hügel::N,pentoka,torgenn
112,Anhöhe::N,garai,run
113,Anhöhe::N,goragune,run
114,Berg::N,mendi,menez
115,Gipfel::N,gain,barr
