,Concept_ID,ab,ps
0,Auge::N,ала,سترګه
1,Ohr::N,алымҳа,غوږ
2,Nase::N,аҧынҵа,پوزه
3,Mund::N,аҧышə,خوله
4,Zahn::N,ахаҧыц,غاښ
5,Zunge::N,абз,جبه
6,Lippe::N,ақьышə,شونډه
7,Wange::N,аӡамҩа,باړخو
8,Gesicht::N,аҿы,مخ
9,Stirn::N,алахь,تندی
10,Stirn::N,алахь,وچولی
11,Haar::N,ахəыц,وېښته
12,Schnurrbart::N,аҧаҵа,برېت
13,Bart::N,ажакьа,ږیره
14,Kinn::N,ацламкəыгə,زنه
15,Kiefer[Anatomie]::N,ацламҳəа,جامه
16,Kehle::N,ахəда,غاړه
17,Hals::N,ахəда,غاړه
18,Genick::N,ахəдаџьал,ورمېږ
19,Kopf::N,ахы,سر
20,Rücken::N,азқəа,شا
21,Bauch::N,амгəа,نس
22,Bauch::N,амгəа,ګېډه
23,Nabel::N,аҷапан,نوم
24,Busen::N,агəыҧҳəы,تی
25,Brust::N,агəышҧы,سینه
26,Schulter::N,ажəҩахыр,اوږه
27,Arm::N,амахəар,لاس
28,Ellenbogen::N,амашьхəылҵ,څنګل
29,Hand::N,анапы,لاس
30,Handfläche::N,анапсаргəыҵа,ورغوی
31,Finger::N,анацəа,ګوته
32,Fingernagel::N,анапхыц,نوک
33,Nagel[Anatomie]::N,ашьапхыц,نوک
34,Zeh::N,ашьацəа,ګوته
35,Fuß::N,ашьапсыргəыҵа,پښه
36,Ferse::N,ашьхəа,پونده
37,Knie::N,ашьамхы,زنګون
38,Oberschenkel::N,ауаҭəа,پتون
39,Bein::N,ашьапы,پښه
40,Körper::N,ацəеижь,ځان
41,Haut::N,ацəа,پوټکی
42,Blut::N,ашьа,وینه
43,Ader::N,ада,رګ
44,Sehne::N,адаш,پله
45,Knochen::N,абаҩ,هډوکی
46,Gehirn::N,ахшлыбаҩ,ماغزه
47,Gehirn::N,ахшыбаҩ,ماغزه
48,Herz::N,агəы,زړه
49,Magen::N,аца,معده
50,Magen::N,ацар,معده
51,Leber::N,агəаҵəа,ينه
52,Leber::N,агəаҵəа,ځیګر
53,Atem::N,аҧсыҧлагаҩгара,نفس
54,Hunger::N,амла,ولږه
55,Träne::N,алабжыш,اوښکه
56,Geschmack::N,агьама,مزه
57,Geschmack::N,агьама,خوند
58,Geruch::N,афҩы,بوی
59,Schlaf::N,ацəа,خوب
60,Traum::N,аҧхыӡ,خوب
61,Himmel::N,ажəҩан,اسمان
62,Sonne::N,амра,لمر
63,Mond::N,амза,سپوږمۍ
64,Stern::N,аеҵəа,ستوری
65,Luft::N,аҳаир,هوا
66,Wind::N,аҧша,ورښ
67,Welle::N,ацəқəырҧа,موج
68,Wasser::N,аӡы,اوبه
69,Stein::N,ахаҳə,ډبره
70,Boden::N,адгьыл,مځکه
71,Erde::N,адгьыл,خاوره
72,Staub::N,асаба,ګرد
73,Staub::N,асаба,خاوره
74,Rauch::N,алҩа,دود
75,Rauch::N,алҩа,لوګی
76,Funke::N,акəиц,سپرغۍ
77,Funke::N,ацҧхь,سپرغۍ
78,Feuer::N,амца,اور
79,Licht::N,алашара,رڼا
80,Schatten::N,ашəшьыра,سیوری
81,Wetter::N,амш,هوا
82,Nebel::N,анаҟəа,لړه
83,Wolke::N,аҧсҭҳəа,ورېځ
84,Regen::N,ақəа,وریا
85,Regen::N,ақəа,باران
86,Schnee::N,асы,واوره
87,Eis::N,аҵаа,یخ
88,Eis::N,аҵаа,کنګل
89,Frost::N,аҵаа,یخ
90,Kälte::N,ахьҭа,ساړه
91,Hitze::N,ашоура,تودوخي
92,Raureif::N,аҵааҧшқа,سپینه پرخه
93,Regenbogen::N,ацəаҟəа,بوډۍ ټال
94,Regenbogen::N,ацəаҟəа,سره زرغونه
95,Donner::N,адыд,تالنده
96,Strömung::N,аиасра,بهېدنه
97,Strömung::N,амҩасра,بهېدنه
98,Tropfen::N,ацəыкəбар,قطره
99,Tropfen::N,ацəыкəбар,څاڅکی
100,Schaum::N,ашəах,ځګ
101,Schmutz::N,алымт,ناپاکي
102,See::N,аӡиа,جهیل
103,Sumpf::N,аӡмах,جبه
104,Wiese::N,адəы,چمن
105,Wiese::N,адəы,شنېلی
106,Wald::N,абна,ځنګل
107,Hügel::N,ахəы,تپه
108,Anhöhe::N,аҳаракыра,غونډۍ
109,Berg::N,ашьха,غ‍‍‍‍‍ر
110,Gipfel::N,ацəқəа,څوکه
111,Höhle::N,аҳаҧы,کاز
112,Abhang::N,анаара,لمن
113,Quelle::N,аҵҵырҭа,چینه
114,Bach::N,акəараҷҷа,واله
115,Fluss::N,аӡиас,سیند
116,Ufer::N,ахықə,غاړه
117,Küste::N,ахықə,ساحل
118,Festland::N,абарра,وچه
119,Meer::N,амшын,بحر
120,Meer::N,амшын,سمندر
121,Bucht::N,аӡбжьахала,کارۍ
122,Insel::N,адгьылбжьаха,ټاپو
123,Insel::N,адгьылбжьаха,جزيره
124,Blume::N,ашəҭ,ګل
125,Gras::N,аҳасакьын,واښه
126,Wurzel::N,адац,ریښه
127,Baum::N,аҵла,ونه
128,Stamm::N,ашьапы,ډډ
129,Rinde::N,ацəа,پوستکی
130,Ast::N,амахə,ښاخ
131,Ast::N,амахəҭа,ښاخ
132,Zweig::N,амахə,څانګه
133,Zweig::N,амахəҭа,څانګه
134,Blatt::N,абҕьы,پاڼه
135,Birke::N,аҵааҵла,توس
136,Kiefer[Baum]::N,амза,نښتر
137,Weide[Baum]::N,аҧслыш,وله
138,Tanne::N,аҧсаӡ,ناجو
139,Horn::N,атəыҩа,ښکر
140,Feder::N,ахӡы,بڼکه
141,Fell::N,ацəа,پوستکی
142,Flügel::N,амҵəыжəа,وزر
143,Klaue::N,ашьапхыц,پنجه
144,Klaue::N,ашьапхыц,منګول
145,Schwanz::N,аҵыхəа,لکۍ
146,Ei::N,акəтаӷь,وۍ
147,Ei::N,акəтаӷь,هګۍ
148,Nest::N,аҭра,جاله
149,Nest::N,аҵысҭра,جاله
150,Bau::N,аҭыҩра,کاز
151,Tier::N,аҧстəы,ژوی
152,Tier::N,аҧстəы,حیوان
153,Tier::N,агыгшəыг,ژوی
154,Tier::N,агыгшəыг,حیوان
155,Herde::N,агəарҭа,رمه
156,Herde::N,агəарҭа,غېله
157,Kuh::N,ажə,غوا
158,Bulle::N,ацə,غوئی
159,Pferd::N,аҽы,آس
160,Schaf::N,ауаса,پسه
161,Schwein::N,аҳəа,سرکوزی
162,Hund::N,ала,سپی
163,Katze::N,ацгəы,پشه
164,Bär::N,амшə,خرس
165,Eichhörnchen::N,аеш,خړ لمی
166,Elch::N,аҽаҩа,ګوزن
167,Fuchs::N,абгахəыҷы,سپلم
168,Hase::N,ажьа,سوی
169,Maus::N,аҳəынаҧ,مږک
170,Wolf::N,абгаду,لېوه
171,Vogel::N,аҧсаатə,مرغه
172,Huhn::N,акəты,چرګه
173,Hahn::N,арбаҕь,چرګ
174,Gans::N,аҟыз,بته
175,Adler::N,ауарба,عقاب
176,Ente::N,акəата,ایلۍ
177,Eule::N,аты,ګونګی
178,Kranich::N,апҟа,کلنګ
179,Krähe::N,аҟəараан,کارغه
180,Kuckuck::N,акəыкəу,فاخته
181,Schwan::N,агьад,قو
182,Fisch::N,аҧсыӡ,کب
183,Fisch::N,аҧсыӡ,ماهی
184,Barsch::N,ацəыбла,
185,Hecht::N,ахиаала,
186,Schlange[Tier]::N,амаҭ,مار
187,Wurm::N,ахəа,چینجی
188,Wurm::N,ахəац,چینجی
189,Spinne::N,абызкаҭаҳа,غڼه
190,Spinne::N,абызкаҭаҳа,تارکښ
191,Ameise::N,ашышкамс,مېږی
192,Laus::N,аҵа,سپږه
193,Mücke::N,акəыбры,ماشی
194,Fliege::N,амҵ,مچ
195,Schmetterling::N,аҧарҧалыкь,پتنګ
196,Beere::N,аргуц,مېوۍ
197,Apfel::N,аҵəа,مڼه
198,Pilz::N,акəкəбаа,خرېړی
199,Zwiebel::N,аџьымшьы,پیاز
200,Zwiebel::N,аџьымшьхы,پیاز
201,Saat::N,ажəла,تخم
202,Korn::N,арыц,تخم
203,Korn::N,арыц,دانه
204,Heu::N,аҭəа,بوس
205,Heu::N,аҭəа,پروړه
206,Schale::N,ацəа,پوستکی
207,Grube::N,ажра,کنده
208,Grube::N,атыша,کنده
209,Falle::N,арыҧҟьа,دام
210,Falle::N,арыҧҟьа,لومه
211,Schlinge::N,аҟəараҟəантə,کړۍ
212,Spur::N,ашьҭа,نښه
213,Asche::N,ахəа,آس
214,Asche::N,ахəа,ایره
215,Dreck::N,аҳəынҵəа,ناپاکي
216,Dreck::N,аҟьамсар,ناپاکي
217,Eisen::N,аиха,اوسپنه
218,Gold::N,ахьы,سره زر
219,Silber::N,аразны,نقره
220,Silber::N,аразны,سپین زر
221,Kohle::N,арацəа,سکور
222,Kohle::N,арацəа,سکاره
223,Glas::N,асаркьа,ښيښه
224,Lehm::N,анышəаҧшь,خټه
225,Sand::N,аҧслымӡ,شګه
226,Mensch::N,ауаҩы,انسان
227,Mann::N,ахаҵа,سړی
228,Mann::N,ахаҵа,نارینه
229,Frau::N,аҧҳəыс,ښځه
230,Kind::N,ахəыҷы,بچی
231,Kind::N,ахəыҷы,ماشوم
232,Junge::N,аҷкəын,هلک
233,Junge::N,ахаҵарҧыс,هلک
234,Mädchen::N,аӡӷаб,نجلۍ
235,Familie::N,аҭаацəа,کورنۍ
236,Großvater::N,абду,بابا
237,Großmutter::N,анду,انا
238,Eltern::N,ани аби,مور او پلار
239,Vater::N,аб,پلار
240,Mutter::N,ан,مور
241,Sohn::N,аҧа,زوی
242,Tochter::N,аҧҳа,لور
243,Bruder::N,аиашьа,ورور
244,Schwester::N,Аҳəшьа,خور
245,Onkel::N,абиашьа,تره
246,Onkel::N,абиашьа,ماما
247,Onkel::N,аншьа,تره
248,Onkel::N,аншьа,ماما
249,Tante::N,абиаҳəшьа,خاله
250,Ehemann::N,ахаҵа,مېړه
251,Ehemann::N,аҧшəма,مېړه
