,Concept_ID,,ta
0,Auge::N,,கண்
1,Ohr::N,,காது
2,Nase::N,,மூக்கு
3,Mund::N,,வாய்
4,Zahn::N,,பல்
5,Zunge::N,,நாக்கு
6,Lippe::N,,உதடு
7,Wange::N,,கன்னம்
8,Gesicht::N,,முகம்
9,Stirn::N,,முன்னெற்றி
10,Haar::N,,முடி
11,Schnurrbart::N,,மீசை
12,Bart::N,,தாடி
13,Kinn::N,,கீழதாடை
14,Kiefer[Anatomie]::N,,தாடை
15,Kehle::N,,தொண்டை
16,Hals::N,,கழுத்து
17,Genick::N,,கழுத்து
18,Kopf::N,,தலை
19,Rücken::N,,முதுகு
20,Bauch::N,,வயிறு
21,Nabel::N,,தொப்புள்
22,Busen::N,,மார்பகம்
23,Brust::N,, மார்பு
24,Schulter::N,,தோள்பட்டை
25,Arm::N,,கரம்
26,Ellenbogen::N,,முழங்கை
27,Hand::N,,கை
28,Handfläche::N,,உள்ளங்கை
29,Finger::N,,விரல்
30,Fingernagel::N,,விரல் நகம்
31,Nagel[Anatomie]::N,,நகம்
32,Zeh::N,,கால்விரல்
33,Fuß::N,,கால்
34,Ferse::N,,குதிகால்
35,Knie::N,,முழங்கால்
36,Oberschenkel::N,,தொடை
37,Bein::N,,கால்
38,Körper::N,,உடல்
39,Haut::N,,சருமம்
40,Blut::N,,இரத்தம்
41,Ader::N,,நாளம்
42,Sehne::N,,தசைநார்
43,Knochen::N,,எலுமபு
44,Gehirn::N,,மூனை
45,Herz::N,,இதயம
46,Magen::N,,வயிறு
47,Leber::N,,கல்லீரல்
48,Atem::N,,மூச்சு
49,Hunger::N,,பசி
50,Träne::N,,கண்ணீர்
51,Geschmack::N,,நறுமணம்
52,Geruch::N,,துர்நாற்றம்
53,Schlaf::N,,தூக்கம்
54,Traum::N,,கனவு
55,Himmel::N,,வானம்
56,Sonne::N,,சூரியன்
57,Mond::N,,சந்திரன்
58,Stern::N,,நட்சத்திரம்
59,Luft::N,,காறறு
60,Wind::N,,காற்று
61,Welle::N,,அலை
62,Wasser::N,,நீர்
63,Stein::N,,கல்
64,Boden::N,,தரை
65,Erde::N,,மண்
66,Staub::N,,தூசி
67,Rauch::N,,புகை
68,Funke::N,,தீப்பொறி
69,Feuer::N,,தீ
70,Licht::N,,வெளிச்சம்
71,Schatten::N,,நிழல்
72,Wetter::N,,வானிலை
73,Nebel::N,,பனிமூட்டம்
74,Wolke::N,,மேகம்
75,Regen::N,,மழை
76,Schnee::N,,உறைபனி
77,Eis::N,,பனிக்கட்டி
78,Frost::N,,உறைபனி
79,Kälte::N,,குளிர்ந்த
80,Hitze::N,,சூடு
