,Concept_ID,kv,pt
188,Schwan::N,юсь,cisne
189,Fisch::N,чери,peixe
190,Barsch::N,ёкыш,perca
191,Hecht::N,сирпинь,lúcio
192,Schlange[Tier]::N,змей,serpente
193,Wurm::N,номыр,verme
194,Spinne::N,черань,aranha
195,Ameise::N,кӧдзывкар,formiga
196,Laus::N,ляпа той,piolho
197,Mücke::N,ном,mosquito
198,Fliege::N,гут,mosca
199,Schmetterling::N,бабыв,borboleta
200,Beere::N,ягӧд,bago
201,Apfel::N,яблоко,maçã
202,Pilz::N,тшак,fungo
203,Pilz::N,тшак,cogumelo
204,Zwiebel::N,грез,cebola
205,Saat::N,кӧдзыс,sementeira
206,Korn::N,сю,grão
207,Heu::N,турун,feno
208,Schale::N,кыш,casca
209,Schale::N,киль,casca
210,Grube::N,яма,cova
211,Grube::N,яма,fossa
212,Falle::N,нальк,armadilha
213,Falle::N,кляпча,armadilha
214,Schlinge::N,лӧч,laço
215,Spur::N,туй,pista
216,Spur::N,туй,vestígio
217,Asche::N,пӧим,cinza
218,Dreck::N,нять,sujidade
219,Eisen::N,кӧрт,ferro
220,Gold::N,зарни,ouro
221,Silber::N,язісь,prata
222,Kohle::N,шом,carvão
223,Kohle::N,уголь,carvão
224,Glas::N,стекло,vidro
225,Lehm::N,сёй,barro
226,Lehm::N,сёй,argila
227,Sand::N,лыа,areia
228,Mensch::N,морт,homem
229,Mensch::N,морт,pessoa
230,Mann::N,мужик,homem
231,Frau::N,инька,mulher
232,Kind::N,кага,filho
233,Kind::N,кага,criança
234,Junge::N,зонка,rapaz
235,Junge::N,зонка,menino
236,Mädchen::N,нывкаок,menina
237,Mädchen::N,нывкаок,rapariga
238,Familie::N,семья,família
239,Großvater::N,дед,avô
240,Großmutter::N,баб,avó
241,Eltern::N,ай-мам,pais
242,Vater::N,ай,pai
243,Mutter::N,мам,mãe
244,Sohn::N,зон,filho
245,Tochter::N,ныв,filha
246,Bruder::N,вон,irmão
247,Schwester::N,сой,irmã
248,Onkel::N,дядь,tio
249,Tante::N,айӧлӧн сой,tia
250,Tante::N,ичинь,tia
251,Ehemann::N,жӧник,esposo
252,Ehefrau::N,инь,esposa
253,Freude::N,гаж,prazer
254,Freude::N,гаж,alegria
255,Freude::N,радъялӧм,prazer
256,Freude::N,радъялӧм,alegria
257,Gelächter::N,сералӧм,risada
258,Gelächter::N,сералӧм,gargalhada
259,Glück::N,мичлун,felicidade
260,Kummer::N,шог,aflição
261,Kummer::N,шог,desgosto
262,Wunsch::N,мӧдӧм,desejo
263,Wunsch::N,охотитӧм,desejo
264,Lust::N,охота,vontade
265,Geist::N,лов,mente
266,Geist::N,лов,espírito
267,Gedanke::N,дума,ideia
268,Gedanke::N,дума,pensamento
269,Gedächtnis::N,тӧдвыв,memória
270,Verstand::N,вежӧр,razão
271,Verstand::N,вежӧр,inteligência
272,Sinn::N,ылӧс,sentido
273,Sinn::N,ылӧс,significado
274,Grund::N,мог,causa
275,Grund::N,мог,motivo
276,Wahrheit::N,правда,verdade
277,Gespräch::N,сёрни,conversa
278,Gespräch::N,сёрни,conversação
279,Märchen::N,сказка,conto
280,Erzählung::N,висьт,conto
281,Erzählung::N,висьт,narrativa
282,Nachricht::N,юӧр,mensagem
283,Nachricht::N,висьталӧм,mensagem
284,Neuigkeit::N,новость,notícia
285,Neuigkeit::N,новость,novidade
286,Name::N,ним,nome
287,Rätsel::N,загадка,adivinha
288,Rede::N,сёрни,oração
289,Rede::N,сёрни,discurso
290,Sprache::N,кыв,língua
291,Stimme::N,голос,voz
292,Wort::N,кыв,palavra
293,Zeichen::N,пас,marca
294,Ruf::N,чуксӧм,grito
295,Ruf::N,чуксӧм,chamada
296,Ruf::N,чукӧстӧм,grito
297,Ruf::N,чукӧстӧм,chamada
298,Lärm::N,шум,ruído
299,Lärm::N,шум,barulho
300,Laut::N,шы,som
301,Ton::N,гор,tom
302,Lied::N,сьыланкыв,canção
303,Ruhe::N,спокой,calma
304,Ruhe::N,спокой,silêncio
305,Leute::N,йӧз,gente
306,Leute::N,йӧз,pessoas
307,Volk::N,йӧз,povo
308,Volk::N,йӧз,nação
309,Volk::N,народ,povo
310,Volk::N,народ,nação
311,Arbeit::N,удж,trabalho
312,Gast::N,гӧсь,hóspede
313,Gast::N,гӧсь,convidado
314,Geschenk::N,гӧснеч,prenda
315,Geschenk::N,гӧснеч,presente
316,Geschenk::N,подарок,prenda
317,Geschenk::N,подарок,presente
318,Spiel::N,орсӧм,jogo
319,Gesellschaft::N,компания,companhia
320,Hilfe::N,отсӧт,ajuda
321,Hilfe::N,отсӧт,socorro
322,Freund::N,модз,amigo
323,Freund::N,дружок,amigo
324,Kamerad::N,тӧдса,camarada
325,Angelegenheit::N,дело,assunto
326,Anzahl::N,лыд,número
327,Anzahl::N,лыд,quantidade
328,Art::N,пӧлӧс,tipo
329,Art::N,пӧлӧс,espécie
330,Stück::N,тор,pedaço
331,Teil::N,юкӧм,peça
332,Teil::N,юкӧм,parte
333,Hälfte::N,джын,metade
334,Kreis::N,круг,círculo
335,Kreuz::N,перна,cruz
336,Linie::N,визь,linha
337,Strich::N,кырӧв,traço
338,Abstand::N,колас,distância
339,Entfernung::N,ылына,distância
340,Gegend::N,места,área
341,Gegend::N,места,região
342,Platz::N,места,lugar
343,Ort::N,места,sítio
344,Seite::N,ладор,lado
345,Mitte::N,шӧр,meio
346,Gegenstand::N,тор,objecto
347,Sache::N,тор,coisa
348,Rand::N,дор,bordo
349,Rand::N,дор,margem
350,Kante::N,ордлы,borda
351,Kante::N,ордлы,aresta
352,Ecke::N,пельӧс,esquina
353,Spitze::N,йыв,ponta
354,Ende::N,йыв,cabo
355,Ende::N,йыв,extremo
356,Loch::N,осьта,furo
357,Loch::N,осьта,buraco
358,Winkel::N,пельӧс,canto
359,Winkel::N,пельӧс,ângulo
360,Muster::N,сер,padrão
361,Muster::N,сер,desenho
362,Größe::N,ыжда,tamanho
363,Länge::N,кузя,comprimento
364,Höhe::N,сувда,altura
365,Höhe::N,сувда,altitude
366,Höhe::N,вылына,altura
367,Höhe::N,вылына,altitude
368,Gewicht::N,сьӧкта,peso
369,Haufen::N,куча,pilha
370,Reihe::N,лёдз,fila
371,Boot::N,пыж,barco
372,Ruder::N,пелыс,remo
373,Schlitten::N,додь,trenó
374,Ski::N,лямпа,esqui
375,Lagerfeuer::N,бипур,fogueira
376,Last::N,тягота,carga
377,Gang::N,мунӧм,curso
378,Gang::N,мунӧм,caminhada
379,Schritt::N,вожмӧв,passo
380,Norden::N,ой,norte
381,Süden::N,лун,sul
382,Westen::N,рытвыв,oeste
383,Westen::N,рытвыв,ocidente
384,Osten::N,асыв,este
385,Osten::N,асыв,leste
386,Osten::N,асыв,oriente
387,Holz::N,пу,madeira
388,Brett::N,пӧв,tábua
389,Brett::N,пӧв,prancha
390,Platte::N,плита,laje
391,Platte::N,плита,chapa
392,Stütze::N,пика,apoio
393,Stütze::N,пика,suporte
394,Stange::N,зор,vara
395,Stange::N,зор,barra
396,Stange::N,потш,vara
397,Stange::N,потш,barra
398,Stock::N,бедь,pau
399,Stock::N,бедь,bengala
400,Stab::N,шест,bastão
401,Rohr::N,труба,cano
402,Haus::N,керку,casa
403,Heim::N,керку,lar
404,Heim::N,керку,casa
405,Ofen::N,пӧжавны,estufa
406,Ofen::N,пӧжавны,aquecedor
407,Fußboden::N,джодж,piso
408,Tisch::N,пызан,mesa
409,Stuhl::N,стул,cadeira
410,Wiege::N,зыбка,berço
411,Bett::N,кровать,cama
412,Regal::N,джадж,estante
413,Regal::N,джадж,prateleira
414,Kiste::N,ящик,caixa
415,Fenster::N,ӧшын,janela
416,Tür::N,ыбӧс,porta
417,Tor::N,ворота,portão
418,Zaun::N,забор,cerca
419,Zaun::N,забор,vedação
420,Dach::N,крыша,telhado
421,Leiter::N,лиснич,escada
422,Leiter::N,лиснич,escada móvel
423,Besen::N,рос,vassoura
424,Spaten::N,зыр,pá
425,Schaufel::N,зыр,pá
426,Gabel::N,вила,garfo
427,Löffel::N,пань,colher
