,Concept_ID,hr,fi
188,Herde::N,krdo,lauma
189,Herde::N,stado,lauma
190,Kuh::N,krava,lehmä
191,Bulle::N,bik,sonni
192,Pferd::N,konj,hevonen
193,Schaf::N,ovca,lammas
194,Schwein::N,svinja,sika
195,Hund::N,pas,koira
196,Hund::N,pseto,koira
197,Katze::N,mačka,kissa
198,Bär::N,medvjed,karhu
199,Eichhörnchen::N,vjeverica,orava
200,Elch::N,los,hirvi
201,Fuchs::N,lisica,kettu
202,Hase::N,zec,jänis
203,Maus::N,miš,hiiri
204,Wolf::N,vuk,susi
205,Wolf::N,kurjak,susi
206,Vogel::N,ptica,lintu
207,Schwarm::N,roj,parvi
208,Schwarm::N,jato,parvi
209,Huhn::N,kokoš,kana
210,Hahn::N,kokot,kukko
211,Hahn::N,pijevac,kukko
212,Gans::N,guska,hanhi
213,Adler::N,orao,kotka
214,Ente::N,patka,ankka
215,Eule::N,sova,pöllö
216,Kranich::N,ždral,kurki
217,Krähe::N,vrana,varis
218,Kuckuck::N,kukavica,käki
219,Schwan::N,labud,joutsen
220,Fisch::N,riba,kala
221,Barsch::N,grgeč,ahven
222,Hecht::N,štuka,hauki
223,Schlange[Tier]::N,guja,käärme
224,Schlange[Tier]::N,zmija,käärme
225,Wurm::N,crv,mato
226,Spinne::N,pauk,hämähäkki
227,Ameise::N,mrav,muurahainen
228,Laus::N,uš,täi
229,Mücke::N,komarac,sääski
230,Mücke::N,komarac,hyttynen
231,Fliege::N,muha,kärpänen
232,Schmetterling::N,leptir,perhonen
233,Beere::N,boba,marja
234,Beere::N,bobica,marja
235,Apfel::N,jabuka,omena
236,Pilz::N,pečurka,sieni
237,Zwiebel::N,luk,sipuli
238,Zwiebel::N,kapula,sipuli
239,Saat::N,sjemenje,siemenet
240,Korn::N,zrno,jyvä
241,Korn::N,zrno,vilja
242,Heu::N,sijeno,heinä
243,Schale::N,kora,kuori
244,Schale::N,ljuska,kuori
245,Grube::N,jama,kuoppa
246,Falle::N,zamka,loukku
247,Falle::N,klopka,loukku
248,Schlinge::N,uzao,ansa
249,Schlinge::N,petlja,ansa
250,Spur::N,trag,jälki
251,Spur::N,slijed,jälki
252,Asche::N,pepeo,tuhka
253,Dreck::N,blato,lika
254,Eisen::N,željezo,rauta
255,Gold::N,zlato,kulta
256,Silber::N,srebro,hopea
257,Kohle::N,ugalj,hiili
258,Kohle::N,ugljen,hiili
259,Glas::N,staklo,lasi
260,Lehm::N,glina,savi
261,Lehm::N,ilovača,savi
262,Sand::N,pijesak,hiekka
263,Mensch::N,čovjek,ihminen
264,Mann::N,muškarac,mies
265,Frau::N,žena,nainen
266,Kind::N,čedo,lapsi
267,Kind::N,dijete,lapsi
268,Junge::N,momče,poika
269,Junge::N,dječak,poika
270,Mädchen::N,djevojka,tyttö
271,Mädchen::N,djevojčica,tyttö
272,Familie::N,obitelj,perhe
273,Familie::N,porodica,perhe
274,Großvater::N,djed,isoisä
275,Großmutter::N,baka,isoäiti
276,Eltern::N,roditelji,vanhemmat
277,Vater::N,otac,isä
278,Mutter::N,majka,äiti
279,Sohn::N,sin,poika
280,Tochter::N,kći,tytär
281,Tochter::N,kćerka,tytär
282,Bruder::N,brat,veli
283,Schwester::N,sestra,sisko
284,Onkel::N,čika,eno
285,Onkel::N,čika,setä
286,Onkel::N,ujak,eno
287,Onkel::N,ujak,setä
288,Tante::N,ujna,täti
289,Tante::N,tetka,täti
290,Ehemann::N,muž,mies
291,Ehemann::N,muž,aviomies
292,Ehemann::N,suprug,mies
293,Ehemann::N,suprug,aviomies
294,Ehefrau::N,žena,vaimo
295,Ehefrau::N,žena,aviovaimo
296,Ehefrau::N,supruga,vaimo
297,Ehefrau::N,supruga,aviovaimo
298,Freude::N,radost,ilo
299,Freude::N,radost,riemu
300,Gelächter::N,grohot,nauru
301,Glück::N,sreća,onni
302,Kummer::N,jad,suru
303,Kummer::N,jad,murhe
304,Kummer::N,briga,suru
305,Kummer::N,briga,murhe
306,Wunsch::N,želja,toive
307,Wunsch::N,želja,toivomus
308,Lust::N,volja,himo
309,Geist::N,duh,henki
310,Gedanke::N,misao,aate
311,Gedanke::N,misao,ajatus
312,Gedächtnis::N,pamćenje,muisti
313,Verstand::N,um,äly
314,Verstand::N,um,järki
315,Verstand::N,um,ymmärrys
316,Verstand::N,razum,äly
317,Verstand::N,razum,järki
318,Verstand::N,razum,ymmärrys
319,Sinn::N,smisao,merkitys
320,Sinn::N,značenje,merkitys
321,Grund::N,razlog,syy
322,Grund::N,razlog,peruste
323,Wahrheit::N,istina,tosi
324,Wahrheit::N,istina,totuus
325,Gespräch::N,razgovor,puhelu
326,Gespräch::N,razgovor,keskustelu
327,Märchen::N,bajka,satu
328,Erzählung::N,priča,tarina
329,Erzählung::N,priča,kertomus
330,Erzählung::N,pripovijest,tarina
331,Erzählung::N,pripovijest,kertomus
332,Nachricht::N,vijest,tieto
333,Nachricht::N,vijest,ilmoitus
334,Neuigkeit::N,novost,uutinen
335,Name::N,ime,nimi
336,Rätsel::N,zagonetka,arvoitus
337,Rede::N,govor,puhe
