,Concept_ID,ru,te
0,Auge::N,глаз,కన్ను
1,Ohr::N,ухо,చెవి
2,Nase::N,нос,ముక్కు
3,Mund::N,рот,నోరు
4,Zahn::N,зуб,పల్లు
5,Zunge::N,язык,నాలుక
6,Lippe::N,губа,పెదవి
7,Wange::N,щека,చెంప
8,Gesicht::N,лицо,ముఖము
9,Stirn::N,лоб,నుదురు
10,Haar::N,волос,వెండ్రుక
11,Haar::N,волосы,వెండ్రుక
12,Schnurrbart::N,ус,మీసము
13,Schnurrbart::N,усы,మీసము
14,Bart::N,борода,గడ్డము
15,Kinn::N,подбородок,గడ్డము
16,Kiefer[Anatomie]::N,челюсть,దౌడ
17,Kehle::N,горло,గొంతు
18,Hals::N,шея,మెడ
19,Genick::N,затылок,మూపు
20,Kopf::N,голова,తల
21,Rücken::N,спина,వెన్ను
22,Bauch::N,живот,కడుపు
23,Nabel::N,пупок,బొడ్డు
24,Busen::N,женская грудь,స్తనము
25,Brust::N,грудь,ఱొమ్ము
26,Schulter::N,плечо,భుజము
27,Arm::N,рука,చేయి
28,Ellenbogen::N,локоть,మోచేయి
29,Hand::N,кисть,చేయి
30,Handfläche::N,ладонь,అరచేయు
31,Finger::N,палец,చేతిప్రేలు
32,Fingernagel::N,ноготь,గోరు
33,Nagel[Anatomie]::N,ноготь,గోరు
34,Zeh::N,палец,కాలిప్రేలు
35,Fuß::N,ступня,అడుగు
36,Ferse::N,пята,మడమ
37,Ferse::N,пятка,మడమ
38,Knie::N,колено,మోకాలు
39,Oberschenkel::N,бедро,తొడ
40,Bein::N,нога,కాలు
41,Körper::N,тело,కాయము
42,Haut::N,кожа,చర్మము
43,Blut::N,кровь,రక్తము
44,Ader::N,вена,సిర
45,Ader::N,сосуд,సిర
46,Sehne::N,жила,స్నాయువు
47,Sehne::N,тетива,స్నాయువు
48,Sehne::N,сухожилие,స్నాయువు
49,Knochen::N,кость,ఎముక
50,Gehirn::N,мозг,మెదడు
51,Herz::N,сердце,హృదయము
52,Magen::N,желудок,కడుపు
53,Leber::N,печень,కాలేయము
54,Atem::N,дух,ఉపిరి
55,Atem::N,дыхание,ఉపిరి
56,Hunger::N,голод,ఆకలి
57,Träne::N,слеза,కన్నీటిచుక్క
58,Geschmack::N,вкус,రుచి
59,Geruch::N,запах,వాసన
60,Schlaf::N,сон,నిద్ర
61,Traum::N,сновидение,కల
62,Himmel::N,небо,ఆకాశము
63,Sonne::N,солнце,సూర్యుడు
64,Mond::N,луна,చంద్రుడు
65,Stern::N,звезда,నక్షత్రము
66,Luft::N,воздух,గాలి
67,Wind::N,ветер,వీచుచున్నగాలి
68,Welle::N,волна,అల
69,Wasser::N,вода,నీరు
70,Stein::N,камень,ఱాయి
71,Boden::N,почва,నేల
72,Erde::N,земля,మన్ను
73,Staub::N,пыль,దుమ్ము
74,Rauch::N,дым,పొగ
75,Funke::N,искра,అగ్నికణము
76,Feuer::N,огонь,అగ్ని
77,Licht::N,свет,కాంతి
78,Schatten::N,тень,నీడ
79,Wetter::N,погода,వాతావరణ స్థితి
80,Nebel::N,туман,పొగమంచు
81,Wolke::N,облако,మేఘము
82,Regen::N,дождь,వాన
83,Schnee::N,снег,హిమము
84,Eis::N,лед,మంచుగడ్డ
85,Frost::N,мороз,పేరిన మంచు
86,Kälte::N,холод,చలి
87,Hitze::N,жара,వేడిమి
88,Raureif::N,иней,మంచు
89,Regenbogen::N,радуга,ఇంద్రధనుస్సు
90,Donner::N,гром,ఉరుము
91,Strömung::N,течение,ప్రవాహము
92,Tropfen::N,капля,చుక్క
93,Schaum::N,пена,నురుగు
94,Schmutz::N,грязь,మైల
95,See::N,озеро,సరస్సు
96,Sumpf::N,топь,చిత్తడినేల
97,Moor::N,болото,చిత్తడినేల
98,Wiese::N,луг,పచ్చిక బయలు
