,Concept_ID,lez,br
0,Auge::N,вил,lagad
1,Ohr::N,яб,skouarn
2,Nase::N,нер,fri
3,Mund::N,сив,genoù
4,Zahn::N,сас,dant
5,Zahn::N,свах,dant
6,Zunge::N,мез,teod
7,Lippe::N,пӏуз,muzell
8,Wange::N,хъвехъ,chot
9,Gesicht::N,ччин,dremm
10,Stirn::N,пел,tal
11,Haar::N,чӏар,blev
12,Schnurrbart::N,спел,mourenn
13,Schnurrbart::N,спелар,mourenn
14,Bart::N,ччуру,barv
15,Kinn::N,чене,groñj
16,Kiefer[Anatomie]::N,чене,javed
17,Kehle::N,туьд,gouzoug
18,Hals::N,гардан,gouzoug
19,Genick::N,кьам,choug
20,Kopf::N,кьил,penn
21,Rücken::N,далу,kein
22,Bauch::N,руфун,kof
23,Nabel::N,пицӏ,begel
24,Busen::N,мам,bronn
25,Brust::N,хур,bruched
26,Schulter::N,къуьн,skoaz
27,Arm::N,гъил,brec'h
28,Ellenbogen::N,кьуьнт,ilin
29,Hand::N,капаш,dorn
30,Handfläche::N,капан юкь,palv
31,Finger::N,тӏуб,biz
32,Fingernagel::N,кек,ivin
33,Nagel[Anatomie]::N,кек,ivin
34,Zeh::N,кул,biz-troad
35,Fuß::N,кӏвач,troad
36,Ferse::N,дабан,seul
37,Knie::N,мет,glin
38,Bein::N,кӏвач,gar
39,Körper::N,беден,korf
40,Haut::N,хам,kroc'hen
41,Blut::N,иви,gwad
42,Ader::N,дамар,gwazhi
43,Sehne::N,кьуру дамар,stir
44,Knochen::N,кӏараб,askorn
45,Gehirn::N,мефт,empenn
46,Herz::N,рикӏ,kalon
47,Magen::N,хук,stomog
48,Leber::N,лекь,avu
49,Atem::N,ял,anal
50,Atem::N,нефес,anal
51,Hunger::N,каш,naon
52,Träne::N,вилин нагъв,daer
53,Geschmack::N,дад,blaz
54,Geschmack::N,тӏям,blaz
55,Geruch::N,ни,c'hwezh
56,Schlaf::N,ахвар,kousked
57,Traum::N,ахвар,hune
58,Himmel::N,цав,oabl
59,Sonne::N,рагъ,heol
60,Mond::N,варз,loar
61,Stern::N,гъед,steredenn
62,Luft::N,гьава,aer
63,Wind::N,гар,avel
64,Welle::N,лепе,houlenn
65,Wasser::N,яд,dour
66,Stein::N,къван,maen
67,Boden::N,накьв,tachenn
68,Erde::N,ччил,douar
69,Staub::N,руг,poultr
70,Rauch::N,гум,moged
71,Funke::N,цӏелхем,ful
72,Feuer::N,цӏай,tan
73,Licht::N,экв,gouloù
74,Schatten::N,серин,disheol
75,Wetter::N,гьава,amzer
76,Nebel::N,ччилин циф,brumenn
77,Wolke::N,циф,koumoulenn
78,Regen::N,марф,glav
79,Schnee::N,жив,erc'h
80,Eis::N,мурк,skorn
81,Frost::N,аяз,rev
82,Kälte::N,мекь,yen
83,Kälte::N,мекьивал,yen
84,Hitze::N,зегьем,tommder
85,Raureif::N,къирав,frim
86,Regenbogen::N,яргъируш,gwareg-ar-glav
87,Donner::N,цавун ван,kurun
88,Tropfen::N,стӏал,bannac'h
89,Tropfen::N,стӏал,takenn
90,Schaum::N,каф,spoum
91,Schmutz::N,чирк,fank
92,Schmutz::N,кьуруш,fank
93,See::N,вир,lenn
94,Sumpf::N,уьлен,gwern
95,Wiese::N,векь,prad
96,Wald::N,там,koad
97,Hügel::N,кӏунтӏ,torgenn
98,Anhöhe::N,тепе,run
99,Anhöhe::N,гьуьндуьрвал,run
