,Concept_ID,ro,eu
0,Auge::N,ochi,begi
1,Ohr::N,ureche,belarri
2,Nase::N,nas,sudur
3,Mund::N,gură,aho
4,Zahn::N,dinte,hortz
5,Zunge::N,limbă,mihi
6,Lippe::N,buză,ezpain
7,Wange::N,bucă,masail
8,Wange::N,obraz,masail
9,Gesicht::N,față,aurpegi
10,Gesicht::N,figură,aurpegi
11,Stirn::N,frunte,bekoki
12,Haar::N,păr,ile
13,Haar::N,păr,bilo
14,Schnurrbart::N,mustață,bibote
15,Schnurrbart::N,mustață,sudurpeko
16,Bart::N,barbă,bizar
17,Kinn::N,bărbie,kokots
18,Kiefer[Anatomie]::N,falcă,masailezur
19,Kehle::N,beregată,eztarri
20,Hals::N,gât,sama
21,Genick::N,ceafă,garondo
22,Kopf::N,cap,buru
23,Rücken::N,dos,bizkar
24,Rücken::N,spate,bizkar
25,Rücken::N,spinare,bizkar
26,Bauch::N,burtă,sabel
27,Bauch::N,pântece,sabel
28,Nabel::N,buric,zilbor
29,Busen::N,sân,titi
30,Busen::N,sân,ugatz
31,Brust::N,piept,bular
32,Schulter::N,umăr,besaburu
33,Schulter::N,spate,besaburu
34,Arm::N,braț,beso
35,Ellenbogen::N,cot,ukondo
36,Hand::N,mână,esku
37,Handfläche::N,palmă,ahur
38,Finger::N,deget,hatz
39,Fingernagel::N,unghie,azazkal
40,Nagel[Anatomie]::N,unghie,azazkal
41,Zeh::N,deget de la picior,behatz
42,Fuß::N,picior,oin
43,Ferse::N,călcâi,orpo
44,Ferse::N,călcâi,oinburu
45,Knie::N,genunchi,belaun
46,Oberschenkel::N,coapsă,izter
47,Bein::N,picior,zango
48,Körper::N,corp,soin
49,Haut::N,piele,azal
50,Blut::N,sânge,odol
51,Ader::N,vână,zain
52,Ader::N,arteră,zain
53,Sehne::N,tendon,gihar-zain
54,Knochen::N,os,hezur
55,Gehirn::N,creier,garun
56,Gehirn::N,creier,burmuin
57,Herz::N,inimă,bihotz
58,Magen::N,stomac,urdail
59,Leber::N,ficat,gibel
60,Atem::N,răsuflare,hats
61,Atem::N,răsuflare,arnasa
62,Atem::N,respirație,hats
63,Atem::N,respirație,arnasa
64,Hunger::N,foame,gose
65,Träne::N,lacrimă,malko
66,Geschmack::N,gust,dasta
67,Geruch::N,miros,usain
68,Schlaf::N,somn,lo
69,Traum::N,vis,amets
70,Himmel::N,cer,zeru
71,Sonne::N,soare,eguzki
72,Mond::N,lună,ilargi
73,Stern::N,stea,izar
74,Luft::N,aer,aire
75,Wind::N,vânt,haize
76,Welle::N,val,uhin
77,Welle::N,val,olatu
78,Welle::N,undă,uhin
79,Welle::N,undă,olatu
80,Wasser::N,apă,ur
81,Stein::N,piatră,harri
82,Boden::N,sol,lur
83,Boden::N,sol,zoru
84,Boden::N,pământ,lur
85,Boden::N,pământ,zoru
86,Erde::N,pământ,lur
87,Staub::N,praf,hauts
88,Rauch::N,fum,ke
89,Funke::N,scânteie,zirta
90,Funke::N,scânteie,txinparta
91,Feuer::N,foc,su
92,Licht::N,lumină,argi
93,Schatten::N,umbră,itzal
94,Schatten::N,umbră,geriza
95,Wetter::N,timp,eguraldi
96,Wetter::N,vreme,eguraldi
97,Nebel::N,ceață,laino
98,Nebel::N,negură,laino
99,Wolke::N,nor,hodei
100,Regen::N,ploaie,euri
101,Schnee::N,zăpadă,elur
102,Eis::N,gheață,horma
103,Frost::N,ger,izotzaldi
104,Kälte::N,frig,hotz
105,Hitze::N,arșiță,bero
106,Hitze::N,căldură,bero
107,Raureif::N,chiciură,antzigar
108,Regenbogen::N,curcubeu,ostadar
109,Regenbogen::N,curcubeu,ortzadar
110,Donner::N,tunet,ostots
111,Donner::N,tunet,ihurtzuri
112,Strömung::N,curent,laster
113,Tropfen::N,picătură,xorta
114,Schaum::N,spumă,bits
115,Schmutz::N,murdărie,lohi
116,Schmutz::N,murdărie,zikin
117,See::N,lac,laku
118,See::N,lac,aintzira
119,Sumpf::N,mlaștină,zingira
120,Moor::N,bărăgan,zohikaztegi
121,Wiese::N,fânaț,larre
122,Wiese::N,fânaț,belardi
123,Wiese::N,livadă,larre
124,Wiese::N,livadă,belardi
125,Wald::N,codru,baso
126,Wald::N,codru,oihan
127,Wald::N,pădure,baso
128,Wald::N,pădure,oihan
129,Hügel::N,deal,muino
130,Hügel::N,deal,pentoka
131,Hügel::N,movilă,muino
132,Hügel::N,movilă,pentoka
133,Anhöhe::N,deal,garai
134,Anhöhe::N,deal,goragune
135,Anhöhe::N,ridicătură,garai
136,Anhöhe::N,ridicătură,goragune
137,Berg::N,munte,mendi
138,Gipfel::N,pisc,gain
139,Gipfel::N,pisc,tontor
140,Höhle::N,peșteră,kobazulo
141,Abhang::N,pantă,aldapa
142,Abhang::N,versant,aldapa
143,Quelle::N,izvor,iturri
144,Quelle::N,izvor,iturbegi
145,Bach::N,gârlă,lats
146,Bach::N,gârlă,erreka
147,Fluss::N,râu,ibai
