,Concept_ID,ce,ga
0,Auge::N,бӏаьрг,súil
1,Ohr::N,лерг,cluas
2,Nase::N,мара,soc
3,Mund::N,бага,béal
4,Zahn::N,церг,fiacail
5,Zunge::N,мотт,teanga
6,Lippe::N,балда,liopa
7,Wange::N,бесни,grua
8,Wange::N,бесни,leiceann
9,Gesicht::N,юьхь,éadan
10,Gesicht::N,юьхь,aghaidh
11,Stirn::N,хьаж,baithis
12,Stirn::N,хьаж,clár éadain
13,Haar::N,мас,gruaig
14,Schnurrbart::N,мекх,croiméal
15,Bart::N,маж,féasóg
16,Kinn::N,чӏениг,smig
17,Kiefer[Anatomie]::N,мочхал,giall
18,Kehle::N,къамкъарг,scornach
19,Hals::N,ворта,muinéal
20,Genick::N,кӏесаркӏаг,baic
21,Kopf::N,корта,ceann
22,Rücken::N,букъ,droim
23,Bauch::N,кийра,bolg
24,Nabel::N,цӏонга,imleacán
25,Busen::N,зударийн накха,cíoch
26,Brust::N,накха,brollach
27,Schulter::N,белш,gualainn
28,Arm::N,пхьарс,lámh
29,Ellenbogen::N,пхьаьрсан гола,uillinn
30,Hand::N,куьг,lámh
31,Handfläche::N,кераюкъ,bos
32,Finger::N,пӏелг,méar
33,Fingernagel::N,мӏара,ionga
34,Nagel[Anatomie]::N,мӏара,ionga
35,Zeh::N,кога пӏелг,ladhar
36,Fuß::N,ког,cos
37,Fuß::N,ког,troigh
38,Ferse::N,кӏажа,sáil
39,Knie::N,гола,glúin
40,Oberschenkel::N,варе,ceathrú
41,Bein::N,ког,cos
42,Körper::N,хӏума,corp
43,Körper::N,хӏума,colainn
44,Haut::N,чкъор,cneas
45,Haut::N,чкъор,craiceann
46,Blut::N,цӏий,fuil
47,Ader::N,пха,
48,Sehne::N,хьорзам,teannán
49,Sehne::N,хьорзам,féitheog
50,Knochen::N,даьӏахк,cnámh
51,Gehirn::N,хье,inchinn
52,Herz::N,дог,croí
53,Magen::N,зорх,bolg
54,Magen::N,зорх,goile
55,Leber::N,доӏах,ae
56,Atem::N,садеӏар,anáil
57,Hunger::N,мацалла,ocras
58,Träne::N,бӏаьрхи,deoir
59,Geschmack::N,чам,blas
60,Geruch::N,хьожа,boladh
61,Schlaf::N,наб,suan
62,Schlaf::N,наб,codladh
63,Traum::N,гӏан,taibhreamh
64,Himmel::N,стигал,spéir
65,Sonne::N,малх,grian
66,Mond::N,бутт,ré
67,Mond::N,бутт,gealach
68,Stern::N,седа,rinn
69,Stern::N,седа,réalta
70,Luft::N,xӏаваъ,aer
71,Wind::N,мох,gaoth
72,Welle::N,тулгӏе,tonn
73,Wasser::N,хи,uisce
74,Stein::N,тӏулг,cloch
75,Boden::N,цӏенкъа,talamh
76,Erde::N,латта,cré
77,Erde::N,латта,ithir
78,Staub::N,чан,dusta
79,Staub::N,чан,deannach
80,Rauch::N,кӏур,toit
81,Rauch::N,кӏур,deatach
82,Funke::N,суй,drithle
83,Feuer::N,цӏе,tine
84,Licht::N,серло,solas
85,Schatten::N,ӏиндагӏ,scáth
86,Wetter::N,хенан хӏоттам,aimsir
87,Nebel::N,дохк,ceo
88,Wolke::N,марха,néal
89,Wolke::N,марха,scamall
90,Regen::N,догӏа,báisteach
91,Regen::N,догӏа,fearthainn
92,Schnee::N,ло,sneachta
93,Eis::N,ша,oighear
94,Frost::N,шело,sioc
95,Kälte::N,шело,fuacht
96,Hitze::N,йовхо,teas
97,Hitze::N,йовхо,teocht
98,Raureif::N,йис,sioc bán
99,Regenbogen::N,стелаӏад,stua ceatha
100,Regenbogen::N,стелаӏад,bogha báistí
101,Donner::N,ткъес,toirneach
102,Strömung::N,дӏаэхар,sruth
103,Strömung::N,дӏасалелар,sruth
104,Tropfen::N,тӏадам,deoir
105,Schaum::N,чопа,cúr
106,Schmutz::N,хатт,salachar
