,Concept_ID,lv,bg
0,Auge::N,син,око
1,Auge::N,acs,око
2,Ohr::N,пель,ухо
3,Ohr::N,auss,ухо
4,Nase::N,ныр,нос
5,Nase::N,deguns,нос
6,Mund::N,вом,уста
7,Mund::N,mute,уста
8,Zahn::N,пинь,зъб
9,Zahn::N,zobs,зъб
10,Zunge::N,кыв,език
11,Zunge::N,mēle,език
12,Lippe::N,вом дор,устна
13,Lippe::N,lūpa,устна
14,Wange::N,бан,буза
15,Wange::N,vaigs,буза
16,Gesicht::N,чужӧм,лице
17,Gesicht::N,чужӧм,образ
18,Gesicht::N,seja,лице
19,Gesicht::N,seja,образ
20,Gesicht::N,ģīmis,лице
21,Gesicht::N,ģīmis,образ
22,Stirn::N,плеш,чело
23,Stirn::N,кымӧс,чело
24,Stirn::N,piere,чело
25,Haar::N,си,коса
26,Haar::N,си,косъм
27,Haar::N,юрси,коса
28,Haar::N,юрси,косъм
29,Haar::N,mats,коса
30,Haar::N,mats,косъм
31,Schnurrbart::N,ус,мустаци
32,Schnurrbart::N,пыртсим,мустаци
33,Schnurrbart::N,ūsas,мустаци
34,Bart::N,тош,брада
35,Bart::N,bārda,брада
36,Kinn::N,тшӧка,брада
37,Kinn::N,тшӧка,брадичка
38,Kinn::N,zods,брада
39,Kinn::N,zods,брадичка
40,Kinn::N,smakrs,брада
41,Kinn::N,smakrs,брадичка
42,Kiefer[Anatomie]::N,черлы,челюст
43,Kiefer[Anatomie]::N,алака лы,челюст
44,Kiefer[Anatomie]::N,вомкӧтш лы,челюст
45,Kiefer[Anatomie]::N,žoklis,челюст
46,Kehle::N,голя,гърло
47,Kehle::N,rīkle,гърло
48,Hals::N,сьылі,врат
49,Hals::N,kakls,врат
50,Genick::N,юрбӧр,тил
51,Genick::N,балябӧж,тил
52,Genick::N,sprands,тил
53,Kopf::N,юр,глава
54,Kopf::N,galva,глава
55,Rücken::N,мыш,гръб
56,Rücken::N,mugura,гръб
57,Bauch::N,рушку,корем
58,Bauch::N,vēders,корем
59,Nabel::N,гӧг,пъп
60,Nabel::N,naba,пъп
61,Busen::N,морӧс,бозка
62,Busen::N,krūts,бозка
63,Brust::N,морӧс,гръд
64,Brust::N,krūts,гръд
65,Schulter::N,пельпом,рамо
66,Schulter::N,пельпом,плещи
67,Schulter::N,plecs,рамо
68,Schulter::N,plecs,плещи
69,Arm::N,ки,ръка
70,Arm::N,roka,ръка
71,Arm::N,delms,ръка
72,Ellenbogen::N,гырддза,лакът
73,Ellenbogen::N,elkonis,лакът
74,Hand::N,ки,ръка
75,Hand::N,ки,китка
76,Hand::N,roka,ръка
77,Hand::N,roka,китка
78,Hand::N,plauksta,ръка
79,Hand::N,plauksta,китка
80,Handfläche::N,ки пыдӧс,длан
81,Handfläche::N,delna,длан
82,Handfläche::N,plauksta,длан
83,Finger::N,чунь,пръст
84,Finger::N,pirksts,пръст
85,Fingernagel::N,гыж,нокът
86,Fingernagel::N,nags,нокът
87,Nagel[Anatomie]::N,гыж,нокът
88,Nagel[Anatomie]::N,nags,нокът
89,Zeh::N,кок чунь,пръст на крак
90,Zeh::N,pirksts,пръст на крак
91,Fuß::N,кок,крак
92,Fuß::N,кок,нога
93,Fuß::N,kāja,крак
94,Fuß::N,kāja,нога
95,Ferse::N,кокбӧр,пета
96,Ferse::N,papēdis,пета
97,Knie::N,пидзӧс,коляно
98,Knie::N,celis,коляно
99,Oberschenkel::N,лядьвей,бедро
100,Oberschenkel::N,бек,бедро
101,Oberschenkel::N,ciska,бедро
102,Oberschenkel::N,augšstilbs,бедро
103,Bein::N,кок,крак
104,Bein::N,кок,нога
105,Bein::N,kāja,крак
106,Bein::N,kāja,нога
107,Körper::N,туша,тяло
108,Körper::N,вывтыр,тяло
109,Körper::N,miesa,тяло
110,Körper::N,ķermenis,тяло
111,Haut::N,ку,кожа
112,Haut::N,āda,кожа
113,Blut::N,вир,кръв
114,Blut::N,asins,кръв
115,Ader::N,сӧн,вена
116,Ader::N,сӧн,артерия
117,Ader::N,asinsvads,вена
118,Ader::N,asinsvads,артерия
119,Sehne::N,вез,жила
120,Sehne::N,вез,сухожилие
121,Sehne::N,dzīsla,жила
122,Sehne::N,dzīsla,сухожилие
123,Knochen::N,лы,кост
124,Knochen::N,kauls,кост
125,Gehirn::N,вем,мозък
