,Concept_ID,kv,de
0,Auge::N,син,Auge
1,Ohr::N,пель,Ohr
2,Nase::N,ныр,Nase
3,Mund::N,ӧм,Mund
4,Zahn::N,пинь,Zahn
5,Zunge::N,кыв,Zunge
6,Lippe::N,тырп,Lippe
7,Wange::N,рожабан,Wange
8,Gesicht::N,бан,Gesicht
9,Stirn::N,кымӧс,Stirn
10,Haar::N,юрси,Haar
11,Schnurrbart::N,уссэз,Schnurrbart
12,Bart::N,тош,Bart
13,Kinn::N,тшӧка,Kinn
14,Kiefer[Anatomie]::N,ан,Kiefer
15,Kehle::N,юан,Kehle
16,Hals::N,юан,Hals
17,Genick::N,юр бӧр,Genick
18,Kopf::N,юр,Kopf
19,Rücken::N,мышк,Rücken
20,Bauch::N,кынӧм,Bauch
21,Nabel::N,гӧг,Nabel
22,Busen::N,морос,Busen
23,Brust::N,морос,Brust
24,Schulter::N,пельпон,Schulter
25,Arm::N,ки,Arm
26,Ellenbogen::N,гырдзза,Ellenbogen
27,Hand::N,кикар,Hand
28,Handfläche::N,ки пыдӧс,Handfläche
29,Finger::N,чунь,Finger
30,Fingernagel::N,гыж,Fingernagel
31,Nagel[Anatomie]::N,гыж,Nagel
32,Zeh::N,чунь,Zeh
33,Fuß::N,кокпыдӧс,Fuß
34,Ferse::N,кокдзир,Ferse
35,Knie::N,пидзӧс,Knie
36,Oberschenkel::N,лядьбей,Oberschenkel
37,Bein::N,кок,Bein
38,Körper::N,вывтыр,Körper
39,Haut::N,кучик,Haut
40,Blut::N,вир,Blut
41,Ader::N,сӧн,Ader
42,Sehne::N,жила,Sehne
43,Knochen::N,коска,Knochen
44,Gehirn::N,вем,Gehirn
45,Herz::N,сьӧлӧм,Herz
46,Magen::N,жӧвдӧк,Magen
47,Leber::N,мус,Leber
48,Atem::N,лолалӧм,Atem
49,Hunger::N,тшыг,Hunger
50,Träne::N,синва,Träne
51,Geschmack::N,кӧр,Geschmack
52,Geruch::N,дук,Geruch
53,Schlaf::N,он,Schlaf
54,Traum::N,вӧт,Traum
55,Himmel::N,небо,Himmel
56,Sonne::N,шондi,Sonne
57,Mond::N,тӧлiсь,Mond
58,Stern::N,кӧдзыв,Stern
59,Luft::N,ру,Luft
60,Wind::N,тӧв,Wind
61,Welle::N,гы,Welle
62,Wasser::N,ва,Wasser
63,Stein::N,из,Stein
64,Boden::N,му,Boden
65,Erde::N,му,Erde
66,Staub::N,бус,Staub
