,Concept_ID,ady,tr
0,Auge::N,нэ,göz
1,Ohr::N,тхьакӏу́м,kulak
2,Nase::N,пэ,burun
3,Mund::N,жэ,ağız
4,Zahn::N,цэ,diş
5,Zunge::N,бзэгу,dil
6,Lippe::N,ӏупшӏэ́,dudak
7,Wange::N,нэкӏу́шъу,yanak
8,Gesicht::N,нэ́гу,yüz
9,Stirn::N,натӏэ́,alın
10,Haar::N,шъхьацы́,saç
11,Bart::N,жакӏэ́,sakal
12,Kinn::N,жэкӏэпэпкъ,çene
13,Kiefer[Anatomie]::N,жэпкъы́,çene
14,Kehle::N,чый,boğaz
15,Hals::N,пшъэ,boyun
16,Hals::N,пшъэ,gerdan
17,Genick::N,шъхьэпхэтыку,ense
18,Kopf::N,шъхьэ́,baş
19,Kopf::N,шъхьэ́,kafa
20,Rücken::N,кӏыбы́,arka
21,Bauch::N,ныбэ́,karın
22,Busen::N,бгъэ́,koyun
23,Brust::N,бгъэ́,göğüs
24,Schulter::N,блыпкъ,omuz
25,Arm::N,ӏэ,kol
26,Ellenbogen::N,ӏэнтэ́гъу,dirsek
27,Hand::N,ӏэтхьэцу,el
28,Handfläche::N,ӏэ́гу,avuç
29,Handfläche::N,ӏэ́гу,el ayası
30,Finger::N,ӏэхъуа́мб,parmak
31,Fingernagel::N,ӏэбжъа́н,el tırnağı
32,Nagel[Anatomie]::N,ӏэбжъа́н,tırnak
33,Zeh::N,ӏэхъуа́мб,ayak parmağı
34,Fuß::N,лъэгу,ayak
35,Ferse::N,лъэдакъэ,topuk
36,Knie::N,лъагуа́ндж,diz
37,Oberschenkel::N,ко,uyluk
38,Bein::N,лъакъо́,bacak
39,Körper::N,пкъышъол,vücut
40,Haut::N,кӏы́шъу,cilt
41,Blut::N,лъы,kan
42,Ader::N,льытф,damar
43,Sehne::N,фэ,kiriş
44,Knochen::N,къупшъхьэ́,kemik
45,Gehirn::N,куцӏы,beyin
46,Herz::N,гу,kalp
47,Herz::N,гу,yürek
48,Magen::N,мышкӏу,mide
49,Leber::N,шӏу,karaciğer
50,Atem::N,къэщэныр,nefes
51,Hunger::N,гъаблэ́,açlık
52,Träne::N,нэпсы,gözyaşı
53,Geschmack::N,ӏэшӏугъа́кӏ,tat
54,Geschmack::N,ӏэшӏугъа́кӏ,lezzet
55,Geruch::N,мэ,koku
56,Schlaf::N,пчыхьы́пӏ,uyku
57,Traum::N,пчыхьы́пӏ,düş
58,Traum::N,пчыхьы́пӏ,rüya
59,Himmel::N,уашъо́,gök
60,Sonne::N,тыгъэ,güneş
61,Mond::N,мазэ,ay
62,Stern::N,жъуагъо́,yıldız
63,Luft::N,жьы,hava
64,Wind::N,жьыбгъэ́,yel
65,Wind::N,жьыбгъэ́,rüzgâr
66,Welle::N,ор,dalga
67,Welle::N,оры,dalga
68,Wasser::N,псы,su
69,Stein::N,мыжъо́,taş
70,Boden::N,чӏ́ыгу,yer
71,Boden::N,чӏ́ыгу,zemin
72,Erde::N,чӏ́ыгу,toprak
73,Staub::N,сап,toz
74,Rauch::N,ӏугъо́,duman
75,Funke::N,мэшӏуа́ч,kıvılcım
76,Feuer::N,машӏо́,ateş
77,Licht::N,нэфы,ışık
78,Licht::N,нэфын,ışık
79,Schatten::N,жьау́,gölge
80,Schatten::N,ныбжьыкъу,gölge
81,Nebel::N,пща́гъу,pus
82,Wolke::N,ошъуапщэ,bulut
83,Regen::N,ощхы,yağmur
84,Schnee::N,осы́,kar
85,Eis::N,мылы,buz
86,Kälte::N,чъыӏэ́,soğukluk
87,Hitze::N,фэба́е,sıcaklık
88,Regenbogen::N, лэгъупэкъо́пс,gökkuşağı
89,Donner::N,шыблэ́,gök gürlemesi
90,Strömung::N,ток,akıntı
91,Strömung::N,ток,cereyan
92,Tropfen::N,ткӏопс,damla
93,Tropfen::N,гъуаткӏу,damla
94,Schaum::N,тхъурбэ,köpük
95,Schmutz::N,псынжъы,çamur
96,Schmutz::N,псынжъы,pislik
97,See::N,хыку́м,göl
98,See::N,псыхъура́й,göl
99,Sumpf::N,орыжъ,batak
100,Moor::N,орыжъ,cılgıt
101,Wiese::N,хъупӏэ́,çimen
102,Wiese::N,мэкъупӏ,çimen
103,Wald::N,мэзы́,koru
104,Wald::N,мэзы́,orman
105,Hügel::N,ӏуашъхь,tepe
106,Anhöhe::N,чӏыӏэтыгъ,tümsek
107,Anhöhe::N,чӏыӏэтыгъ,yükseklik
108,Berg::N,къушъхьэ́,dağ
109,Gipfel::N,шыгу,zirve
110,Höhle::N,гъочӏэгъ,in
111,Höhle::N,гъочӏэгъ,mağara
112,Abhang::N,чапэ,bayır
113,Quelle::N,псынэчэ́чъ,pınar
114,Quelle::N,псынэчэ́чъ,kaynak
115,Bach::N,псышкуашку,çay
116,Bach::N,псышкуашку,dere
117,Fluss::N,псыхъо́,nehir
118,Ufer::N,нэпкъы,kıyı
119,Ufer::N,нэпкъы,sahil
120,Küste::N,ӏушъо,kıyı
121,Küste::N,ӏушъо,sahil
122,Festland::N,чӏл́ыгу,kara
123,Meer::N,хы,deniz
124,Bucht::N,хыблыгу,koy
125,Bucht::N,хыблыгу,körfez
126,Insel::N,хыгъэхъу́н,ada
127,Blume::N,къэгъа́гь,çiçek
128,Gras::N,уцы́,ot
129,Gras::N,уцы́,çim
130,Wurzel::N,лъапсэ́,kök
131,Baum::N,чъыгы́,ağaç
132,Stamm::N,пкъы,gövde
133,Rinde::N,пхъашъо́,kabuk
134,Ast::N,куамэ,dal
135,Ast::N,куамэ,budak
136,Zweig::N,къутамэ́,dal
137,Blatt::N,тхьап,yaprak
138,Birke::N,пчэн,huş
139,Kiefer[Baum]::N,сэснэй,çam
140,Weide[Baum]::N,пце́л,söğüt
141,Tanne::N,ель,çam
142,Tanne::N,ель,köknar
143,Horn::N,бжъэ,boynuz
144,Feder::N,къамӏы́й,tüy
145,Fell::N,шъо,post
146,Flügel::N,тамэ́,kanat
147,Klaue::N,лъэбжъа́н,pençe
148,Kralle::N,лъакъо,tırnak
149,Schwanz::N,кӏэ,kuyruk
150,Ei::N,кӏэнкӏэ́,yumurta
151,Nest::N,набгъо́,yuva
152,Bau::N,гъу,in
153,Bau::N,бы,in
154,Tier::N,псэу́шъхь,hayvan
155,Herde::N,ӏэхъогъу,sürü
156,Kuh::N,чэмы́,inek
157,Bulle::N,цу,boğa
158,Pferd::N,шы,at
159,Pferd::N,шы,beygir
160,Schaf::N,мэлы́,koyun
161,Schwein::N,къо,domuz
162,Hund::N,бьэ,it
163,Hund::N,бьэ,köpek
164,Katze::N,чэты́у,kedi
165,Bär::N,мышъэ́,ayı
166,Eichhörnchen::N,цызэ́,sincap
167,Elch::N,лось,büyük kuzey geyiği
168,Fuchs::N,баджэ́,tilki
169,Hase::N,тхьакӏумкӏы́хь,tavşan
170,Maus::N,цыгъо́,fare
171,Maus::N,цыгъо́,sıçan
172,Wolf::N,тыгъу́жъ,kurt
173,Vogel::N,бзы́у,kuş
174,Schwarm::N,отэр,sürü
175,Huhn::N,чэты́,tavuk
176,Hahn::N,атакъэ́,horoz
177,Gans::N,къа́з,kaz
178,Ente::N,псычэ́т,ördek
179,Eule::N,тыгъурыгъу,baykuş
180,Kranich::N,къэрэ́у,turna
181,Krähe::N,къолэ́жъ,karga
182,Kuckuck::N,куку́у,guguk
183,Fisch::N,пцэжъы́й,balık
184,Barsch::N,тхыкъэц,hani
185,Barsch::N,тхыкъэц,levrek
186,Hecht::N,лэнд,turnabalığı
187,Schlange[Tier]::N,блэ́,yılan
188,Wurm::N,хьамлыу,kurt
189,Wurm::N,хьамлыу,solucan
190,Spinne::N,бэдж,örümcek
191,Ameise::N,къамзэ́гу,karınca
192,Laus::N,цӏэ,bit
193,Mücke::N,аргъо́й,sivrisinek
194,Fliege::N,бадзэ́,sinek
195,Schmetterling::N,хьампӏыра́шъу,kelebek
196,Beere::N,маткӏо,tane
197,Apfel::N,мыӏэры́с,elma
198,Pilz::N,хьаӏу,mantar
199,Zwiebel::N,бжьыны́,soğan
200,Saat::N,чылапхъ,ekin
201,Korn::N,цэ,tane
202,Heu::N,мэкъу,kuru ot
203,Schale::N,кӏы́шъу,kabuk
204,Grube::N,машэ́,çukur
205,Falle::N,зэраубытырэ́ ӏэмэпсы́м,tuzak
206,Schlinge::N,бзыуубыт,ilmik
207,Spur::N,ужы,iz
208,Spur::N,лъэуж,iz
209,Asche::N,яжьэ́,kül
210,Dreck::N,псынжъы,pislik
211,Eisen::N,гыучӏы́,demir
212,Eisen::N,къэнджа́л,demir
213,Gold::N,дышъэ́,altın
214,Silber::N,тыжьы́н,gümüş
215,Kohle::N,шӏомыкӏ,kömür
216,Glas::N,апч,cam
217,Lehm::N,етӏагъо́,balçık
218,Sand::N,пшахъо,kum
219,Mensch::N,цӏыфы́,insan
220,Mann::N,хъулъфы́гъ,adam
221,Mann::N,хъулъфы́гъ,erkek
222,Frau::N,бӏылъфыгъэ́,bayan
223,Kind::N,кӏэлэцӏы́кӏу,çocuk
224,Junge::N,кӏэлэцӏы́кӏу,erkek çocuk
225,Mädchen::N,пшъэшъэжъый,kız
