,Concept_ID,cy,et
0,Auge::N,llygad,silm
1,Ohr::N,clust,kõrv
2,Nase::N,trwyn,nina
3,Mund::N,ceg,suu
4,Zahn::N,dant,hammas
5,Zunge::N,tafod,keel
6,Lippe::N,gwefus,huul
7,Wange::N,boch,põsk
8,Gesicht::N,wyneb,nägu
9,Stirn::N,talcen,otsmik
10,Haar::N,blew,juus
11,Schnurrbart::N,mwstas,vurrud
12,Schnurrbart::N,mwstas,vuntsid
13,Bart::N,barf,habe
14,Kinn::N,gên,lõug
15,Kiefer[Anatomie]::N,gên,lõualuu
16,Kehle::N,gwddf,kõri
17,Hals::N,gwddf,kael
18,Genick::N,gwar,kukal
19,Genick::N,gwegil,kukal
20,Kopf::N,pen,pea
21,Rücken::N,cefn,selg
22,Bauch::N,bol,kõht
23,Nabel::N,bogail,naba
24,Busen::N,bron,rind
25,Brust::N,brest,rind
26,Schulter::N,ysgwydd,õlg
27,Arm::N,braich,käsivars
28,Ellenbogen::N,penelin,küünarnukk
29,Hand::N,llaw,käsi
30,Handfläche::N,palf,pihk
31,Finger::N,bys,sõrm
32,Fingernagel::N,ewin,küüs
33,Nagel[Anatomie]::N,ewin,küüs
34,Zeh::N,bys troed,varvas
35,Fuß::N,troed,jalg
36,Ferse::N,sawdl,kand
37,Knie::N,glin,põlv
38,Oberschenkel::N,clun,reis
39,Bein::N,coes,jalg
40,Körper::N,corff,ihu
41,Körper::N,corff,keha
42,Haut::N,croen,nahk
43,Blut::N,gwaed,veri
44,Ader::N,gwythïen,veen
45,Sehne::N,gewyn,kõõlus
46,Knochen::N,asgwrn,luu
47,Gehirn::N,ymennydd,aju
48,Herz::N,calon,süda
49,Magen::N,cylla,magu
50,Magen::N,stumog,magu
51,Leber::N,iau,maks
52,Atem::N,anadl,hingeõhk
53,Atem::N,anadl,hingamine
54,Hunger::N,newyn,nälg
55,Träne::N,deigryn,pisar
56,Geschmack::N,cyflas,maitse
57,Geruch::N,aroglau,lõhn
58,Schlaf::N,cwsg,uni
59,Traum::N,breuddwyd,unenägu
60,Himmel::N,awyr,taevas
61,Sonne::N,haul,päike
62,Mond::N,lleuad,kuu
63,Stern::N,seren,täht
64,Luft::N,awyr,õhk
65,Wind::N,gwynt,tuul
66,Welle::N,ton,laine
67,Wasser::N,dŵr,vesi
68,Stein::N,carreg,kivi
69,Boden::N,llawr,maa
70,Boden::N,llawr,pinnas
71,Erde::N,pridd,maa
72,Staub::N,llwch,põrm
73,Rauch::N,mwg,suits
74,Funke::N,gwreichioni,säde
75,Feuer::N,tân,tuli
76,Licht::N,golau,valgus
77,Schatten::N,cysgod,vari
78,Wetter::N,tywydd,ilm
79,Nebel::N,niwl,udu
80,Wolke::N,cwmwl,pilv
81,Regen::N,glaw,sadu
82,Schnee::N,ôd,lumi
83,Schnee::N,eira,lumi
84,Eis::N,iâ,jää
85,Frost::N,rhew,pakane
86,Kälte::N,oerni,külm
87,Kälte::N,oerni,külmus
88,Kälte::N,annwyd,külm
89,Kälte::N,annwyd,külmus
90,Hitze::N,gwres,kuumus
91,Hitze::N,gwres,palavus
92,Raureif::N,barrug,härmatis
93,Regenbogen::N,enfys,vikerkaar
94,Donner::N,tyrfau,kõu
95,Donner::N,tyrfau,müristamine
96,Strömung::N,cerrynt,voolus
97,Strömung::N,cerrynt,jõevool
98,Tropfen::N,dafn,tilk
99,Tropfen::N,diferyn,tilk
100,Schaum::N,ewyn,vaht
101,Schmutz::N,baw,pori
102,Schmutz::N,baw,mustus
103,Schmutz::N,budreddi,pori
104,Schmutz::N,budreddi,mustus
