,Concept_ID,lv,hy
0,Auge::N,син,աչք
1,Auge::N,acs,աչք
2,Ohr::N,пель,ականջ
3,Ohr::N,auss,ականջ
4,Nase::N,ныр,քիթ
5,Nase::N,deguns,քիթ
6,Mund::N,вом,բերան
7,Mund::N,mute,բերան
8,Zahn::N,пинь,ատամ
9,Zahn::N,zobs,ատամ
10,Zunge::N,кыв,լեզու
11,Zunge::N,mēle,լեզու
12,Lippe::N,вом дор,շրթունք
13,Lippe::N,lūpa,շրթունք
14,Wange::N,бан,այտ
15,Wange::N,бан,թուշ
16,Wange::N,vaigs,այտ
17,Wange::N,vaigs,թուշ
18,Gesicht::N,чужӧм,դեմք
19,Gesicht::N,seja,դեմք
20,Gesicht::N,ģīmis,դեմք
21,Stirn::N,плеш,ճակատ
22,Stirn::N,кымӧс,ճակատ
23,Stirn::N,piere,ճակատ
24,Haar::N,си,մազ
25,Haar::N,юрси,մազ
26,Haar::N,mats,մազ
27,Schnurrbart::N,ус,բեղ
28,Schnurrbart::N,пыртсим,բեղ
29,Schnurrbart::N,ūsas,բեղ
30,Bart::N,тош,մորուք
31,Bart::N,bārda,մորուք
32,Kinn::N,тшӧка,կզակ
33,Kinn::N,zods,կզակ
34,Kinn::N,smakrs,կզակ
35,Kiefer[Anatomie]::N,черлы,ծնոտ
36,Kiefer[Anatomie]::N,алака лы,ծնոտ
37,Kiefer[Anatomie]::N,вомкӧтш лы,ծնոտ
38,Kiefer[Anatomie]::N,žoklis,ծնոտ
39,Kehle::N,голя,կոկորդ
40,Kehle::N,rīkle,կոկորդ
41,Hals::N,сьылі,վիզ
42,Hals::N,сьылі,պարանոց
43,Hals::N,kakls,վիզ
44,Hals::N,kakls,պարանոց
45,Genick::N,юрбӧр,ծոծրակ
46,Genick::N,балябӧж,ծոծրակ
47,Genick::N,sprands,ծոծրակ
48,Kopf::N,юр,գլուխ
49,Kopf::N,galva,գլուխ
50,Rücken::N,мыш,մեջք
51,Rücken::N,mugura,մեջք
52,Bauch::N,рушку,փոր
53,Bauch::N,рушку,որովայն
54,Bauch::N,vēders,փոր
55,Bauch::N,vēders,որովայն
56,Nabel::N,гӧг,պորտ
57,Nabel::N,naba,պորտ
58,Busen::N,морӧс,ծոց
59,Busen::N,krūts,ծոց
60,Brust::N,морӧс,կուրծք
61,Brust::N,krūts,կուրծք
62,Schulter::N,пельпом,ուս
63,Schulter::N,plecs,ուս
64,Arm::N,ки,թեւ
65,Arm::N,ки,բազուկ
66,Arm::N,roka,թեւ
67,Arm::N,roka,բազուկ
68,Arm::N,delms,թեւ
69,Arm::N,delms,բազուկ
70,Ellenbogen::N,гырддза,արմունկ
71,Ellenbogen::N,elkonis,արմունկ
72,Hand::N,ки,ձեռք
73,Hand::N,roka,ձեռք
74,Hand::N,plauksta,ձեռք
75,Handfläche::N,ки пыдӧс,ափ
76,Handfläche::N,delna,ափ
77,Handfläche::N,plauksta,ափ
78,Finger::N,чунь,մատ
79,Finger::N,pirksts,մատ
80,Fingernagel::N,гыж,եղունգ
81,Fingernagel::N,nags,եղունգ
82,Nagel[Anatomie]::N,гыж,եղունգ
83,Nagel[Anatomie]::N,nags,եղունգ
84,Zeh::N,кок чунь,ոտքի մատ
85,Zeh::N,pirksts,ոտքի մատ
86,Fuß::N,кок,ոտք
87,Fuß::N,kāja,ոտք
88,Ferse::N,кокбӧр,գարշապար
89,Ferse::N,papēdis,գարշապար
90,Knie::N,пидзӧс,ծունկ
91,Knie::N,celis,ծունկ
92,Oberschenkel::N,лядьвей,ազդր
93,Oberschenkel::N,бек,ազդր
94,Oberschenkel::N,ciska,ազդր
95,Oberschenkel::N,augšstilbs,ազդր
96,Bein::N,кок,ոտք
97,Bein::N,kāja,ոտք
98,Körper::N,туша,մարմին
99,Körper::N,вывтыр,մարմին
100,Körper::N,miesa,մարմին
101,Körper::N,ķermenis,մարմին
102,Haut::N,ку,մաշկ
103,Haut::N,āda,մաշկ
104,Blut::N,вир,արյուն
105,Blut::N,asins,արյուն
106,Ader::N,сӧн,երակ
107,Ader::N,asinsvads,երակ
108,Sehne::N,вез,ջիղ
109,Sehne::N,вез,ձգտան
110,Sehne::N,dzīsla,ջիղ
111,Sehne::N,dzīsla,ձգտան
112,Knochen::N,лы,ոսկոր
113,Knochen::N,kauls,ոսկոր
114,Gehirn::N,вем,խելք
115,Gehirn::N,smadzenes,խելք
116,Herz::N,сьӧлӧм,սիրտ
117,Herz::N,sirds,սիրտ
118,Magen::N,кынӧм,ստամոքս
119,Magen::N,kuņģis,ստամոքս
120,Leber::N,мус,լյարդ
121,Leber::N,aknas,լյարդ
122,Atem::N,лов,շունչ
123,Atem::N,elpa,շունչ
124,Hunger::N,тшыг,քաղց
125,Hunger::N,bads,քաղց
126,Hunger::N,izsalkums,քաղց
127,Träne::N,синва,արտասուք
128,Träne::N,asara,արտասուք
129,Geschmack::N,кӧр,համ
130,Geschmack::N,кӧр,բուրմունք
131,Geschmack::N,чӧсмӧс,համ
132,Geschmack::N,чӧсмӧс,բուրմունք
133,Geschmack::N,garša,համ
134,Geschmack::N,garša,բուրմունք
135,Geruch::N,зын,հոտ
136,Geruch::N,зын,բուրում
137,Geruch::N,дук,հոտ
138,Geruch::N,дук,բուրում
139,Geruch::N,smaka,հոտ
140,Geruch::N,smaka,բուրում
141,Schlaf::N,узьӧм,քուն
142,Schlaf::N,miegs,քուն
143,Traum::N,вӧт,երազ
144,Traum::N,вӧтасьӧм,երազ
145,Traum::N,sapnis,երազ
146,Himmel::N,енэж,երկինք
147,Himmel::N,debess,երկինք
148,Sonne::N,шонді,արեւ
149,Sonne::N,saule,արեւ
150,Mond::N,тӧлысь,լուսին
151,Mond::N,mēness,լուսին
152,Stern::N,кодзув,աստղ
153,Stern::N,zvaigzne,աստղ
154,Luft::N,сынӧд,օդ
155,Luft::N,gaiss,օդ
156,Wind::N,тӧв,քամի
157,Wind::N,vējš,քամի
158,Welle::N,гы,ալիք
159,Welle::N,vilnis,ալիք
160,Wasser::N,ва,ջուր
161,Wasser::N,ūdens,ջուր
162,Stein::N,из,քար
163,Stein::N,akmens,քար
164,Boden::N,му,գետին
165,Boden::N,augsne,գետին
166,Erde::N,му,հող
167,Erde::N,му-ва,հող
168,Erde::N,zeme,հող
169,Staub::N,бус,փոշի
170,Staub::N,putekļi,փոշի
171,Rauch::N,тшын,ծուխ
172,Rauch::N,dūmi,ծուխ
173,Funke::N,кинь,կայծ
174,Funke::N,би кинь,կայծ
175,Funke::N,dzirkstele,կայծ
176,Feuer::N,би,կրակ
177,Feuer::N,би,հրդեհ
178,Feuer::N,uguns,կրակ
179,Feuer::N,uguns,հրդեհ
180,Licht::N,югӧр,լույս
181,Licht::N,gaisma,լույս
182,Schatten::N,вуджӧр,ստվեր
183,Schatten::N,ēna,ստվեր
184,Wetter::N,поводдя,եղանակ
185,Wetter::N,laiks,եղանակ
186,Nebel::N,ру,մեգ
187,Nebel::N,ру,մառախուղ
188,Nebel::N,онь,մեգ
189,Nebel::N,онь,մառախուղ
190,Nebel::N,migla,մեգ
191,Nebel::N,migla,մառախուղ
192,Wolke::N,кымӧр,ամպ
193,Wolke::N,mākonis,ամպ
194,Regen::N,зэр,անձրև
195,Regen::N,lietus,անձրև
196,Schnee::N,лым,ձյուն
197,Schnee::N,sniegs,ձյուն
198,Eis::N,йи,սառույց
199,Eis::N,ledus,սառույց
200,Frost::N,кӧдзыд,սառնամանիք
201,Frost::N,sals,սառնամանիք
202,Kälte::N,кӧдзыд,դող
203,Kälte::N,saltums,դող
204,Kälte::N,aukstums,դող
205,Hitze::N,пӧсь,շոգ
206,Hitze::N,гожӧд,շոգ
207,Hitze::N,karstums,շոգ
208,Raureif::N,пуж,ցօղեղեամ
209,Raureif::N,гыӧр,ցօղեղեամ
210,Raureif::N,sarma,ցօղեղեամ
211,Regenbogen::N,ӧшкамӧшка,ծիածան
212,Regenbogen::N,varavīksne,ծիածան
213,Donner::N,гым,որոտ
214,Donner::N,pērkons,որոտ
215,Strömung::N,ва ныр,հոսանք
216,Strömung::N,визувтӧм,հոսանք
217,Strömung::N,straume,հոսանք
218,Strömung::N,strāvojums,հոսանք
219,Tropfen::N,войт,կաթիլ
220,Tropfen::N,lāse,կաթիլ
221,Schaum::N,быг,փրփուր
222,Schaum::N,быгзьӧм,փրփուր
223,Schaum::N,putas,փրփուր
224,Schmutz::N,няйт,կեղտ
225,Schmutz::N,dubļi,կեղտ
226,See::N,ты,լիճ
227,See::N,ezers,լիճ
228,Sumpf::N,гыбад,ճահիճ
229,Sumpf::N,кад,ճահիճ
230,Sumpf::N,dumbrājs,ճահիճ
231,Sumpf::N,staignājs,ճահիճ
232,Moor::N,нюр,ճահիճ
233,Moor::N,purvs,ճահիճ
234,Moor::N,muklājs,ճահիճ
235,Wiese::N,видз,մարգագետին
236,Wiese::N,pļava,մարգագետին
237,Wald::N,вӧр,անտառ
238,Wald::N,mežs,անտառ
239,Hügel::N,дзиб,բլուր
240,Hügel::N,мыльк,բլուր
241,Hügel::N,нӧрыс,բլուր
242,Hügel::N,paugurs,բլուր
243,Anhöhe::N,мыльк,բարձունք
244,Anhöhe::N,нӧрыс,բարձունք
245,Anhöhe::N,paugurs,բարձունք
246,Berg::N,чой,լեռ
247,Berg::N,керӧс,լեռ
248,Berg::N,kalns,լեռ
249,Gipfel::N,чук,գագաթ
250,Gipfel::N,чук,կատար
251,Gipfel::N,virsotne,գագաթ
252,Gipfel::N,virsotne,կատար
253,Höhle::N,рудӧг,քարայր
254,Höhle::N,ala,քարայր
255,Abhang::N,ньывк,լանջ
256,Abhang::N,ньывк,զառիվայր
257,Abhang::N,бокша,լանջ
258,Abhang::N,бокша,զառիվայր
259,Abhang::N,nogāze,լանջ
260,Abhang::N,nogāze,զառիվայր
261,Quelle::N,ӧшмӧс,աղբյուր
262,Quelle::N,avots,աղբյուր
263,Bach::N,шор,վտակ
264,Bach::N,urga,վտակ
265,Bach::N,strauts,վտակ
266,Fluss::N,ю,գետ
267,Fluss::N,upe,գետ
268,Ufer::N,вадор,ծովափ
269,Ufer::N,krasts,ծովափ
270,Küste::N,вадор,ափ
271,Küste::N,вадор,ծովափ
272,Küste::N,piekraste,ափ
273,Küste::N,piekraste,ծովափ
274,Festland::N,му,ցամաք
275,Festland::N,sauszeme,ցամաք
276,Meer::N,саридз,ծով
277,Meer::N,jūra,ծով
278,Bucht::N,куръя,հաչիւն
279,Bucht::N,līcis,հաչիւն
280,Insel::N,ді,վղզի
281,Insel::N,sala,վղզի
282,Blume::N,дзоридз,ծաղիկ
283,Blume::N,puķe,ծաղիկ
284,Blume::N,zieds,ծաղիկ
285,Gras::N,турун,խոտ
286,Gras::N,zāle,խոտ
287,Wurzel::N,вуж,արմատ
288,Wurzel::N,sakne,արմատ
289,Baum::N,пу,ծառ
290,Baum::N,koks,ծառ
291,Stamm::N,пучер,իրան
292,Stamm::N,stumbrs,իրան
293,Rinde::N,кырсь,կեղեւ
294,Rinde::N,кырсь,հաչոց
295,Rinde::N,miza,կեղեւ
296,Rinde::N,miza,հաչոց
297,Ast::N,ув,ճյուղ
298,Ast::N,zars,ճյուղ
299,Zweig::N,вож,ճյուղ
300,Zweig::N,nozare,ճյուղ
301,Blatt::N,кор,տերեւ
302,Blatt::N,lapa,տերեւ
303,Birke::N,кыдз,ցարասի
304,Birke::N,bērzs,ցարասի
305,Kiefer[Baum]::N,пожӧм,սոճի
306,Kiefer[Baum]::N,priede,սոճի
307,Weide[Baum]::N,бадь,ուռենի
308,Weide[Baum]::N,kārkls,ուռենի
309,Tanne::N,коз,եղեւին
310,Tanne::N,egle,եղեւին
311,Horn::N,сюр,
312,Horn::N,rags,
313,Feder::N,гӧн,փետուր
314,Feder::N,тывборд,փետուր
315,Feder::N,spalva,փետուր
316,Fell::N,ку,մորթի
317,Fell::N,āda,մորթի
318,Flügel::N,борд,թեւ
319,Flügel::N,spārns,թեւ
320,Klaue::N,гыж,չանչ
321,Klaue::N,nags,չանչ
322,Kralle::N,гыж,ճանկ
323,Kralle::N,nags,ճանկ
324,Schwanz::N,бӧж,պոչ
325,Schwanz::N,ļipa,պոչ
326,Ei::N,кольк,ձու
327,Ei::N,ola,ձու
328,Nest::N,поз,բույն
329,Nest::N,ligzda,բույն
330,Bau::N,горс,որջ
331,Bau::N,горс,բայոց
332,Bau::N,пырмӧс,որջ
333,Bau::N,пырмӧс,բայոց
334,Bau::N,гу,որջ
335,Bau::N,гу,բայոց
336,Bau::N,ala,որջ
337,Bau::N,ala,բայոց
338,Tier::N,пемӧс,կենդանի
339,Tier::N,dzīvnieks,կենդանի
340,Herde::N,стада,հոտ
341,Herde::N,кельӧб,հոտ
342,Herde::N,ganāmpulks,հոտ
343,Kuh::N,мӧс,կով
344,Kuh::N,govs,կով
345,Bulle::N,ӧш,ցուլ
346,Bulle::N,bullis,ցուլ
347,Pferd::N,вӧв,ձի
348,Pferd::N,zirgs,ձի
349,Schaf::N,ыж,ոչխար
350,Schaf::N,aita,ոչխար
351,Schwein::N,порсь,խոզ
352,Schwein::N,cūka,խոզ
353,Hund::N,пон,շուն
354,Hund::N,suns,շուն
355,Katze::N,кань,կատու
356,Katze::N,kaķis,կատու
357,Bär::N,ош,արջ
358,Bär::N,lācis,արջ
359,Eichhörnchen::N,ур,սկյուռ
360,Eichhörnchen::N,vāvere,սկյուռ
361,Elch::N,йӧра,հիւսիսային եղջերու
362,Elch::N,alnis,հիւսիսային եղջերու
363,Fuchs::N,руч,աղվես
364,Fuchs::N,lapsa,աղվես
365,Hase::N,кӧч,նապաստակ
366,Hase::N,zaķis,նապաստակ
367,Maus::N,шыр,մուկ
368,Maus::N,pele,մուկ
369,Wolf::N,кӧин,գայլ
370,Wolf::N,vilks,գայլ
371,Vogel::N,кай,թռչուն
372,Vogel::N,лэбач,թռչուն
373,Vogel::N,putns,թռչուն
374,Schwarm::N,чукӧр,երամ
375,Schwarm::N,spiets,երամ
376,Huhn::N,курӧг,հավ
377,Huhn::N,vista,հավ
378,Hahn::N,петук,աքաղաղ
379,Hahn::N,gailis,աքաղաղ
380,Gans::N,дзодзӧг,սագ
381,Gans::N,zoss,սագ
382,Adler::N,кутш,արծիվ
383,Adler::N,ērglis,արծիվ
384,Ente::N,утка,բադ
385,Ente::N,pīle,բադ
386,Eule::N,сюзь,բու
387,Eule::N,pūce,բու
388,Kranich::N,тури,կռունկ
389,Kranich::N,dzērve,կռունկ
390,Krähe::N,рака,ագռավ
391,Krähe::N,vārna,ագռավ
392,Kuckuck::N,кӧк,կուկու
393,Kuckuck::N,dzeguze,կուկու
394,Schwan::N,юсь,կարապ
395,Schwan::N,gulbis,կարապ
396,Fisch::N,чери,ձուկ
397,Fisch::N,zivs,ձուկ
398,Barsch::N,ёкыш,պերկես
399,Barsch::N,asaris,պերկես
400,Hecht::N,сир,գայլաձուկ
401,Hecht::N,līdaka,գայլաձուկ
402,Schlange[Tier]::N,кый,օձ
403,Schlange[Tier]::N,čūska,օձ
404,Wurm::N,номыр,որդ
405,Wurm::N,номыр,ճիճու
406,Wurm::N,tārps,որդ
407,Wurm::N,tārps,ճիճու
408,Spinne::N,черань,սարդ
409,Spinne::N,zirneklis,սարդ
410,Ameise::N,кодзувкот,միջյուն
411,Ameise::N,skudra,միջյուն
412,Laus::N,той,ոջիլ
413,Laus::N,uts,ոջիլ
414,Mücke::N,ном,մժղուկ
415,Mücke::N,ods,մժղուկ
416,Fliege::N,гут,ճանճ
417,Fliege::N,muša,ճանճ
418,Schmetterling::N,бобув,թիթեռ
419,Schmetterling::N,tauriņš,թիթեռ
420,Beere::N,тусь,հատապտուղ
421,Beere::N,вотӧс,հատապտուղ
422,Beere::N,oga,հատապտուղ
423,Apfel::N,яблӧг,խնձոր
424,Apfel::N,ābols,խնձոր
425,Pilz::N,тшак,սունկ
426,Pilz::N,sēne,սունկ
427,Zwiebel::N,луккок,սոխ
428,Zwiebel::N,йӧнгыль,սոխ
429,Zwiebel::N,sīpols,սոխ
430,Saat::N,тусь,սերմ
431,Saat::N,кӧйдыс,սերմ
432,Saat::N,sēkla,սերմ
433,Korn::N,тусь,հատիկ
434,Korn::N,grauds,հատիկ
435,Heu::N,турун,խոտ
436,Heu::N,siens,խոտ
