,Concept_ID,cv,vep
0,Auge::N,куҫ,sil'm
1,Ohr::N,хӑлха,korv
2,Nase::N,сӑмса,nena
3,Mund::N,ҫӑвар,su
4,Zahn::N,шӑл,pi
5,Zahn::N,шӑл,hambaz
6,Zunge::N,чӗлхе,kel'
7,Lippe::N,тута,hul'
8,Wange::N,пит ҫӑмарти,modpolišk
9,Gesicht::N,пит,mod
10,Gesicht::N,пит-куҫ,mod
11,Stirn::N,ҫамка,oc
12,Haar::N,ҫӳҫ,tuk
13,Haar::N,ҫӳҫ,hibuz
14,Schnurrbart::N,усси,habinod
15,Bart::N,сухал,bard
16,Kinn::N,янах,löug
17,Kiefer[Anatomie]::N,янах,hambazlu
18,Kehle::N,пыр,kurk
19,Kehle::N,карланкӑ,kurk
20,Hals::N,пыр,kagl
21,Genick::N,ӗнсе,tagarai
22,Kopf::N,пуҫ,pä
23,Rücken::N,ҫурӑм,sel'g
24,Nabel::N,кӑвапа,naba
25,Busen::N,кӑкӑр,niža
26,Brust::N,умӗ,rind
27,Schulter::N,хул пуҫҫи,oug
28,Arm::N,алӑ,käzi
29,Ellenbogen::N,чавса,künambruz
30,Hand::N,алӑ сыппи,käzi
31,Hand::N,алӑ сыппи,käzitera
32,Handfläche::N,ал лаппи,kämen
33,Finger::N,пӳрне,sor'm
34,Fingernagel::N,чӗрне,künz'
35,Nagel[Anatomie]::N,чӗрне,künz'
36,Zeh::N,пӳрне,barbaz
37,Fuß::N,ура лаппи,jaug
38,Ferse::N,кӗле,kand
39,Knie::N,чӗркуҫҫи,komb
40,Knie::N,чӗркуҫҫи,pol'v
41,Oberschenkel::N,пӗҫӗ,riiže
42,Bein::N,ура,jaug
43,Körper::N,ӳт,hibj
44,Körper::N,ӳт-пӳ,hibj
45,Haut::N,тир,nahk
46,Blut::N,юн,čak
47,Blut::N,юн,veri
48,Ader::N,вена,son'
49,Sehne::N,шӑнӑр,jände
50,Knochen::N,шӑмӑ,lu
51,Gehirn::N,миме,aivod
52,Herz::N,чӗре,südäin
53,Magen::N,хырӑмлӑх,südäikoht
54,Leber::N,пӗвер,maks
55,Atem::N,сывлав,hengaiduz
56,Hunger::N,выҫлӑх,näl'g
57,Träne::N,куҫҫуль,kündal'
58,Geschmack::N,техӗм,magu
59,Geruch::N,шӑршӑ,haju
60,Schlaf::N,ыйхӑ,uni
61,Traum::N,тӗлӗк,unikuva
62,Himmel::N,пӗлӗт,taivaz
63,Sonne::N,хӗвел,päiväine
64,Mond::N,уйӑх,kudmaine
65,Stern::N,ҫӑлтӑр,tähtaz
66,Luft::N,сывлӑш,il'm
67,Wind::N,ҫил,döl
68,Wind::N,ҫил,tullei
69,Welle::N,хум,ald
70,Welle::N,хум,laineh
71,Wasser::N,шыв,vezi
72,Wasser::N,шыв-шур,vezi
73,Stein::N,чул,kivi
74,Boden::N,тӑпра,ma
75,Boden::N,тӑпра,pohj
76,Erde::N,ҫӗр,ma
77,Staub::N,тусан,pölü
78,Rauch::N,тӗтӗм,savu
79,Funke::N,хӗм,kibin
80,Feuer::N,вут,lämoi
81,Feuer::N,ҫулӑм,lämoi
82,Licht::N,ҫутӑ,vauktuz
83,Schatten::N,сулхӑн,pil'vez
84,Schatten::N,сулхӑн,kuvahaine
85,Wetter::N,ҫанталӑк,sä
86,Nebel::N,тӗтре,sumeg
87,Wolke::N,пӗлӗт,pil'v
88,Regen::N,ҫумӑр,vihm
89,Schnee::N,юр,lumi
90,Eis::N,пӑр,jä
91,Frost::N,сивӗ,hala
92,Frost::N,сивӗ,pakaine
93,Kälte::N,сивӗ,vilu
94,Hitze::N,вӗри,räk
95,Hitze::N,шӑрӑх,räk
96,Raureif::N,пас,hüde
97,Regenbogen::N,асамат кӗперӗ,jumalanbembel'
98,Donner::N,аслати,juru
99,Donner::N,аслати,jumalanjuru
100,Strömung::N,юхӑ,joksmuz
101,Tropfen::N,тумлам,tilkuine
102,Schaum::N,кӑпӑк,vaht
103,Schmutz::N,пылчӑк,redu
104,Schmutz::N,пылчӑк,pačak
105,See::N,кӳлӗ,järv
106,Sumpf::N,шур,so
107,Sumpf::N,шурлӑх,so
108,Moor::N,торфлӑ шурлӑх,so
109,Wiese::N,улӑх,nit
110,Wiese::N,ҫаран,nit
111,Wald::N,вӑрман,mec
112,Hügel::N,сӑрт,kukaz
113,Hügel::N,тӗмеске,kukaz
114,Anhöhe::N,сӑрт,kukaz
115,Berg::N,ту,mägi
116,Gipfel::N,тӳпе,ladv
117,Höhle::N,ҫӗр хӑвӑлӗ,mägionduz
118,Abhang::N,тӑвайкки,paute
119,Quelle::N,ҫӑл куҫ,lähte
120,Bach::N,пӗчӗк шыв,oja
121,Fluss::N,юхан шыв,jogi
122,Ufer::N,ҫыран,rand
123,Küste::N,тинӗс ҫыранӗ,randišt
124,Festland::N,тип ҫӗр,kuivma
125,Meer::N,тинӗс,meri
126,Bucht::N,тинӗс кукӑрӗ,laht
127,Insel::N,утрав,sar'
128,Blume::N,чечек,änik
129,Gras::N,курӑк,hein
130,Wurzel::N,тымар,jur'
131,Baum::N,йывӑҫ,pu
132,Stamm::N,вулӑ,tüvi
133,Rinde::N,хуйӑр,kor'
134,Ast::N,турат,oks
135,Zweig::N,турат,oks
136,Zweig::N,турат,barb
137,Blatt::N,ҫулҫӑ,lehtez
138,Birke::N,хурӑн,koiv
139,Kiefer[Baum]::N,хыр,pedai
140,Weide[Baum]::N,хӑва,raid
141,Tanne::N,чӑрӑш,kuz'
142,Horn::N,мӑйрака,sar'v
143,Feder::N,тӗк,höuneh
144,Fell::N,ҫӑм,nahk
145,Flügel::N,ҫунат,suug
146,Klaue::N,чӗрне,künz'
147,Kralle::N,ура,künz'
148,Schwanz::N,хӳре,händ
149,Ei::N,ҫӑмарта,muna
150,Nest::N,йӑва,peza
151,Bau::N,йӗнӗ,uru
152,Tier::N,выльӑх,živat
153,Herde::N,кӗтӳ,kogo
154,Kuh::N,ӗне,lehm
155,Bulle::N,вӑкӑр,härg
156,Pferd::N,лаша,hebo
157,Schaf::N,сурӑх,lambaz
158,Schwein::N,сысна,siga
159,Hund::N,йытӑ,koir
160,Katze::N,кушак,kaži
161,Bär::N,упа,kondi
162,Eichhörnchen::N,пакша,orav
163,Elch::N,пӑши,hirb'
164,Fuchs::N,тилӗ,reboi
165,Hase::N,куян,jäniš
166,Hase::N,мулкач,jäniš
167,Maus::N,шӑши,hir'
168,Wolf::N,кашкӑр,händikaz
169,Vogel::N,кайӑк,lind
170,Vogel::N,вӗҫен кайӑк,lind
171,Schwarm::N,ушкӑн,parveh
172,Huhn::N,чӑх,kana
173,Huhn::N,чӑхӑ,kana
174,Hahn::N,автан,kukoi
175,Gans::N,хур,hanh'
176,Adler::N,ӑмӑрт кайӑк,orl
177,Ente::N,кӑвакал,sorz
178,Eule::N,тӑмана,hir'pulo
179,Kranich::N,тӑрна,kurg
180,Krähe::N,ула курак,variš
181,Kuckuck::N,куккук,kägi
182,Schwan::N,акӑш,joucen
183,Fisch::N,пулӑ,kala
184,Barsch::N,уланкӑ,ahven
185,Hecht::N,ҫӑрттан,haug'
186,Schlange[Tier]::N,ҫӗлен,kü
187,Schlange[Tier]::N,ҫӗлен,mado
188,Wurm::N,ӑман,mado
189,Spinne::N,эрешмен,hämähouk
190,Ameise::N,кӑткӑ,murahaine
191,Laus::N,пыйтӑ,täi
192,Mücke::N,вӑрӑм туна,säs'k
193,Fliege::N,шӑна,kärbhaine
194,Schmetterling::N,лӗпӗш,lipkaine
195,Beere::N,ҫырла,marj
196,Apfel::N,улма,jablok
197,Apfel::N,пан улми,jablok
198,Pilz::N,кӑмпа,sen'
199,Pilz::N,кӑмпа,babuk
200,Zwiebel::N,сухан,lauk
201,Saat::N,вӑрӑ,semned
202,Korn::N,тӗшӗ,jüvä
203,Korn::N,тӗшӗ,vill'
204,Korn::N,пӗрчӗ,jüvä
205,Korn::N,пӗрчӗ,vill'
206,Heu::N,утӑ,hein
207,Schale::N,хупӑ,kor'
208,Grube::N,шӑтӑк,kop
209,Falle::N,тапӑ,rida
210,Falle::N,капкӑн,rida
211,Schlinge::N,йӑлӑ,rihm
212,Spur::N,йӗр,jäl'g
213,Asche::N,кӗл,tuhk
214,Dreck::N,пылчӑк,redu
215,Dreck::N,пылчӑк,pačak
216,Eisen::N,тимӗр,raud
217,Gold::N,ылтӑн,kuld
218,Silber::N,кӗмӗл,hobed
219,Kohle::N,кӑмрӑк,hil'
220,Glas::N,кӗленче,stökol
221,Lehm::N,тӑм,savi
222,Sand::N,хӑйӑр,lete
223,Mensch::N,ҫын,mez'
224,Mensch::N,ҫын,ristit
225,Mensch::N,этем,mez'
226,Mensch::N,этем,ristit
227,Mann::N,ар,mez'
228,Frau::N,хӗрарӑм,naine
229,Kind::N,ача,laps'
230,Junge::N,ача,poig
231,Junge::N,ача,prihaine
232,Junge::N,ар ҫын ача,poig
233,Junge::N,ар ҫын ача,prihaine
234,Mädchen::N,хӗр ача,neičukaine
235,Familie::N,ҫемье,kanz
236,Familie::N,ҫемье,pereh
237,Familie::N,кил-йыш,kanz
238,Familie::N,кил-йыш,pereh
239,Großvater::N,кукаҫи,ded
240,Großmutter::N,кукамай,bab
241,Eltern::N,аҫа-ама,vanhembad
242,Eltern::N,аҫа-ама,kazvatajad
243,Vater::N,атте,tat
