,Concept_ID,sl,pl
0,Auge::N,okó,oko
1,Ohr::N,uhó,ucho
2,Nase::N,nós,nos
3,Mund::N,ústa,usta
4,Zahn::N,zób,ząb
5,Zunge::N,jêzik,język
6,Lippe::N,ústnica,warga
7,Wange::N,líce,policzek
8,Gesicht::N,oblíčje,twarz
9,Stirn::N,čêlo,czoło
10,Haar::N,lás,włos
11,Haar::N,lás,włosy
12,Schnurrbart::N,bŕki,wąsy
13,Bart::N,bráda,broda
14,Kinn::N,bráda,podbródek
15,Kiefer[Anatomie]::N,čeljúst,czeluść
16,Kehle::N,gŕlo,gardło
17,Hals::N,vrát,szyja
18,Genick::N,zatílnik,kark
19,Kopf::N,gláva,głowa
20,Rücken::N,hrbèt,plecy
21,Rücken::N,hrbèt,grzbiet
22,Bauch::N,trébuh,brzuch
23,Nabel::N,pópek,pępek
24,Busen::N,nédrja,biust
25,Brust::N,pŕsi,pierś
26,Schulter::N,ráma,bark
27,Schulter::N,ráma,ramię
28,Schulter::N,plêče,bark
29,Schulter::N,plêče,ramię
30,Arm::N,rôka,ręka
31,Arm::N,rôka,ramię
32,Ellenbogen::N,komólec,łokieć
33,Hand::N,rôka,dłoń
34,Handfläche::N,dlán,dłoń
35,Finger::N,pŕst,palec
36,Fingernagel::N,nóht na rôki,paznokieć
37,Nagel[Anatomie]::N,nóht,paznokieć
38,Zeh::N,pŕst na nôgi,palec
39,Fuß::N,nôga,stopa
40,Ferse::N,pêta,pięta
41,Knie::N,koléno,kolano
42,Oberschenkel::N,stêgno,udo
43,Bein::N,nôga,noga
44,Körper::N,teló,ciało
45,Haut::N,kóža,skóra
46,Blut::N,krí,krew
47,Ader::N,žíla,żyła
48,Sehne::N,kíta,ścięgno
49,Knochen::N,kóst,kość
50,Gehirn::N,možgáni,mózg
51,Herz::N,srcé,serce
52,Magen::N,želódec,żołądek
53,Leber::N,jétra,wątroba
54,Atem::N,díh,dech
55,Atem::N,díh,oddech
56,Hunger::N,glád,głód
57,Träne::N,sólza,łza
58,Geschmack::N,okús,smak
59,Geruch::N,vónj,woń
60,Geruch::N,vónj,zapach
61,Schlaf::N,sèn,sen
62,Schlaf::N,spánec,sen
63,Traum::N,sánje,sen
64,Himmel::N,nebó,niebo
65,Sonne::N,sónce,słońce
66,Mond::N,lúna,księżyc
67,Mond::N,mésec,księżyc
68,Stern::N,zvézda,gwiazda
69,Luft::N,zràk,powietrze
70,Wind::N,véter,wiatr
71,Welle::N,vál,fala
72,Wasser::N,vôda,woda
73,Stein::N,kámen,kamień
74,Boden::N,tlà,grunt
75,Erde::N,pŕst,ziemia
76,Erde::N,zêmlja,ziemia
77,Staub::N,práh,pył
78,Staub::N,práh,kurz
79,Rauch::N,dìm,dym
80,Funke::N,ískra,iskra
81,Feuer::N,ôgenj,ogień
82,Licht::N,lúč,światło
83,Schatten::N,sénca,cień
84,Wetter::N,vrême,pogoda
85,Nebel::N,meglà,mgła
86,Wolke::N,oblák,obłok
87,Wolke::N,oblák,chmura
88,Regen::N,dèž,deszcz
89,Schnee::N,snég,śnieg
90,Eis::N,léd,lód
91,Frost::N,zmrzál,mróz
92,Kälte::N,mràz,chłód
93,Hitze::N,pripéka,gorąco
94,Raureif::N,ívje,szron
95,Raureif::N,slána,szron
96,Regenbogen::N,mávrica,tęcza
97,Donner::N,gròm,grzmot
98,Strömung::N,strúja,nurt
99,Tropfen::N,káplja,kropla
100,Schaum::N,péna,piana
101,Schmutz::N,nesnága,brud
102,See::N,jézero,jezioro
103,Sumpf::N,močvírje,bagno
104,Moor::N,bárje,bagno
105,Wiese::N,trávnik,łąka
106,Wald::N,lés,las
107,Wald::N,gòzd,las
108,Hügel::N,brég,pagórek
109,Hügel::N,goríca,pagórek
110,Anhöhe::N,gríč,wzgórze
111,Anhöhe::N,višína,wzgórze
112,Berg::N,gôra,góra
113,Berg::N,planína,góra
114,Gipfel::N,vŕh,szczyt
115,Gipfel::N,vŕh,wierzchołek
116,Höhle::N,jáma,pieczara
117,Höhle::N,votlína,pieczara
118,Abhang::N,pobóčje,stok
119,Abhang::N,pobóčje,zbocze
120,Quelle::N,izvír,zdrój
121,Quelle::N,izvír,źródło
122,Bach::N,pôtok,potok
123,Bach::N,pôtok,strumień
124,Fluss::N,réka,rzeka
125,Ufer::N,brég,brzeg
126,Küste::N,obála,wybrzeże
127,Küste::N,obréžje,wybrzeże
128,Festland::N,celína,ląd
129,Festland::N,kopnína,ląd
130,Meer::N,mórje,morze
131,Bucht::N,zalív,zatoka
132,Insel::N,ôtok,wyspa
133,Blume::N,cvetlíca,kwiat
134,Gras::N,tráva,trawa
135,Wurzel::N,korenína,korzeń
136,Baum::N,drevó,drzewo
137,Stamm::N,dêblo,pień
138,Rinde::N,lúbje,kora
139,Rinde::N,skórja,kora
140,Ast::N,véja,gałąź
141,Zweig::N,véja,gałąź
142,Blatt::N,líst,liść
143,Birke::N,bréza,brzoza
144,Kiefer[Baum]::N,bòr,sosna
145,Weide[Baum]::N,vŕba,wierzba
146,Tanne::N,hója,jodła
147,Horn::N,róg,róg
148,Feder::N,peró,pióro
149,Fell::N,kŕzno,futro
150,Flügel::N,krílo,skrzydło
151,Klaue::N,párkelj,szpon
152,Kralle::N,krémpelj,pazur
153,Schwanz::N,rèp,ogon
154,Ei::N,jájce,jajko
155,Nest::N,gnézdo,gniazdo
156,Bau::N,brlòg,nora
157,Tier::N,živál,zwierzę
158,Herde::N,čréda,stado
159,Herde::N,čréda,trzoda
160,Kuh::N,kráva,krowa
161,Bulle::N,bìk,byk
162,Pferd::N,kònj,koń
163,Schaf::N,ôvca,owca
164,Schwein::N,svínja,świnia
165,Hund::N,pès,pies
166,Katze::N,máčka,kot
167,Katze::N,máčka,kotka
168,Bär::N,mêdved,niedźwiedż
169,Eichhörnchen::N,véverica,wiewiórka
170,Elch::N,lós,łóś
171,Fuchs::N,lisíca,lis
172,Hase::N,zájec,zając
173,Maus::N,mìš,mysz
174,Wolf::N,vólk,wilk
175,Vogel::N,ptìč,ptak
176,Vogel::N,ptíca,ptak
177,Schwarm::N,játa,stado
178,Huhn::N,kokóš,kura
179,Hahn::N,petêlin,kogut
180,Gans::N,gós,gęś
181,Adler::N,ôrel,orzeł
182,Ente::N,ráca,kaczka
183,Eule::N,sôva,sowa
184,Kranich::N,žerjàv,żuraw
185,Krähe::N,vrána,wrona
186,Kuckuck::N,kúkavica,kukułka
187,Schwan::N,labód,łabędż
188,Fisch::N,ríba,ryba
189,Barsch::N,ostríž,okoń
190,Hecht::N,ščúka,szczupak
191,Schlange[Tier]::N,káča,wąż
192,Schlange[Tier]::N,káča,żmija
193,Wurm::N,čr̀v,robak
194,Wurm::N,glísta,robak
195,Spinne::N,pájek,pająk
196,Ameise::N,mrávlja,mrówka
197,Laus::N,úš,wesz
198,Mücke::N,komár,komar
199,Fliege::N,múha,mucha
200,Schmetterling::N,metúlj,motyl
201,Beere::N,jágoda,jagoda
202,Apfel::N,jábolko,jabłko
203,Pilz::N,góba,grzyb
204,Zwiebel::N,čebúla,cebula
205,Saat::N,séme,siew
206,Korn::N,zŕno,ziarno
207,Heu::N,senó,siano
208,Schale::N,lupína,łupina
209,Grube::N,jáma,dół
210,Grube::N,jáma,jama
211,Falle::N,pást,pułapka
212,Schlinge::N,zánka,sidła
213,Schlinge::N,pêtlja,sidła
214,Spur::N,sléd,ślad
215,Asche::N,pepél,popiół
216,Dreck::N,bláto,brud
217,Eisen::N,želézo,żelazo
218,Gold::N,zlató,złoto
219,Silber::N,srebró,srebro
220,Kohle::N,ógel,węgiel
221,Glas::N,stêklo,szkło
222,Lehm::N,ílo,glina
223,Sand::N,pések,piasek
224,Mensch::N,člôvek,człowiek
225,Mann::N,móž,mężczyzna
226,Mann::N,môški,mężczyzna
227,Frau::N,gospá,kobieta
228,Frau::N,žénska,kobieta
229,Kind::N,déte,dziecko
230,Kind::N,otròk,dziecko
231,Junge::N,fànt,chłopak
232,Junge::N,fànt,chłopiec
233,Junge::N,déček,chłopak
234,Junge::N,déček,chłopiec
235,Mädchen::N,deklè,dziewczynka
236,Mädchen::N,déklica,dziewczynka
237,Familie::N,družína,rodzina
238,Großvater::N,dèd,dziadek
239,Großvater::N,dédek,dziadek
240,Großmutter::N,bábica,babka
241,Eltern::N,stárši,rodzice
242,Vater::N,ôče,ojciec
243,Mutter::N,máma,matka
244,Sohn::N,sín,syn
245,Tochter::N,hčí,córka
246,Tochter::N,hčérka,córka
247,Bruder::N,bràt,brat
248,Schwester::N,sêstra,siostra
249,Onkel::N,újec,wuj
250,Onkel::N,újec,stryj
251,Onkel::N,stríc,wuj
252,Onkel::N,stríc,stryj
253,Tante::N,têta,ciotka
254,Tante::N,strína,ciotka
255,Ehemann::N,móž,mąż
256,Ehemann::N,sopróg,mąż
257,Ehefrau::N,žêna,żona
258,Ehefrau::N,sopróga,żona
259,Freude::N,rádost,radość
260,Freude::N,vesêlje,radość
261,Gelächter::N,sméh,śmiech
262,Gelächter::N,grohòt,śmiech
263,Glück::N,sréča,szczęście
264,Kummer::N,gorjé,zmartwienie
265,Wunsch::N,žêlja,życzenie
266,Lust::N,poželênje,chęć
267,Lust::N,poželênje,ochota
268,Geist::N,dúša,duch
269,Gedanke::N,mísel,myśl
270,Gedächtnis::N,pámet,pamięć
271,Sinn::N,pomèn,zmysł
272,Sinn::N,smísel,zmysł
273,Grund::N,vzròk,powód
274,Wahrheit::N,resníca,prawda
275,Gespräch::N,pogóvor,rozmowa
276,Märchen::N,právljica,bajka
277,Erzählung::N,povést,opowiadanie
278,Nachricht::N,sporočílo,wiadomość
279,Neuigkeit::N,novóst,nowina
280,Name::N,imé,imię
281,Rätsel::N,ugánka,zagadka
282,Rede::N,góvor,mowa
283,Sprache::N,jêzik,język
284,Stimme::N,glás,głos
285,Wort::N,beséda,słowo
286,Zeichen::N,znák,znak
287,Ruf::N,klíc,wołanie
288,Lärm::N,hrúp,hałas
289,Lärm::N,hrúp,zgiełk
290,Lärm::N,trúšč,hałas
291,Lärm::N,trúšč,zgiełk
292,Laut::N,glás,dźwięk
293,Ton::N,tón,ton
294,Ton::N,tón,dźwięk
295,Lied::N,pésem,pieśń
296,Lied::N,pésem,piosenka
297,Ruhe::N,pokòj,spokój
298,Leute::N,ljudjé,ludzie
299,Volk::N,národ,naród
300,Arbeit::N,délo,praca
301,Arbeit::N,délo,robota
302,Gast::N,gòst,gość
303,Geschenk::N,darílo,prezent
304,Geschenk::N,darílo,podarunek
305,Spiel::N,ígra,gra
306,Spiel::N,ígra,zabawa
307,Gesellschaft::N,drúžba,towarzystwo
308,Hilfe::N,pomóč,pomoc
309,Freund::N,prijátelj,przyjaciel
310,Kamerad::N,továriš,kolega
311,Angelegenheit::N,zadéva,sprawa
312,Anzahl::N,števílo,ilość
313,Art::N,vŕsta,rodzaj
314,Stück::N,kós,kawałek
315,Teil::N,dél,część
316,Hälfte::N,polovíca,połowa
317,Kreis::N,króg,krąg
318,Kreis::N,kolobár,krąg
319,Kreuz::N,kríž,krzyż
320,Linie::N,próga,linia
321,Strich::N,čŕta,kreska
322,Abstand::N,preslédek,odstęp
323,Entfernung::N,oddáljenost,odległość
324,Gegend::N,kràj,okolica
325,Gegend::N,dežêla,okolica
326,Platz::N,prôstor,miejsce
327,Ort::N,mésto,miejsce
328,Seite::N,bòk,bok
329,Seite::N,bòk,strona
330,Seite::N,strán,bok
331,Seite::N,strán,strona
332,Mitte::N,sredína,środek
333,Gegenstand::N,prédmet,przedmiot
334,Sache::N,réč,rzecz
335,Sache::N,stvár,rzecz
336,Rand::N,kràj,skraj
337,Rand::N,kràj,krawędź
338,Kante::N,rób,kant
339,Kante::N,rób,krawędź
340,Ecke::N,vogál,róg
341,Spitze::N,óst,ostrze
342,Ende::N,kônec,koniec
343,Loch::N,lúknja,dziura
344,Winkel::N,kót,kąt
345,Winkel::N,kót,kącik
346,Muster::N,vzórec,wzór
347,Größe::N,veličína,rozmiar
348,Größe::N,veličína,wielkość
349,Länge::N,dolžína,długość
350,Höhe::N,vršína,wysokość
351,Gewicht::N,téža,ciężar
352,Menge::N,količína,ilość
353,Haufen::N,kùp,kupa
354,Haufen::N,kopíca,kupa
355,Reihe::N,níz,rząd
356,Reihe::N,níz,szereg
357,Reihe::N,vŕsta,rząd
358,Reihe::N,vŕsta,szereg
359,Boot::N,čóln,łódź
360,Boot::N,čóln,łódka
361,Ruder::N,vêslo,wiosło
362,Schlitten::N,saní,sanki
363,Ski::N,smučí,narta
364,Lagerfeuer::N,táborni ôgenj,ognisko
365,Last::N,tôvor,ciężar
366,Last::N,tôvor,brzemię
367,Gang::N,hòd,chód
368,Schritt::N,korák,krok
369,Norden::N,séver,północ
370,Süden::N,júg,południe
371,Westen::N,zapàd,zachód
372,Osten::N,vzhòd,wschód
373,Holz::N,lés,drzewo
374,Brett::N,deskà,deska
375,Platte::N,plôča,płyta
376,Stütze::N,opóra,podpora
377,Stütze::N,zaslómba,podpora
378,Stange::N,gréd,drąg
379,Stange::N,gréd,żerdź
380,Stock::N,pálica,kij
381,Stock::N,pálica,laska
382,Stab::N,pálica,pręt
383,Rohr::N,cév,rura
384,Haus::N,híša,dom
385,Heim::N,dóm,dom
386,Ofen::N,péč,piec
387,Fußboden::N,pòd,podłoga
388,Tisch::N,míza,stół
389,Stuhl::N,stòl,krzesło
