,Concept_ID,ru,mhr
0,Auge::N,глаз,шинча́
1,Ohr::N,ухо,пы́лыш
2,Nase::N,нос,нер
3,Mund::N,рот,умша́
4,Zahn::N,зуб,пӱй
5,Zunge::N,язык,йы́лме
6,Lippe::N,губа,тӱ́рвӧ
7,Wange::N,щека,шӱ́ргӧ
8,Gesicht::N,лицо,чури́й
9,Stirn::N,лоб,саҥга́
10,Haar::N,волос,ӱп
11,Haar::N,волосы,ӱп
12,Schnurrbart::N,ус,ӧ́рыш
13,Schnurrbart::N,усы,ӧ́рыш
14,Bart::N,борода,понда́ш
15,Kinn::N,подбородок,оҥыла́ш
16,Kiefer[Anatomie]::N,челюсть,пӱйдӱ́ҥ
17,Kiefer[Anatomie]::N,челюсть,пӱйората́
18,Kehle::N,горло,лога́р
19,Hals::N,шея,шӱй
20,Genick::N,затылок,шӱйло́дыш
21,Kopf::N,голова,вуй
22,Rücken::N,спина,туп
23,Bauch::N,живот,мӱ́шкыр
24,Nabel::N,пупок,кы́лымде
25,Busen::N,женская грудь,чы́зе
26,Brust::N,грудь,оҥ
27,Schulter::N,плечо,ва́че
28,Arm::N,рука,кид
29,Ellenbogen::N,локоть,кынерву́й
30,Hand::N,кисть,кид
31,Hand::N,кисть,копа́
32,Handfläche::N,ладонь,со́во
33,Finger::N,палец,парня́
34,Fingernagel::N,ноготь,кидкӱ́ч
35,Fingernagel::N,ноготь,парнягӱ́ч
36,Nagel[Anatomie]::N,ноготь,кӱч
37,Zeh::N,палец,йолварня́
38,Fuß::N,ступня,йол
39,Fuß::N,ступня,йолкопа́
40,Ferse::N,пята,тага́н
41,Ferse::N,пятка,тага́н
42,Knie::N,колено,пулву́й
43,Oberschenkel::N,бедро,э́рде
44,Bein::N,нога,йол
45,Körper::N,тело,кап
46,Haut::N,кожа,кова́ште
47,Blut::N,кровь,вӱр
48,Ader::N,вена,шӧн
49,Ader::N,сосуд,шӧн
50,Sehne::N,жила,шӧн
51,Sehne::N,жила,кӱсе́н
52,Sehne::N,тетива,шӧн
53,Sehne::N,тетива,кӱсе́н
54,Sehne::N,сухожилие,шӧн
55,Sehne::N,сухожилие,кӱсе́н
56,Knochen::N,кость,лу
57,Gehirn::N,мозг,вем
58,Gehirn::N,мозг,вуйве́м
59,Herz::N,сердце,шӱм
60,Magen::N,желудок,пага́р
61,Leber::N,печень,мокш
62,Atem::N,дух,шӱ́лыш
63,Atem::N,дыхание,шӱ́лыш
64,Hunger::N,голод,шужыма́ш
65,Träne::N,слеза,шинчавӱ́д
66,Geschmack::N,вкус,там
67,Geruch::N,запах,пуш
68,Schlaf::N,сон,о́мо
69,Traum::N,сновидение,йӱдо́мо
70,Himmel::N,небо,кава́
71,Sonne::N,солнце,ке́че
72,Mond::N,луна,ты́лзе
73,Stern::N,звезда,шӱ́дыр
74,Luft::N,воздух,юж
75,Wind::N,ветер,марде́ж
76,Welle::N,волна,то́лкын
77,Wasser::N,вода,вӱд
78,Stein::N,камень,кӱ
79,Boden::N,почва,рок
80,Erde::N,земля,мла́нде
81,Staub::N,пыль,пура́к
82,Rauch::N,дым,шикш
83,Funke::N,искра,сеске́м
84,Funke::N,искра,тулйы́п
85,Feuer::N,огонь,тул
86,Licht::N,свет,со́то
87,Schatten::N,тень,ӱ́мыл
88,Wetter::N,погода,иге́че
89,Nebel::N,туман,тӱтыра́
90,Wolke::N,облако,пыл
91,Regen::N,дождь,йӱр
92,Schnee::N,снег,лум
93,Eis::N,лед,ий
94,Frost::N,мороз,чатлама́
95,Kälte::N,холод,йӱ́штӧ
96,Hitze::N,жара,шо́кшо
97,Raureif::N,иней,пӧрш
98,Raureif::N,иней,по́кшым
99,Regenbogen::N,радуга,шонанпы́л
100,Donner::N,гром,кӱ́дырчӧ
101,Strömung::N,течение,йо́гын
102,Tropfen::N,капля,чӱча́лтыш
103,Schaum::N,пена,шоҥ
104,Schmutz::N,грязь,лавыра́
105,See::N,озеро,ер
106,Sumpf::N,топь,лӱ́кӧ
107,Moor::N,болото,куп
108,Wiese::N,луг,о́лык
109,Wald::N,лес,чодыра́
110,Hügel::N,холм,арка́
111,Anhöhe::N,возвышенность,тӧва́
112,Anhöhe::N,возвышенность,кӱкшака́
113,Berg::N,гора,ку́рык
114,Gipfel::N,вершина,чаҥга́
115,Gipfel::N,вершина,курыкву́й
116,Höhle::N,пещера,пеще́р
117,Höhle::N,пещера,курыкпо́мыш
118,Abhang::N,склон,та́йыл
119,Quelle::N,источник,важ
120,Quelle::N,источник,вӱдшинча́
121,Bach::N,ручей,изэҥе́р
122,Fluss::N,река,эҥе́р
123,Ufer::N,берег,сер
124,Küste::N,побережье,вӱдтӱ́р
125,Festland::N,суша,мла́нде
126,Meer::N,море,те́ҥыз
127,Bucht::N,бухта,икса́
128,Insel::N,остров,отро́
129,Blume::N,цветок,пеле́дыш
130,Gras::N,трава,шу́до
131,Wurzel::N,корень,вож
132,Baum::N,дерево,пуше́ҥге
133,Stamm::N,ствол,йы́тыр
134,Rinde::N,кора,шӱм
135,Ast::N,сук,укш
136,Zweig::N,ветвь,торма́к
137,Blatt::N,лист,лышта́ш
138,Birke::N,береза,куэ́
139,Kiefer[Baum]::N,сосна,пӱ́нчӧ
140,Weide[Baum]::N,ива,уа́
141,Tanne::N,ель,кож
142,Horn::N,рог,шур
143,Feder::N,перо,пы́стыл
144,Fell::N,шкура,кова́ште
145,Flügel::N,крыло,шу́лдыр
146,Klaue::N,коготь,кӱч
147,Kralle::N,лапа,ла́па
148,Kralle::N,лапа,копа́
149,Schwanz::N,хвост,поч
150,Ei::N,яйцо,му́но
151,Nest::N,гнездо,пыжа́ш
152,Bau::N,нора,пыжа́ш
153,Tier::N,животное,я́нлык
154,Tier::N,животное,живо́тный
155,Herde::N,стадо,кӱ́тӱ
156,Herde::N,стадо,тӱшка́
157,Kuh::N,корова,ушка́л
158,Bulle::N,бык,ӱ́шкыж
159,Pferd::N,лошадь,и́мне
160,Schaf::N,овца,шо́рык
161,Schwein::N,свинья,сӧсна́
162,Hund::N,собака,пий
163,Katze::N,кошка,пы́рыс
164,Bär::N,медведь,маска́
165,Eichhörnchen::N,белка,ур
166,Elch::N,лось,шо́рдо
167,Fuchs::N,лиса,ры́выж
168,Hase::N,заяц,мера́ҥ
169,Maus::N,мышь,коля́
170,Wolf::N,волк,пи́ре
171,Vogel::N,птица,ка́йык
172,Schwarm::N,стая,каша́к
173,Huhn::N,курица,чы́ве
174,Hahn::N,петух,агыта́н
175,Gans::N,гусь,ко́мбо
176,Adler::N,орел,карагу́ш
177,Ente::N,утка,лу́до
178,Eule::N,сова,тумна́
179,Kranich::N,журавль,турня́
180,Krähe::N,ворона,кора́к
181,Kuckuck::N,кукушка,куку́
182,Schwan::N,лебедь,йӱ́ксӧ
183,Fisch::N,рыба,кол
184,Barsch::N,окунь,ола́ҥге
185,Hecht::N,щука,нуж
186,Hecht::N,щука,чорта́н
187,Schlange[Tier]::N,змея,ки́шке
188,Wurm::N,червяк,шукш
189,Spinne::N,паук,эҥыре́мыш
190,Ameise::N,муравей,ку́тко
191,Laus::N,вошь,тий
192,Mücke::N,комар,шыҥа́
193,Fliege::N,муха,ка́рме
194,Schmetterling::N,бабочка,лы́ве
195,Beere::N,ягода,мӧр
196,Apfel::N,яблоко,олма́
197,Pilz::N,гриб,по́ҥго
198,Zwiebel::N,луковица,шога́н
199,Saat::N,семя,нӧ́шмӧ
200,Saat::N,семя,туш
201,Korn::N,зерно,шу́рно
202,Heu::N,сено,шу́до
203,Schale::N,шелуха,шӱм
204,Grube::N,яма,выне́м
205,Falle::N,ловушка,лӧ́дӧ
206,Schlinge::N,силок,о́птыш
207,Schlinge::N,силок,шӧрга́лтыш
208,Spur::N,след,кыша́
209,Asche::N,зола,ло́мыж
210,Asche::N,пепел,ло́мыж
211,Dreck::N,грязь,лавыра́
212,Eisen::N,железо,кӱ́ртньӧ
213,Gold::N,золото,шӧ́ртньӧ
214,Silber::N,серебро,ший
215,Kohle::N,уголь,мландышӱ́й
216,Glas::N,стекло,янда́
217,Lehm::N,глина,шун
218,Sand::N,песок,ошма́
219,Mensch::N,человек,еҥ
220,Mensch::N,человек,айде́ме
221,Mann::N,мужчина,пӧръе́ҥ
222,Frau::N,женщина,ӱдырама́ш
223,Kind::N,ребенок,аза́
224,Junge::N,мальчик,рве́зе
225,Mädchen::N,девочка,ӱдыра́ш
226,Familie::N,семья,еш
227,Großvater::N,дедушка,коча́
228,Großmutter::N,бабушка,кова́
229,Eltern::N,родители,ача́-ава́
230,Vater::N,отец,ача́
231,Mutter::N,мать,ава́
232,Sohn::N,сын,э́рге
233,Tochter::N,дочь,ӱ́дыр
234,Bruder::N,брат,иза́
235,Bruder::N,брат,шо́льо
236,Schwester::N,сестра,ака́
237,Onkel::N,дядя,иза́
238,Tante::N,тетя,кока́
239,Ehemann::N,муж,мари́й
240,Ehefrau::N,жена,ва́те
241,Freude::N,радость,куа́н
242,Freude::N,радость,куаныма́ш
243,Gelächter::N,смех,во́штылтыш
244,Glück::N,счастье,пиа́л
245,Kummer::N,горе,о́йго
246,Wunsch::N,желание,ку́мыл
247,Lust::N,влечение,ку́мыл
248,Geist::N,дух,ӧрт
249,Geist::N,дух,чон
250,Gedanke::N,мысль,ой
251,Gedanke::N,мысль,шоныма́ш
252,Gedächtnis::N,память,шарныма́ш
253,Verstand::N,ум,уш
254,Sinn::N,смысл,смысл
255,Grund::N,повод,ама́л
256,Wahrheit::N,правда,чын
257,Gespräch::N,беседа,мутланыма́ш
258,Märchen::N,сказка,йома́к
259,Erzählung::N,рассказ,ойлыма́ш
260,Nachricht::N,сообщение,увертарыма́ш
261,Neuigkeit::N,новость,уве́р
262,Name::N,имя,лӱм
263,Rätsel::N,загадка,ту́што
264,Rede::N,речь,ойлыма́ш
265,Sprache::N,язык,йы́лме
266,Stimme::N,голос,йӱк
267,Wort::N,слово,ой
268,Wort::N,слово,мут
269,Zeichen::N,знак,ти́ште
270,Zeichen::N,знак,знак
271,Ruf::N,зов,ӱжма́ш
272,Lärm::N,шум,лӱшкыма́ш
273,Lärm::N,шум,йӱк-йӱа́н
274,Laut::N,звук,йӱк
275,Ton::N,звучание,йӱксе́м
276,Lied::N,песня,му́ро
277,Ruhe::N,покой,ты́мык
278,Leute::N,люди,еҥ-влак
279,Volk::N,народ,ка́лык
280,Arbeit::N,работа,паша́
281,Gast::N,гость,уна́
282,Geschenk::N,подарок,пӧле́к
283,Spiel::N,игра,мо́дыш
284,Spiel::N,игра,модма́ш
285,Gesellschaft::N,общество,тӱшка́
286,Hilfe::N,помощь,по́лыш
287,Freund::N,друг,таҥ
288,Freund::N,друг,йолта́ш
289,Kamerad::N,приятель,таҥ
290,Angelegenheit::N,дело,паша́
291,Anzahl::N,количество,чот
292,Art::N,вид,вид
293,Stück::N,кусок,ка́тыш
294,Stück::N,кусок,ла́стык
295,Teil::N,часть,ужа́ш
296,Hälfte::N,половина,пел
297,Hälfte::N,половина,пе́ле
298,Kreis::N,круг,ты́ртыш
299,Kreuz::N,крест,ыре́с
300,Linie::N,линия,ли́ний
301,Strich::N,черта,коре́ш
302,Abstand::N,промежуток,кокла́
303,Entfernung::N,расстояние,тора́
304,Entfernung::N,расстояние,ку́жыт
305,Gegend::N,местность,кунде́м
306,Platz::N,пространство,ку́мдык
307,Ort::N,место,вер
308,Ort::N,место,о́лмо
309,Seite::N,сторона,ӧ́рдыж
310,Mitte::N,середина,покше́л
311,Gegenstand::N,предмет,наста́
312,Sache::N,вещь,наста́
313,Rand::N,край,тӱр
314,Kante::N,ребро,тӱр
315,Ecke::N,угол,лук
316,Spitze::N,кончик,вуй
317,Ende::N,конец,муча́ш
318,Loch::N,дыра,рож
319,Winkel::N,угол,лук
320,Muster::N,узор,пеза́к
321,Muster::N,узор,узо́р
322,Muster::N,узор,ӱ́лгӧ
323,Größe::N,размер,кӱ́кшыт
324,Länge::N,длина,ку́тыш
325,Höhe::N,высота,кӱ́кшыт
326,Gewicht::N,вес,не́лыт
327,Menge::N,количество,чот
328,Haufen::N,куча,кы́шыл
329,Reihe::N,ряд,рада́м
330,Boot::N,лодка,пуш
331,Ruder::N,весло,эшка́к
332,Schlitten::N,сани,тер
333,Schlitten::N,сани,изде́р
