,Concept_ID,fi,fi
0,Auge::N,silmä,silmä
1,Ohr::N,korva,korva
2,Nase::N,nenä,nenä
3,Mund::N,suu,suu
4,Zahn::N,hammas,hammas
5,Zunge::N,kieli,kieli
6,Lippe::N,huuli,huuli
7,Wange::N,poski,poski
8,Gesicht::N,naama,naama
9,Gesicht::N,naama,kasvot
10,Gesicht::N,kasvot,naama
11,Gesicht::N,kasvot,kasvot
12,Stirn::N,otsa,otsa
13,Haar::N,hius,hius
14,Haar::N,hius,tukka
15,Haar::N,tukka,hius
16,Haar::N,tukka,tukka
17,Schnurrbart::N,viikset,viikset
18,Bart::N,parta,parta
19,Kinn::N,leuka,leuka
20,Kiefer[Anatomie]::N,leukaluu,leukaluu
21,Kehle::N,kurkku,kurkku
22,Hals::N,kaula,kaula
23,Genick::N,niska,niska
24,Kopf::N,pää,pää
25,Rücken::N,selkä,selkä
26,Bauch::N,maha,maha
27,Bauch::N,maha,vatsa
28,Bauch::N,vatsa,maha
29,Bauch::N,vatsa,vatsa
30,Nabel::N,napa,napa
31,Busen::N,rinta,rinta
32,Brust::N,rinta,rinta
33,Schulter::N,olka,olka
34,Schulter::N,olka,hartia
35,Schulter::N,olka,olkapää
36,Schulter::N,hartia,olka
37,Schulter::N,hartia,hartia
38,Schulter::N,hartia,olkapää
39,Schulter::N,olkapää,olka
40,Schulter::N,olkapää,hartia
41,Schulter::N,olkapää,olkapää
42,Arm::N,käsivarsi,käsivarsi
43,Ellenbogen::N,kyynärpää,kyynärpää
44,Hand::N,käsi,käsi
45,Handfläche::N,kämmen,kämmen
46,Finger::N,sormi,sormi
47,Fingernagel::N,kynsi,kynsi
48,Nagel[Anatomie]::N,kynsi,kynsi
49,Zeh::N,varvas,varvas
50,Fuß::N,jalka,jalka
51,Ferse::N,kantapää,kantapää
52,Knie::N,polvi,polvi
53,Oberschenkel::N,reisi,reisi
54,Bein::N,jalka,jalka
55,Körper::N,keho,keho
56,Körper::N,keho,ruumis
