,Concept_ID,mrj,sk
0,Auge::N,сӹнзӓ,oko
1,Ohr::N,пӹлӹш,ucho
2,Nase::N,нер,nos
3,Mund::N,ышма,ústa
4,Zahn::N,пӱ,zub
5,Zunge::N,йӹлмӹ,jazyk
6,Lippe::N,тӹрвӹ,pera
7,Wange::N,шӹргӹ,líce
8,Gesicht::N,лицӓ,tvár
9,Gesicht::N,лицӓ,obličaj
10,Stirn::N,лепкӓ,čelo
11,Haar::N,ӱп,vlas
12,Schnurrbart::N,öрш,fúzy
13,Bart::N,пандаш,brada
14,Kinn::N,онгылаш,brada
15,Kiefer[Anatomie]::N,пӱ арата,čeľusť
16,Kehle::N,логер,hrdlo
17,Hals::N,шӱ,krk
18,Genick::N,ланга,väzy
19,Kopf::N,вуй,hlava
20,Rücken::N,туп,chrbát
21,Bauch::N,мӹшкӹр,brucho
22,Nabel::N,кӹлӹмдӹ,pupok
23,Busen::N,цӹзӹ,prsia
24,Brust::N,мел,hruď
25,Schulter::N,ӹнгӹжӓ,plece
26,Arm::N,кид,rameno
27,Ellenbogen::N,кӹнервуй,lakeť
28,Hand::N,лапа,ruka
29,Handfläche::N,кид лапа,dlaň
30,Finger::N,парня,prst
31,Fingernagel::N,кӹч,necht
32,Nagel[Anatomie]::N,кӹч,necht
33,Zeh::N,парня,prst na nohe
34,Fuß::N,ял лапа,noha
35,Ferse::N,ялгавал,päta
36,Ferse::N,ял кавал,päta
37,Knie::N,пылвуй,koleno
38,Oberschenkel::N,ӓрдӹ,stehno
39,Bein::N,ял,noha
40,Körper::N,монгыр,telo
41,Haut::N,кавашты,koža
42,Blut::N,вӹр,krv
43,Ader::N,вӹршӓр,žila
44,Sehne::N,кукшышӱн,šľacha
45,Knochen::N,лу,kosť
46,Gehirn::N,вим,mozog
47,Herz::N,шӱм,srdce
48,Magen::N,шӱм,žalúdok
49,Leber::N,мокш,pečeň
50,Atem::N,шӱлӹш,dych
51,Hunger::N,шужымаш,hlad
52,Träne::N,сӹнзӓвӹд,slza
53,Geschmack::N,тот,chuť
54,Geruch::N,пыш,pach
55,Schlaf::N,ом,spánok
56,Traum::N,ом,sen
57,Himmel::N,пӹлгом,nebo
58,Sonne::N,кечӹ,slnko
59,Mond::N,тӹлзӹ,mesiac
60,Stern::N,шӹдӹр,hviezda
61,Luft::N,юж,vzduch
62,Luft::N,воздух,vzduch
63,Wind::N,мардеж,vietor
64,Welle::N,ко,vlna
65,Welle::N,коэ,vlna
66,Wasser::N,вӹд,voda
67,Stein::N,кӱ,kameň
68,Boden::N,рок,zem
69,Boden::N,рок,pôda
70,Erde::N,свет,zem
71,Staub::N,пырак,prach
72,Rauch::N,шӹкш,dym
73,Funke::N,ип,iskra
