,Concept_ID,he,el
116,Abhang::N,שפוע,πλαγιά
117,Quelle::N,מעין,πηγή
118,Quelle::N,מעין,βρύση
119,Bach::N,נחל,ρυάκι
120,Fluss::N,נהר,ποτάμι
121,Fluss::N,נהר,ποταμός
122,Ufer::N,גדה,όχθη
123,Küste::N,חוף,ακτή
124,Küste::N,חוף,ακρογιαλιά
125,Festland::N,יבשה,στεριά
126,Meer::N,ים,θάλασσα
127,Bucht::N,מפרץ,κόλπος
128,Insel::N,אי,νησί
129,Insel::N,אי,νήσος
130,Blume::N,פרח,άνθος
131,Blume::N,פרח,λουλούδι
132,Gras::N,דשא,χόρτο
133,Gras::N,דשא,χορτάρι
134,Wurzel::N,שרש,ρίζα
135,Baum::N,עץ,δέντρο
136,Stamm::N,גזע,κορμός
137,Rinde::N,קלפת עץ,φλούδα
138,Ast::N,ענף,κλαδί
139,Zweig::N,ענף,κλαδί
140,Zweig::N,ענף,κλάδος
141,Blatt::N,עלה,φύλλο
142,Birke::N,שדר,σημύδα
143,Kiefer[Baum]::N,ארן,πεύκο
144,Weide[Baum]::N,ערבה,ιτιά
145,Tanne::N,אשוח,έλατο
146,Horn::N,קרן,κέρας
147,Horn::N,קרן,κέρατο
148,Feder::N,נוצה,φτερό
149,Fell::N,פרוה,δέρμα
150,Fell::N,פרוה,τομάρι
151,Flügel::N,כנף,πτερύγιο
152,Klaue::N,טלף,κουλό
153,Kralle::N,טפר,νύχι
154,Schwanz::N,זנב,ουρά
155,Ei::N,ביצה,αβγό
156,Nest::N,קן,φωλιά
157,Bau::N,מחלה,φωλιά
158,Tier::N,חיה,ζώο
159,Herde::N,עדר,κοπάδι
160,Kuh::N,פרה,αγελάδα
161,Bulle::N,פר,ταύρος
162,Pferd::N,סוס,άλογο
163,Schaf::N,כבשה,πρόβατο
164,Schwein::N,חזיר,γουρούνι
165,Hund::N,כלב,σκυλί
166,Hund::N,כלב,σκύλος
167,Katze::N,חתול,γάτα
168,Bär::N,דב,άρκτος
169,Bär::N,דב,αρκούδα
170,Eichhörnchen::N,סנאי,βερβερίτσα
171,Elch::N,דישון,άλκη
172,Fuchs::N,שועל,αλεπού
173,Hase::N,ארנב,λαγός
174,Maus::N,עכבר,ποντικός
175,Wolf::N,זאב,λύκος
176,Vogel::N,צפור,πουλί
177,Schwarm::N,נחיל,σμήνος
178,Schwarm::N,להקה,σμήνος
179,Huhn::N,תרנגלת,κότα
180,Huhn::N,תרנגלת,όρνιθα
181,Hahn::N,תרנגול,πετεινός
182,Gans::N,אוז,χήνα
183,Adler::N,עיט,αετός
184,Ente::N,ברוז,πάπια
185,Eule::N,ינשוף,κουκουβάγια
186,Kranich::N,עגור,γερανός
187,Kranich::N,כרוכיה,γερανός
188,Krähe::N,עורב,καρακάξα
189,Kuckuck::N,קוקיה,κούκος
190,Schwan::N,ברבור,κύκνος
191,Fisch::N,דג,ψάρι
192,Barsch::N,אוקונוס,πέρκα
193,Hecht::N,זאב הים,λούτσος
194,Schlange[Tier]::N,נחש,φίδι
195,Wurm::N,תולעת,σκουλήκι
196,Spinne::N,עכביש,αράχνη
197,Ameise::N,נמלה,μυρμήγκι
198,Laus::N,כנה,ψείρα
199,Mücke::N,יתוש,κουνούπι
200,Fliege::N,זבוב,μύγα
201,Schmetterling::N,פרפר,πεταλούδα
202,Beere::N,ענבה,ρόγα
203,Apfel::N,תפוח,μήλο
204,Pilz::N,פטריה,μανιτάρι
205,Zwiebel::N,בצל,κρεμμύδι
206,Saat::N,זרעים,σπόρος
207,Korn::N,גרעין,σπυρί
208,Heu::N,חציר,σανός
209,Schale::N,קלפה,τσόφλι
210,Grube::N,בור,λάκκος
211,Grube::N,שוחה,λάκκος
212,Falle::N,מלכדת,παγίδα
213,Schlinge::N,לולאה,θηλειά
214,Spur::N,עקבה,ίχνος
215,Asche::N,אפר,στάχτη
216,Dreck::N,זהמה,βρωμιά
217,Eisen::N,ברזל,σίδερο
218,Gold::N,זהב,μάλαμα
219,Gold::N,זהב,χρυσάφι
220,Silber::N,כסף,ασήμι
221,Silber::N,כסף,άργυρος
222,Kohle::N,פחם,κάρβουνο
223,Glas::N,זכוכית,γυαλί
224,Lehm::N,חרסית,πηλός
225,Sand::N,חול,άμμος
226,Mensch::N,אדם,άνθρωπος
227,Mann::N,איש,άνδρας
228,Mann::N,גבר,άνδρας
