,Concept_ID,en,cv
0,Auge::N,eye,куҫ
1,Ohr::N,ear,хӑлха
2,Nase::N,nose,сӑмса
3,Mund::N,mouth,ҫӑвар
4,Zahn::N,tooth,шӑл
5,Zunge::N,tongue,чӗлхе
6,Lippe::N,lip,тута
7,Wange::N,cheek,пит ҫӑмарти
8,Gesicht::N,face,пит
9,Gesicht::N,face,пит-куҫ
10,Stirn::N,forehead,ҫамка
11,Haar::N,hair,ҫӳҫ
12,Schnurrbart::N,moustache,усси
13,Bart::N,beard,сухал
14,Kinn::N,chin,янах
15,Kiefer[Anatomie]::N,jaw,янах
16,Kehle::N,throat,пыр
17,Kehle::N,throat,карланкӑ
18,Hals::N,neck,пыр
19,Genick::N,nape,ӗнсе
20,Kopf::N,head,пуҫ
21,Rücken::N,back,ҫурӑм
22,Rücken::N,spine,ҫурӑм
23,Bauch::N,belly,
24,Nabel::N,navel,кӑвапа
25,Busen::N,bosom,кӑкӑр
26,Brust::N,chest,умӗ
27,Brust::N,breast,умӗ
28,Schulter::N,shoulder,хул пуҫҫи
29,Arm::N,arm,алӑ
30,Ellenbogen::N,elbow,чавса
31,Hand::N,hand,алӑ сыппи
32,Handfläche::N,palm,ал лаппи
33,Finger::N,finger,пӳрне
34,Fingernagel::N,fingernail,чӗрне
35,Nagel[Anatomie]::N,nail,чӗрне
36,Zeh::N,toe,пӳрне
37,Fuß::N,foot,ура лаппи
38,Ferse::N,heel,кӗле
39,Knie::N,knee,чӗркуҫҫи
40,Oberschenkel::N,thigh,пӗҫӗ
41,Bein::N,leg,ура
42,Körper::N,body,ӳт
43,Körper::N,body,ӳт-пӳ
44,Haut::N,skin,тир
45,Blut::N,blood,юн
46,Ader::N,vein,вена
47,Sehne::N,sinew,шӑнӑр
48,Knochen::N,bone,шӑмӑ
49,Gehirn::N,brain,миме
50,Herz::N,heart,чӗре
51,Magen::N,stomach,хырӑмлӑх
52,Leber::N,liver,пӗвер
53,Atem::N,breath,сывлав
54,Hunger::N,hunger,выҫлӑх
55,Träne::N,tear,куҫҫуль
56,Geschmack::N,flavour,техӗм
57,Geschmack::N,flavor,техӗм
58,Geruch::N,odour,шӑршӑ
59,Geruch::N,odor,шӑршӑ
60,Schlaf::N,sleep,ыйхӑ
61,Traum::N,dream,тӗлӗк
62,Himmel::N,sky,пӗлӗт
63,Sonne::N,sun,хӗвел
64,Mond::N,moon,уйӑх
65,Stern::N,star,ҫӑлтӑр
66,Luft::N,air,сывлӑш
67,Wind::N,wind,ҫил
68,Welle::N,wave,хум
69,Wasser::N,water,шыв
70,Wasser::N,water,шыв-шур
71,Stein::N,stone,чул
72,Boden::N,soil,тӑпра
73,Boden::N,ground,тӑпра
74,Erde::N,earth,ҫӗр
75,Staub::N,dust,тусан
76,Rauch::N,smoke,тӗтӗм
77,Funke::N,spark,хӗм
78,Feuer::N,fire,вут
79,Feuer::N,fire,ҫулӑм
80,Licht::N,light,ҫутӑ
81,Schatten::N,shadow,сулхӑн
82,Wetter::N,weather,ҫанталӑк
83,Nebel::N,fog,тӗтре
84,Wolke::N,cloud,пӗлӗт
85,Regen::N,rain,ҫумӑр
86,Schnee::N,snow,юр
87,Eis::N,ice,пӑр
88,Frost::N,frost,сивӗ
89,Kälte::N,chill,сивӗ
90,Hitze::N,heat,вӗри
91,Hitze::N,heat,шӑрӑх
92,Raureif::N,hoarfrost,пас
93,Regenbogen::N,rainbow,асамат кӗперӗ
94,Donner::N,thunder,аслати
95,Strömung::N,current,юхӑ
96,Tropfen::N,drop,тумлам
97,Schaum::N,foam,кӑпӑк
98,Schmutz::N,dirt,пылчӑк
99,See::N,lake,кӳлӗ
100,Sumpf::N,swamp,шур
101,Sumpf::N,swamp,шурлӑх
102,Moor::N,moor,торфлӑ шурлӑх
103,Wiese::N,meadow,улӑх
104,Wiese::N,meadow,ҫаран
105,Wald::N,forest,вӑрман
106,Hügel::N,hill,сӑрт
107,Hügel::N,hill,тӗмеске
108,Anhöhe::N,elevation,сӑрт
109,Berg::N,mountain,ту
110,Gipfel::N,summit,тӳпе
111,Höhle::N,cave,ҫӗр хӑвӑлӗ
112,Abhang::N,slope,тӑвайкки
113,Quelle::N,source,ҫӑл куҫ
114,Bach::N,brook,пӗчӗк шыв
115,Fluss::N,river,юхан шыв
116,Ufer::N,shore,ҫыран
117,Küste::N,coast,тинӗс ҫыранӗ
118,Festland::N,land,тип ҫӗр
119,Meer::N,sea,тинӗс
120,Bucht::N,cove,тинӗс кукӑрӗ
121,Insel::N,island,утрав
