,Concept_ID,sk,se
0,Auge::N,oko,tjelmie
1,Auge::N,oko,tjalmme
2,Auge::N,oko,čalbmi
3,Auge::N,oko,čalme
4,Auge::N,oko,čâ´lmm
5,Auge::N,oko,ча̄лльм
6,Ohr::N,ucho,bieljie
7,Ohr::N,ucho,biellje
8,Ohr::N,ucho,beallji
9,Ohr::N,ucho,pelji
10,Ohr::N,ucho,pe´llj
11,Ohr::N,ucho,пе̄лльй
12,Nase::N,nos,njuenie
13,Nase::N,nos,njunnje
14,Nase::N,nos,njunni
15,Nase::N,nos,njuṇe
16,Nase::N,nos,njuu´nn
17,Nase::N,nos,нюннҍ
18,Mund::N,ústa,njaelmie
19,Mund::N,ústa,njálmme
20,Mund::N,ústa,njálbmi
21,Mund::N,ústa,njälmi
22,Mund::N,ústa,njä´lmm
23,Mund::N,ústa,ня̄лльм
24,Zahn::N,zub,baenie
25,Zahn::N,zub,bádne
26,Zahn::N,zub,bátni
27,Zahn::N,zub,pääṇi
28,Zahn::N,zub,pää´nn
29,Zahn::N,zub,па̄ннҍ
30,Zunge::N,jazyk,njoektjeme
31,Zunge::N,jazyk,njuovtjav
32,Zunge::N,jazyk,njuovčča
33,Zunge::N,jazyk,njuovčâ
34,Zunge::N,jazyk,njuhččâm
35,Zunge::N,jazyk,нюхчем
36,Lippe::N,pera,bangseme
37,Lippe::N,pera,njálmmerabdda
38,Lippe::N,pera,bavssa
39,Lippe::N,pera,poovsâ
40,Lippe::N,pera,põõus
41,Lippe::N,pera,пэ̄кс
42,Wange::N,líce,skiehrie
43,Wange::N,líce,nierra
44,Wange::N,líce,muohtu
45,Wange::N,líce,nieṛâ
46,Wange::N,líce,njiõrr
47,Wange::N,líce,нӣрр
48,Gesicht::N,tvár,ååredæjja
49,Gesicht::N,tvár,muohto
50,Gesicht::N,tvár,muođut
51,Gesicht::N,tvár,ámadadju
52,Gesicht::N,tvár,muáđuh
53,Gesicht::N,tvár,muâđ
54,Gesicht::N,tvár,ка̄ссв
55,Gesicht::N,obličaj,ååredæjja
56,Gesicht::N,obličaj,muohto
57,Gesicht::N,obličaj,muođut
58,Gesicht::N,obličaj,ámadadju
59,Gesicht::N,obličaj,muáđuh
60,Gesicht::N,obličaj,muâđ
61,Gesicht::N,obličaj,ка̄ссв
62,Stirn::N,čelo,gaalloe
63,Stirn::N,čelo,gállo
64,Stirn::N,čelo,gállu
65,Stirn::N,čelo,kállu
66,Stirn::N,čelo,käll
67,Stirn::N,čelo,вуэххьц
68,Haar::N,vlas,voepte
69,Haar::N,vlas,vuoppta
70,Haar::N,vlas,vuokta
71,Haar::N,vlas,vuop'tâ
72,Haar::N,vlas,vuõpt
73,Haar::N,vlas,вӯппт
74,Schnurrbart::N,fúzy,bijjie-skaavtjoe
75,Schnurrbart::N,fúzy,njunjevuolskávttjá
76,Schnurrbart::N,fúzy,seamu
77,Schnurrbart::N,fúzy,siämu
78,Schnurrbart::N,fúzy,ää´bben
79,Schnurrbart::N,fúzy,о̄а̄бпан
80,Bart::N,brada,skaavtja
81,Bart::N,brada,skaavtjoe
82,Bart::N,brada,skávttjá
83,Bart::N,brada,seamu
84,Bart::N,brada,siämu
85,Bart::N,brada,seäm
86,Bart::N,brada,ся̄м
87,Kinn::N,brada,gaejpie
88,Kinn::N,brada,gájbbe
89,Kinn::N,brada,gáibi
90,Kinn::N,brada,käibi
91,Kinn::N,brada,käi´bb
92,Kinn::N,brada,ка̄ййп
93,Kiefer[Anatomie]::N,čeľusť,gaejpie
94,Kiefer[Anatomie]::N,čeľusť,oalol
95,Kiefer[Anatomie]::N,čeľusť,oaloldákte
96,Kiefer[Anatomie]::N,čeľusť,gáibi
97,Kiefer[Anatomie]::N,čeľusť,uá'lultähti
98,Kiefer[Anatomie]::N,čeľusť,vuâl'lõš
99,Kiefer[Anatomie]::N,čeľusť,вуаллнешш
100,Kehle::N,hrdlo,gealoe
101,Kehle::N,hrdlo,tjåttå
102,Kehle::N,hrdlo,njiello
103,Kehle::N,hrdlo,čotta
104,Kehle::N,hrdlo,čuudâ
105,Kehle::N,hrdlo,čoodd
106,Kehle::N,hrdlo,чонт
107,Kehle::N,hrdlo,кэ̄ҏс
108,Hals::N,krk,tjeapohke
109,Hals::N,krk,tjiebet
110,Hals::N,krk,čeabet
111,Hals::N,krk,čiäppát
112,Hals::N,krk,čeäppat
113,Hals::N,krk,ча̄пэх
114,Genick::N,väzy,tjovrese
115,Genick::N,väzy,nisske
116,Genick::N,väzy,niehkki
117,Genick::N,väzy,niski
118,Genick::N,väzy,niek'ki
119,Genick::N,väzy,nji´šǩǩmaadd
120,Genick::N,väzy,нышшькмоант
121,Kopf::N,hlava,åejjie
122,Kopf::N,hlava,oajvve
123,Kopf::N,hlava,oaivi
124,Kopf::N,hlava,uái'vi
125,Kopf::N,hlava,vuei´vv
126,Kopf::N,hlava,вуэййв
127,Rücken::N,chrbát,rudtje
128,Rücken::N,chrbát,hárddo
129,Rücken::N,chrbát,tjavelk
130,Rücken::N,chrbát,sealgi
131,Rücken::N,chrbát,selgi
132,Rücken::N,chrbát,čielgi
133,Rücken::N,chrbát,seä´lǧǧ
134,Rücken::N,chrbát,се̄лльк
135,Bauch::N,brucho,tjåejjie
136,Bauch::N,brucho,tjoajvve
137,Bauch::N,brucho,čoavji
138,Bauch::N,brucho,čuáv'ji
139,Bauch::N,brucho,čåu´jj
140,Bauch::N,brucho,чо̄ввьй
141,Nabel::N,pupok,naepie
142,Nabel::N,pupok,náhpe
143,Nabel::N,pupok,náhpi
144,Nabel::N,pupok,nääpi
145,Nabel::N,pupok,nää´pp
146,Nabel::N,pupok,на̄бпь
147,Busen::N,prsia,boenge
148,Busen::N,prsia,bållå
149,Busen::N,prsia,čižži
150,Busen::N,prsia,njamma
151,Busen::N,prsia,njižže
152,Busen::N,prsia,nje´ǯǯ
153,Busen::N,prsia,раннҍт
154,Brust::N,hruď,mïelke
155,Brust::N,hruď,radde
156,Brust::N,hruď,mielgga
157,Brust::N,hruď,raddi
158,Brust::N,hruď,radde
159,Brust::N,hruď,râ´dd
160,Brust::N,hruď,раннҍт
161,Schulter::N,plece,åelkie
162,Schulter::N,plece,oalgge
163,Schulter::N,plece,hárdu
164,Schulter::N,plece,ärdee
165,Schulter::N,plece,uál'gi
166,Schulter::N,plece,a´rddi
167,Schulter::N,plece,vuä´lǧǧ
168,Schulter::N,plece,вуэллык
169,Arm::N,rameno,gïete
170,Arm::N,rameno,giehta
171,Arm::N,rameno,giehta
172,Arm::N,rameno,kietâ
173,Arm::N,rameno,kie'tâkaaṿâ
174,Arm::N,rameno,ǩiõtt
175,Arm::N,rameno,кӣдт
176,Ellenbogen::N,lakeť,gernjere
177,Ellenbogen::N,lakeť,garŋŋel
178,Ellenbogen::N,lakeť,gargŋil
179,Ellenbogen::N,lakeť,käŋŋir
180,Ellenbogen::N,lakeť,kõõnjâr
181,Ellenbogen::N,lakeť,карьнэль
182,Hand::N,ruka,gïete
183,Hand::N,ruka,giehta
184,Hand::N,ruka,giehta
185,Hand::N,ruka,kietâ
186,Hand::N,ruka,ǩiõtt
187,Hand::N,ruka,кӣдт
188,Handfläche::N,dlaň,gïeten-låapoe
189,Handfläche::N,dlaň,giehtavuodo
190,Handfläche::N,dlaň,tjårmmåvuodo
191,Handfläche::N,dlaň,giehtaloahpu
192,Handfläche::N,dlaň,kiämád
193,Handfläche::N,dlaň,kuámmir
194,Handfläche::N,dlaň,kuä´m'mer
195,Handfläche::N,dlaň,ǩiõttǩeä´m'men
196,Handfläche::N,dlaň,ко̄а̄ллдэгк
197,Handfläche::N,dlaň,кӣдткоалдэгк
198,Finger::N,prst,soerme
199,Finger::N,prst,tjuvdde
200,Finger::N,prst,suorbma
201,Finger::N,prst,čuvde
202,Finger::N,prst,suor'mâ
203,Finger::N,prst,suõrmm
204,Finger::N,prst,це̄ххп
205,Fingernagel::N,necht,gadtse
206,Fingernagel::N,necht,guehpere
207,Fingernagel::N,necht,gadtsa
208,Fingernagel::N,necht,gazza
209,Fingernagel::N,necht,kozzâ
210,Fingernagel::N,necht,kõʒʒ
211,Fingernagel::N,necht,кэ̄ннц
212,Nagel[Anatomie]::N,necht,gadtse
213,Nagel[Anatomie]::N,necht,guehpere
214,Nagel[Anatomie]::N,necht,gadtsa
215,Nagel[Anatomie]::N,necht,gazza
