,Concept_ID,ta,az
0,Auge::N,கண்,göz
1,Ohr::N,காது,qulaq
2,Nase::N,மூக்கு,burun
3,Mund::N,வாய்,ağız
4,Zahn::N,பல்,diş
5,Zunge::N,நாக்கு,dil
6,Lippe::N,உதடு,dodaq
7,Wange::N,கன்னம்,yanaq
8,Gesicht::N,முகம்,üz
9,Stirn::N,முன்னெற்றி,alın
10,Haar::N,முடி,saç
11,Schnurrbart::N,மீசை,bığ
12,Bart::N,தாடி,saqqal
13,Kinn::N,கீழதாடை,çənə
14,Kiefer[Anatomie]::N,தாடை,çənə
15,Kehle::N,தொண்டை,boğaz
16,Hals::N,கழுத்து,boyun
17,Genick::N,கழுத்து,ənsə
18,Kopf::N,தலை,baş
19,Rücken::N,முதுகு,bel
20,Bauch::N,வயிறு,qarın
21,Nabel::N,தொப்புள்,göbək
22,Busen::N,மார்பகம்,məmə
23,Brust::N, மார்பு,döş
24,Schulter::N,தோள்பட்டை,çiyin
25,Arm::N,கரம்,qol
26,Ellenbogen::N,முழங்கை,dirsək
27,Hand::N,கை,əl
28,Handfläche::N,உள்ளங்கை,ovuc
29,Finger::N,விரல்,barmaq
30,Fingernagel::N,விரல் நகம்,barmaq dırnağı
31,Nagel[Anatomie]::N,நகம்,dırnak
32,Zeh::N,கால்விரல்,ayaq barmağı
33,Fuß::N,கால்,ayaq
34,Ferse::N,குதிகால்,daban
35,Knie::N,முழங்கால்,diz
36,Oberschenkel::N,தொடை,bud
37,Bein::N,கால்,qıç
38,Körper::N,உடல்,əndam
39,Haut::N,சருமம்,dəri
40,Blut::N,இரத்தம்,qan
41,Ader::N,நாளம்,damar
42,Sehne::N,தசைநார்,vətər
43,Knochen::N,எலுமபு,sümük
44,Gehirn::N,மூனை,beyin
45,Herz::N,இதயம,ürək
46,Magen::N,வயிறு,mədə
47,Leber::N,கல்லீரல்,qara ciyər
48,Atem::N,மூச்சு,nəfəs
49,Hunger::N,பசி,aclıq
50,Träne::N,கண்ணீர்,göz yaşı
51,Geschmack::N,நறுமணம்,tam
52,Geschmack::N,நறுமணம்,ləzzət
53,Geruch::N,துர்நாற்றம்,qoxu
54,Schlaf::N,தூக்கம்,yuxu
55,Traum::N,கனவு,röya
56,Himmel::N,வானம்,göy
57,Himmel::N,வானம்,səma
58,Sonne::N,சூரியன்,günəş
59,Mond::N,சந்திரன்,ay
60,Stern::N,நட்சத்திரம்,ulduz
61,Luft::N,காறறு,hava
