,Concept_ID,tt,ab
0,Auge::N,күз,ала
1,Ohr::N,колак,алымҳа
2,Nase::N,борын,аҧынҵа
3,Mund::N,авыз,аҧышə
4,Mund::N,тамак,аҧышə
5,Zahn::N,теш,ахаҧыц
6,Zunge::N,тел,абз
7,Lippe::N,ирен,ақьышə
8,Wange::N,яңак,аӡамҩа
9,Gesicht::N,йөз,аҿы
10,Stirn::N,маңгай,алахь
11,Haar::N,чәч,ахəыц
12,Schnurrbart::N,мыек,аҧаҵа
13,Bart::N,сакал,ажакьа
14,Kinn::N,ияк,ацламкəыгə
15,Kiefer[Anatomie]::N,казналык,ацламҳəа
16,Kehle::N,тамак,ахəда
17,Hals::N,бугаз,ахəда
18,Genick::N,җилкә,ахəдаџьал
19,Kopf::N,баш,ахы
20,Rücken::N,сырт,азқəа
21,Bauch::N,корсак,амгəа
22,Nabel::N,кендек,аҷапан
23,Busen::N,түш,агəыҧҳəы
24,Brust::N,имчәк,агəышҧы
25,Brust::N,күкрәк,агəышҧы
26,Schulter::N,иңбаш,ажəҩахыр
27,Schulter::N,кулбаш,ажəҩахыр
28,Arm::N,кул,амахəар
29,Ellenbogen::N,терсәк,амашьхəылҵ
30,Hand::N,кул,анапы
31,Handfläche::N,уч,анапсаргəыҵа
32,Finger::N,бармак,анацəа
33,Fingernagel::N,тырнак,анапхыц
34,Nagel[Anatomie]::N,тырнак,ашьапхыц
35,Zeh::N,бармак,ашьацəа
36,Fuß::N,табан,ашьапсыргəыҵа
37,Ferse::N,үкчә,ашьхəа
38,Knie::N,тез,ашьамхы
39,Oberschenkel::N,бот,ауаҭəа
40,Bein::N,аяк,ашьапы
41,Körper::N,тән,ацəеижь
42,Körper::N,җисем,ацəеижь
43,Haut::N,тире,ацəа
44,Blut::N,кан,ашьа
45,Ader::N,тамыр,ада
46,Sehne::N,сеңер,адаш
47,Knochen::N,сөяк,абаҩ
48,Gehirn::N,ми,ахшлыбаҩ
49,Gehirn::N,ми,ахшыбаҩ
50,Herz::N,йөрәк,агəы
51,Magen::N,ашказаны,аца
52,Magen::N,ашказаны,ацар
53,Leber::N,бавыр,агəаҵəа
54,Atem::N,сулыш,аҧсыҧлагаҩгара
55,Hunger::N,ачлык,амла
56,Träne::N,яшь,алабжыш
57,Geschmack::N,тәм,агьама
58,Geschmack::N,зәвык,агьама
59,Geruch::N,ис,афҩы
60,Schlaf::N,йокы,ацəа
61,Traum::N,төш,аҧхыӡ
62,Himmel::N,күк,ажəҩан
63,Sonne::N,кояш,амра
64,Mond::N,ай,амза
65,Stern::N,йолдыз,аеҵəа
66,Luft::N,һава,аҳаир
67,Wind::N,җил,аҧша
68,Welle::N,дулкын,ацəқəырҧа
69,Wasser::N,су,аӡы
70,Stein::N,таш,ахаҳə
71,Boden::N,туфрак,адгьыл
72,Erde::N,җир,адгьыл
73,Staub::N,тузан,асаба
74,Rauch::N,төтен,алҩа
75,Funke::N,очкын,акəиц
76,Funke::N,очкын,ацҧхь
77,Feuer::N,ут,амца
78,Licht::N,якты,алашара
79,Schatten::N,күләгә,ашəшьыра
80,Wetter::N,һава,амш
81,Nebel::N,томан,анаҟəа
82,Wolke::N,болыт,аҧсҭҳəа
83,Regen::N,яңгыр,ақəа
84,Schnee::N,кар,асы
85,Eis::N,боз,аҵаа
86,Frost::N,суык,аҵаа
87,Frost::N,салкын,аҵаа
88,Kälte::N,суык,ахьҭа
89,Kälte::N,салкын,ахьҭа
90,Hitze::N,эсселек,ашоура
91,Raureif::N,бәс,аҵааҧшқа
92,Raureif::N,сыкы,аҵааҧшқа
93,Regenbogen::N,салават күпере,ацəаҟəа
94,Donner::N,күкрәү,адыд
95,Strömung::N,агыш'агым,аиасра
96,Strömung::N,агыш'агым,амҩасра
97,Tropfen::N,тамчы,ацəыкəбар
98,Schaum::N,күбек,ашəах
99,Schmutz::N,пычрак,алымт
100,See::N,күл,аӡиа
101,Sumpf::N,саз,аӡмах
102,Moor::N,торфлык,
103,Wiese::N,болын,адəы
104,Wald::N,урман,абна
105,Hügel::N,калку,ахəы
106,Anhöhe::N,үр,аҳаракыра
107,Berg::N,тау,ашьха
108,Gipfel::N,оч,ацəқəа
109,Höhle::N,мәгарә,аҳаҧы
110,Abhang::N,кабырга,анаара
111,Quelle::N,чишмә,аҵҵырҭа
112,Bach::N,елга,акəараҷҷа
113,Fluss::N,дәрья,аӡиас
114,Ufer::N,су кырые,ахықə
115,Küste::N,яр буе,ахықə
116,Festland::N,коры җир,абарра
117,Meer::N,диңгез,амшын
118,Bucht::N,бухта,аӡбжьахала
119,Bucht::N,култык,аӡбжьахала
120,Insel::N,атау,адгьылбжьаха
121,Insel::N,утрау,адгьылбжьаха
