,Concept_ID,mrj,ady
0,Auge::N,сӹнзӓ,нэ
1,Ohr::N,пӹлӹш,тхьакӏу́м
2,Nase::N,нер,пэ
3,Mund::N,ышма,жэ
4,Zahn::N,пӱ,цэ
5,Zunge::N,йӹлмӹ,бзэгу
6,Lippe::N,тӹрвӹ,ӏупшӏэ́
7,Wange::N,шӹргӹ,нэкӏу́шъу
8,Gesicht::N,лицӓ,нэ́гу
9,Stirn::N,лепкӓ,натӏэ́
10,Haar::N,ӱп,шъхьацы́
11,Schnurrbart::N,öрш,
12,Bart::N,пандаш,жакӏэ́
13,Kinn::N,онгылаш,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,пӱ арата,жэпкъы́
15,Kehle::N,логер,чый
16,Hals::N,шӱ,пшъэ
17,Genick::N,ланга,шъхьэпхэтыку
18,Kopf::N,вуй,шъхьэ́
19,Rücken::N,туп,кӏыбы́
20,Bauch::N,мӹшкӹр,ныбэ́
21,Nabel::N,кӹлӹмдӹ,
22,Busen::N,цӹзӹ,бгъэ́
23,Brust::N,мел,бгъэ́
24,Schulter::N,ӹнгӹжӓ,блыпкъ
25,Arm::N,кид,ӏэ
26,Ellenbogen::N,кӹнервуй,ӏэнтэ́гъу
27,Hand::N,лапа,ӏэтхьэцу
28,Handfläche::N,кид лапа,ӏэ́гу
29,Finger::N,парня,ӏэхъуа́мб
30,Fingernagel::N,кӹч,ӏэбжъа́н
31,Nagel[Anatomie]::N,кӹч,ӏэбжъа́н
32,Zeh::N,парня,ӏэхъуа́мб
33,Fuß::N,ял лапа,лъэгу
34,Ferse::N,ялгавал,лъэдакъэ
35,Ferse::N,ял кавал,лъэдакъэ
36,Knie::N,пылвуй,лъагуа́ндж
37,Oberschenkel::N,ӓрдӹ,ко
38,Bein::N,ял,лъакъо́
39,Körper::N,монгыр,пкъышъол
40,Haut::N,кавашты,кӏы́шъу
41,Blut::N,вӹр,лъы
42,Ader::N,вӹршӓр,льытф
43,Sehne::N,кукшышӱн,фэ
44,Knochen::N,лу,къупшъхьэ́
45,Gehirn::N,вим,куцӏы
46,Herz::N,шӱм,гу
47,Magen::N,шӱм,мышкӏу
48,Leber::N,мокш,шӏу
49,Atem::N,шӱлӹш,къэщэныр
50,Hunger::N,шужымаш,гъаблэ́
51,Träne::N,сӹнзӓвӹд,нэпсы
52,Geschmack::N,тот,ӏэшӏугъа́кӏ
53,Geruch::N,пыш,мэ
54,Schlaf::N,ом,пчыхьы́пӏ
55,Traum::N,ом,пчыхьы́пӏ
56,Himmel::N,пӹлгом,уашъо́
57,Sonne::N,кечӹ,тыгъэ
58,Mond::N,тӹлзӹ,мазэ
59,Stern::N,шӹдӹр,жъуагъо́
60,Luft::N,юж,жьы
61,Luft::N,воздух,жьы
62,Wind::N,мардеж,жьыбгъэ́
63,Welle::N,ко,ор
64,Welle::N,ко,оры
65,Welle::N,коэ,ор
66,Welle::N,коэ,оры
67,Wasser::N,вӹд,псы
68,Stein::N,кӱ,мыжъо́
69,Boden::N,рок,чӏ́ыгу
70,Erde::N,свет,чӏ́ыгу
71,Staub::N,пырак,сап
72,Rauch::N,шӹкш,ӏугъо́
73,Funke::N,ип,мэшӏуа́ч
74,Funke::N,тылип,мэшӏуа́ч
75,Feuer::N,тыл,машӏо́
76,Licht::N,соты,нэфы
77,Licht::N,соты,нэфын
78,Licht::N,валгыды,нэфы
79,Licht::N,валгыды,нэфын
80,Schatten::N,ӹмӹл,жьау́
81,Schatten::N,ӹмӹл,ныбжьыкъу
82,Wetter::N,игечӹ,
83,Nebel::N,тӹтӹрӓ,пща́гъу
84,Wolke::N,пӹл,ошъуапщэ
85,Regen::N,юр,ощхы
86,Schnee::N,лым,осы́
87,Eis::N,и,мылы
88,Frost::N,ӱштӹ,
89,Kälte::N,ӱштӹ,чъыӏэ́
90,Hitze::N,шокшы,фэба́е
91,Raureif::N,пöрш,
92,Regenbogen::N,шанавӹл, лэгъупэкъо́пс
93,Donner::N,хӹдӹртӹш,шыблэ́
94,Strömung::N,йогы,ток
95,Tropfen::N,капльы,ткӏопс
96,Tropfen::N,капльы,гъуаткӏу
97,Tropfen::N,капльык,ткӏопс
98,Tropfen::N,капльык,гъуаткӏу
99,Schaum::N,шонг,тхъурбэ
100,Schmutz::N,лявӹрӓ,псынжъы
101,See::N,йӓр,хыку́м
102,See::N,йӓр,псыхъура́й
103,Sumpf::N,лӱкӹ,орыжъ
104,Moor::N,куп,орыжъ
105,Wiese::N,алык,хъупӏэ́
106,Wiese::N,алык,мэкъупӏ
107,Wald::N,шӹргӹ,мэзы́
108,Hügel::N,пӱгӹрикӓ,ӏуашъхь
109,Anhöhe::N,кӱкшикӓ,чӏыӏэтыгъ
110,Berg::N,кырык,къушъхьэ́
111,Gipfel::N,неркӓ,шыгу
112,Höhle::N,ы́раж,гъочӏэгъ
113,Abhang::N,полом,чапэ
114,Quelle::N,вӹдсӹнзӓ,псынэчэ́чъ
115,Bach::N,ӓнгӹр,псышкуашку
116,Fluss::N,вӹд,псыхъо́
117,Ufer::N,сир,нэпкъы
118,Küste::N,сир,ӏушъо
119,Festland::N,мӱлӓндӹ,чӏл́ыгу
120,Meer::N,тангыж,хы
121,Bucht::N,вӹдъял,хыблыгу
122,Insel::N,острок,хыгъэхъу́н
123,Blume::N,пеледӹш,къэгъа́гь
124,Gras::N,шуды,уцы́
125,Wurzel::N,важ,лъапсэ́
126,Baum::N,пушӓнгӹ,чъыгы́
127,Stamm::N,пушӓнгӹ тӹнг,пкъы
128,Rinde::N,каргыж,пхъашъо́
129,Ast::N,укш,куамэ
130,Zweig::N,укш,къутамэ́
131,Blatt::N,листӹ,тхьап
132,Birke::N,куги,пчэн
133,Kiefer[Baum]::N,йӓктӹ,сэснэй
134,Weide[Baum]::N,уа,пце́л
135,Tanne::N,кож,ель
136,Horn::N,шур,бжъэ
137,Feder::N,пын,къамӏы́й
138,Fell::N,кавашты,шъо
139,Flügel::N,шылдыр,тамэ́
140,Klaue::N,кӹч,лъэбжъа́н
141,Kralle::N,лапа,лъакъо
142,Schwanz::N,пач,кӏэ
143,Ei::N,мыны,кӏэнкӏэ́
144,Nest::N,пӹжӓш,набгъо́
145,Bau::N,ыраж,гъу
146,Bau::N,ыраж,бы
147,Tier::N,во́льык,псэу́шъхь
148,Herde::N,кӹтö,ӏэхъогъу
149,Kuh::N,ышкал,чэмы́
150,Bulle::N,ӱшкӱж,цу
151,Pferd::N,имни,шы
152,Schaf::N,шарык,мэлы́
153,Schwein::N,сасна,къо
154,Hund::N,пи,бьэ
155,Katze::N,коти,чэты́у
156,Bär::N,мöскӓ,мышъэ́
157,Eichhörnchen::N,ур,цызэ́
158,Elch::N,шарды,лось
159,Fuchs::N,рӹвӹж,баджэ́
160,Hase::N,морен,тхьакӏумкӏы́хь
161,Maus::N,каля,цыгъо́
162,Wolf::N,пирӹ,тыгъу́жъ
163,Vogel::N,кек,бзы́у
164,Schwarm::N,цуца,отэр
165,Huhn::N,цӹвӹ,чэты́
166,Hahn::N,ӓптӓн,атакъэ́
167,Gans::N,комбы,къа́з
168,Adler::N,кучкыж,
169,Ente::N,лыды,псычэ́т
170,Eule::N,тымана,тыгъурыгъу
171,Kranich::N,тырня,къэрэ́у
172,Kranich::N,тыртня,къэрэ́у
173,Krähe::N,лудыгарак,къолэ́жъ
174,Kuckuck::N,куку,куку́у
175,Schwan::N,йӱксӹ,
176,Fisch::N,кол,пцэжъы́й
177,Barsch::N,алангы,тхыкъэц
178,Hecht::N,нуж,лэнд
179,Hecht::N,нужгол,лэнд
180,Schlange[Tier]::N,кӹшкы,блэ́
181,Wurm::N,шукш,хьамлыу
182,Spinne::N,ӓнгӹремшӹ,бэдж
183,Ameise::N,кыткы,къамзэ́гу
184,Laus::N,ти,цӏэ
185,Mücke::N,кужнер,аргъо́й
186,Mücke::N,кужынер,аргъо́й
187,Fliege::N,шӹнгӓ,бадзэ́
188,Schmetterling::N,лӹпӹ,хьампӏыра́шъу
189,Beere::N,мöр,маткӏо
190,Apfel::N,олма,мыӏэры́с
191,Pilz::N,понгы,хьаӏу
192,Zwiebel::N,охыра,бжьыны́
193,Saat::N,нӱшмӹ,чылапхъ
194,Saat::N,нӱшмӱ,чылапхъ
195,Korn::N,пӹрцӹ,цэ
196,Heu::N,шуды,мэкъу
197,Schale::N,аваха,кӏы́шъу
198,Schale::N,карлангы,кӏы́шъу
199,Grube::N,йӓм,машэ́
200,Falle::N,лӱдӹ,зэраубытырэ́ ӏэмэпсы́м
201,Falle::N,лӱдӹш,зэраубытырэ́ ӏэмэпсы́м
202,Schlinge::N,онгы,бзыуубыт
203,Spur::N,кишӓ,ужы
204,Spur::N,кишӓ,лъэуж
205,Asche::N,ломых,яжьэ́
206,Asche::N,ломпыж,яжьэ́
207,Dreck::N,лявӹрӓ,псынжъы
208,Eisen::N,кӹртни,гыучӏы́
209,Eisen::N,кӹртни,къэнджа́л
210,Gold::N,шöртни,дышъэ́
211,Gold::N,шöртньӹ,дышъэ́
212,Silber::N,ши,тыжьы́н
213,Kohle::N,шӱ,шӏомыкӏ
214,Glas::N,охоница,апч
215,Lehm::N,шун,етӏагъо́
216,Sand::N,ошма,пшахъо
217,Mensch::N,эдем,цӏыфы́
218,Mann::N,пӱэргӹ,хъулъфы́гъ
219,Frau::N,ӹдӹрӓмӓш,бӏылъфыгъэ́
220,Kind::N,ӓзӓ,кӏэлэцӏы́кӏу
221,Kind::N,шачшы,кӏэлэцӏы́кӏу
222,Junge::N,рвезӹ,кӏэлэцӏы́кӏу
223,Junge::N,ӹрвезӹ,кӏэлэцӏы́кӏу
224,Mädchen::N,ӹдӹрӓш,пшъэшъэжъый
225,Familie::N,йиш,быны́
226,Familie::N,йиш,уна́гъу
227,Familie::N,семня,быны́
228,Familie::N,семня,уна́гъу
229,Großvater::N,тьоти,тэтэ́жъ
230,Großmutter::N,папа,нэнэ́жъ
231,Eltern::N,ӓтя-ӓвӓ,ны-тыхэ́р
232,Vater::N,ӓтя,ты
233,Mutter::N,ӓвӓ,ны
234,Sohn::N,эргӹ,къо
235,Tochter::N,ӹдӹр,пхъу
236,Bruder::N,ӹза,шы
237,Schwester::N,ӓкӓ,шы́пхъу
238,Onkel::N,кугуза,янэ́ш
239,Tante::N,куака,атэшыпхъу
240,Ehemann::N,мары,лӏы
241,Ehefrau::N,вӓтӹ,шъу́з
242,Freude::N,ӹвӹртӹмӓш,гушӏуа́гъу
243,Gelächter::N,ваштылмаш,щхыныр
244,Glück::N,пиӓл,насы́п
245,Kummer::N,ясы,тхьамыкӏагъу
246,Wunsch::N,охата,шӏонгъоны́гъ
247,Wunsch::N,шанымаш,шӏонгъоны́гъ
248,Lust::N,шӓр,шӏонгъоны́гъ
249,Lust::N,охата,шӏонгъоны́гъ
250,Lust::N,шанымаш,шӏонгъоны́гъ
251,Geist::N,тух,гу
252,Gedanke::N,шанымаш,гупшыс
253,Gedächtnis::N,ӓш,память
254,Verstand::N,ыш,акъы́л
255,Sinn::N,кын,мэхьанэ
256,Grund::N,вир,ушъхьагъу
257,Wahrheit::N,тöр,шъыпкъэ́
258,Gespräch::N,хытырымаш,гущыӏ
259,Märchen::N,ямак,пшысэ
260,Erzählung::N,шайыштмаш,къэба́р
261,Nachricht::N,увертӓрӹмӓш,къэба́р
262,Neuigkeit::N,увер,къэбарыкӏ
263,Name::N,лӹм,цӏэ
264,Rätsel::N,тышты,коджэхь-къоджэшх
265,Rede::N,шая,гущыӏ
266,Rede::N,шамак,гущыӏ
267,Sprache::N,йӹлмӹ,бзэ
268,Stimme::N,юк,макъэ́
269,Wort::N,шамак,гущыӏ
270,Zeichen::N,палӹ,тамы́гъ
271,Ruf::N,сӹгӹрӹмӓш,джэ макъ
272,Lärm::N,юкланымащ,макъэ
273,Laut::N,юк,макъэ
274,Ton::N,юк,
275,Lied::N,мыры,орэ́д
276,Ruhe::N,тыр,самбырыныгъ
277,Leute::N,эдемвлӓ,цӏыфхэ́р
278,Volk::N,халык,цӏыф лъэпкъ
279,Arbeit::N,пӓшӓ,ӏофшӏакӏэ́н
280,Gast::N,хына,хьакӏэ́
281,Geschenk::N,подарка,шӏухьафтын
282,Spiel::N,мадыш,еоны́р
283,Spiel::N,мадыш,джэгуны́р
284,Spiel::N,мадыш,къегъэӏоны́р
285,Gesellschaft::N,йӓл,обществ
286,Gesellschaft::N,йӓлвлӓ,обществ
287,Hilfe::N,палшык,ӏэпыӏэгъу
288,Freund::N,тӓнг,ныбджэгъу
289,Kamerad::N,тос,ныбджэгъу
290,Angelegenheit::N,дела,ӏофы́
291,Angelegenheit::N,йела,ӏофы́
292,Angelegenheit::N,йыла,ӏофы́
293,Angelegenheit::N,пӓшӓ,ӏофы́
294,Anzahl::N,шот,пчъагъэ́
295,Art::N,цӹре,изэрэщы́т
296,Art::N,цӹре,лъэпкъ
297,Stück::N,лаштык,такъы́р
298,Teil::N,пай,щыщ
299,Teil::N,пай,ӏахь
300,Teil::N,часть,щыщ
301,Teil::N,часть,ӏахь
302,Hälfte::N,пел,ныкъо́
303,Kreis::N,тӹртӹш,хъура́й
304,Kreuz::N,крестӹ,къащ
305,Abstand::N,ло,азыфагу
306,Entfernung::N,ло,чӏыгууанэ
307,Gegend::N,вӓр,чӏыпӏэ́
308,Platz::N,вӓр,азыфагу
309,Ort::N,вӓр,чӏыпӏэ́
310,Seite::N,öрдӹж,лъэны́къу
311,Mitte::N,ло,гузэ́гу
312,Gegenstand::N,хӓдӹр,пкъыгъо
313,Sache::N,хӓдӹр,
314,Rand::N,шöр,цакӏэ́
315,Kante::N,шöр,цэгэналъ
316,Ecke::N,лык,къогъу
317,Spitze::N,вуй,пакӏэ
318,Ende::N,вуй,кӏэ
319,Ende::N,мычаш,кӏэ
320,Loch::N,ыраж,гъуа́н
321,Winkel::N,лык,къогъу
322,Muster::N,тӹрлец,тхыпхъэ
323,Größe::N,кӱкшӹц,иина́гъ
324,Länge::N,кыт,икӏыхьа́гъ
325,Höhe::N,кӱкшӹц,лъэгагъ
326,Gewicht::N,нелӹц,онтэгъугъэ́
327,Menge::N,шот,пчъагъэ́
328,Haufen::N,ара,ӏат
329,Reihe::N,ряд,саты́р
330,Boot::N,пыш,къуашъо́
331,Ruder::N,вешлӓ,къошъобэ́щ
332,Schlitten::N,тир,
333,Ski::N,ечӹ,лыжэхэр
334,Lagerfeuer::N,тыл,пхъэмашӏу
335,Last::N,нелӹц,
336,Gang::N,ход,кӏоныр
337,Schritt::N,ашкыл,лъэубэ́къу
338,Norden::N,йыдпелвел,темы́р
339,Süden::N,кечӹвӓлвел,къыблэ́
340,Westen::N,кечӹ шӹцмӹ,тыгъэкъохьа́пӏ
341,Osten::N,ирвел,тыгьэкъокӏы́пӏ
342,Osten::N,кечӹ лӱлтмӹ,тыгьэкъокӏы́пӏ
343,Holz::N,пушӓнгӹ,чъыгы́
344,Brett::N,ханга,пхъэ́мбгъу
345,Platte::N,плитӓ,упсыхьагъ
346,Stütze::N,цӓрӓк,кӏэгъэкъон
347,Stange::N,равы,къорэ́гъ
348,Stange::N,намаш,къорэ́гъ
349,Stock::N,панды,бэщ
350,Stab::N,равы,бэщ кӏы́хь
351,Rohr::N,пыч,онджэкъ
352,Haus::N,пöрт,унэ́
353,Heim::N,пöрт,унэ́
354,Ofen::N,камака,гъэжъэн
355,Fußboden::N,седӹрӓ,джэхашъу
356,Tisch::N,стöл,стол
357,Stuhl::N,пöкен,пхъэнтӏэ́кӏу
358,Wiege::N,шипкӓ,кушъэ́
359,Bett::N,койка,пӏэкӏо́р
360,Bett::N,кравать,пӏэкӏо́р
361,Regal::N,полицӓ,мэкӏай
362,Kiste::N,шӱ́ндӹк,ящык
363,Fenster::N,окня,шъхьаныгъу́пчъ
364,Tür::N,амаса,пчъэ
365,Tor::N,хапка,къэла́пчъ
366,Zaun::N,забор,шӏыхьагъэ́
367,Dach::N,левӓш,шъхьэ́
368,Leiter::N,ташкалтыш,лъэо́й
369,Leiter::N,ташкалтыш,дэкӏояпӏэ́
370,Besen::N,сало,пхъэнкӏы́пхъ
371,Besen::N,салко,пхъэнкӏы́пхъ
372,Spaten::N,кольмы,къазгъы́р
373,Schaufel::N,лоток,хэӏалъ
374,Gabel::N,ви́лка,цацэ
375,Löffel::N,савала,джэмы́шх
376,Messer::N,кӹзӹ,шъэжъы́й
377,Nagel::N,пыда,гъучӏыӏу́н
378,Netz::N,вӓпш,хъытыу
379,Haken::N,крӱк,хьажтӏаркъу
380,Haken::N,кагак,хьажтӏаркъу
381,Griff::N,кычем,къопс
382,Schloss::N,замок,ӏункӏы́бз
383,Schloss::N,сыравач,ӏункӏы́бз
384,Bild::N,картин,сурэ́т
