,Concept_ID,mrj,kk
0,Auge::N,сӹнзӓ,көз
1,Ohr::N,пӹлӹш,құлақ
2,Nase::N,нер,мұрын
3,Mund::N,ышма,ауыз
4,Zahn::N,пӱ,тіс
5,Zunge::N,йӹлмӹ,тіл
6,Lippe::N,тӹрвӹ,ерін
7,Wange::N,шӹргӹ,ұрт
8,Gesicht::N,лицӓ,бет-аузы
9,Stirn::N,лепкӓ,маңдай
10,Haar::N,ӱп,қыл
11,Schnurrbart::N,öрш,мұрт
12,Bart::N,пандаш,сақал
13,Kinn::N,онгылаш,иек
14,Kiefer[Anatomie]::N,пӱ арата,жақ
15,Kehle::N,логер,алқым
16,Hals::N,шӱ,мойын
17,Genick::N,ланга,желке
18,Kopf::N,вуй,кәллә
19,Rücken::N,туп,арқа
20,Bauch::N,мӹшкӹр,қарын
21,Nabel::N,кӹлӹмдӹ,кіндік
22,Busen::N,цӹзӹ,омырау
23,Brust::N,мел,кеуде
24,Schulter::N,ӹнгӹжӓ,иық
25,Arm::N,кид,қол
26,Ellenbogen::N,кӹнервуй,шынтақ
27,Hand::N,лапа,қол
28,Handfläche::N,кид лапа,алақан
29,Finger::N,парня,саусақ
30,Fingernagel::N,кӹч,тырнақ
31,Nagel[Anatomie]::N,кӹч,тырнақ
32,Zeh::N,парня,тырнақ
33,Zeh::N,парня,тұяқ
34,Fuß::N,ял лапа,аяқ-басы
35,Ferse::N,ялгавал,өкше
36,Ferse::N,ялгавал,өкшелік
37,Ferse::N,ял кавал,өкше
38,Ferse::N,ял кавал,өкшелік
39,Knie::N,пылвуй,тізе
40,Oberschenkel::N,ӓрдӹ,жамбас
41,Bein::N,ял,аяқ
42,Körper::N,монгыр,дене
43,Haut::N,кавашты,тері
44,Blut::N,вӹр,қан
45,Ader::N,вӹршӓр,көктамыр
46,Ader::N,вӹршӓр,күретамыр
47,Sehne::N,кукшышӱн,сіңір
48,Knochen::N,лу,жілік
49,Gehirn::N,вим,ми
50,Herz::N,шӱм,жүрек
51,Magen::N,шӱм,асқазан
52,Leber::N,мокш,бауыр
53,Atem::N,шӱлӹш,леп
54,Hunger::N,шужымаш,ашаршылық
55,Träne::N,сӹнзӓвӹд,жас
56,Geschmack::N,тот,дәм
57,Geschmack::N,тот,татым
58,Geschmack::N,тот,талғам
59,Geruch::N,пыш,иіс
60,Schlaf::N,ом,ұйқы
61,Schlaf::N,ом,ұйықтау
62,Traum::N,ом,түс
63,Himmel::N,пӹлгом,аспан
64,Himmel::N,пӹлгом,көқ
65,Himmel::N,пӹлгом,таңдай
66,Sonne::N,кечӹ,күн
67,Mond::N,тӹлзӹ,ай
68,Stern::N,шӹдӹр,жұлдыз
69,Luft::N,юж,әуе
70,Luft::N,воздух,әуе
71,Wind::N,мардеж,жел
72,Welle::N,ко,толқын
73,Welle::N,коэ,толқын
74,Wasser::N,вӹд,су
75,Stein::N,кӱ,тас
76,Boden::N,рок,қыртыс
77,Erde::N,свет,топырақ
78,Staub::N,пырак,шаң
79,Rauch::N,шӹкш,түтін
80,Funke::N,ип,ұшқын
81,Funke::N,тылип,ұшқын
82,Feuer::N,тыл,алау
83,Licht::N,соты,шұғыла
84,Licht::N,валгыды,шұғыла
85,Schatten::N,ӹмӹл,көлеңке
86,Wetter::N,игечӹ,ауа райы
87,Nebel::N,тӹтӹрӓ,тұман
88,Wolke::N,пӹл,бұлт
89,Regen::N,юр,жаңбыр
90,Schnee::N,лым,қар
91,Eis::N,и,мұз
92,Frost::N,ӱштӹ,суық
93,Kälte::N,ӱштӹ,ызғар
94,Kälte::N,ӱштӹ,суықтық
95,Hitze::N,шокшы,аптап
