,Concept_ID,uk,kv
0,Auge::N,око,син
1,Ohr::N,вухо,пель
2,Nase::N,ніс,ныр
3,Mund::N,рот,ӧм
4,Zahn::N,зуб,пинь
5,Zunge::N,язик,кыв
6,Lippe::N,губа,тырп
7,Wange::N,щока,рожабан
8,Gesicht::N,обличчя,бан
9,Stirn::N,лоб,кымӧс
10,Haar::N,волосся,юрси
11,Schnurrbart::N,вуса,уссэз
12,Bart::N,борода,тош
13,Kinn::N,підборіддя,тшӧка
14,Kiefer[Anatomie]::N,щелепа,ан
15,Kehle::N,горло,юан
16,Hals::N,шия,юан
17,Genick::N,потилиця,юр бӧр
18,Kopf::N,голова,юр
19,Rücken::N,спина,мышк
20,Bauch::N,живіт,кынӧм
21,Nabel::N,пупок,гӧг
22,Busen::N,груди,морос
23,Brust::N,груди,морос
24,Schulter::N,плече,пельпон
25,Arm::N,рука,ки
26,Ellenbogen::N,лікоть,гырдзза
27,Hand::N,рука,кикар
28,Handfläche::N,долоня,ки пыдӧс
29,Finger::N,палець,чунь
30,Fingernagel::N,ніготь,гыж
31,Nagel[Anatomie]::N,ніготь,гыж
32,Zeh::N,палець на нозі,чунь
33,Fuß::N,нога,кокпыдӧс
34,Ferse::N,п’ятка,кокдзир
35,Knie::N,коліно,пидзӧс
36,Oberschenkel::N,стегно,лядьбей
37,Bein::N,нога,кок
38,Körper::N,тіло,вывтыр
39,Haut::N,шкіра,кучик
40,Blut::N,кров,вир
41,Ader::N,вена,сӧн
42,Sehne::N,сухожилля,жила
43,Knochen::N,кістка,коска
44,Gehirn::N,мозок,вем
45,Herz::N,серце,сьӧлӧм
46,Magen::N,шлунок,жӧвдӧк
47,Leber::N,печінка,мус
48,Atem::N,дихання,лолалӧм
49,Hunger::N,голод,тшыг
50,Träne::N,сльоза,синва
51,Geschmack::N,смак,кӧр
52,Geruch::N,запах,дук
53,Schlaf::N,сон,он
54,Schlaf::N,сплячка,он
55,Traum::N,сон,вӧт
56,Himmel::N,небо,небо
57,Sonne::N,сонце,шондi
58,Mond::N,місяць,тӧлiсь
59,Stern::N,зірка,кӧдзыв
60,Luft::N,повітря,ру
61,Wind::N,вітер,тӧв
62,Welle::N,хвиля,гы
63,Wasser::N,вода,ва
64,Stein::N,камінь,из
65,Boden::N,ґрунт,му
66,Erde::N,земля,му
67,Staub::N,пил,бус
68,Rauch::N,дим,тшын
69,Funke::N,іскра,бичир
70,Feuer::N,вогонь,би
71,Licht::N,світло,би
72,Schatten::N,тінь,вуджӧр
73,Wetter::N,погода,погоддя
74,Nebel::N,туман,туман
75,Wolke::N,хмара,кымӧр
76,Regen::N,дощ,зэр
77,Schnee::N,сніг,лым
78,Eis::N,лід,йы
79,Frost::N,мороз,мороз
80,Kälte::N,холод,кӧдзыт
81,Hitze::N,жар,ӧд
82,Raureif::N,іній,кижа
83,Regenbogen::N,райдуга,енӧшка
84,Donner::N,грім,гым
85,Strömung::N,струмина,визывтӧм
86,Tropfen::N,крапля,тёп
87,Schaum::N,піна,быг
88,Schmutz::N,бруд,нять
89,See::N,озеро,ты
90,Sumpf::N,драговина,арай
91,Moor::N,болото,нюр
92,Wiese::N,луг,видз
93,Wiese::N,лука,видз
94,Wald::N,ліс,вӧр
95,Hügel::N,горб,мыльк
96,Anhöhe::N,височина,вывтас
97,Anhöhe::N,височина,вылынін
98,Berg::N,гора,керӧс
99,Gipfel::N,вершина,йыв
100,Höhle::N,печера,нора
101,Abhang::N,схил,покат
102,Quelle::N,джерело,больган
103,Bach::N,струмок,шор
104,Fluss::N,річка,ю
105,Ufer::N,берег,берег
106,Küste::N,узбережжя,берег
107,Festland::N,суша,му
108,Meer::N,море,море
109,Bucht::N,бухта,курья
110,Bucht::N,затока,курья
111,Insel::N,острів,
112,Blume::N,квітка,цветок
113,Gras::N,трава,турун
114,Wurzel::N,корінь,вуж
115,Baum::N,дерево,пу
116,Stamm::N,стовбур,мыр
117,Stamm::N,стовбур,кер
118,Rinde::N,кора,кач
119,Ast::N,гілка,ув
120,Zweig::N,галузь,ув
121,Blatt::N,лист,лист
122,Birke::N,береза,кыдз
123,Kiefer[Baum]::N,сосна,пожум
124,Weide[Baum]::N,верба,бадь
125,Tanne::N,ялиця,кӧз
126,Horn::N,ріг,сюр
127,Feder::N,перо,гӧн
128,Fell::N,хутро,кучик
129,Flügel::N,крило,борд
130,Klaue::N,кіготь,гыж
131,Kralle::N,лапа,кабыр
132,Schwanz::N,хвіст,бӧж
133,Ei::N,яйце,кольть
134,Nest::N,гніздо,поз
135,Bau::N,лігво,осьта
136,Bau::N,лігво,нора
137,Tier::N,тварина,зверь
138,Herde::N,стадо,гурт
139,Kuh::N,корова,мӧс
140,Bulle::N,бик,ӧшка
141,Bulle::N,бугай,ӧшка
142,Pferd::N,кінь,вӧв
143,Schaf::N,вівця,баля
144,Schwein::N,свиня,порсь
145,Hund::N,собака,пон
146,Katze::N,кішка,кань
147,Bär::N,ведмідь,ош
148,Eichhörnchen::N,білка,ур
149,Elch::N,лось,вӧр мӧс
150,Fuchs::N,лисиця,руч
151,Hase::N,заєць,кӧч
152,Maus::N,миша,шыр
153,Wolf::N,вовк,кӧин
154,Vogel::N,птах,кай
155,Schwarm::N,зграя,стая
156,Schwarm::N,зграя,чукӧр
157,Huhn::N,курка,курӧг
158,Hahn::N,півень,петух
159,Hahn::N,півень,ай курӧг
160,Gans::N,гуска,дзодзог
161,Adler::N,орел,куч
162,Adler::N,орел,кутш
163,Ente::N,качка,утка
164,Eule::N,сова,тупка
165,Kranich::N,журавель,тури
166,Krähe::N,ворона,рака
167,Kuckuck::N,зозуля,кӧк
168,Schwan::N,лебідь,юсь
169,Fisch::N,риба,чери
170,Barsch::N,окунь,ёкыш
171,Hecht::N,щука,сирпинь
172,Schlange[Tier]::N,змія,змей
173,Wurm::N,черв’як,номыр
174,Spinne::N,павук,черань
175,Ameise::N,мурашка,кӧдзывкар
176,Laus::N,воша,ляпа той
177,Mücke::N,комар,ном
178,Fliege::N,муха,гут
179,Schmetterling::N,метелик,бабыв
180,Beere::N,ягода,ягӧд
181,Apfel::N,яблуко,яблоко
182,Pilz::N,гриб,тшак
183,Zwiebel::N,цибуля,грез
184,Saat::N,сім’я,кӧдзыс
185,Korn::N,зерно,сю
186,Heu::N,сіно,турун
187,Schale::N,шкірка,кыш
188,Schale::N,шкірка,киль
189,Grube::N,яма,яма
190,Falle::N,пастка,нальк
191,Falle::N,пастка,кляпча
192,Schlinge::N,петля,лӧч
193,Spur::N,слід,туй
194,Asche::N,зола,пӧим
195,Asche::N,попіл,пӧим
196,Dreck::N,бруд,нять
197,Eisen::N,залізо,кӧрт
198,Gold::N,золото,зарни
199,Silber::N,срібло,язісь
200,Kohle::N,вугілля,шом
201,Kohle::N,вугілля,уголь
202,Glas::N,скло,стекло
203,Lehm::N,глина,сёй
204,Sand::N,пісок,лыа
205,Mensch::N,людина,морт
206,Mann::N,чоловік,мужик
207,Frau::N,жінка,инька
208,Kind::N,дитина,кага
209,Junge::N,хлопець,зонка
210,Mädchen::N,дівчина,нывкаок
211,Familie::N,сім’я,семья
212,Familie::N,родина,семья
213,Großvater::N,дідусь,дед
214,Großmutter::N,бабуся,баб
215,Eltern::N,батьки,ай-мам
216,Vater::N,батько,ай
217,Mutter::N,мати,мам
218,Sohn::N,син,зон
219,Tochter::N,дочка,ныв
220,Bruder::N,брат,вон
221,Schwester::N,сестра,сой
222,Onkel::N,дядько,дядь
223,Tante::N,тітка,айӧлӧн сой
224,Tante::N,тітка,ичинь
225,Ehemann::N,чоловік,жӧник
226,Ehefrau::N,жінка,инь
227,Ehefrau::N,дружина,инь
228,Freude::N,радощі,гаж
229,Freude::N,радощі,радъялӧм
230,Gelächter::N,сміх,сералӧм
231,Glück::N,щастя,мичлун
232,Kummer::N,горе,шог
233,Wunsch::N,бажання,мӧдӧм
234,Wunsch::N,бажання,охотитӧм
235,Lust::N,бажання,охота
236,Geist::N,дух,лов
237,Gedanke::N,думка,дума
238,Gedächtnis::N,пам’ять,тӧдвыв
239,Verstand::N,розум,вежӧр
240,Sinn::N,зміст,ылӧс
241,Sinn::N,значення,ылӧс
242,Grund::N,причина,мог
243,Wahrheit::N,правда,правда
244,Gespräch::N,розмова,сёрни
245,Märchen::N,байка,сказка
246,Erzählung::N,повість,висьт
247,Erzählung::N,оповідання,висьт
248,Nachricht::N,повідомлення,юӧр
249,Nachricht::N,повідомлення,висьталӧм
250,Neuigkeit::N,новина,новость
251,Name::N,ім’я,ним
252,Rätsel::N,загадка,загадка
253,Rede::N,промова,сёрни
254,Sprache::N,мова,кыв
255,Stimme::N,голос,голос
256,Wort::N,слово,кыв
257,Zeichen::N,знак,пас
258,Ruf::N,оклик,чуксӧм
259,Ruf::N,оклик,чукӧстӧм
260,Lärm::N,шум,шум
261,Laut::N,звук,шы
262,Ton::N,тон,гор
263,Lied::N,пісня,сьыланкыв
264,Ruhe::N,спокій,спокой
265,Leute::N,люди,йӧз
266,Volk::N,народ,йӧз
267,Volk::N,народ,народ
268,Arbeit::N,робота,удж
269,Gast::N,гість,гӧсь
270,Geschenk::N,подарунок,гӧснеч
271,Geschenk::N,подарунок,подарок
272,Spiel::N,гра,орсӧм
273,Gesellschaft::N,товариство,компания
274,Hilfe::N,допомога,отсӧт
275,Freund::N,друг,модз
276,Freund::N,друг,дружок
277,Freund::N,приятель,модз
278,Freund::N,приятель,дружок
279,Kamerad::N,товариш,тӧдса
280,Angelegenheit::N,справа,дело
281,Anzahl::N,число,лыд
282,Art::N,рід,пӧлӧс
283,Stück::N,кусок,тор
284,Teil::N,частина,юкӧм
285,Hälfte::N,половина,джын
286,Kreis::N,круг,круг
287,Kreis::N,коло,круг
288,Kreuz::N,хрест,перна
289,Linie::N,лінія,визь
290,Strich::N,штрих,кырӧв
291,Abstand::N,проміжок,колас
292,Entfernung::N,відстань,ылына
293,Gegend::N,місцевість,места
294,Platz::N,площа,места
295,Ort::N,місце,места
296,Seite::N,сторона,ладор
297,Mitte::N,середина,шӧр
298,Gegenstand::N,предмет,тор
299,Sache::N,річ,тор
300,Rand::N,край,дор
301,Kante::N,ребро,ордлы
302,Ecke::N,ріг,пельӧс
303,Spitze::N,кінчик,йыв
304,Ende::N,кінець,йыв
305,Loch::N,діра,осьта
306,Winkel::N,куток,пельӧс
307,Muster::N,узор,сер
308,Größe::N,розмір,ыжда
309,Länge::N,довжина,кузя
310,Höhe::N,висота,сувда
311,Höhe::N,висота,вылына
312,Gewicht::N,вага,сьӧкта
313,Menge::N,кількість,
314,Haufen::N,купа,куча
315,Reihe::N,ряд,лёдз
316,Boot::N,човен,пыж
317,Ruder::N,весло,пелыс
318,Schlitten::N,сани,додь
319,Ski::N,лижа,лямпа
320,Lagerfeuer::N,вогнище,бипур
321,Last::N,тягар,тягота
322,Last::N,вантаж,тягота
323,Gang::N,хід,мунӧм
324,Schritt::N,крок,вожмӧв
325,Norden::N,північ,ой
326,Süden::N,південь,лун
327,Westen::N,захід,рытвыв
328,Osten::N,схід,асыв
329,Holz::N,дрова,пу
330,Brett::N,дошка,пӧв
331,Platte::N,плита,плита
332,Stütze::N,підпірка,пика
333,Stange::N,жердина,зор
334,Stange::N,жердина,потш
335,Stock::N,палиця,бедь
336,Stab::N,палиця,шест
337,Rohr::N,труба,труба
338,Haus::N,дім,керку
339,Haus::N,хата,керку
340,Heim::N,житло,керку
341,Ofen::N,піч,пӧжавны
342,Fußboden::N,підлога,джодж
343,Tisch::N,стіл,пызан
344,Stuhl::N,стілець,стул
345,Wiege::N,колиска,зыбка
346,Bett::N,ліжко,кровать
347,Bett::N,постіль,кровать
348,Regal::N,полиця,джадж
349,Kiste::N,ящик,ящик
350,Fenster::N,вікно,ӧшын
351,Tür::N,двері,ыбӧс
352,Tor::N,ворота,ворота
353,Zaun::N,паркан,забор
354,Zaun::N,огорожа,забор
355,Dach::N,дах,крыша
356,Leiter::N,драбина,лиснич
357,Besen::N,мітла,рос
358,Spaten::N,заступ,зыр
359,Schaufel::N,совок,зыр
360,Schaufel::N,лопата,зыр
361,Gabel::N,виделка,вила
362,Löffel::N,ложка,пань
363,Messer::N,ніж,пурт
364,Nagel::N,цвях,кӧрттув
365,Netz::N,сіть,кыйӧт
366,Haken::N,крюк,ем
367,Griff::N,ручка,пу
368,Griff::N,держак,пу
369,Schloss::N,замок,замок
370,Bild::N,картина,картина
371,Figur::N,фігура,мыгӧр
372,Puppe::N,лялька,акань
373,Beutel::N,мішечок,мешӧк
374,Beutel::N,торбинка,мешӧк
375,Bündel::N,в’язка,нин
376,Tasche::N,сумка,сумка
377,Eimer::N,відро,ведра
378,Deckel::N,кришка,вевт
379,Geschirr::N,посуд,доз
380,Geschirr::N,посуд,бекӧрпань
381,Sack::N,мішок,мешӧк
382,Tasse::N,чашка,бекӧр
383,Topf::N,горщик,кастрюля
384,Kessel::N,котел,пӧрт
385,Essen::N,їжа,сёйӧм
386,Nahrung::N,харч,вердан
387,Speise::N,страва,сёян
388,Fleisch::N,м’ясо,яй
389,Getreide::N,хліб,сю
390,Getreide::N,збіжжя,сю
391,Brei::N,каша,каша
392,Brot::N,хліб,нянь
393,Scheibe::N,скибочка,шӧрӧм
394,Fett::N,жир,гос
395,Butter::N,масло,ви
396,Öl::N,олія,ви
397,Salz::N,сіль,сов
398,Suppe::N,суп,шыд
399,Honig::N,мед,ма
400,Milch::N,молоко,йӧв
401,Tee::N,чай,чай
402,Leder::N,шкіра,кучик
403,Wolle::N,шерсть,гӧн
404,Stoff::N,тканина,дӧра
405,Nadel::N,голка,ем
406,Faden::N,нитка,сунис
407,Knopf::N,ґудзик,кизь
408,Knoten::N,вузол,узӧв
409,Knoten::N,вузол,гӧрӧд
410,Farbe::N,фарба,краска
411,Kleidung::N,одяг,паськӧм
412,Kleidung::N,убрання,паськӧм
413,Hemd::N,сорочка,йӧрнӧс
414,Kragen::N,комір,воротник
415,Ärmel::N,рукав,сос
416,Hose::N,брюки,вешьян
417,Gürtel::N,пояс,йи
418,Mütze::N,шапка,шапка
419,Schuh::N,ботинок,ботинки
420,Stiefel::N,чобіт,сапог
421,Ring::N,кільце,чунькытш
422,Band::N,стрічка,ленточка
423,Kamm::N,гребінець,сынан
424,Spiegel::N,дзеркало,зеркало
425,Riemen::N,ремінь,ремень
426,Schnur::N,вірьовка,гез
427,Leine::N,шворка,повод
428,Decke::N,ковдра,одеяло
429,Kissen::N,подушка,подушка
430,Tuch::N,хустка,чышьян
431,Handtuch::N,рушник,чышкӧт
432,Kraft::N,сила,прак
433,Stärke::N,сила,вын
434,Gesundheit::N,здоров’я,здоровье
435,Krankheit::N,хвороба,шог
436,Schmerz::N,біль,зубыт
437,Wunde::N,рана,рана
438,Fieber::N,гарячка,лёк тресся
439,Fieber::N,гарячка,кынтан шогӧт
440,Arznei::N,ліки,лекарство
441,Brücke::N,міст,пос
442,Brunnen::N,колодязь,колодец 
443,Weide::N,пасовище,пода йирсян
444,Pfad::N,стежка,туй
445,Weg::N,шлях,туй
446,Weg::N,дорога,туй
447,Straße::N,вулиця,туй
448,Dorf::N,село,деревня
449,Stadt::N,місто,город
450,Brief::N,лист,гижӧт
451,Buch::N,книга,книга
452,Buch::N,книжка,книга
453,Buchstabe::N,буква,буква
454,Buchstabe::N,літера,буква
455,Zeitung::N,газета,газета
456,Leben::N,життя,олан
457,Tod::N,смерть,кулӧм
458,Grab::N,могила,гу
459,Kirche::N,церква,вичку
460,Sünde::N,гріх,грек
461,Gott::N,бог,ен
462,Arbeiter::N,робітник,уджалiсь
463,Chef::N,хазяїн,начальник
464,Meister::N,умілець,мастер
465,Arzt::N,лікар,врач
466,Lehrer::N,вчитель,велӧтісь
467,Geld::N,гроші,деньга
468,Geschäft::N,заняття,удж
469,Laden::N,магазин,магазин
470,Laden::N,крамниця,магазин
471,Preis::N,ціна,дон
472,Ware::N,товар,товар
473,Nutzen::N,вигода,путь
474,Nutzen::N,користь,путь
475,Reichtum::N,багатство,богатство
476,Welt::N,світ,му
477,Land::N,країна,страна
478,Staat::N,держава,государство
479,König::N,король,кан
480,Macht::N,влада,власть
481,Grenze::N,кордон,граница
482,Krieg::N,війна,война
483,Feind::N,ворог,враг
484,Gewalt::N,насильство,
485,Kampf::N,бій,нярасьӧм
486,Kampf::N,бій,вермасьӧм
487,Kampf::N,боротьба,нярасьӧм
488,Kampf::N,боротьба,вермасьӧм
489,Bogen[Waffe]::N,лук,лук
490,Pfeil::N,стріла,ньӧв
491,Gewehr::N,рушниця,ружьё
492,Gewehr::N,гвинтівка,ружьё
493,Fehler::N,помилка,ошибка
494,Lüge::N,брехня,ылӧтӧм
495,Lüge::N,брехня,пӧрьялӧм
496,Schaden::N,шкода,лёк
497,Schaden::N,збиток,лёк
498,Unglück::N,нещастя,пик
499,Unglück::N,нещастя,оказзё
500,Schuld::N,провина,вина
501,Alter::N,вік,
502,Alter::N,літа,
503,Schluss::N,кінець,ком
504,Zeit::N,час,кад
505,Tag::N,день,лун
506,Morgen::N,ранок,асыв
507,Mittag::N,південь,луншӧр кад
508,Abend::N,вечір,рыт
509,Nacht::N,ніч,ой
510,Woche::N,тиждень,неделя
511,Monat::N,місяць,тӧлicь
512,Jahr::N,рік,год
513,Frühling::N,весна,тулыс
514,Sommer::N,літо,гожум
515,Herbst::N,осінь,ар
516,Winter::N,зима,тӧв
517,Januar::N,січень,январ
518,Februar::N,лютий,февраль
519,März::N,березень,март
520,April::N,квітень,апрель
521,Mai::N,травень,май
522,Juni::N,червень,юнь
523,Juli::N,липень,юль
524,August::N,серпень,август
525,September::N,вересень,сентяб
526,Oktober::N,жовтень,октяб
527,November::N,листопад,нояб
528,Dezember::N,грудень,декаб
529,Montag::N,понеділок,вильлун
530,Dienstag::N,вівторок,мӧдӧдзлун
531,Mittwoch::N,середа,шӧрлун
532,Donnerstag::N,четвер,нёльӧдзлун
533,Freitag::N,п’ятниця,витӧдзлун
534,Samstag::N,субота,пывсянлун
535,Sonntag::N,неділя,кресення
536,groß::A,великий,ыджыт
537,klein::A,малий,учӧтик
538,klein::A,маленький,учӧтик
539,lang::A,довгий,кузь
540,kurz::A,короткий,дженыт
541,breit::A,широкий,ота
542,schmal::A,вузький,векнит
543,dicht::A,густий,тшӧк
544,dick[Gegenstand]::A,товстий,кыз
545,dünn::A,тонкий,вӧснит
546,fein::A,дрібний,вӧснит
547,fest::A,міцний,крепыт
548,flach::A,плоский,лапкӧса
549,glatt::A,рівний,волькыт
550,glatt::A,гладенький,волькыт
551,hart::A,твердий,чӧрыт
552,weich::A,м’який,небыт
553,rund::A,круглий,гӧгрӧса
554,spitz::A,гострокінцевий,ёся
555,scharf::A,гострий,лэчыт
556,stumpf::A,тупий,ныж
557,schwer::A,важкий,сьӧкыт
558,schön::A,вродливий,басӧк
559,heiß::A,жаркий,жар
560,heiß::A,гарячий,жар
561,warm::A,теплий,шоныт
562,kalt::A,холодний,кӧдзыт
563,kühl::A,прохолодний,сайкыт
564,frisch::A,свіжий,виль
565,feucht::A,вогкий,вакодь
566,nass::A,мокрий,ва
567,trocken::A,сухий,кӧс
568,voll::A,повний,тыра
569,leer::A,пустий,тыртӧм
570,offen::A,відкритий,оссьӧм
571,geschlossen::A,закритий,игана
572,geschlossen::A,закритий,пӧдана
573,geschlossen::A,зачинений,игана
574,geschlossen::A,зачинений,пӧдана
575,sauber::A,чистий,сӧдз
576,sauber::A,чистий,сӧстӧм
577,sauber::A,охайний,сӧдз
578,sauber::A,охайний,сӧстӧм
579,schmutzig::A,брудний,нятьӧсь
580,roh::A,сирий,путӧм
581,reif::A,зрілий,кисьмалӧм
582,lecker::A,смачний,кӧра 
583,süß::A,солодкий,чӧскыт
584,bitter::A,гіркий,курыт
585,sauer::A,кислий,шӧма 
586,hell::A,світлий,югыт
587,dunkel::A,темний,пемыт
588,schwarz::A,чорний,сьӧд
589,weiß::A,сивий,чочком
590,rot::A,червоний,гӧрд
591,gelb::A,жовтий,веж
592,blau::A,синій,лӧз
593,grün::A,зелений,веж
594,grau::A,сірий,руд
595,grau::A,сірий,бусӧй
596,bunt::A,барвистий,быдрӧма
597,billig::A,дешевий,донтӧм
598,teuer::A,дорогий,дона
599,wertvoll::A,цінний,дона
600,blind::A,сліпий,синтӧм
601,taub::A,глухий,пельтӧм
602,kräftig::A,могутній,вына
603,stark::A,сильний,вына
604,schwach::A,слабкий,некодя
605,fett::A,жирний,госа
606,fett::A,товстий,госа
607,schlank::A,тонкий,статя
608,schlank::A,стрункий,статя
609,hübsch::A,чарівний,басӧк
610,böse::A,злий,лёк
611,böse::A,лихий,лёк
612,dumm::A,дурний,бӧбӧв
613,dumm::A,дурний,вежӧртӧм
614,faul::A,ледачий,дыш
615,fleißig::A,старанний,уджалicь
616,geizig::A,скупий,жикмӧра
617,geizig::A,скупий,горшаліcь
618,klug::A,мудрий,авья
619,klug::A,мудрий,вежӧра
620,klug::A,розумний,авья
621,klug::A,розумний,вежӧра
622,geschickt::A,умілий,кипода
623,lieb::A,милий,муса
624,lieb::A,милий,дзулиньӧй
625,lustig::A,веселий,гажа
626,sanft::A,лагідний,лебезнӧй
627,hungrig::A,голодний,тшыг
628,krank::A,слабий,шогалiсь
629,nackt::A,голий,куш
630,traurig::A,сумний,жугыль
631,lebendig::A,живий,ловья
632,gut::A,добрий,бур
633,schlecht::A,поганий,умӧль
634,schlecht::A,кепський,умӧль
635,richtig::A,правильний,
636,schlimm::A,бридкий,нештӧм
637,wahr::A,справжній,
638,alt::A,старий,важ
639,neu::A,новий,виль
640,ehemalig::A,колишній,вӧвлӧм
641,alt[Lebewesen]::A,старий,года
642,alt[Lebewesen]::A,старий,годдэза
643,jung::A,молодий,том
644,arm::A,бідний,гов
645,arm::A,бідний,беднӧй
646,reich::A,багатий,эма
647,bekannt::A,знайомий,тӧдса
648,berühmt::A,славетний,
649,fremd::A,чужий,чужӧй
650,verschieden::A,різний,быдкодь
651,nah::A,близький,матiсь
652,fern::A,далекий,ылicь
653,linker::A,лівий,шульга
654,rechter::A,правий,веськытланись
655,anderer::A,інакший,мукӧд
656,erster::A,перший,медодзза
657,zweiter::A,другий,кыкӧт
658,dritter::A,третій,куимӧт
659,dritter::A,третій,куимӧдз
660,letzter::A,останній,бӧрья
661,letzter::A,останній,мёдбӧрья
662,allein::ADV,сам,
663,allein::ADV,один,
664,auf einmal::ADV,відразу,тшӧтш
665,zusammen::ADV,разом,ӧтлаын
666,zusammen::ADV,спільно,ӧтлаын
667,lange::ADV,довго,дыр
668,plötzlich::ADV,раптом,друг
669,sofort::ADV,зараз,тшӧтш
670,später::ADV,пізніше,медбӧрын
671,jetzt::ADV,тепер,ӧні
672,heute::ADV,сьогодні,талун
673,morgen::ADV,завтра,ашын
674,bald::ADV,незабаром,чожа
675,dann::ADV,потім,сыбӧрын
676,gestern::ADV,вчора,тӧн
677,einst::ADV,колись,ӧтпыр
678,damals::ADV,тоді,сэк
679,damals::ADV,тоді,сэки
680,danach::ADV,згодом,сэсся
681,vorher::ADV,раніше,одзжык
682,zuerst::ADV,спершу,наперво
683,zuerst::ADV,спочатку,наперво
684,einmal::ADV,один раз,ӧтпыр
685,manchmal::ADV,іноді,мукӧдпыр
686,manchmal::ADV,інколи,мукӧдпыр
687,oft::ADV,часто,-лы-
688,immer::ADV,завжди,быдпыр
689,immer::ADV,завжди,быдпырся
690,niemals::ADV,ніколи,некӧр
691,hier::ADV,тут,татӧн
692,hierhin::ADV,сюди,татчӧ
693,von hier::ADV,звідси,тасянь
694,dort::ADV,там,сэтӧн
