,Concept_ID,cs,lbe
0,Auge::N,oko,я
1,Ohr::N,ucho,вичӏи
2,Nase::N,nos,май
3,Mund::N,pusa,кьацӏ
4,Zahn::N,zub,ккарччи
5,Zunge::N,jazyk,маз
6,Lippe::N,ret,мурччи
7,Wange::N,tvář,чӏав
8,Gesicht::N,obličej,лажин
9,Stirn::N,čelo,ненттабакӏ
10,Haar::N,vlas,чӏара
11,Haar::N,vlasy,чӏара
12,Schnurrbart::N,kníry,ссирссилтту
13,Bart::N,vousy,чӏири
14,Kinn::N,brada,лунттубакӏ
15,Kiefer[Anatomie]::N,čelist,ххинчулул
16,Kehle::N,hrdlo,кьакьари
17,Hals::N,krk,ссурссу
18,Genick::N,týl,махъабакӏ
19,Kopf::N,hlava,бакӏ
20,Rücken::N,záda,ттиликӏ
21,Rücken::N,hřbet,ттиликӏ
22,Bauch::N,břicho,лякьа
23,Nabel::N,pupek,цӏумуккутӏ
24,Busen::N,ňadra,ккукку
25,Brust::N,prsa,хъазам
26,Schulter::N,plece,хъачӏ
27,Schulter::N,rameno,хъачӏ
28,Arm::N,ruka,ка
29,Ellenbogen::N,loket,ссюрхъ
30,Hand::N,ruka,бартка
31,Handfläche::N,dlaň,хъат
32,Handfläche::N,dlaň,битӏянхъ
33,Finger::N,prst,кӏисса
34,Fingernagel::N,nehet,михь
35,Nagel[Anatomie]::N,nehet,михь
36,Zeh::N,prst u nohy,кӏисса
37,Fuß::N,noha,чӏанччан
38,Ferse::N,pata,никъа
39,Knie::N,koleno,ник
40,Oberschenkel::N,stehno,жира
41,Bein::N,noha,ччан
42,Körper::N,tělo,чурх
43,Haut::N,kůže,бурчу
44,Blut::N,krev,оь
45,Ader::N,céva,тунну
46,Sehne::N,šlacha,хьхьа
47,Knochen::N,kost,ттаркӏ
48,Gehirn::N,mozek,ня
49,Herz::N,srdce,дакӏ
50,Herz::N,srdce,къюкӏ
51,Magen::N,žaludek,лякьа
52,Leber::N,játra,
53,Atem::N,dech,ссихӏ ласаву
54,Atem::N,dech,ссихӏ бигьаву
55,Hunger::N,hlad,ккаши
56,Träne::N,slza,макь
57,Geschmack::N,vkus,тӏин
58,Geschmack::N,vkus,тӏааьн
59,Geruch::N,vůně,кьанкь
60,Geruch::N,zápach,кьанкь
61,Schlaf::N,spánek,шану
62,Traum::N,sen,макӏру
63,Himmel::N,nebe,ссав
64,Sonne::N,slunce,баргъ
65,Mond::N,měsíc,барз
66,Stern::N,hvězda,цӏуку
67,Luft::N,vzduch,гьава
68,Wind::N,vítr,марч
69,Welle::N,vlna,щатӏи
70,Wasser::N,voda,щин
71,Stein::N,kámen,чару
72,Boden::N,půda,аьрщи
73,Erde::N,země,аьрщи
74,Staub::N,prach,ххит
75,Rauch::N,dým,пуркӏу
76,Rauch::N,kouř,пуркӏу
77,Funke::N,jiskra,пиягь
78,Feuer::N,oheň,цӏу
79,Licht::N,světlo,чани
80,Schatten::N,stín,ххют
81,Wetter::N,počasí,гьава
82,Nebel::N,mlha,шархь ттурлу
83,Wolke::N,mrak,ттурлу
84,Wolke::N,oblak,ттурлу
85,Regen::N,déšť,гъарал
86,Schnee::N,sníh,марххала
87,Eis::N,led,микӏ
88,Frost::N,mráz,дяркъу
89,Frost::N,mráz,замгьар
90,Kälte::N,chlad,дяркъу
91,Hitze::N,horko,кӏиришиву
92,Raureif::N,jinovatka,сил
93,Raureif::N,jinovatka,бурса
94,Regenbogen::N,duha,ссурул ккуртта
95,Donner::N,hrom,къув
96,Strömung::N,proudění,экьинанаву
97,Tropfen::N,kapka,кӏунтӏ
98,Schaum::N,pěna,хьама
99,Schmutz::N,špína,кьяркьи
100,See::N,jezero,бяр
101,Sumpf::N,močál,кунцӏа
102,Sumpf::N,bažina,кунцӏа
103,Moor::N,bažina,
104,Moor::N,slatina,
105,Wiese::N,louka,кьан
106,Wald::N,les,вацӏа
107,Hügel::N,kopec,бакӏу
108,Anhöhe::N,pahorek,
109,Berg::N,hora,зунтту
110,Gipfel::N,vrchol,мицӏ
111,Höhle::N,jeskyně,нух
112,Abhang::N,svah,сун
113,Abhang::N,stráň,сун
114,Quelle::N,pramen,дайдихьу
115,Quelle::N,pramen,бакӏ
116,Bach::N,potok,чӏрир нех
117,Fluss::N,řeka,нех
118,Ufer::N,břeh,зума
119,Küste::N,pobřeží,зумаинхалу
120,Küste::N,pobřeží,зуманицӏалу
121,Festland::N,souš,кьири
122,Festland::N,pevnina,кьири
123,Meer::N,moře,хьхьири
124,Bucht::N,záliv,
125,Bucht::N,zátoka,
126,Insel::N,ostrov,жазира
127,Blume::N,květina,тӏутӏи
128,Gras::N,tráva,уртту
129,Wurzel::N,kořen,мархха
130,Baum::N,strom,мурхь
131,Stamm::N,kmen,ттарцӏ
132,Rinde::N,kůra,ккамара
133,Ast::N,větev,матӏи
134,Zweig::N,větev,къяртта
135,Blatt::N,lupen,чӏапӏи
136,Birke::N,bříza,кӏялахӏи
137,Birke::N,bříza,кӏялахӏилул мурхь
138,Kiefer[Baum]::N,sosna,ттар
139,Kiefer[Baum]::N,sosna,ттарлил мурхь
140,Kiefer[Baum]::N,borovice,ттар
141,Kiefer[Baum]::N,borovice,ттарлил мурхь
142,Weide[Baum]::N,vrba,щавщи
143,Tanne::N,jedle,ттарлил мурхь
144,Horn::N,roh,хъи
145,Feder::N,pero,лелуххул тӏиму
146,Fell::N,srst,бурчу
147,Flügel::N,křídlo,хъа
148,Flügel::N,křídlo,ххурупӏайрал тӏиму
149,Klaue::N,dráp,михь
150,Klaue::N,pazneht,михь
151,Kralle::N,dráp,ххяппа
152,Schwanz::N,ocas,магъ
153,Ei::N,vejce,ккунук
154,Nest::N,hnízdo,кюру
155,Bau::N,nora,цукъуккутӏ
156,Tier::N,zvíře,хӏайван
157,Herde::N,stádo,газу
158,Kuh::N,kráva,оьл
159,Bulle::N,býk,ниц
160,Pferd::N,kůň,чу
161,Schaf::N,ovce,тта
162,Schwein::N,vepř,дунгъуз
163,Schwein::N,prase,дунгъуз
164,Hund::N,pes,ккаччи
165,Katze::N,kočka,ччиту
166,Bär::N,medvěd,цуша
167,Eichhörnchen::N,veverka,бюрхттукку
168,Elch::N,los,ниц-бюрин
169,Fuchs::N,liška,цулчӏа
170,Fuchs::N,liška,куча цулчӏа
