,Concept_ID,os,is
0,Auge::N,цӕст,auga
1,Ohr::N,хъус,eyra
2,Nase::N,фындз,nef
3,Mund::N,дзых,munnur
4,Zahn::N,дӕндаг,tönn
5,Zunge::N,ӕвзаг,tunga
6,Lippe::N,был,vör
7,Wange::N,рус,kinn
8,Wange::N,рус,vangi
9,Wange::N,уадул,kinn
10,Wange::N,уадул,vangi
11,Wange::N,ӕхсӕрфарс,kinn
12,Wange::N,ӕхсӕрфарс,vangi
13,Gesicht::N,цӕсгом,andlit
14,Stirn::N,ных,enni
15,Haar::N,хил,hár
16,Schnurrbart::N,рихи,yfirskegg
17,Bart::N,зачъе,skegg
18,Kinn::N,роцъо,haka
19,Kiefer[Anatomie]::N,ӕфсӕр,kjálki
20,Kiefer[Anatomie]::N,ӕфсӕр,skoltur
21,Kehle::N,хъуыр,kverk
22,Hals::N,къубал,háls
23,Genick::N,къӕбут,hnakki
24,Kopf::N,сӕр,höfuð
25,Rücken::N,фӕсонтӕ,hryggur
26,Bauch::N,гуыбын,kviður
27,Nabel::N,бикъ,nafli
28,Busen::N,дзидзи,barmur
29,Brust::N,риу,brjóst
30,Schulter::N,уӕхск,öxl
31,Arm::N,цонг,armur
32,Ellenbogen::N,рæмбын,olnbogi
33,Hand::N,къух,hönd
34,Handfläche::N,армытъӕпӕн,lófi
35,Finger::N,ӕнруылдз,fingur
36,Fingernagel::N,ных,fingurnögl
37,Nagel[Anatomie]::N,ных,nögl
38,Zeh::N,къух,tá
39,Fuß::N,фад,fótur
40,Ferse::N,зӕвӕт,hæll
41,Knie::N,уӕраг,kné
42,Oberschenkel::N,агъд,læri
43,Bein::N,зӕнг,fótleggur
44,Körper::N,буар,búkur
45,Körper::N,буар,líkami
46,Haut::N,царм,húð
47,Haut::N,царм,skinn
48,Blut::N,туг,blóð
49,Ader::N,дадзин,æð
50,Ader::N,тугдадзин,æð
51,Sehne::N,хъиутæ,sin
52,Sehne::N,нуар,sin
53,Knochen::N,стӕг,bein
54,Gehirn::N,магъз,heili
55,Herz::N,зӕрдӕ,hjarta
56,Magen::N,ахсӕн,magi
57,Leber::N,игæр,lifur
58,Atem::N,улӕфт,andi
59,Atem::N,улӕфт,andardráttur
60,Hunger::N,стонг,hungur
61,Träne::N,цæссыг,tár
62,Geschmack::N,ад,smekkur
63,Geruch::N,смаг,lykt
