,Concept_ID,sv,ja
0,Auge::N,öga,目
1,Ohr::N,öra,耳
2,Nase::N,näsa,鼻
3,Mund::N,mun,口
4,Zahn::N,tand,歯
5,Zunge::N,tunga,舌
6,Lippe::N,läpp,唇
7,Wange::N,kind,頬
8,Gesicht::N,syn,顔
9,Gesicht::N,ansikte,顔
10,Stirn::N,panna,額
11,Haar::N,hår,髪
12,Schnurrbart::N,mustasch,口髭
13,Bart::N,skägg,髭
14,Kinn::N,haka,顎
15,Kiefer[Anatomie]::N,käke,顎
16,Kehle::N,strupe,喉
17,Hals::N,hals,首
18,Genick::N,nacke,首
19,Kopf::N,huvud,頭
20,Rücken::N,rygg,背中
21,Bauch::N,buk,腹
22,Bauch::N,buk,お腹
23,Bauch::N,mage,腹
24,Bauch::N,mage,お腹
25,Nabel::N,navel,へそ
26,Busen::N,barm,乳房
27,Brust::N,bröst,胸
28,Schulter::N,skuldra,肩
29,Arm::N,arm,腕
30,Ellenbogen::N,armbåge,肘
31,Hand::N,hand,手
32,Handfläche::N,handflata,手のひら
33,Finger::N,finger,指
34,Fingernagel::N,fingernagel,爪
35,Nagel[Anatomie]::N,nagel,爪
36,Zeh::N,tå,足の指
37,Fuß::N,fot,足
38,Ferse::N,häl,かかと
39,Knie::N,knä,膝
40,Oberschenkel::N,lår,上腿
41,Bein::N,ben,足
42,Körper::N,kropp,体
43,Haut::N,hud,皮膚
44,Haut::N,skinn,皮膚
45,Blut::N,blod,血
46,Ader::N,åder,血管
47,Sehne::N,sena,腱
48,Knochen::N,ben,骨
49,Gehirn::N,hjärna,脳
50,Herz::N,hjärta,心
51,Herz::N,hjärta,心臓
52,Magen::N,mage,胃
53,Leber::N,lever,肝臓
54,Atem::N,anda,息
55,Atem::N,anda,呼吸
56,Atem::N,andedräkt,息
57,Atem::N,andedräkt,呼吸
58,Hunger::N,svält,空腹
59,Hunger::N,hunger,空腹
60,Träne::N,tår,涙
61,Geschmack::N,smak,味
62,Geruch::N,lukt,匂い
63,Schlaf::N,sömn,睡眠
64,Traum::N,dröm,夢
65,Himmel::N,himmel,空
66,Sonne::N,sol,太陽
67,Mond::N,måne,月
68,Stern::N,stjärna,星
69,Luft::N,luft,空気
70,Wind::N,vind,風
71,Welle::N,våg,波
72,Welle::N,bölja,波
73,Wasser::N,vatten,水
74,Stein::N,sten,石
75,Boden::N,mark,土地
76,Erde::N,jord,土
77,Staub::N,damm,埃
78,Rauch::N,rök,煙
79,Funke::N,gnista,火花
80,Feuer::N,eld,火
81,Licht::N,ljus,光
82,Schatten::N,skugga,陰
83,Wetter::N,väder,天気
84,Nebel::N,dimma,霧
85,Nebel::N,töcken,霧
86,Wolke::N,sky,雲
87,Wolke::N,moln,雲
88,Regen::N,regn,雨
89,Schnee::N,snö,雪
90,Eis::N,is,氷
91,Frost::N,frost,霜
92,Kälte::N,köld,寒さ
93,Hitze::N,hetta,暑さ
94,Raureif::N,rimfrost,霧氷
95,Regenbogen::N,regnbåge,虹
96,Donner::N,åska,雷
97,Donner::N,dunder,雷
98,Strömung::N,strömning,流れ
99,Tropfen::N,dropper,滴
100,Schaum::N,skum,泡
101,Schmutz::N,lort,汚れ
102,Schmutz::N,smuts,汚れ
103,See::N,sjö,湖
104,Sumpf::N,träsk,沼
105,Moor::N,myr,湿原
106,Moor::N,mosse,湿原
107,Wiese::N,äng,草原
108,Wald::N,skog,森
109,Hügel::N,höjd,丘
110,Hügel::N,kulle,丘
111,Anhöhe::N,höjd,高み
112,Anhöhe::N,backe,高み
113,Berg::N,berg,山
114,Berg::N,fjäll,山
115,Gipfel::N,topp,頂上
116,Höhle::N,håla,洞窟
117,Höhle::N,grotta,洞窟
118,Abhang::N,slänt,斜面
119,Abhang::N,sluttning,斜面
120,Quelle::N,källa,泉
121,Bach::N,bäck,小川
122,Fluss::N,älv,川
123,Fluss::N,flod,川
124,Ufer::N,strand,岸
125,Küste::N,kust,海岸
126,Festland::N,fastland,陸
127,Meer::N,hav,海
128,Bucht::N,vik,湾
129,Bucht::N,bukt,湾
130,Insel::N,ö,島
131,Blume::N,blomma,花
132,Blume::N,blomster,花
133,Gras::N,gräs,草
134,Wurzel::N,rot,根
135,Baum::N,träd,木
136,Stamm::N,stam,幹
137,Rinde::N,bark,皮層
138,Ast::N,gren,枝
139,Zweig::N,kvist,小枝
140,Blatt::N,löv,葉
141,Blatt::N,blad,葉
142,Birke::N,björk,樺
143,Kiefer[Baum]::N,tall,松
144,Weide[Baum]::N,pil,柳
145,Weide[Baum]::N,vide,柳
146,Tanne::N,gran,樅
147,Horn::N,horn,角
148,Feder::N,fjäder,羽根
149,Fell::N,fäll,毛皮
150,Fell::N,skinn,毛皮
151,Flügel::N,vinge,羽
152,Klaue::N,klöv,鉤爪
153,Kralle::N,klo,爪
154,Schwanz::N,svans,尻尾
155,Schwanz::N,stjärt,尻尾
156,Ei::N,ägg,卵
157,Nest::N,rede,巣
158,Nest::N,näste,巣
159,Bau::N,bo,穴
160,Tier::N,djur,動物
161,Herde::N,flock,群れ
162,Kuh::N,ko,牛
163,Bulle::N,tjur,雄牛
164,Pferd::N,häst,馬
165,Schaf::N,får,羊
166,Schwein::N,svin,豚
167,Hund::N,hund,犬
168,Katze::N,katt,猫
