,Concept_ID,no,sk
0,Auge::N,øye,oko
1,Ohr::N,øre,ucho
2,Nase::N,nese,nos
3,Mund::N,munn,ústa
4,Zahn::N,tann,zub
5,Zunge::N,tunge,jazyk
6,Lippe::N,leppe,pera
7,Wange::N,kinn,líce
8,Gesicht::N,fjes,tvár
9,Gesicht::N,fjes,obličaj
10,Gesicht::N,ansikt,tvár
11,Gesicht::N,ansikt,obličaj
12,Stirn::N,panne,čelo
13,Haar::N,hår,vlas
14,Schnurrbart::N,bart,fúzy
15,Bart::N,skjegg,brada
16,Kinn::N,hake,brada
17,Kiefer[Anatomie]::N,kjeve,čeľusť
18,Kehle::N,strupe,hrdlo
19,Hals::N,hals,krk
20,Genick::N,nakke,väzy
21,Kopf::N,hode,hlava
22,Rücken::N,rygg,chrbát
23,Bauch::N,buk,brucho
24,Bauch::N,mage,brucho
25,Nabel::N,navle,pupok
26,Busen::N,barm,prsia
27,Brust::N,bryst,hruď
28,Schulter::N,skulder,plece
29,Arm::N,arm,rameno
30,Ellenbogen::N,albue,lakeť
31,Hand::N,hånd,ruka
32,Handfläche::N,håndflate,dlaň
33,Finger::N,finger,prst
34,Fingernagel::N,fingernegl,necht
35,Nagel[Anatomie]::N,negl,necht
36,Zeh::N,tå,prst na nohe
37,Fuß::N,fot,noha
38,Ferse::N,hæl,päta
39,Knie::N,kne,koleno
40,Oberschenkel::N,lår,stehno
41,Bein::N,bein,noha
42,Körper::N,kropp,telo
43,Körper::N,legeme,telo
44,Haut::N,hud,koža
45,Haut::N,skinn,koža
46,Blut::N,blod,krv
47,Ader::N,åre,žila
48,Sehne::N,sene,šľacha
49,Knochen::N,bein,kosť
50,Knochen::N,knokkel,kosť
51,Gehirn::N,hjerne,mozog
52,Herz::N,hjerte,srdce
53,Magen::N,mage,žalúdok
54,Leber::N,lever,pečeň
55,Atem::N,pust,dych
56,Hunger::N,sult,hlad
57,Träne::N,tåre,slza
58,Geschmack::N,smak,chuť
59,Geruch::N,lukt,pach
60,Schlaf::N,søvn,spánok
61,Traum::N,drøm,sen
62,Himmel::N,himmel,nebo
63,Sonne::N,sol,slnko
64,Mond::N,måne,mesiac
65,Stern::N,stjerne,hviezda
66,Luft::N,luft,vzduch
67,Wind::N,vind,vietor
68,Welle::N,bølge,vlna
69,Wasser::N,vann,voda
70,Stein::N,stein,kameň
71,Boden::N,bakke,zem
72,Boden::N,bakke,pôda
73,Erde::N,jord,zem
74,Staub::N,støv,prach
75,Rauch::N,røyk,dym
76,Funke::N,gnist,iskra
77,Feuer::N,ild,oheň
78,Licht::N,lys,svetlo
79,Schatten::N,skygge,tieň
80,Wetter::N,vær,počasie
81,Nebel::N,tåke,hmla
82,Wolke::N,sky,oblak
83,Wolke::N,sky,mračno
84,Regen::N,regn,dážď
85,Schnee::N,snø,sneh
86,Eis::N,is,ľad
87,Frost::N,frost,mráz
88,Kälte::N,kulde,zima
89,Kälte::N,kulde,chlad
90,Hitze::N,hete,horúčava
91,Raureif::N,rimfrost,srieň
92,Raureif::N,rimfrost,inovať
93,Regenbogen::N,regnbue,dúha
94,Donner::N,torden,hrom
95,Strömung::N,strømning,prúdenie
96,Tropfen::N,dråpe,kvapka
97,Schaum::N,skum,pena
98,Schmutz::N,søl,špina
99,Schmutz::N,søl,nečistota
100,Schmutz::N,skitt,špina
101,Schmutz::N,skitt,nečistota
102,See::N,sjø,jazero
103,Sumpf::N,sump,bahno
104,Sumpf::N,myrlende,bahno
105,Moor::N,myr,močiar
106,Moor::N,myrhei,močiar
107,Wiese::N,eng,lúka
108,Wald::N,skog,les
109,Wald::N,skog,hora
110,Hügel::N,haug,vŕšok
111,Hügel::N,bakke,vŕšok
112,Anhöhe::N,haug,výšina
113,Anhöhe::N,haug,vyvýšenina
114,Anhöhe::N,bakke,výšina
115,Anhöhe::N,bakke,vyvýšenina
116,Berg::N,berg,hora
117,Berg::N,fjell,hora
118,Gipfel::N,topp,vrchol
119,Höhle::N,hule,jaskyňa
120,Abhang::N,li,úbočie
