,Concept_ID,kl,se
0,Auge::N,isi,tjelmie
1,Auge::N,isi,tjalmme
2,Auge::N,isi,čalbmi
3,Auge::N,isi,čalme
4,Auge::N,isi,čâ´lmm
5,Auge::N,isi,ча̄лльм
6,Ohr::N,siut,bieljie
7,Ohr::N,siut,biellje
8,Ohr::N,siut,beallji
9,Ohr::N,siut,pelji
10,Ohr::N,siut,pe´llj
11,Ohr::N,siut,пе̄лльй
12,Mund::N,paaq,njaelmie
13,Mund::N,paaq,njálmme
14,Mund::N,paaq,njálbmi
15,Mund::N,paaq,njälmi
16,Mund::N,paaq,njä´lmm
17,Mund::N,paaq,ня̄лльм
18,Mund::N,qaneq,njaelmie
19,Mund::N,qaneq,njálmme
20,Mund::N,qaneq,njálbmi
21,Mund::N,qaneq,njälmi
22,Mund::N,qaneq,njä´lmm
23,Mund::N,qaneq,ня̄лльм
24,Zahn::N,kigut,baenie
25,Zahn::N,kigut,bádne
26,Zahn::N,kigut,bátni
27,Zahn::N,kigut,pääṇi
28,Zahn::N,kigut,pää´nn
29,Zahn::N,kigut,па̄ннҍ
30,Zunge::N,oqaq,njoektjeme
31,Zunge::N,oqaq,njuovtjav
32,Zunge::N,oqaq,njuovčča
33,Zunge::N,oqaq,njuovčâ
34,Zunge::N,oqaq,njuhččâm
35,Zunge::N,oqaq,нюхчем
36,Lippe::N,qarloq,bangseme
37,Lippe::N,qarloq,njálmmerabdda
38,Lippe::N,qarloq,bavssa
39,Lippe::N,qarloq,poovsâ
40,Lippe::N,qarloq,põõus
41,Lippe::N,qarloq,пэ̄кс
42,Wange::N,ersaq,skiehrie
43,Wange::N,ersaq,nierra
44,Wange::N,ersaq,muohtu
45,Wange::N,ersaq,nieṛâ
46,Wange::N,ersaq,njiõrr
47,Wange::N,ersaq,нӣрр
48,Gesicht::N,kiinaq,ååredæjja
49,Gesicht::N,kiinaq,muohto
50,Gesicht::N,kiinaq,muođut
51,Gesicht::N,kiinaq,ámadadju
52,Gesicht::N,kiinaq,muáđuh
53,Gesicht::N,kiinaq,muâđ
54,Gesicht::N,kiinaq,ка̄ссв
55,Stirn::N,qaaq,gaalloe
56,Stirn::N,qaaq,gállo
57,Stirn::N,qaaq,gállu
58,Stirn::N,qaaq,kállu
59,Stirn::N,qaaq,käll
60,Stirn::N,qaaq,вуэххьц
61,Haar::N,meqqoq,voepte
62,Haar::N,meqqoq,vuoppta
63,Haar::N,meqqoq,vuokta
64,Haar::N,meqqoq,vuop'tâ
65,Haar::N,meqqoq,vuõpt
66,Haar::N,meqqoq,вӯппт
67,Bart::N,umik,skaavtja
68,Bart::N,umik,skaavtjoe
69,Bart::N,umik,skávttjá
70,Bart::N,umik,seamu
71,Bart::N,umik,siämu
72,Bart::N,umik,seäm
73,Bart::N,umik,ся̄м
74,Kinn::N,talloq,gaejpie
75,Kinn::N,talloq,gájbbe
76,Kinn::N,talloq,gáibi
77,Kinn::N,talloq,käibi
78,Kinn::N,talloq,käi´bb
79,Kinn::N,talloq,ка̄ййп
80,Kiefer[Anatomie]::N,alleroq,gaejpie
81,Kiefer[Anatomie]::N,alleroq,oalol
82,Kiefer[Anatomie]::N,alleroq,oaloldákte
83,Kiefer[Anatomie]::N,alleroq,gáibi
84,Kiefer[Anatomie]::N,alleroq,uá'lultähti
85,Kiefer[Anatomie]::N,alleroq,vuâl'lõš
86,Kiefer[Anatomie]::N,alleroq,вуаллнешш
87,Kehle::N,malaq,gealoe
88,Kehle::N,malaq,tjåttå
89,Kehle::N,malaq,njiello
90,Kehle::N,malaq,čotta
91,Kehle::N,malaq,čuudâ
92,Kehle::N,malaq,čoodd
93,Kehle::N,malaq,чонт
94,Kehle::N,malaq,кэ̄ҏс
95,Hals::N,qungaseq,tjeapohke
96,Hals::N,qungaseq,tjiebet
97,Hals::N,qungaseq,čeabet
98,Hals::N,qungaseq,čiäppát
99,Hals::N,qungaseq,čeäppat
100,Hals::N,qungaseq,ча̄пэх
101,Genick::N,pukusuk,tjovrese
102,Genick::N,pukusuk,nisske
103,Genick::N,pukusuk,niehkki
104,Genick::N,pukusuk,niski
105,Genick::N,pukusuk,niek'ki
106,Genick::N,pukusuk,nji´šǩǩmaadd
107,Genick::N,pukusuk,нышшькмоант
108,Kopf::N,niaqoq,åejjie
109,Kopf::N,niaqoq,oajvve
