,Concept_ID,no,ab
0,Auge::N,øye,ала
1,Ohr::N,øre,алымҳа
2,Nase::N,nese,аҧынҵа
3,Mund::N,munn,аҧышə
4,Zahn::N,tann,ахаҧыц
5,Zunge::N,tunge,абз
6,Lippe::N,leppe,ақьышə
7,Wange::N,kinn,аӡамҩа
8,Gesicht::N,fjes,аҿы
9,Gesicht::N,ansikt,аҿы
10,Stirn::N,panne,алахь
11,Haar::N,hår,ахəыц
12,Schnurrbart::N,bart,аҧаҵа
13,Bart::N,skjegg,ажакьа
14,Kinn::N,hake,ацламкəыгə
15,Kiefer[Anatomie]::N,kjeve,ацламҳəа
16,Kehle::N,strupe,ахəда
17,Hals::N,hals,ахəда
18,Genick::N,nakke,ахəдаџьал
19,Kopf::N,hode,ахы
20,Rücken::N,rygg,азқəа
21,Bauch::N,buk,амгəа
22,Bauch::N,mage,амгəа
23,Nabel::N,navle,аҷапан
24,Busen::N,barm,агəыҧҳəы
25,Brust::N,bryst,агəышҧы
26,Schulter::N,skulder,ажəҩахыр
27,Arm::N,arm,амахəар
28,Ellenbogen::N,albue,амашьхəылҵ
29,Hand::N,hånd,анапы
30,Handfläche::N,håndflate,анапсаргəыҵа
31,Finger::N,finger,анацəа
32,Fingernagel::N,fingernegl,анапхыц
33,Nagel[Anatomie]::N,negl,ашьапхыц
34,Zeh::N,tå,ашьацəа
35,Fuß::N,fot,ашьапсыргəыҵа
36,Ferse::N,hæl,ашьхəа
37,Knie::N,kne,ашьамхы
38,Oberschenkel::N,lår,ауаҭəа
39,Bein::N,bein,ашьапы
40,Körper::N,kropp,ацəеижь
41,Körper::N,legeme,ацəеижь
42,Haut::N,hud,ацəа
43,Haut::N,skinn,ацəа
44,Blut::N,blod,ашьа
45,Ader::N,åre,ада
46,Sehne::N,sene,адаш
47,Knochen::N,bein,абаҩ
48,Knochen::N,knokkel,абаҩ
49,Gehirn::N,hjerne,ахшлыбаҩ
50,Gehirn::N,hjerne,ахшыбаҩ
51,Herz::N,hjerte,агəы
52,Magen::N,mage,аца
53,Magen::N,mage,ацар
54,Leber::N,lever,агəаҵəа
55,Atem::N,pust,аҧсыҧлагаҩгара
56,Hunger::N,sult,амла
57,Träne::N,tåre,алабжыш
58,Geschmack::N,smak,агьама
59,Geruch::N,lukt,афҩы
60,Schlaf::N,søvn,ацəа
61,Traum::N,drøm,аҧхыӡ
62,Himmel::N,himmel,ажəҩан
63,Sonne::N,sol,амра
64,Mond::N,måne,амза
65,Stern::N,stjerne,аеҵəа
66,Luft::N,luft,аҳаир
67,Wind::N,vind,аҧша
68,Welle::N,bølge,ацəқəырҧа
69,Wasser::N,vann,аӡы
70,Stein::N,stein,ахаҳə
71,Boden::N,bakke,адгьыл
72,Erde::N,jord,адгьыл
73,Staub::N,støv,асаба
74,Rauch::N,røyk,алҩа
75,Funke::N,gnist,акəиц
76,Funke::N,gnist,ацҧхь
77,Feuer::N,ild,амца
78,Licht::N,lys,алашара
79,Schatten::N,skygge,ашəшьыра
80,Wetter::N,vær,амш
81,Nebel::N,tåke,анаҟəа
82,Wolke::N,sky,аҧсҭҳəа
83,Regen::N,regn,ақəа
84,Schnee::N,snø,асы
85,Eis::N,is,аҵаа
86,Frost::N,frost,аҵаа
87,Kälte::N,kulde,ахьҭа
88,Hitze::N,hete,ашоура
89,Raureif::N,rimfrost,аҵааҧшқа
90,Regenbogen::N,regnbue,ацəаҟəа
91,Donner::N,torden,адыд
92,Strömung::N,strømning,аиасра
93,Strömung::N,strømning,амҩасра
94,Tropfen::N,dråpe,ацəыкəбар
95,Schaum::N,skum,ашəах
96,Schmutz::N,søl,алымт
97,Schmutz::N,skitt,алымт
98,See::N,sjø,аӡиа
99,Sumpf::N,sump,аӡмах
100,Sumpf::N,myrlende,аӡмах
101,Moor::N,myr,
102,Moor::N,myrhei,
103,Wiese::N,eng,адəы
104,Wald::N,skog,абна
105,Hügel::N,haug,ахəы
106,Hügel::N,bakke,ахəы
107,Anhöhe::N,haug,аҳаракыра
108,Anhöhe::N,bakke,аҳаракыра
109,Berg::N,berg,ашьха
110,Berg::N,fjell,ашьха
111,Gipfel::N,topp,ацəқəа
112,Höhle::N,hule,аҳаҧы
113,Abhang::N,li,анаара
114,Abhang::N,skråning,анаара
115,Quelle::N,kilde,аҵҵырҭа
116,Bach::N,bekk,акəараҷҷа
117,Fluss::N,elv,аӡиас
118,Ufer::N,bredd,ахықə
119,Küste::N,kyst,ахықə
120,Festland::N,fastland,абарра
121,Meer::N,hav,амшын
122,Bucht::N,bukt,аӡбжьахала
123,Insel::N,øy,адгьылбжьаха
124,Blume::N,blomst,ашəҭ
125,Gras::N,gress,аҳасакьын
126,Wurzel::N,rot,адац
127,Baum::N,tre,аҵла
128,Stamm::N,stamme,ашьапы
129,Rinde::N,bark,ацəа
130,Ast::N,gren,амахə
131,Ast::N,gren,амахəҭа
132,Zweig::N,kvist,амахə
133,Zweig::N,kvist,амахəҭа
134,Blatt::N,blad,абҕьы
135,Birke::N,bjørk,аҵааҵла
136,Kiefer[Baum]::N,furu,амза
137,Weide[Baum]::N,selje,аҧслыш
138,Weide[Baum]::N,piletre,аҧслыш
139,Tanne::N,gran,аҧсаӡ
140,Horn::N,horn,атəыҩа
141,Feder::N,fjær,ахӡы
142,Fell::N,skinn,ацəа
143,Flügel::N,vinge,амҵəыжəа
144,Klaue::N,klauv,ашьапхыц
145,Kralle::N,klo,
146,Schwanz::N,hale,аҵыхəа
147,Ei::N,egg,акəтаӷь
148,Nest::N,rede,аҭра
149,Nest::N,rede,аҵысҭра
150,Bau::N,hi,аҭыҩра
151,Tier::N,dyr,аҧстəы
152,Tier::N,dyr,агыгшəыг
153,Herde::N,flokk,агəарҭа
154,Kuh::N,ku,ажə
155,Bulle::N,tyr,ацə
156,Pferd::N,hest,аҽы
157,Schaf::N,får,ауаса
158,Schwein::N,gris,аҳəа
159,Hund::N,hund,ала
160,Katze::N,katt,ацгəы
161,Bär::N,bjørn,амшə
162,Eichhörnchen::N,ekorn,аеш
163,Elch::N,elg,аҽаҩа
164,Fuchs::N,rev,абгахəыҷы
165,Hase::N,hare,ажьа
166,Maus::N,mus,аҳəынаҧ
167,Wolf::N,ulv,абгаду
168,Wolf::N,varg,абгаду
169,Vogel::N,fugl,аҧсаатə
170,Schwarm::N,sverm,
171,Huhn::N,høne,акəты
172,Hahn::N,hane,арбаҕь
173,Gans::N,gås,аҟыз
174,Adler::N,ørn,ауарба
175,Ente::N,and,акəата
176,Eule::N,ugle,аты
177,Kranich::N,trane,апҟа
178,Krähe::N,kråke,аҟəараан
179,Kuckuck::N,gjøk,акəыкəу
180,Schwan::N,svane,агьад
181,Fisch::N,fisk,аҧсыӡ
182,Barsch::N,abbor,ацəыбла
183,Hecht::N,gjedde,ахиаала
184,Schlange[Tier]::N,orm,амаҭ
185,Schlange[Tier]::N,slange,амаҭ
186,Wurm::N,orm,ахəа
187,Wurm::N,orm,ахəац
188,Wurm::N,mark,ахəа
189,Wurm::N,mark,ахəац
190,Spinne::N,edderkopp,абызкаҭаҳа
191,Ameise::N,maur,ашышкамс
192,Laus::N,lus,аҵа
193,Mücke::N,mygg,акəыбры
194,Fliege::N,flue,амҵ
195,Schmetterling::N,sommerfugl,аҧарҧалыкь
196,Beere::N,bær,аргуц
197,Apfel::N,eple,аҵəа
198,Pilz::N,sopp,акəкəбаа
199,Zwiebel::N,løk,аџьымшьы
200,Zwiebel::N,løk,аџьымшьхы
201,Saat::N,sæd,ажəла
202,Korn::N,korn,арыц
203,Heu::N,høy,аҭəа
204,Schale::N,skall,ацəа
205,Grube::N,grop,ажра
206,Grube::N,grop,атыша
207,Falle::N,felle,арыҧҟьа
208,Schlinge::N,snare,аҟəараҟəантə
209,Spur::N,spor,ашьҭа
210,Asche::N,aske,ахəа
211,Dreck::N,møkk,аҳəынҵəа
212,Dreck::N,møkk,аҟьамсар
213,Dreck::N,skitt,аҳəынҵəа
214,Dreck::N,skitt,аҟьамсар
215,Eisen::N,jern,аиха
216,Gold::N,gull,ахьы
217,Silber::N,sølv,аразны
218,Kohle::N,kol,арацəа
219,Kohle::N,kull,арацəа
220,Glas::N,glass,асаркьа
221,Lehm::N,leire,анышəаҧшь
222,Sand::N,sand,аҧслымӡ
223,Mensch::N,menneske,ауаҩы
224,Mann::N,mann,ахаҵа
225,Frau::N,kvinne,аҧҳəыс
226,Kind::N,barn,ахəыҷы
227,Junge::N,gutt,аҷкəын
228,Junge::N,gutt,ахаҵарҧыс
229,Mädchen::N,pike,аӡӷаб
230,Mädchen::N,jente,аӡӷаб
231,Familie::N,familie,аҭаацəа
232,Großvater::N,bestefar,абду
233,Großmutter::N,bestemor,анду
234,Eltern::N,foreldre,ани аби
235,Vater::N,far,аб
236,Mutter::N,mor,ан
237,Sohn::N,sønn,аҧа
238,Tochter::N,datter,аҧҳа
239,Bruder::N,bror,аиашьа
240,Schwester::N,søster,Аҳəшьа
241,Onkel::N,onkel,абиашьа
242,Onkel::N,onkel,аншьа
243,Tante::N,tante,абиаҳəшьа
244,Ehemann::N,ektemann,ахаҵа
245,Ehemann::N,ektemann,аҧшəма
246,Ehefrau::N,hustru,аҧҳəыс
247,Freude::N,glede,агəырӷьара
248,Gelächter::N,latter,ачча
249,Gelächter::N,latter,аччара
250,Glück::N,lykke,аразҟы
251,Kummer::N,sorg,агəырҩа
252,Wunsch::N,ønske,агəхəтəы
253,Wunsch::N,ønske,аҭахра
254,Lust::N,lyst,агəазыҳəара
255,Geist::N,ånd,аҧсы
256,Gedanke::N,tanke,ахəыцырҭа
257,Gedächtnis::N,minne,агəынкылара
258,Gedächtnis::N,hukommelse,агəынкылара
259,Verstand::N,forstand,ахшыҩ
260,Sinn::N,mening,аҵакы
261,Sinn::N,betydning,аҵакы
262,Grund::N,grunn,амзыз
263,Wahrheit::N,sannhet,аиаша
264,Gespräch::N,samtale,аиҿцәажәара
265,Märchen::N,eventyr,алакə
266,Erzählung::N,fortelling,ажәабжь
267,Nachricht::N,melding,адырраҭара
268,Neuigkeit::N,nyhet,ажәабжь ҿыц
269,Name::N,navn,ахьӡ
270,Rätsel::N,gåte,ацуфара
271,Rede::N,tale,ажәа
272,Sprache::N,språk,абызшəа
273,Stimme::N,stemme,абжьы
274,Wort::N,ord,ажәа
275,Zeichen::N,tegn,адырга
276,Ruf::N,rop,аҿҭы
277,Lärm::N,bråk,ашьҭыбжь
278,Laut::N,lyd,ашьҭыбжь
279,Ton::N,tone,атон
280,Lied::N,vise,ашəа
281,Ruhe::N,ro,аҭынчра
282,Leute::N,folk,ауаа
283,Volk::N,folk,ажəлар
284,Arbeit::N,arbeid,аусура
285,Gast::N,gjest,асас
286,Geschenk::N,gave,аҳамҭа
287,Geschenk::N,gave,аҿанҵа
288,Spiel::N,lek,ахəмарра
289,Spiel::N,spill,ахəмарра
290,Gesellschaft::N,selskap,агəыҧ
291,Hilfe::N,hjelp,ацхыраара
292,Freund::N,venn,аҩыза
293,Kamerad::N,kamerat,Аҧхнагьла
294,Angelegenheit::N,sak,аус
295,Angelegenheit::N,anliggende,аус
296,Anzahl::N,antall,ахыҧхьаӡара
297,Art::N,art,ахкы
298,Art::N,slag,ахкы
299,Stück::N,stykke,аҽыҭ
300,Teil::N,del,ахəҭа
301,Hälfte::N,halvdel,абжа
302,Kreis::N,ring,агьагьа
303,Kreis::N,sirkel,агьагьа
304,Kreuz::N,kors,аџьар
305,Kreuz::N,kryss,аџьар
306,Linie::N,linje,аицтәар
307,Strich::N,strek,ацəаҳəа
308,Abstand::N,avstand,абжьара
309,Entfernung::N,avstand,абжьара
310,Gegend::N,strøk,аҭыҧ
311,Platz::N,plass,аҭыҧ
312,Ort::N,sted,аҭыҧ
313,Seite::N,side,аган
314,Mitte::N,midte,агəҭа
315,Gegenstand::N,gjenstand,амаҭəар
316,Sache::N,sak,
317,Rand::N,rand,аҵкар
318,Kante::N,kant,авардым
319,Ecke::N,hjørne,акəакь
320,Spitze::N,spiss,аҧынҵа
321,Ende::N,ende,анаӡара
322,Loch::N,hull,акылҵəара
323,Winkel::N,vinkel,агҿаҩра
324,Winkel::N,vinkel,акəындхə
325,Winkel::N,vinkel,акəакь
326,Muster::N,mønster,аҟҟа
327,Größe::N,størrelse,изаҟароу
328,Länge::N,lengde,аура
329,Höhe::N,høyde,агылара
330,Gewicht::N,vekt,акапан
331,Menge::N,mengde,
332,Haufen::N,haug,ачаҟəа
333,Haufen::N,bunke,ачаҟəа
334,Reihe::N,rekke,ацəаҳəа
335,Boot::N,båt,анышь
336,Ruder::N,åre,ажəҩа
337,Schlitten::N,slede,ашəаҩауардын
338,Schlitten::N,kjelke,ашəаҩауардын
339,Ski::N,ski,ашəаҩа
340,Ski::N,ski,ашьахаха
341,Lagerfeuer::N,leirbål,еиқуу амца
342,Last::N,bør,ахьанҭара
343,Last::N,last,ахьанҭара
344,Gang::N,gang,аныҟəара
345,Schritt::N,steg,ашьаҿа
346,Schritt::N,skritt,ашьаҿа
347,Norden::N,nord,аҩада
348,Süden::N,sør,алада
349,Westen::N,vest,амраҭашəара
350,Osten::N,øst,амрагылара
351,Holz::N,tre,амҿымаҭəахə
352,Brett::N,fjøl,аӷəы
353,Brett::N,brett,аӷəы
354,Platte::N,plate,ахаҳәцәы
355,Stütze::N,støtte,аҵаргəа
356,Stütze::N,støtte,агəышьаҟа
357,Stange::N,stang,акьат
358,Stock::N,pinne,алаба
359,Stab::N,stav,акьат
360,Stab::N,kjepp,акьат
361,Rohr::N,rør,абыкь
362,Haus::N,hus,аҩны
363,Heim::N,hjem,аҭаацəа
364,Ofen::N,ovn,аҳақə
365,Ofen::N,ovn,ауаџьаҟ
366,Ofen::N,ovn,афрына
367,Fußboden::N,gulv,адашьма
368,Tisch::N,bord,аишәа
369,Stuhl::N,stol,аҟəардə
370,Wiege::N,vogge,агара
371,Bett::N,seng,акаруаҭ
372,Regal::N,reol,акыӷəра
373,Regal::N,hylle,акыӷəра
374,Kiste::N,kasse,аидчаҧала
375,Fenster::N,vindu,аҧенџьыр
376,Tür::N,dør,ашə
377,Tor::N,port,агəашə
378,Zaun::N,gjerde,аанда
379,Dach::N,tak,ахыб
380,Leiter::N,stige,амардуан
381,Besen::N,kost,аҧссага
382,Spaten::N,spade,ажыга
383,Schaufel::N,skuffe,аҭəарӷəы
384,Gabel::N,gaffel,ачқьыҧ
385,Löffel::N,skje,амҳаҵə
386,Messer::N,kniv,аҳəызба
387,Nagel::N,spiker,аҵəымӷ
388,Netz::N,nett,акаҭа
389,Haken::N,krok,аҵəаҳə
390,Griff::N,tak,амаа
391,Griff::N,håndtak,амаа
392,Schloss::N,lås,асаҧаҭ
393,Bild::N,bilde,асахьа
394,Figur::N,figur,афигура
395,Puppe::N,dukke,акьанџьа
396,Beutel::N,pose,асакь
397,Bündel::N,bylt,аҿаҳəара
398,Tasche::N,veske,арҭмаҟ
399,Eimer::N,bøtte,аведра
400,Deckel::N,lokk,ахҩа
401,Geschirr::N,kjøkkentøy,ачысмаҭəа
402,Sack::N,sekk,асакь
403,Tasse::N,kopp,аҵəца
404,Topf::N,gryte,акаструлиа
405,Kessel::N,kjele,ачуан
406,Essen::N,mål,
407,Nahrung::N,mat,афатə
408,Nahrung::N,næring,афатə
409,Speise::N,matrett,афатə
410,Fleisch::N,kjøtt,акəац
411,Getreide::N,korn,ачакуа
412,Brei::N,grøt,ақашь
413,Brot::N,brød,ача
414,Scheibe::N,skive,аҽыҭ
415,Scheibe::N,skive,аҿаҵа
416,Fett::N,fett,ашша
417,Butter::N,smør,ахəша
418,Öl::N,olje,азеҭ
419,Salz::N,salt,аџьыка
420,Suppe::N,suppe,асуҧ
421,Honig::N,honning,ацха
422,Milch::N,melk,ахш
423,Tee::N,te,ачаи
424,Leder::N,lær,ацəа
425,Leder::N,skinn,ацəа
426,Wolle::N,ull,аласа
427,Stoff::N,tøy,Аба
428,Stoff::N,stoff,Аба
429,Nadel::N,nål,агəыр
430,Faden::N,tråd,арахəыц
431,Knopf::N,knapp,аҳəынҵəра
432,Knoten::N,knute,аиқəҳəала
433,Farbe::N,farge,ашəыга
434,Kleidung::N,påkledning,амаҭəа
435,Hemd::N,skjorte,акьаҿ
436,Kragen::N,krage,ахəда
437,Ärmel::N,erme,амаӷра
438,Hose::N,bukse,аиқəа
439,Gürtel::N,belte,амаҟа
440,Mütze::N,lue,ахылҧа
441,Schuh::N,sko,аимаа
