,Concept_ID,mrj,ru
0,Auge::N,сӹнзӓ,глаз
1,Ohr::N,пӹлӹш,ухо
2,Nase::N,нер,нос
3,Mund::N,ышма,рот
4,Zahn::N,пӱ,зуб
5,Zunge::N,йӹлмӹ,язык
6,Lippe::N,тӹрвӹ,губа
7,Wange::N,шӹргӹ,щека
8,Gesicht::N,лицӓ,лицо
9,Stirn::N,лепкӓ,лоб
10,Haar::N,ӱп,волос
11,Haar::N,ӱп,волосы
12,Schnurrbart::N,öрш,ус
13,Schnurrbart::N,öрш,усы
14,Bart::N,пандаш,борода
15,Kinn::N,онгылаш,подбородок
16,Kiefer[Anatomie]::N,пӱ арата,челюсть
17,Kehle::N,логер,горло
18,Hals::N,шӱ,шея
19,Genick::N,ланга,затылок
20,Kopf::N,вуй,голова
21,Rücken::N,туп,спина
22,Bauch::N,мӹшкӹр,живот
23,Nabel::N,кӹлӹмдӹ,пупок
24,Busen::N,цӹзӹ,женская грудь
25,Brust::N,мел,грудь
26,Schulter::N,ӹнгӹжӓ,плечо
27,Arm::N,кид,рука
28,Ellenbogen::N,кӹнервуй,локоть
29,Hand::N,лапа,кисть
30,Handfläche::N,кид лапа,ладонь
31,Finger::N,парня,палец
32,Fingernagel::N,кӹч,ноготь
33,Nagel[Anatomie]::N,кӹч,ноготь
34,Zeh::N,парня,палец
35,Fuß::N,ял лапа,ступня
36,Ferse::N,ялгавал,пята
37,Ferse::N,ялгавал,пятка
38,Ferse::N,ял кавал,пята
39,Ferse::N,ял кавал,пятка
40,Knie::N,пылвуй,колено
41,Oberschenkel::N,ӓрдӹ,бедро
42,Bein::N,ял,нога
43,Körper::N,монгыр,тело
44,Haut::N,кавашты,кожа
45,Blut::N,вӹр,кровь
46,Ader::N,вӹршӓр,вена
47,Ader::N,вӹршӓр,сосуд
48,Sehne::N,кукшышӱн,жила
49,Sehne::N,кукшышӱн,тетива
50,Sehne::N,кукшышӱн,сухожилие
51,Knochen::N,лу,кость
52,Gehirn::N,вим,мозг
53,Herz::N,шӱм,сердце
54,Magen::N,шӱм,желудок
55,Leber::N,мокш,печень
56,Atem::N,шӱлӹш,дух
57,Atem::N,шӱлӹш,дыхание
58,Hunger::N,шужымаш,голод
59,Träne::N,сӹнзӓвӹд,слеза
60,Geschmack::N,тот,вкус
61,Geruch::N,пыш,запах
62,Schlaf::N,ом,сон
63,Traum::N,ом,сновидение
64,Himmel::N,пӹлгом,небо
65,Sonne::N,кечӹ,солнце
66,Mond::N,тӹлзӹ,луна
67,Stern::N,шӹдӹр,звезда
68,Luft::N,юж,воздух
69,Luft::N,воздух,воздух
70,Wind::N,мардеж,ветер
71,Welle::N,ко,волна
72,Welle::N,коэ,волна
73,Wasser::N,вӹд,вода
74,Stein::N,кӱ,камень
75,Boden::N,рок,почва
76,Erde::N,свет,земля
77,Staub::N,пырак,пыль
78,Rauch::N,шӹкш,дым
79,Funke::N,ип,искра
80,Funke::N,тылип,искра
81,Feuer::N,тыл,огонь
82,Licht::N,соты,свет
83,Licht::N,валгыды,свет
84,Schatten::N,ӹмӹл,тень
85,Wetter::N,игечӹ,погода
86,Nebel::N,тӹтӹрӓ,туман
87,Wolke::N,пӹл,облако
88,Regen::N,юр,дождь
89,Schnee::N,лым,снег
90,Eis::N,и,лед
91,Frost::N,ӱштӹ,мороз
92,Kälte::N,ӱштӹ,холод
93,Hitze::N,шокшы,жара
94,Raureif::N,пöрш,иней
95,Regenbogen::N,шанавӹл,радуга
96,Donner::N,хӹдӹртӹш,гром
97,Strömung::N,йогы,течение
98,Tropfen::N,капльы,капля
99,Tropfen::N,капльык,капля
100,Schaum::N,шонг,пена
101,Schmutz::N,лявӹрӓ,грязь
102,See::N,йӓр,озеро
103,Sumpf::N,лӱкӹ,топь
104,Moor::N,куп,болото
105,Wiese::N,алык,луг
106,Wald::N,шӹргӹ,лес
107,Hügel::N,пӱгӹрикӓ,холм
108,Anhöhe::N,кӱкшикӓ,возвышенность
109,Berg::N,кырык,гора
110,Gipfel::N,неркӓ,вершина
111,Höhle::N,ы́раж,пещера
112,Abhang::N,полом,склон
113,Quelle::N,вӹдсӹнзӓ,источник
114,Bach::N,ӓнгӹр,ручей
115,Fluss::N,вӹд,река
116,Ufer::N,сир,берег
117,Küste::N,сир,побережье
118,Festland::N,мӱлӓндӹ,суша
119,Meer::N,тангыж,море
120,Bucht::N,вӹдъял,бухта
121,Insel::N,острок,остров
122,Blume::N,пеледӹш,цветок
123,Gras::N,шуды,трава
124,Wurzel::N,важ,корень
125,Baum::N,пушӓнгӹ,дерево
126,Stamm::N,пушӓнгӹ тӹнг,ствол
127,Rinde::N,каргыж,кора
128,Ast::N,укш,сук
129,Zweig::N,укш,ветвь
130,Blatt::N,листӹ,лист
131,Birke::N,куги,береза
132,Kiefer[Baum]::N,йӓктӹ,сосна
133,Weide[Baum]::N,уа,ива
134,Tanne::N,кож,ель
135,Horn::N,шур,рог
136,Feder::N,пын,перо
137,Fell::N,кавашты,шкура
138,Flügel::N,шылдыр,крыло
139,Klaue::N,кӹч,коготь
140,Kralle::N,лапа,лапа
141,Schwanz::N,пач,хвост
142,Ei::N,мыны,яйцо
143,Nest::N,пӹжӓш,гнездо
144,Bau::N,ыраж,нора
145,Tier::N,во́льык,животное
146,Herde::N,кӹтö,стадо
147,Kuh::N,ышкал,корова
148,Bulle::N,ӱшкӱж,бык
149,Pferd::N,имни,лошадь
150,Schaf::N,шарык,овца
151,Schwein::N,сасна,свинья
152,Hund::N,пи,собака
153,Katze::N,коти,кошка
154,Bär::N,мöскӓ,медведь
155,Eichhörnchen::N,ур,белка
156,Elch::N,шарды,лось
157,Fuchs::N,рӹвӹж,лиса
158,Hase::N,морен,заяц
159,Maus::N,каля,мышь
160,Wolf::N,пирӹ,волк
161,Vogel::N,кек,птица
162,Schwarm::N,цуца,стая
163,Huhn::N,цӹвӹ,курица
164,Hahn::N,ӓптӓн,петух
165,Gans::N,комбы,гусь
166,Adler::N,кучкыж,орел
167,Ente::N,лыды,утка
168,Eule::N,тымана,сова
169,Kranich::N,тырня,журавль
170,Kranich::N,тыртня,журавль
171,Krähe::N,лудыгарак,ворона
172,Kuckuck::N,куку,кукушка
173,Schwan::N,йӱксӹ,лебедь
174,Fisch::N,кол,рыба
175,Barsch::N,алангы,окунь
176,Hecht::N,нуж,щука
177,Hecht::N,нужгол,щука
178,Schlange[Tier]::N,кӹшкы,змея
179,Wurm::N,шукш,червяк
180,Spinne::N,ӓнгӹремшӹ,паук
181,Ameise::N,кыткы,муравей
182,Laus::N,ти,вошь
183,Mücke::N,кужнер,комар
184,Mücke::N,кужынер,комар
185,Fliege::N,шӹнгӓ,муха
186,Schmetterling::N,лӹпӹ,бабочка
187,Beere::N,мöр,ягода
188,Apfel::N,олма,яблоко
189,Pilz::N,понгы,гриб
190,Zwiebel::N,охыра,луковица
191,Saat::N,нӱшмӹ,семя
192,Saat::N,нӱшмӱ,семя
193,Korn::N,пӹрцӹ,зерно
194,Heu::N,шуды,сено
195,Schale::N,аваха,шелуха
196,Schale::N,карлангы,шелуха
197,Grube::N,йӓм,яма
198,Falle::N,лӱдӹ,ловушка
199,Falle::N,лӱдӹш,ловушка
200,Schlinge::N,онгы,силок
201,Spur::N,кишӓ,след
202,Asche::N,ломых,зола
203,Asche::N,ломых,пепел
204,Asche::N,ломпыж,зола
205,Asche::N,ломпыж,пепел
206,Dreck::N,лявӹрӓ,грязь
207,Eisen::N,кӹртни,железо
208,Gold::N,шöртни,золото
209,Gold::N,шöртньӹ,золото
210,Silber::N,ши,серебро
211,Kohle::N,шӱ,уголь
212,Glas::N,охоница,стекло
213,Lehm::N,шун,глина
214,Sand::N,ошма,песок
215,Mensch::N,эдем,человек
216,Mann::N,пӱэргӹ,мужчина
217,Frau::N,ӹдӹрӓмӓш,женщина
218,Kind::N,ӓзӓ,ребенок
219,Kind::N,шачшы,ребенок
220,Junge::N,рвезӹ,мальчик
221,Junge::N,ӹрвезӹ,мальчик
222,Mädchen::N,ӹдӹрӓш,девочка
223,Familie::N,йиш,семья
224,Familie::N,семня,семья
225,Großvater::N,тьоти,дедушка
226,Großmutter::N,папа,бабушка
227,Eltern::N,ӓтя-ӓвӓ,родители
228,Vater::N,ӓтя,отец
229,Mutter::N,ӓвӓ,мать
230,Sohn::N,эргӹ,сын
231,Tochter::N,ӹдӹр,дочь
232,Bruder::N,ӹза,брат
233,Schwester::N,ӓкӓ,сестра
234,Onkel::N,кугуза,дядя
235,Tante::N,куака,тетя
236,Ehemann::N,мары,муж
237,Ehefrau::N,вӓтӹ,жена
238,Freude::N,ӹвӹртӹмӓш,радость
239,Gelächter::N,ваштылмаш,смех
240,Glück::N,пиӓл,счастье
241,Kummer::N,ясы,горе
242,Wunsch::N,охата,желание
243,Wunsch::N,шанымаш,желание
244,Lust::N,шӓр,влечение
245,Lust::N,охата,влечение
246,Lust::N,шанымаш,влечение
247,Geist::N,тух,дух
248,Gedanke::N,шанымаш,мысль
249,Gedächtnis::N,ӓш,память
250,Verstand::N,ыш,ум
251,Sinn::N,кын,смысл
252,Grund::N,вир,повод
253,Wahrheit::N,тöр,правда
254,Gespräch::N,хытырымаш,беседа
255,Märchen::N,ямак,сказка
256,Erzählung::N,шайыштмаш,рассказ
257,Nachricht::N,увертӓрӹмӓш,сообщение
258,Neuigkeit::N,увер,новость
259,Name::N,лӹм,имя
260,Rätsel::N,тышты,загадка
261,Rede::N,шая,речь
262,Rede::N,шамак,речь
263,Sprache::N,йӹлмӹ,язык
264,Stimme::N,юк,голос
265,Wort::N,шамак,слово
266,Zeichen::N,палӹ,знак
267,Ruf::N,сӹгӹрӹмӓш,зов
268,Lärm::N,юкланымащ,шум
269,Laut::N,юк,звук
270,Ton::N,юк,звучание
271,Lied::N,мыры,песня
272,Ruhe::N,тыр,покой
273,Leute::N,эдемвлӓ,люди
274,Volk::N,халык,народ
275,Arbeit::N,пӓшӓ,работа
276,Gast::N,хына,гость
277,Geschenk::N,подарка,подарок
278,Spiel::N,мадыш,игра
279,Gesellschaft::N,йӓл,общество
280,Gesellschaft::N,йӓлвлӓ,общество
281,Hilfe::N,палшык,помощь
282,Freund::N,тӓнг,друг
283,Kamerad::N,тос,приятель
284,Angelegenheit::N,дела,дело
285,Angelegenheit::N,йела,дело
286,Angelegenheit::N,йыла,дело
287,Angelegenheit::N,пӓшӓ,дело
288,Anzahl::N,шот,количество
289,Art::N,цӹре,вид
290,Stück::N,лаштык,кусок
291,Teil::N,пай,часть
292,Teil::N,часть,часть
293,Hälfte::N,пел,половина
294,Kreis::N,тӹртӹш,круг
295,Kreuz::N,крестӹ,крест
296,Abstand::N,ло,промежуток
297,Entfernung::N,ло,расстояние
298,Gegend::N,вӓр,местность
299,Platz::N,вӓр,пространство
300,Ort::N,вӓр,место
301,Seite::N,öрдӹж,сторона
302,Mitte::N,ло,середина
303,Gegenstand::N,хӓдӹр,предмет
304,Sache::N,хӓдӹр,вещь
305,Rand::N,шöр,край
306,Kante::N,шöр,ребро
307,Ecke::N,лык,угол
308,Spitze::N,вуй,кончик
309,Ende::N,вуй,конец
310,Ende::N,мычаш,конец
311,Loch::N,ыраж,дыра
312,Winkel::N,лык,угол
313,Muster::N,тӹрлец,узор
314,Größe::N,кӱкшӹц,размер
315,Länge::N,кыт,длина
316,Höhe::N,кӱкшӹц,высота
317,Gewicht::N,нелӹц,вес
318,Menge::N,шот,количество
319,Haufen::N,ара,куча
320,Reihe::N,ряд,ряд
321,Boot::N,пыш,лодка
322,Ruder::N,вешлӓ,весло
323,Schlitten::N,тир,сани
324,Ski::N,ечӹ,лыжа
325,Lagerfeuer::N,тыл,костер
326,Last::N,нелӹц,тяжесть
327,Gang::N,ход,ход
328,Schritt::N,ашкыл,шаг
329,Norden::N,йыдпелвел,север
330,Süden::N,кечӹвӓлвел,юг
331,Westen::N,кечӹ шӹцмӹ,запад
332,Osten::N,ирвел,восток
333,Osten::N,кечӹ лӱлтмӹ,восток
334,Holz::N,пушӓнгӹ,древесина
335,Brett::N,ханга,доска
336,Platte::N,плитӓ,плита
337,Stütze::N,цӓрӓк,подпорка
338,Stange::N,равы,жердь
339,Stange::N,намаш,жердь
340,Stock::N,панды,палка
341,Stab::N,равы,шест
342,Rohr::N,пыч,труба
343,Haus::N,пöрт,дом
344,Heim::N,пöрт,дом
345,Ofen::N,камака,печь
346,Fußboden::N,седӹрӓ,пол
347,Tisch::N,стöл,стол
348,Stuhl::N,пöкен,стул
349,Wiege::N,шипкӓ,колыбель
350,Bett::N,койка,постель
351,Bett::N,кравать,постель
352,Regal::N,полицӓ,полка
353,Kiste::N,шӱ́ндӹк,ящик
354,Fenster::N,окня,окно
355,Tür::N,амаса,дверь
356,Tor::N,хапка,ворота
357,Zaun::N,забор,забор
358,Dach::N,левӓш,крыша
359,Leiter::N,ташкалтыш,лестница
360,Besen::N,сало,метла
361,Besen::N,салко,метла
362,Spaten::N,кольмы,лопата
363,Schaufel::N,лоток,совок
364,Gabel::N,ви́лка,вилка
365,Löffel::N,савала,ложка
366,Messer::N,кӹзӹ,нож
367,Nagel::N,пыда,гвоздь
368,Netz::N,вӓпш,сеть
369,Haken::N,крӱк,крюк
370,Haken::N,кагак,крюк
371,Griff::N,кычем,ручка
372,Schloss::N,замок,замок
373,Schloss::N,сыравач,замок
374,Bild::N,картин,картина
375,Figur::N,кӓн,фигура
376,Puppe::N,поханя,кукла
377,Beutel::N,мешӓк,мешок
378,Bündel::N,топ,связка
379,Bündel::N,пидӹш,связка
380,Bündel::N,кӹлдӹш,связка
381,Tasche::N,сумкы,сумка
382,Eimer::N,ведӹрӓ,ведро
383,Deckel::N,комдыш,крышка
384,Geschirr::N,ӓтӹ,посуда
385,Sack::N,мешӓк,мешок
386,Tasse::N,цӓшкӓ,чашка
387,Topf::N,ми́ска,кастрюля
388,Kessel::N,пад,котел
389,Essen::N,качкыш,еда
390,Essen::N,качкыш-йӱш,еда
391,Nahrung::N,качкыш,пища
392,Nahrung::N,качкыш-йӱш,пища
393,Speise::N,няня,блюдо
394,Speise::N,няня,кушанье
395,Fleisch::N,пай,мясо
396,Getreide::N,киндӹ,хлеб
397,Brei::N,шӹрӓш,каша
398,Brot::N,сыкыр,хлеб
399,Scheibe::N,ламыт,ломоть
400,Scheibe::N,лаштык,ломоть
401,Fett::N,кая,жир
402,Butter::N,ӱ,масло
403,Öl::N,ӱ,масло
404,Salz::N,санзал,соль
405,Suppe::N,лем,суп
406,Honig::N,мӱ,мед
407,Milch::N,шӹшер,молоко
408,Tee::N,чӓй,чай
409,Leder::N,шарга,кожа
410,Leder::N,кавашты,кожа
411,Wolle::N,миж,шерсть
412,Stoff::N,матер,ткань
413,Stoff::N,матери,ткань
414,Nadel::N,им,игла
415,Faden::N,шӹртӹ,нитка
416,Knopf::N,полдыш,пуговица
417,Knoten::N,пӱкшем,узел
418,Farbe::N,чиӓ,краска
419,Farbe::N,крӓскӓ,краска
420,Kleidung::N,выргем,одежда
421,Hemd::N,тыгыр,рубашка
422,Kragen::N,шӱ,воротник
423,Ärmel::N,шокш,рукав
424,Hose::N,ялаш,брюки
425,Gürtel::N,ӹштӹ,пояс
426,Mütze::N,упш,шапка
427,Schuh::N,ту́фльы,ботинок
428,Stiefel::N,кем,сапог
429,Ring::N,шӓргӓш,кольцо
430,Band::N,лемтӓ,лента
431,Kamm::N,шерге,расческа
432,Spiegel::N,тӹгӹр,зеркало
433,Riemen::N,прӓжӓ,ремень
434,Schnur::N,кӓндӹра,веревка
435,Leine::N,керем,поводок
436,Decke::N,одеял,одеяло
437,Kissen::N,кӹпцӹк,подушка
438,Tuch::N,савыц,платок
439,Handtuch::N,шӹргӹсавыц,полотенце
440,Handtuch::N,шӹргӹмсавыц,полотенце
441,Kraft::N,ви,сила
442,Stärke::N,ви,крепость
443,Gesundheit::N,шу,здоровье
444,Gesundheit::N,шулык,здоровье
445,Krankheit::N,мыж,болезнь
446,Schmerz::N,карштыш,боль
447,Wunde::N,шушыр,рана
448,Fieber::N,ӱштӹмыж,лихорадка
449,Fieber::N,ӱштӹмыж,температура
450,Arznei::N,лекӓрцӹ,лекарство
451,Brücke::N,кӹвер,мост
452,Brunnen::N,вӹдсӹнзӓ,колодец
453,Weide::N,ныр,пастбище
454,Pfad::N,ялгорны,тропа
455,Weg::N,корны,путь
456,Weg::N,корны,дорога
457,Straße::N,корны,улица
458,Straße::N,корны,дорога
459,Dorf::N,сола,деревня
460,Stadt::N,города,город
461,Brief::N,сирмӓш,письмо
462,Buch::N,книгӓ,книга
463,Buchstabe::N,буква́,буква
464,Zeitung::N,газет,газета
465,Zeitung::N,кайзет,газета
466,Leben::N,житя,жизнь
467,Tod::N,смöрт,смерть
468,Grab::N,шӹгер,могила
469,Grab::N,мыгилӓ,могила
470,Grab::N,шӹгерлӓ,могила
471,Kirche::N,церкӹ,церковь
472,Sünde::N,сулык,грех
473,Gott::N,йымы,бог
474,Arbeiter::N,пӓшӓзӹ,рабочий
475,Chef::N,вуй,начальник
476,Meister::N,мастар,мастер
477,Arzt::N,доктор,врач
478,Lehrer::N,тымдышы,учитель
479,Geld::N,окса,деньги
480,Geschäft::N,торге́йӹмӓш,занятие
481,Laden::N,лапка,магазин
482,Laden::N,магазин,магазин
483,Preis::N,ӓк,цена
484,Ware::N,товар,товар
485,Nutzen::N,пайда,выгода
486,Reichtum::N,перке,богатство
487,Welt::N,сӓндӓлӹк,мир
488,Welt::N,свет,мир
489,Land::N,сӓндӓлӹк,страна
490,Staat::N,кугижӓншӹ,государство
491,König::N,король,король
492,Macht::N,власть,власть
493,Grenze::N,пӹсмӓн,граница
494,Krieg::N,вырсы,война
495,Feind::N,тышман,враг
496,Gewalt::N,ви,насилие
497,Kampf::N,кредӓлмӓш,борьба
498,Bogen[Waffe]::N,янгеж,лук
499,Pfeil::N,пикш,стрела
500,Gewehr::N,пичӓл,ружье
501,Fehler::N,самынь,ошибка
502,Lüge::N,шая,ложь
503,Schaden::N,вре́дӓ,вред
504,Unglück::N,пёда,беда
505,Unglück::N,тымаша,беда
506,Schuld::N,вуйнамат,вина
507,Alter::N,иӓш,возраст
508,Alter::N,игечӹ,возраст
509,Schluss::N,пӹтӓртӹш,окончание
510,Zeit::N,веремӓ,время
511,Tag::N,кечӹ,день
512,Morgen::N,ир,утро
513,Morgen::N,ирок,утро
514,Mittag::N,кечӹвӓл,полдень
515,Abend::N,вады,вечер
516,Nacht::N,йыд,ночь
517,Woche::N,ӓрня,неделя
518,Monat::N,тӹ́лзӹ,месяц
519,Jahr::N,год,год
520,Frühling::N,шошым,весна
521,Sommer::N,кӓнгӹж,лето
522,Herbst::N,шӹжӹ,осень
523,Winter::N,тел,зима
524,Winter::N,телӹ,зима
525,Januar::N,январ,январь
526,Januar::N,январь,январь
527,Februar::N,февраль,февраль
528,März::N,март,март
529,April::N,апрель,апрель
530,Mai::N,май,май
531,Juni::N,июнь,июнь
532,Juli::N,июль,июль
533,August::N,август,август
534,September::N,сентябрь,сентябрь
535,Oktober::N,октябрь,октябрь
536,November::N,ноябрь,ноябрь
537,Dezember::N,декавыр,декабрь
538,Montag::N,шачмы,понедельник
539,Dienstag::N,кышкыжмы,вторник
540,Mittwoch::N,вӹрчегӹ,среда
541,Donnerstag::N,изӓрня,четверг
542,Freitag::N,когарня,пятница
543,Samstag::N,кукшыгечӹ,суббота
544,Sonntag::N,рушӓрня,воскресенье
545,groß::A,кого,большой
546,klein::A,изи,маленький
547,lang::A,кужы,длинный
548,kurz::A,кӹтӹк,короткий
549,breit::A,кымда,широкий
550,schmal::A,ӓнгӹсӹр,узкий
551,dicht::A,шӹре,густой
552,dick[Gegenstand]::A,кӹжгӹ,толстый
553,dünn::A,вӹцкӹж,тонкий
554,fein::A,пыльга,тонкий
555,fest::A,цаткыды,крепкий
556,flach::A,тӓлякӓ,плоский
557,glatt::A,ягылгы,гладкий
558,hart::A,пингӹдӹ,твердый
559,weich::A,пышкыды,мягкий
560,rund::A,тӹртӹш,круглый
561,spitz::A,кашар,остроконечный
562,scharf::A,кашар,острый
563,stumpf::A,нӹшкӹ,тупой
564,schwer::A,нелӹ,тяжелый
565,schön::A,цевер,красивый
566,schön::A,олмыдшы,красивый
567,heiß::A,шокшы,жаркий
568,warm::A,шокшы,теплый
569,kalt::A,ӱштӹ,холодный
570,kühl::A,юалгы,прохладный
571,kühl::A,йонгата,прохладный
572,frisch::A,йонгата,свежий
573,feucht::A,ӹлӹкшӹ,влажный
574,feucht::A,вӹдӹжгӹ,влажный
575,nass::A,начкы,мокрый
576,trocken::A,кукшы,сухой
577,voll::A,темшӹ,полный
578,voll::A,темшӹ,наполненный
579,voll::A,темыман,полный
580,voll::A,темыман,наполненный
581,leer::A,йӓрӓ,пустой
582,offen::A,виш,открытый
583,geschlossen::A,чӱчмӹ,закрытый
584,geschlossen::A,тӹкӹлӓлтшӹ,закрытый
585,sauber::A,ире,чистый
586,schmutzig::A,шоран,грязный
587,schmutzig::A,лявӹрӓн,грязный
588,schmutzig::A,шорангшы,грязный
589,roh::A,пеле кӱшӹ,сырой
590,reif::A,кӱшӹ,зрелый
591,lecker::A,тотан,вкусный
592,süß::A,мӱӓн,сладкий
593,bitter::A,качы,горький
594,sauer::A,шапы,кислый
595,hell::A,соты,светлый
596,hell::A,валгыды,светлый
597,dunkel::A,пӹц,темный
598,dunkel::A,пӹцкемӹш,темный
599,schwarz::A,шим,черный
600,weiß::A,ош,белый
601,weiß::A,ошы,белый
602,rot::A,якшаргы,красный
603,gelb::A,сар,желтый
604,gelb::A,сары,желтый
605,blau::A,симсӹ,синий
606,grün::A,ыжар,зеленый
607,grau::A,луды,серый
608,bunt::A,ала,пестрый
609,billig::A,шулдаш,дешевый
610,teuer::A,шергӹ,дорогой
611,teuer::A,шергӓкӓн,дорогой
612,wertvoll::A,ӓкӓн,ценный
613,blind::A,слöпöй,слепой
614,blind::A,сльöпöй,слепой
615,taub::A,тӱтӱк,глухой
616,kräftig::A,виӓн,могучий
617,stark::A,виӓн,сильный
618,schwach::A,шава,слабый
619,schwach::A,лӹпкӓ,слабый
620,schwach::A,слабка,слабый
621,fett::A,таза,жирный
622,schlank::A,яштака,стройный
623,hübsch::A,сӹлнӹ,прелестный
624,hübsch::A,олмыдшы,прелестный
625,böse::A,шӹдӓн,злой
626,dumm::A,окмак,глупый
627,faul::A,ялахай,ленивый
628,fleißig::A,пӓшам яратышы,прилежный
629,geizig::A,шык,жадный
630,klug::A,ышан,умный
631,geschickt::A,мастар,искусный
632,lieb::A,тыри,милый
633,lustig::A,мындыр,веселый
634,lustig::A,сусу,веселый
635,sanft::A,йӹвӹжӓ,нежный
636,hungrig::A,шужышы,голодный
637,krank::A,церлӹ,больной
638,krank::A,хворой,больной
639,nackt::A,цӓрӓ,голый
640,traurig::A,сы́лыкан,грустный
641,traurig::A,кымы́лдымы,грустный
642,lebendig::A,живой,живой
643,gut::A,яжо,хороший
644,schlecht::A,уда,плохой
645,schlecht::A,худа,плохой
646,richtig::A,вургамла,правильный
647,schlimm::A,йӹрнык,отвратительный
648,schlimm::A,йӹрнык,мерзкий
649,wahr::A,настоящий,настоящий
650,wahr::A,настояшый,настоящий
651,alt::A,шонгы,старый
652,neu::A,у,новый
653,ehemalig::A,тошты,бывший
654,alt[Lebewesen]::A,ӹлалшӹ,пожилой
655,jung::A,нöргӹ,молодой
656,jung::A,молода,молодой
657,arm::A,укеӓн,бедный
658,reich::A,паян,богатый
659,reich::A,пурлыкан,богатый
660,bekannt::A,палӹмӹ,знакомый
661,berühmt::A,лӹмлы,знаменитый
662,fremd::A,эдемӹн,чужой
663,verschieden::A,тӹрлӹ,разный
664,nah::A,лишӹл,близкий
665,fern::A,мӹндӹр,далекий
666,linker::A,шалахай,левый
667,rechter::A,вургамла,правый
668,anderer::A,вес,другой
669,anderer::A,весӹ,другой
670,erster::A,икшӹ,первый
671,erster::A,икӹмшӹ,первый
672,zweiter::A,кокшы,второй
673,dritter::A,кымшы,третий
674,letzter::A,остатка,последний
675,allein::ADV,иктӹ,один
676,allein::ADV,иктӹт,один
677,auf einmal::ADV,тöрöк,сразу
678,zusammen::ADV,икараш,вместе
679,zusammen::ADV,цымырын,вместе
680,lange::ADV,кужын,долго
681,plötzlich::ADV,трӱк,вдруг
682,sofort::ADV,полт,тотчас
683,sofort::ADV,тöрöк,тотчас
684,sofort::ADV,тӹшӓкок,тотчас
685,später::ADV,вара,позже
686,heute::ADV,тагачы,сегодня
687,morgen::ADV,иргод,завтра
688,morgen::ADV,иргодым,завтра
689,bald::ADV,чӹнь,скоро
690,bald::ADV,вӓшке,скоро
691,bald::ADV,выртышты,скоро
692,dann::ADV,пакыла,потом
693,gestern::ADV,тенгечӹ,вчера
694,einst::ADV,икӓнӓ,однажды
695,damals::ADV,тӹнӓм,тогда
696,danach::ADV,пакыла,затем
697,vorher::ADV,перви,раньше
698,zuerst::ADV,андак,сперва
699,einmal::ADV,гӓнӓк,раз
700,einmal::ADV,гӓнӓ,раз
701,manchmal::ADV,кынамжы,иногда
702,oft::ADV,чӹчкӹдӹн,часто
703,immer::ADV,со,всегда
704,immer::ADV,соок,всегда
705,niemals::ADV,нинам,никогда
706,niemals::ADV,нигынам,никогда
707,niemals::ADV,нигынамат,никогда
708,hier::ADV,тиштӹ,здесь
709,hierhin::ADV,тишкӹ,сюда
710,von hier::ADV,тишец,отсюда
711,von hier::ADV,тишецӹн,отсюда
712,dort::ADV,тӹштӹ,там
713,dorthin::ADV,тӹшкӹ,туда
714,dorthin::ADV,тӹшкӹлӓ,туда
715,geradeaus::ADV,вик,прямо
716,geradeaus::ADV,тура,прямо
717,vorwärts::ADV,анзыкы,вперед
718,rückwärts::ADV,мӹнгеш,назад
719,zurück::ADV,мӹнгеш,обратно
720,unten::ADV,ӱлнӹ,внизу
721,unten::ADV,лӹвӓлнӹ,внизу
722,hinab::ADV,ӱлӹкӹ,вниз
723,hinab::ADV,лӹвӓкӹ,вниз
724,oben::ADV,вӹлнӹ,наверху
725,hinauf::ADV,кӱшкӹлӓ,вверх
726,hinauf::ADV,кӱш,вверх
727,überall::ADV,йӹлт,везде
728,überall::ADV,цилӓ вӓре,везде
729,nicht::ADV,уке,не
730,ein wenig::ADV,изиш,немного
731,ein wenig::ADV,иклаштык,немного
732,kaum::ADV,цылик,едва
733,kaum::ADV,чучок-чучок,едва
734,sehr::ADV,чоте,очень
735,so::ADV,тенге,так
736,so::ADV,тенгелӓ,так
737,noch::ADV,мол,еще
738,noch::ADV,моло,еще
739,nur::ADV,веле,только
740,schon::ADV,уже,уже
741,schon::ADV,ӹнде,уже
742,wieder::ADV,уэш,опять
743,vergebens::ADV,зря,напрасно
744,vergebens::ADV,ӹзрӓ,напрасно
745,vergebens::ADV,ӹзӹрӓ,напрасно
746,vor::PRP,анзыц,перед
747,vor::PRP,анзыцын,перед
748,hinter::PRP,шайылан,за
749,hinter::PRP,шайылан,позади
750,hinter::PRP,шайылный,за
751,hinter::PRP,шайылный,позади
752,unter::PRP,лӹвӓкӹ,под
753,durch::PRP,вашт,сквозь
754,neben::PRP,сага,возле
