,Concept_ID,kk,kv
0,Auge::N,көз,син
1,Ohr::N,құлақ,пель
2,Nase::N,мұрын,ныр
3,Mund::N,ауыз,ӧм
4,Zahn::N,тіс,пинь
5,Zunge::N,тіл,кыв
6,Lippe::N,ерін,тырп
7,Wange::N,ұрт,рожабан
8,Gesicht::N,бет-аузы,бан
9,Stirn::N,маңдай,кымӧс
10,Haar::N,қыл,юрси
11,Schnurrbart::N,мұрт,уссэз
12,Bart::N,сақал,тош
13,Kinn::N,иек,тшӧка
14,Kiefer[Anatomie]::N,жақ,ан
15,Kehle::N,алқым,юан
16,Hals::N,мойын,юан
17,Genick::N,желке,юр бӧр
18,Kopf::N,кәллә,юр
19,Rücken::N,арқа,мышк
20,Bauch::N,қарын,кынӧм
21,Nabel::N,кіндік,гӧг
22,Busen::N,омырау,морос
23,Brust::N,кеуде,морос
24,Schulter::N,иық,пельпон
25,Arm::N,қол,ки
26,Ellenbogen::N,шынтақ,гырдзза
27,Hand::N,қол,кикар
28,Handfläche::N,алақан,ки пыдӧс
29,Finger::N,саусақ,чунь
30,Fingernagel::N,тырнақ,гыж
31,Nagel[Anatomie]::N,тырнақ,гыж
32,Zeh::N,тырнақ,чунь
33,Zeh::N,тұяқ,чунь
34,Fuß::N,аяқ-басы,кокпыдӧс
35,Ferse::N,өкше,кокдзир
36,Ferse::N,өкшелік,кокдзир
37,Knie::N,тізе,пидзӧс
38,Oberschenkel::N,жамбас,лядьбей
39,Bein::N,аяқ,кок
40,Körper::N,дене,вывтыр
41,Haut::N,тері,кучик
42,Blut::N,қан,вир
43,Ader::N,көктамыр,сӧн
44,Ader::N,күретамыр,сӧн
45,Sehne::N,сіңір,жила
46,Knochen::N,жілік,коска
47,Gehirn::N,ми,вем
48,Herz::N,жүрек,сьӧлӧм
49,Magen::N,асқазан,жӧвдӧк
50,Leber::N,бауыр,мус
51,Atem::N,леп,лолалӧм
52,Hunger::N,ашаршылық,тшыг
53,Träne::N,жас,синва
54,Geschmack::N,дәм,кӧр
55,Geschmack::N,татым,кӧр
56,Geschmack::N,талғам,кӧр
57,Geruch::N,иіс,дук
58,Schlaf::N,ұйқы,он
59,Schlaf::N,ұйықтау,он
60,Traum::N,түс,вӧт
61,Himmel::N,аспан,небо
62,Himmel::N,көқ,небо
63,Himmel::N,таңдай,небо
64,Sonne::N,күн,шондi
65,Mond::N,ай,тӧлiсь
66,Stern::N,жұлдыз,кӧдзыв
67,Luft::N,әуе,ру
68,Wind::N,жел,тӧв
69,Welle::N,толқын,гы
70,Wasser::N,су,ва
71,Stein::N,тас,из
72,Boden::N,қыртыс,му
73,Erde::N,топырақ,му
74,Staub::N,шаң,бус
75,Rauch::N,түтін,тшын
76,Funke::N,ұшқын,бичир
77,Feuer::N,алау,би
78,Licht::N,шұғыла,би
79,Schatten::N,көлеңке,вуджӧр
80,Wetter::N,ауа райы,погоддя
81,Nebel::N,тұман,туман
82,Wolke::N,бұлт,кымӧр
83,Regen::N,жаңбыр,зэр
84,Schnee::N,қар,лым
85,Eis::N,мұз,йы
86,Frost::N,суық,мороз
87,Kälte::N,ызғар,кӧдзыт
88,Kälte::N,суықтық,кӧдзыт
89,Hitze::N,аптап,ӧд
90,Raureif::N,қырау,кижа
91,Regenbogen::N,кемпірқосақ,енӧшка
92,Donner::N,күн күркіреу,гым
93,Strömung::N,ағын,визывтӧм
94,Tropfen::N,тамшы,тёп
