,Concept_ID,de,br
0,Auge::N,Auge,lagad
1,Ohr::N,Ohr,skouarn
2,Nase::N,Nase,fri
3,Mund::N,Mund,genoù
4,Zahn::N,Zahn,dant
5,Zunge::N,Zunge,teod
6,Lippe::N,Lippe,muzell
7,Wange::N,Wange,chot
8,Gesicht::N,Gesicht,dremm
9,Stirn::N,Stirn,tal
10,Haar::N,Haar,blev
11,Schnurrbart::N,Schnurrbart,mourenn
12,Bart::N,Bart,barv
13,Kinn::N,Kinn,groñj
14,Kiefer[Anatomie]::N,Kiefer,javed
15,Kehle::N,Kehle,gouzoug
16,Hals::N,Hals,gouzoug
17,Genick::N,Genick,choug
18,Kopf::N,Kopf,penn
19,Rücken::N,Rücken,kein
20,Bauch::N,Bauch,kof
21,Nabel::N,Nabel,begel
22,Busen::N,Busen,bronn
23,Brust::N,Brust,bruched
24,Schulter::N,Schulter,skoaz
25,Arm::N,Arm,brec'h
26,Ellenbogen::N,Ellenbogen,ilin
27,Hand::N,Hand,dorn
28,Handfläche::N,Handfläche,palv
29,Finger::N,Finger,biz
30,Fingernagel::N,Fingernagel,ivin
31,Nagel[Anatomie]::N,Nagel,ivin
32,Zeh::N,Zeh,biz-troad
33,Fuß::N,Fuß,troad
34,Ferse::N,Ferse,seul
35,Knie::N,Knie,glin
36,Oberschenkel::N,Oberschenkel,morzhed
37,Bein::N,Bein,gar
38,Körper::N,Körper,korf
39,Haut::N,Haut,kroc'hen
40,Blut::N,Blut,gwad
41,Ader::N,Ader,gwazhi
42,Sehne::N,Sehne,stir
43,Knochen::N,Knochen,askorn
44,Gehirn::N,Gehirn,empenn
45,Herz::N,Herz,kalon
46,Magen::N,Magen,stomog
47,Leber::N,Leber,avu
48,Atem::N,Atem,anal
49,Hunger::N,Hunger,naon
50,Träne::N,Träne,daer
51,Geschmack::N,Geschmack,blaz
52,Geruch::N,Geruch,c'hwezh
53,Schlaf::N,Schlaf,kousked
54,Traum::N,Traum,hune
55,Himmel::N,Himmel,oabl
56,Sonne::N,Sonne,heol
57,Mond::N,Mond,loar
58,Stern::N,Stern,steredenn
59,Luft::N,Luft,aer
60,Wind::N,Wind,avel
61,Welle::N,Welle,houlenn
62,Wasser::N,Wasser,dour
63,Stein::N,Stein,maen
64,Boden::N,Boden,tachenn
65,Erde::N,Erde,douar
66,Staub::N,Staub,poultr
67,Rauch::N,Rauch,moged
68,Funke::N,Funke,ful
69,Feuer::N,Feuer,tan
70,Licht::N,Licht,gouloù
71,Schatten::N,Schatten,disheol
72,Wetter::N,Wetter,amzer
73,Nebel::N,Nebel,brumenn
74,Wolke::N,Wolke,koumoulenn
75,Regen::N,Regen,glav
76,Schnee::N,Schnee,erc'h
77,Eis::N,Eis,skorn
78,Frost::N,Frost,rev
79,Kälte::N,Kälte,yen
80,Hitze::N,Hitze,tommder
81,Raureif::N,Raureif,frim
82,Regenbogen::N,Regenbogen,gwareg-ar-glav
83,Donner::N,Donner,kurun
84,Strömung::N,Strömung,red
85,Tropfen::N,Tropfen,bannac'h
86,Tropfen::N,Tropfen,takenn
87,Schaum::N,Schaum,spoum
88,Schmutz::N,Schmutz,fank
89,See::N,See,lenn
90,Sumpf::N,Sumpf,gwern
91,Moor::N,Moor,taouarc'heg
92,Wiese::N,Wiese,prad
93,Wald::N,Wald,koad
94,Hügel::N,Hügel,torgenn
95,Anhöhe::N,Anhöhe,run
96,Berg::N,Berg,menez
97,Gipfel::N,Gipfel,barr
98,Höhle::N,Höhle,kav
99,Abhang::N,Abhang,naou
100,Quelle::N,Quelle,feunteun
101,Bach::N,Bach,gwazh
102,Fluss::N,Fluss,stêr
103,Ufer::N,Ufer,ribl
