,Concept_ID,it,lbe
0,Auge::N,occhio,я
1,Ohr::N,orecchio,вичӏи
2,Nase::N,naso,май
3,Mund::N,bocca,кьацӏ
4,Zahn::N,dente,ккарччи
5,Zunge::N,lingua,маз
6,Lippe::N,labbro,мурччи
7,Wange::N,guancia,чӏав
8,Gesicht::N,viso,лажин
9,Gesicht::N,faccia,лажин
10,Stirn::N,fronte,ненттабакӏ
11,Haar::N,capello,чӏара
12,Schnurrbart::N,baffi,ссирссилтту
13,Schnurrbart::N,mustacchi,ссирссилтту
14,Bart::N,barba,чӏири
15,Kinn::N,mento,лунттубакӏ
16,Kiefer[Anatomie]::N,mascella,ххинчулул
17,Kehle::N,gola,кьакьари
18,Hals::N,collo,ссурссу
19,Genick::N,nuca,махъабакӏ
20,Kopf::N,capo,бакӏ
21,Kopf::N,testa,бакӏ
22,Rücken::N,dorso,ттиликӏ
23,Rücken::N,schiena,ттиликӏ
24,Bauch::N,ventre,лякьа
25,Nabel::N,ombelico,цӏумуккутӏ
26,Busen::N,seno,ккукку
27,Brust::N,petto,хъазам
28,Schulter::N,spalla,хъачӏ
29,Arm::N,braccio,ка
30,Ellenbogen::N,gomito,ссюрхъ
31,Hand::N,mano,бартка
32,Handfläche::N,palma,хъат
33,Handfläche::N,palma,битӏянхъ
34,Finger::N,dito,кӏисса
35,Fingernagel::N,unghia,михь
36,Nagel[Anatomie]::N,unghia,михь
37,Zeh::N,dito del piede,кӏисса
38,Fuß::N,piede,чӏанччан
39,Ferse::N,tallone,никъа
40,Ferse::N,calcagno,никъа
41,Knie::N,ginocchio,ник
42,Oberschenkel::N,fèmore,жира
43,Bein::N,gamba,ччан
44,Körper::N,corpo,чурх
45,Haut::N,pelle,бурчу
46,Blut::N,sangue,оь
47,Ader::N,vena,тунну
48,Sehne::N,tèndine,хьхьа
49,Knochen::N,osso,ттаркӏ
50,Gehirn::N,cervello,ня
51,Herz::N,cuore,дакӏ
52,Herz::N,cuore,къюкӏ
53,Magen::N,stòmaco,лякьа
54,Leber::N,fegato,
55,Atem::N,fiato,ссихӏ ласаву
56,Atem::N,fiato,ссихӏ бигьаву
57,Atem::N,respiro,ссихӏ ласаву
58,Atem::N,respiro,ссихӏ бигьаву
59,Hunger::N,fame,ккаши
60,Träne::N,làcrima,макь
61,Geschmack::N,gusto,тӏин
62,Geschmack::N,gusto,тӏааьн
63,Geschmack::N,sapore,тӏин
64,Geschmack::N,sapore,тӏааьн
65,Geruch::N,odore,кьанкь
66,Schlaf::N,sonno,шану
67,Traum::N,sogno,макӏру
68,Himmel::N,cielo,ссав
69,Sonne::N,sole,баргъ
70,Mond::N,luna,барз
71,Stern::N,stella,цӏуку
72,Luft::N,aria,гьава
73,Wind::N,vento,марч
74,Welle::N,onda,щатӏи
75,Wasser::N,acqua,щин
76,Stein::N,sasso,чару
77,Stein::N,pietra,чару
78,Boden::N,suolo,аьрщи
79,Boden::N,terreno,аьрщи
80,Erde::N,terra,аьрщи
81,Staub::N,polvere,ххит
82,Rauch::N,fumo,пуркӏу
83,Funke::N,scintilla,пиягь
84,Feuer::N,fuoco,цӏу
85,Licht::N,luce,чани
86,Schatten::N,ombra,ххют
87,Wetter::N,tempo,гьава
88,Nebel::N,nebbia,шархь ттурлу
89,Wolke::N,nube,ттурлу
90,Wolke::N,nùvola,ттурлу
91,Regen::N,pioggia,гъарал
92,Schnee::N,neve,марххала
93,Eis::N,ghiaccio,микӏ
94,Frost::N,gelo,дяркъу
95,Frost::N,gelo,замгьар
96,Kälte::N,freddo,дяркъу
97,Hitze::N,caldo,кӏиришиву
98,Hitze::N,calura,кӏиришиву
99,Raureif::N,brina,сил
100,Raureif::N,brina,бурса
101,Regenbogen::N,arcobaleno,ссурул ккуртта
102,Donner::N,tuono,къув
103,Strömung::N,corrente,экьинанаву
104,Tropfen::N,goccia,кӏунтӏ
105,Schaum::N,spuma,хьама
106,Schaum::N,schiuma,хьама
107,Schmutz::N,sudiciume,кьяркьи
108,See::N,lago,бяр
109,Sumpf::N,palude,кунцӏа
110,Moor::N,torbiera,
111,Wiese::N,prato,кьан
112,Wald::N,bosco,вацӏа
113,Wald::N,foresta,вацӏа
114,Hügel::N,colle,бакӏу
115,Hügel::N,collina,бакӏу
116,Anhöhe::N,altura,
117,Berg::N,monte,зунтту
118,Berg::N,montagna,зунтту
119,Gipfel::N,cima,мицӏ
120,Höhle::N,grotta,нух
121,Höhle::N,caverna,нух
122,Abhang::N,pendìo,сун
123,Quelle::N,sorgente,дайдихьу
124,Quelle::N,sorgente,бакӏ
125,Bach::N,ruscello,чӏрир нех
126,Fluss::N,fiume,нех
127,Ufer::N,riva,зума
128,Küste::N,costa,зумаинхалу
129,Küste::N,costa,зуманицӏалу
130,Festland::N,terraferma,кьири
131,Meer::N,mare,хьхьири
132,Bucht::N,cala,
133,Insel::N,ìsola,жазира
134,Blume::N,fiore,тӏутӏи
135,Gras::N,erba,уртту
