,Concept_ID,uk,cy
0,Auge::N,око,llygad
1,Ohr::N,вухо,clust
2,Nase::N,ніс,trwyn
3,Mund::N,рот,ceg
4,Zahn::N,зуб,dant
5,Zunge::N,язик,tafod
6,Lippe::N,губа,gwefus
7,Wange::N,щока,boch
8,Gesicht::N,обличчя,wyneb
9,Stirn::N,лоб,talcen
10,Haar::N,волосся,blew
11,Schnurrbart::N,вуса,mwstas
12,Bart::N,борода,barf
13,Kinn::N,підборіддя,gên
14,Kiefer[Anatomie]::N,щелепа,gên
15,Kehle::N,горло,gwddf
16,Hals::N,шия,gwddf
17,Genick::N,потилиця,gwar
18,Genick::N,потилиця,gwegil
19,Kopf::N,голова,pen
20,Rücken::N,спина,cefn
21,Bauch::N,живіт,bol
22,Nabel::N,пупок,bogail
23,Busen::N,груди,bron
24,Brust::N,груди,brest
25,Schulter::N,плече,ysgwydd
26,Arm::N,рука,braich
27,Ellenbogen::N,лікоть,penelin
28,Hand::N,рука,llaw
29,Handfläche::N,долоня,palf
30,Finger::N,палець,bys
31,Fingernagel::N,ніготь,ewin
32,Nagel[Anatomie]::N,ніготь,ewin
33,Zeh::N,палець на нозі,bys troed
34,Fuß::N,нога,troed
35,Ferse::N,п’ятка,sawdl
36,Knie::N,коліно,glin
37,Oberschenkel::N,стегно,clun
38,Bein::N,нога,coes
39,Körper::N,тіло,corff
40,Haut::N,шкіра,croen
41,Blut::N,кров,gwaed
42,Ader::N,вена,gwythïen
43,Sehne::N,сухожилля,gewyn
44,Knochen::N,кістка,asgwrn
45,Gehirn::N,мозок,ymennydd
46,Herz::N,серце,calon
47,Magen::N,шлунок,cylla
48,Magen::N,шлунок,stumog
49,Leber::N,печінка,iau
50,Atem::N,дихання,anadl
51,Hunger::N,голод,newyn
52,Träne::N,сльоза,deigryn
53,Geschmack::N,смак,cyflas
54,Geruch::N,запах,aroglau
55,Schlaf::N,сон,cwsg
56,Schlaf::N,сплячка,cwsg
57,Traum::N,сон,breuddwyd
58,Himmel::N,небо,awyr
59,Sonne::N,сонце,haul
60,Mond::N,місяць,lleuad
61,Stern::N,зірка,seren
62,Luft::N,повітря,awyr
63,Wind::N,вітер,gwynt
64,Welle::N,хвиля,ton
65,Wasser::N,вода,dŵr
66,Stein::N,камінь,carreg
67,Boden::N,ґрунт,llawr
68,Erde::N,земля,pridd
69,Staub::N,пил,llwch
70,Rauch::N,дим,mwg
71,Funke::N,іскра,gwreichioni
72,Feuer::N,вогонь,tân
73,Licht::N,світло,golau
74,Schatten::N,тінь,cysgod
75,Wetter::N,погода,tywydd
76,Nebel::N,туман,niwl
77,Wolke::N,хмара,cwmwl
78,Regen::N,дощ,glaw
79,Schnee::N,сніг,ôd
80,Schnee::N,сніг,eira
81,Eis::N,лід,iâ
82,Frost::N,мороз,rhew
83,Kälte::N,холод,oerni
84,Kälte::N,холод,annwyd
85,Hitze::N,жар,gwres
86,Raureif::N,іній,barrug
87,Regenbogen::N,райдуга,enfys
88,Donner::N,грім,tyrfau
89,Strömung::N,струмина,cerrynt
90,Tropfen::N,крапля,dafn
91,Tropfen::N,крапля,diferyn
92,Schaum::N,піна,ewyn
93,Schmutz::N,бруд,baw
94,Schmutz::N,бруд,budreddi
95,See::N,озеро,llyn
96,Sumpf::N,драговина,cors
97,Moor::N,болото,rhos
98,Wiese::N,луг,dôl
99,Wiese::N,лука,dôl
100,Wald::N,ліс,coedwig
101,Hügel::N,горб,bryn
102,Anhöhe::N,височина,bryn
103,Berg::N,гора,mynydd
104,Gipfel::N,вершина,copa
105,Höhle::N,печера,ogof
106,Abhang::N,схил,llethr
107,Quelle::N,джерело,tarddiad
108,Quelle::N,джерело,ffynhonnell
109,Bach::N,струмок,nant
110,Bach::N,струмок,afonig
111,Bach::N,струмок,cornant
112,Fluss::N,річка,afon
113,Ufer::N,берег,glan
114,Küste::N,узбережжя,traeth
115,Küste::N,узбережжя,arfordir
116,Festland::N,суша,tir
117,Meer::N,море,môr
118,Bucht::N,бухта,bae
119,Bucht::N,затока,bae
120,Insel::N,острів,ynys
121,Blume::N,квітка,blodyn
122,Gras::N,трава,glaswellt
123,Wurzel::N,корінь,gwreiddyn
124,Baum::N,дерево,coeden
125,Stamm::N,стовбур,colfen
126,Stamm::N,стовбур,boncyff
127,Rinde::N,кора,rhisgl
128,Ast::N,гілка,cangen
129,Zweig::N,галузь,cainc
130,Zweig::N,галузь,cangen
131,Blatt::N,лист,deilen
132,Birke::N,береза,bedwen
133,Kiefer[Baum]::N,сосна,pinwydden
134,Weide[Baum]::N,верба,helygen
135,Tanne::N,ялиця,ffynidwydden
136,Horn::N,ріг,corn
137,Feder::N,перо,plufyn
138,Fell::N,хутро,ffwr
139,Flügel::N,крило,adain
140,Klaue::N,кіготь,crafanc
141,Kralle::N,лапа,ewin
142,Schwanz::N,хвіст,cwt
143,Schwanz::N,хвіст,cynffon
144,Ei::N,яйце,wy
145,Nest::N,гніздо,nyth
146,Bau::N,лігво,ffau
147,Tier::N,тварина,anifail
148,Herde::N,стадо,praidd
149,Herde::N,стадо,diadell
150,Kuh::N,корова,buwch
151,Bulle::N,бик,tarw
152,Bulle::N,бугай,tarw
153,Pferd::N,кінь,ceffyl
154,Schaf::N,вівця,dafad
155,Schwein::N,свиня,mochyn
156,Hund::N,собака,ci
157,Katze::N,кішка,cath
158,Bär::N,ведмідь,arth
159,Eichhörnchen::N,білка,gwiwer
160,Elch::N,лось,elc
161,Fuchs::N,лисиця,cadno
162,Hase::N,заєць,ysgyfarnog
163,Maus::N,миша,llygoden
164,Wolf::N,вовк,blaidd
165,Vogel::N,птах,aderyn
166,Schwarm::N,зграя,haid
167,Huhn::N,курка,cyw
168,Hahn::N,півень,ceiliog
169,Gans::N,гуска,gŵydd
170,Adler::N,орел,eryr
171,Ente::N,качка,hwyad
172,Eule::N,сова,tylluan
173,Kranich::N,журавель,garan
174,Kranich::N,журавель,crychydd
175,Krähe::N,ворона,brân
176,Kuckuck::N,зозуля,cog
177,Kuckuck::N,зозуля,cwcw
178,Schwan::N,лебідь,alarch
179,Fisch::N,риба,pysgod
180,Barsch::N,окунь,draenog
181,Hecht::N,щука,penhwyad
182,Schlange[Tier]::N,змія,neidr
183,Wurm::N,черв’як,abwydyn
184,Wurm::N,черв’як,pryf genwair
185,Spinne::N,павук,cor
186,Spinne::N,павук,pryf copyn
187,Ameise::N,мурашка,morgrugyn
188,Laus::N,воша,lleuen
189,Mücke::N,комар,gwybedyn
190,Fliege::N,муха,cleren
191,Schmetterling::N,метелик,glöyn byw
192,Schmetterling::N,метелик,iâr fach yr haf
193,Beere::N,ягода,aeronen
194,Apfel::N,яблуко,afal
195,Pilz::N,гриб,madarch
196,Zwiebel::N,цибуля,nionyn
197,Zwiebel::N,цибуля,winwnsyn
198,Saat::N,сім’я,had
199,Korn::N,зерно,grawn
200,Heu::N,сіно,gwair
201,Schale::N,шкірка,croen
202,Schale::N,шкірка,plisgyn
203,Grube::N,яма,pwll
204,Grube::N,яма,pydew
205,Falle::N,пастка,magl
206,Schlinge::N,петля,cwlwm rhedeg
207,Spur::N,слід,ôl
208,Asche::N,зола,lludw
209,Asche::N,попіл,lludw
210,Dreck::N,бруд,baw
211,Dreck::N,бруд,budreddi
212,Eisen::N,залізо,haearn
213,Gold::N,золото,aur
214,Silber::N,срібло,arian
215,Kohle::N,вугілля,glo
216,Glas::N,скло,gwydr
217,Lehm::N,глина,clai
218,Sand::N,пісок,tywod
219,Mensch::N,людина,dyn
220,Mann::N,чоловік,dyn
221,Frau::N,жінка,merch
222,Frau::N,жінка,gwraig
223,Kind::N,дитина,plentyn
224,Junge::N,хлопець,hogyn
225,Junge::N,хлопець,bachgen
226,Mädchen::N,дівчина,merch
227,Mädchen::N,дівчина,geneth
228,Familie::N,сім’я,teulu
229,Familie::N,сім’я,tylwyth
230,Familie::N,родина,teulu
231,Familie::N,родина,tylwyth
232,Großvater::N,дідусь,taid
233,Großvater::N,дідусь,tad-cu
234,Großmutter::N,бабуся,nain
235,Großmutter::N,бабуся,mam-gu
236,Eltern::N,батьки,rhieni
237,Vater::N,батько,tad
238,Mutter::N,мати,mam
239,Sohn::N,син,mab
240,Tochter::N,дочка,merch
241,Bruder::N,брат,brawd
242,Schwester::N,сестра,chwaer
243,Onkel::N,дядько,ewythr
244,Tante::N,тітка,modryb
245,Ehemann::N,чоловік,gŵr
246,Ehefrau::N,жінка,gwraig
247,Ehefrau::N,дружина,gwraig
248,Freude::N,радощі,gorfoledd
249,Gelächter::N,сміх,chwerthin
250,Glück::N,щастя,hapusrwydd
251,Kummer::N,горе,galar
252,Wunsch::N,бажання,dymuniad
253,Lust::N,бажання,chwant
254,Geist::N,дух,ysbryd
255,Gedanke::N,думка,meddwl
256,Gedächtnis::N,пам’ять,cof
257,Verstand::N,розум,meddwl
258,Sinn::N,зміст,ystyr
259,Sinn::N,значення,ystyr
260,Grund::N,причина,achos
261,Grund::N,причина,rheswm
262,Wahrheit::N,правда,gwir
263,Wahrheit::N,правда,gwirionedd
264,Gespräch::N,розмова,sgwrs
265,Märchen::N,байка,chwedl werin
266,Erzählung::N,повість,stori
267,Erzählung::N,оповідання,stori
268,Nachricht::N,повідомлення,neges
269,Neuigkeit::N,новина,newydd
270,Name::N,ім’я,enw
271,Rätsel::N,загадка,pos
272,Rede::N,промова,araith
273,Sprache::N,мова,iaith
274,Stimme::N,голос,llais
275,Wort::N,слово,gair
276,Zeichen::N,знак,arwydd
277,Ruf::N,оклик,galwad
278,Lärm::N,шум,trwst
279,Laut::N,звук,sain
280,Ton::N,тон,tôn
281,Lied::N,пісня,cân
282,Ruhe::N,спокій,tawelwch
283,Leute::N,люди,pobl
284,Volk::N,народ,pobl
285,Arbeit::N,робота,gwaith
286,Gast::N,гість,gwestai
287,Geschenk::N,подарунок,rhodd
288,Geschenk::N,подарунок,anrheg
