,Concept_ID,tt,kv
0,Auge::N,күз,син
1,Ohr::N,колак,пель
2,Nase::N,борын,ныр
3,Mund::N,авыз,ӧм
4,Mund::N,тамак,ӧм
5,Zahn::N,теш,пинь
6,Zunge::N,тел,кыв
7,Lippe::N,ирен,тырп
8,Wange::N,яңак,рожабан
9,Gesicht::N,йөз,бан
10,Stirn::N,маңгай,кымӧс
11,Haar::N,чәч,юрси
12,Schnurrbart::N,мыек,уссэз
13,Bart::N,сакал,тош
14,Kinn::N,ияк,тшӧка
15,Kiefer[Anatomie]::N,казналык,ан
16,Kehle::N,тамак,юан
17,Hals::N,бугаз,юан
18,Genick::N,җилкә,юр бӧр
19,Kopf::N,баш,юр
20,Rücken::N,сырт,мышк
21,Bauch::N,корсак,кынӧм
22,Nabel::N,кендек,гӧг
23,Busen::N,түш,морос
24,Brust::N,имчәк,морос
25,Brust::N,күкрәк,морос
26,Schulter::N,иңбаш,пельпон
27,Schulter::N,кулбаш,пельпон
28,Arm::N,кул,ки
29,Ellenbogen::N,терсәк,гырдзза
30,Hand::N,кул,кикар
31,Handfläche::N,уч,ки пыдӧс
32,Finger::N,бармак,чунь
33,Fingernagel::N,тырнак,гыж
34,Nagel[Anatomie]::N,тырнак,гыж
35,Zeh::N,бармак,чунь
36,Fuß::N,табан,кокпыдӧс
37,Ferse::N,үкчә,кокдзир
38,Knie::N,тез,пидзӧс
39,Oberschenkel::N,бот,лядьбей
40,Bein::N,аяк,кок
41,Körper::N,тән,вывтыр
42,Körper::N,җисем,вывтыр
43,Haut::N,тире,кучик
44,Blut::N,кан,вир
45,Ader::N,тамыр,сӧн
46,Sehne::N,сеңер,жила
47,Knochen::N,сөяк,коска
48,Gehirn::N,ми,вем
49,Herz::N,йөрәк,сьӧлӧм
50,Magen::N,ашказаны,жӧвдӧк
51,Leber::N,бавыр,мус
52,Atem::N,сулыш,лолалӧм
53,Hunger::N,ачлык,тшыг
54,Träne::N,яшь,синва
55,Geschmack::N,тәм,кӧр
56,Geschmack::N,зәвык,кӧр
57,Geruch::N,ис,дук
58,Schlaf::N,йокы,он
59,Traum::N,төш,вӧт
60,Himmel::N,күк,небо
61,Sonne::N,кояш,шондi
62,Mond::N,ай,тӧлiсь
63,Stern::N,йолдыз,кӧдзыв
64,Luft::N,һава,ру
65,Wind::N,җил,тӧв
66,Welle::N,дулкын,гы
67,Wasser::N,су,ва
68,Stein::N,таш,из
69,Boden::N,туфрак,му
70,Erde::N,җир,му
71,Staub::N,тузан,бус
72,Rauch::N,төтен,тшын
73,Funke::N,очкын,бичир
74,Feuer::N,ут,би
75,Licht::N,якты,би
76,Schatten::N,күләгә,вуджӧр
77,Wetter::N,һава,погоддя
78,Nebel::N,томан,туман
79,Wolke::N,болыт,кымӧр
80,Regen::N,яңгыр,зэр
81,Schnee::N,кар,лым
82,Eis::N,боз,йы
83,Frost::N,суык,мороз
84,Frost::N,салкын,мороз
85,Kälte::N,суык,кӧдзыт
86,Kälte::N,салкын,кӧдзыт
87,Hitze::N,эсселек,ӧд
88,Raureif::N,бәс,кижа
89,Raureif::N,сыкы,кижа
90,Regenbogen::N,салават күпере,енӧшка
91,Donner::N,күкрәү,гым
92,Strömung::N,агыш'агым,визывтӧм
93,Tropfen::N,тамчы,тёп
94,Schaum::N,күбек,быг
95,Schmutz::N,пычрак,нять
96,See::N,күл,ты
97,Sumpf::N,саз,арай
98,Moor::N,торфлык,нюр
99,Wiese::N,болын,видз
100,Wald::N,урман,вӧр
101,Hügel::N,калку,мыльк
102,Anhöhe::N,үр,вывтас
103,Anhöhe::N,үр,вылынін
104,Berg::N,тау,керӧс
105,Gipfel::N,оч,йыв
106,Höhle::N,мәгарә,нора
107,Abhang::N,кабырга,покат
108,Quelle::N,чишмә,больган
109,Bach::N,елга,шор
110,Fluss::N,дәрья,ю
111,Ufer::N,су кырые,берег
112,Küste::N,яр буе,берег
113,Festland::N,коры җир,му
114,Meer::N,диңгез,море
115,Bucht::N,бухта,курья
116,Bucht::N,култык,курья
117,Insel::N,атау,
118,Insel::N,утрау,
119,Blume::N,чәчкә,цветок
120,Gras::N,үлән,турун
121,Wurzel::N,тамыр,вуж
122,Baum::N,агач,пу
123,Stamm::N,кәүсә,мыр
124,Stamm::N,кәүсә,кер
125,Rinde::N,кабык,кач
126,Ast::N,ботак,ув
127,Zweig::N,ботак,ув
128,Zweig::N,тармак,ув
129,Blatt::N,яфрак,лист
130,Birke::N,каен,кыдз
131,Kiefer[Baum]::N,нарат,пожум
132,Weide[Baum]::N,тал,бадь
133,Tanne::N,чыршы,кӧз
134,Horn::N,мөгез,сюр
135,Feder::N,йон,гӧн
136,Fell::N,тире,кучик
137,Flügel::N,канат,борд
138,Klaue::N,тырнак,гыж
139,Kralle::N,тырнак,кабыр
140,Schwanz::N,койрык,бӧж
141,Ei::N,күкәй,кольть
142,Ei::N,йомырка,кольть
143,Nest::N,оя,поз
144,Bau::N,өн,осьта
145,Bau::N,өн,нора
146,Tier::N,хайван,зверь
147,Herde::N,көтү,гурт
148,Kuh::N,сыер,мӧс
149,Bulle::N,үгез,ӧшка
150,Pferd::N,ат,вӧв
151,Schaf::N,сарык,баля
152,Schwein::N,дуңгыз,порсь
153,Hund::N,эт,пон
154,Katze::N,песи,кань
155,Bär::N,аю,ош
156,Eichhörnchen::N,тиен,ур
157,Elch::N,поши,вӧр мӧс
158,Fuchs::N,төлке,руч
159,Hase::N,куян,кӧч
160,Maus::N,тычкан,шыр
161,Wolf::N,бүре,кӧин
162,Vogel::N,кош,кай
163,Schwarm::N,көтү,стая
164,Schwarm::N,көтү,чукӧр
165,Huhn::N,тавык,курӧг
166,Hahn::N,әтәч,петух
167,Hahn::N,әтәч,ай курӧг
168,Gans::N,каз,дзодзог
169,Adler::N,каракош,куч
170,Adler::N,каракош,кутш
171,Ente::N,үрдәк,утка
172,Eule::N,ябалак,тупка
173,Kranich::N,торна,тури
174,Krähe::N,карга,рака
175,Kuckuck::N,күке,кӧк
176,Kuckuck::N,кәккүк,кӧк
177,Schwan::N,аккош,юсь
178,Fisch::N,балык,чери
179,Barsch::N,алабуга,ёкыш
180,Hecht::N,чуртан,сирпинь
181,Schlange[Tier]::N,елан,змей
182,Wurm::N,корт,номыр
183,Spinne::N,үрмәкүч,черань
184,Ameise::N,кырмыска,кӧдзывкар
185,Laus::N,бет,ляпа той
186,Mücke::N,черки,ном
187,Mücke::N,озынборын,ном
188,Fliege::N,чебен,гут
189,Schmetterling::N,күбәләк,бабыв
190,Beere::N,җиләк,ягӧд
191,Apfel::N,алма,яблоко
192,Pilz::N,гөмбә,тшак
193,Zwiebel::N,суган,грез
194,Zwiebel::N,суганбаш,грез
195,Saat::N,орлык,кӧдзыс
196,Korn::N,иген,сю
197,Korn::N,орлык,сю
198,Heu::N,печән,турун
199,Schale::N,кабык,кыш
200,Schale::N,кабык,киль
201,Grube::N,баз,яма
202,Grube::N,чокыр,яма
203,Falle::N,тозак,нальк
204,Falle::N,тозак,кляпча
205,Falle::N,капкын,нальк
206,Falle::N,капкын,кляпча
207,Schlinge::N,элмәк,лӧч
208,Spur::N,эз,туй
209,Asche::N,көл,пӧим
210,Dreck::N,пычрак,нять
211,Eisen::N,тимер,кӧрт
212,Gold::N,алтын,зарни
213,Silber::N,көмеш,язісь
214,Kohle::N,күмер,шом
215,Kohle::N,күмер,уголь
216,Glas::N,пыяла,стекло
217,Lehm::N,балчык,сёй
218,Sand::N,ком,лыа
219,Mensch::N,адәм,морт
220,Mensch::N,инсан,морт
221,Mann::N,ир,мужик
222,Frau::N,хатын,инька
223,Kind::N,бала,кага
224,Junge::N,малай,зонка
225,Mädchen::N,кыз,нывкаок
226,Familie::N,гаилә,семья
227,Großvater::N,бабай,дед
228,Großmutter::N,әби,баб
229,Eltern::N,ата-ана,ай-мам
230,Vater::N,ата,ай
231,Mutter::N,ана,мам
232,Sohn::N,ул,зон
233,Tochter::N,кыз,ныв
234,Bruder::N,кардәш,вон
235,Schwester::N,апа,сой
236,Schwester::N,сеңел,сой
237,Onkel::N,дәдә,дядь
238,Onkel::N,дәдәй,дядь
239,Tante::N,түти,айӧлӧн сой
240,Tante::N,түти,ичинь
241,Tante::N,тәтәй,айӧлӧн сой
242,Tante::N,тәтәй,ичинь
243,Ehemann::N,ир,жӧник
244,Ehefrau::N,хатын,инь
245,Freude::N,сөенеч,гаж
246,Freude::N,сөенеч,радъялӧм
247,Gelächter::N,көлү,сералӧм
248,Gelächter::N,көлеш,сералӧм
249,Glück::N,бәхет,мичлун
250,Kummer::N,хәсрәт,шог
251,Wunsch::N,теләк,мӧдӧм
252,Wunsch::N,теләк,охотитӧм
253,Lust::N,теләк,охота
254,Lust::N,теләү,охота
255,Geist::N,рух,лов
256,Gedanke::N,уй,дума
257,Gedanke::N,фикер,дума
258,Gedächtnis::N,хәтер,тӧдвыв
259,Verstand::N,акыл,вежӧр
260,Sinn::N,мәгънә,ылӧс
261,Grund::N,сәбәп,мог
262,Wahrheit::N,хак,правда
263,Gespräch::N,әңгәмә,сёрни
264,Märchen::N,әкият,сказка
265,Erzählung::N,хикәя,висьт
266,Nachricht::N,хәбәр,юӧр
267,Nachricht::N,хәбәр,висьталӧм
268,Neuigkeit::N,яңалык,новость
269,Name::N,исем,ним
270,Rätsel::N,табышмак,загадка
271,Rede::N,нотык,сёрни
272,Sprache::N,тел,кыв
273,Stimme::N,тавыш,голос
274,Wort::N,сүз,кыв
275,Zeichen::N,ишарә,пас
276,Ruf::N,дәшү,чуксӧм
277,Ruf::N,дәшү,чукӧстӧм
278,Lärm::N,шау,шум
279,Laut::N,аваз,шы
280,Ton::N,шалтырату,гор
281,Lied::N,җыр,сьыланкыв
282,Ruhe::N,тынлык,спокой
283,Leute::N,халык,йӧз
284,Volk::N,халык,йӧз
285,Volk::N,халык,народ
286,Arbeit::N,эш,удж
287,Arbeit::N,хезмәт,удж
288,Gast::N,кунак,гӧсь
289,Geschenk::N,бүләк,гӧснеч
290,Geschenk::N,бүләк,подарок
291,Spiel::N,уен,орсӧм
292,Gesellschaft::N,җәмгыять,компания
293,Hilfe::N,ярдәм,отсӧт
294,Hilfe::N,булышлык,отсӧт
295,Freund::N,дус,модз
296,Freund::N,дус,дружок
297,Kamerad::N,иптәш,тӧдса
298,Angelegenheit::N,эш,дело
299,Anzahl::N,микъдар,лыд
300,Art::N,төр,пӧлӧс
301,Stück::N,кисәк,тор
302,Teil::N,өлеш,юкӧм
303,Hälfte::N,ярым,джын
304,Kreis::N,түгәрәк,круг
305,Kreuz::N,хач,перна
306,Kreuz::N,тәре,перна
307,Linie::N,сызык,визь
308,Strich::N,сызык,кырӧв
309,Abstand::N,ара,колас
310,Entfernung::N,ераклык,ылына
311,Gegend::N,урын,места
312,Platz::N,бушлык,места
313,Ort::N,урын,места
314,Seite::N,як,ладор
315,Mitte::N,урта,шӧр
316,Gegenstand::N,нәрсә,тор
317,Sache::N,нәрсә,тор
318,Rand::N,чит,дор
319,Kante::N,кырый,ордлы
320,Ecke::N,почмак,пельӧс
321,Spitze::N,оч,йыв
322,Ende::N,азак,йыв
323,Loch::N,тишек,осьта
324,Winkel::N,почмак,пельӧс
325,Muster::N,парча,сер
326,Größe::N,зурлык,ыжда
327,Länge::N,озынлык,кузя
328,Höhe::N,биеклек,сувда
329,Höhe::N,биеклек,вылына
330,Gewicht::N,авырлык,сьӧкта
331,Menge::N,микъдар,
332,Haufen::N,өем,куча
333,Reihe::N,рәт,лёдз
334,Boot::N,каек,пыж
335,Boot::N,көймә,пыж
336,Ruder::N,ишкәк,пелыс
337,Schlitten::N,чана,додь
338,Ski::N,чаңгы,лямпа
339,Lagerfeuer::N,костёр,бипур
340,Last::N,йөк,тягота
341,Gang::N,йөреш,мунӧм
342,Schritt::N,адым,вожмӧв
343,Norden::N,төньяк,ой
344,Süden::N,көньяк,лун
345,Westen::N,көнбатыш,рытвыв
346,Osten::N,шәрык,асыв
347,Osten::N,көнчыгыш,асыв
348,Holz::N,агач,пу
349,Brett::N,такта,пӧв
350,Platte::N,плитә,плита
351,Stütze::N,таяу,пика
352,Stange::N,колга,зор
353,Stange::N,колга,потш
354,Stock::N,таяк,бедь
355,Stab::N,таяк,шест
356,Rohr::N,торба,труба
357,Haus::N,өй,керку
358,Haus::N,йорт,керку
359,Heim::N,гаилә,керку
360,Heim::N,нәсел,керку
361,Ofen::N,мич,пӧжавны
362,Fußboden::N,идән,джодж
363,Tisch::N,өстәл,пызан
