,Concept_ID,lbe,av
0,Auge::N,я,
1,Ohr::N,вичӏи,гӏин
2,Nase::N,май,мегӏер
3,Mund::N,кьацӏ,кӏал
4,Zahn::N,ккарччи,гӏус
5,Zunge::N,маз,мацӏ
6,Lippe::N,мурччи,кӏветӏ
7,Wange::N,чӏав,гӏоно
8,Gesicht::N,лажин,гьумер
9,Stirn::N,ненттабакӏ,нодо
10,Haar::N,чӏара,рас
11,Schnurrbart::N,ссирссилтту,михъ
12,Bart::N,чӏири,мегеж
13,Kinn::N,лунттубакӏ,нилъу
14,Kiefer[Anatomie]::N,ххинчулул,чанагъ
15,Kehle::N,кьакьари,щекъер
16,Hals::N,ссурссу,габур
17,Genick::N,махъабакӏ,гъванща
18,Kopf::N,бакӏ,бетӏер
19,Rücken::N,ттиликӏ,мугъ
20,Bauch::N,лякьа,чехь
21,Nabel::N,цӏумуккутӏ,цӏину
22,Busen::N,ккукку,керен
23,Brust::N,хъазам,керен
24,Schulter::N,хъачӏ,гъажазубетӏер
25,Arm::N,ка,гъеж
26,Ellenbogen::N,ссюрхъ,гӏункӏрукь
27,Hand::N,бартка,квер
28,Handfläche::N,хъат,огъохъат
29,Handfläche::N,хъат,жанисахъат
30,Handfläche::N,битӏянхъ,огъохъат
31,Handfläche::N,битӏянхъ,жанисахъат
32,Finger::N,кӏисса,килищ
33,Fingernagel::N,михь,малъ
34,Nagel[Anatomie]::N,михь,малъ
35,Zeh::N,кӏисса,килищ
36,Fuß::N,чӏанччан,хӏетӏ
37,Fuß::N,чӏанччан,хӏетӏе
38,Ferse::N,никъа,эгъе
39,Knie::N,ник,наку
40,Oberschenkel::N,жира,мачӏ
41,Bein::N,ччан,бох
42,Körper::N,чурх,къаркъала
43,Haut::N,бурчу,тӏом
44,Blut::N,оь,би
45,Ader::N,тунну,бидурихь
46,Sehne::N,хьхьа,
47,Knochen::N,ттаркӏ,ракьа
48,Gehirn::N,ня,гӏадалнах
49,Herz::N,дакӏ,ракӏ
50,Herz::N,къюкӏ,ракӏ
51,Magen::N,лякьа,кванирукъ
52,Atem::N,ссихӏ ласаву,хӏухь
53,Atem::N,ссихӏ бигьаву,хӏухь
54,Hunger::N,ккаши,ракъи
55,Träne::N,макь,магӏу
56,Geschmack::N,тӏин,тату
57,Geschmack::N,тӏааьн,тату
58,Geruch::N,кьанкь,махӏ
59,Schlaf::N,шану,макьу
60,Traum::N,макӏру,макьу
61,Himmel::N,ссав,зоб
62,Sonne::N,баргъ,бакъ
63,Mond::N,барз,моцӏ
64,Stern::N,цӏуку,цӏва
65,Luft::N,гьава,гьава
66,Wind::N,марч,гьури
67,Welle::N,щатӏи,карачел
68,Wasser::N,щин,лъим
69,Stein::N,чару,гьецӏо
70,Boden::N,аьрщи,ракь
71,Erde::N,аьрщи,ракь
72,Erde::N,аьрщи,дуниял
73,Staub::N,ххит,хӏур
74,Rauch::N,пуркӏу,кӏкӏуй
75,Funke::N,пиягь,
76,Feuer::N,цӏу,цӏа
77,Licht::N,чани,канлъи
78,Schatten::N,ххют,рагӏад
79,Wetter::N,гьава,гьава-бакъ
80,Nebel::N,шархь ттурлу,гӏодобнакӏкӏ
81,Wolke::N,ттурлу,накӏкӏ
82,Regen::N,гъарал,цӏад
83,Schnee::N,марххала,гӏазу
84,Eis::N,микӏ,цӏер
85,Frost::N,дяркъу,замгьари
86,Frost::N,замгьар,замгьари
87,Kälte::N,дяркъу,квач
88,Hitze::N,кӏиришиву,багӏари
89,Raureif::N,сил,мартӏ
90,Raureif::N,бурса,мартӏ
91,Regenbogen::N,ссурул ккуртта,нур
92,Regenbogen::N,ссурул ккуртта,чамбара
93,Donner::N,къув,гъугъай
94,Donner::N,къув,гъугъади
95,Strömung::N,экьинанаву,чвахи
96,Tropfen::N,кӏунтӏ,резел
97,Tropfen::N,кӏунтӏ,тӏинкӏ
98,Tropfen::N,кӏунтӏ,къатӏра
99,Tropfen::N,кӏунтӏ,тӏенкӏел
100,Schaum::N,хьама,полоп
101,Schmutz::N,кьяркьи,чороклъи
102,See::N,бяр,хӏор
103,Sumpf::N,кунцӏа,хьуцӏ
104,Wiese::N,кьан,мегъ
105,Wiese::N,кьан,гӏурдаллъи
106,Wald::N,вацӏа,рохь
107,Hügel::N,бакӏу,гохӏ
108,Berg::N,зунтту,мегӏер
109,Gipfel::N,мицӏ,тӏогь
110,Höhle::N,нух,нохъо
111,Abhang::N,сун,лабаллъи
112,Quelle::N,дайдихьу,ицц
113,Quelle::N,бакӏ,ицц
114,Bach::N,чӏрир нех,лъар
115,Fluss::N,нех,гӏор
116,Ufer::N,зума,рагӏал
117,Küste::N,зумаинхалу,рагӏал
118,Küste::N,зуманицӏалу,рагӏал
119,Festland::N,кьири,ракь
120,Festland::N,кьири,ракъдаллъи
121,Meer::N,хьхьири,ралъад
122,Insel::N,жазира,чӏинкӏиллъи
123,Blume::N,тӏутӏи,тӏегь
124,Gras::N,уртту,хер
125,Wurzel::N,мархха,кьибил
126,Baum::N,мурхь,гъветӏ
127,Stamm::N,ттарцӏ,рохти
128,Rinde::N,ккамара,макъар
129,Ast::N,матӏи,ноцӏ
130,Zweig::N,къяртта,гӏаркьел
131,Blatt::N,чӏапӏи,тӏамах
132,Birke::N,кӏялахӏи,мах
133,Birke::N,кӏялахӏи,махигъветӏ
134,Birke::N,кӏялахӏилул мурхь,мах
135,Birke::N,кӏялахӏилул мурхь,махигъветӏ
136,Kiefer[Baum]::N,ттар,накӏкӏигъветӏ
137,Kiefer[Baum]::N,ттарлил мурхь,накӏкӏигъветӏ
138,Weide[Baum]::N,щавщи,рицӏцӏ
139,Weide[Baum]::N,щавщи,рицӏцӏигъветӏ
140,Tanne::N,ттарлил мурхь,ёлка
141,Horn::N,хъи,лълъар
142,Feder::N,лелуххул тӏиму,хӏули
143,Fell::N,бурчу,тӏом
144,Fell::N,бурчу,цӏоко
145,Flügel::N,хъа,кваркьи
146,Flügel::N,ххурупӏайрал тӏиму,кваркьи
147,Klaue::N,михь,галъ
148,Kralle::N,ххяппа,квачӏ
149,Kralle::N,ххяппа,катиквачӏ
150,Schwanz::N,магъ,рачӏ
151,Ei::N,ккунук,хоно
152,Nest::N,кюру,бусен
