,Concept_ID,tt,cy
0,Auge::N,күз,llygad
1,Ohr::N,колак,clust
2,Nase::N,борын,trwyn
3,Mund::N,авыз,ceg
4,Mund::N,тамак,ceg
5,Zahn::N,теш,dant
6,Zunge::N,тел,tafod
7,Lippe::N,ирен,gwefus
8,Wange::N,яңак,boch
9,Gesicht::N,йөз,wyneb
10,Stirn::N,маңгай,talcen
11,Haar::N,чәч,blew
12,Schnurrbart::N,мыек,mwstas
13,Bart::N,сакал,barf
14,Kinn::N,ияк,gên
15,Kiefer[Anatomie]::N,казналык,gên
16,Kehle::N,тамак,gwddf
17,Hals::N,бугаз,gwddf
18,Genick::N,җилкә,gwar
19,Genick::N,җилкә,gwegil
20,Kopf::N,баш,pen
21,Rücken::N,сырт,cefn
22,Bauch::N,корсак,bol
23,Nabel::N,кендек,bogail
24,Busen::N,түш,bron
25,Brust::N,имчәк,brest
26,Brust::N,күкрәк,brest
27,Schulter::N,иңбаш,ysgwydd
28,Schulter::N,кулбаш,ysgwydd
29,Arm::N,кул,braich
30,Ellenbogen::N,терсәк,penelin
31,Hand::N,кул,llaw
32,Handfläche::N,уч,palf
33,Finger::N,бармак,bys
34,Fingernagel::N,тырнак,ewin
35,Nagel[Anatomie]::N,тырнак,ewin
36,Zeh::N,бармак,bys troed
37,Fuß::N,табан,troed
38,Ferse::N,үкчә,sawdl
39,Knie::N,тез,glin
40,Oberschenkel::N,бот,clun
41,Bein::N,аяк,coes
42,Körper::N,тән,corff
43,Körper::N,җисем,corff
44,Haut::N,тире,croen
45,Blut::N,кан,gwaed
46,Ader::N,тамыр,gwythïen
47,Sehne::N,сеңер,gewyn
48,Knochen::N,сөяк,asgwrn
49,Gehirn::N,ми,ymennydd
50,Herz::N,йөрәк,calon
51,Magen::N,ашказаны,cylla
52,Magen::N,ашказаны,stumog
53,Leber::N,бавыр,iau
54,Atem::N,сулыш,anadl
55,Hunger::N,ачлык,newyn
56,Träne::N,яшь,deigryn
57,Geschmack::N,тәм,cyflas
58,Geschmack::N,зәвык,cyflas
59,Geruch::N,ис,aroglau
60,Schlaf::N,йокы,cwsg
61,Traum::N,төш,breuddwyd
62,Himmel::N,күк,awyr
63,Sonne::N,кояш,haul
64,Mond::N,ай,lleuad
65,Stern::N,йолдыз,seren
66,Luft::N,һава,awyr
67,Wind::N,җил,gwynt
68,Welle::N,дулкын,ton
69,Wasser::N,су,dŵr
70,Stein::N,таш,carreg
71,Boden::N,туфрак,llawr
72,Erde::N,җир,pridd
73,Staub::N,тузан,llwch
74,Rauch::N,төтен,mwg
75,Funke::N,очкын,gwreichioni
76,Feuer::N,ут,tân
77,Licht::N,якты,golau
78,Schatten::N,күләгә,cysgod
79,Wetter::N,һава,tywydd
80,Nebel::N,томан,niwl
81,Wolke::N,болыт,cwmwl
82,Regen::N,яңгыр,glaw
83,Schnee::N,кар,ôd
84,Schnee::N,кар,eira
85,Eis::N,боз,iâ
86,Frost::N,суык,rhew
87,Frost::N,салкын,rhew
88,Kälte::N,суык,oerni
89,Kälte::N,суык,annwyd
90,Kälte::N,салкын,oerni
91,Kälte::N,салкын,annwyd
92,Hitze::N,эсселек,gwres
93,Raureif::N,бәс,barrug
94,Raureif::N,сыкы,barrug
95,Regenbogen::N,салават күпере,enfys
96,Donner::N,күкрәү,tyrfau
97,Strömung::N,агыш'агым,cerrynt
98,Tropfen::N,тамчы,dafn
99,Tropfen::N,тамчы,diferyn
100,Schaum::N,күбек,ewyn
101,Schmutz::N,пычрак,baw
102,Schmutz::N,пычрак,budreddi
103,See::N,күл,llyn
104,Sumpf::N,саз,cors
105,Moor::N,торфлык,rhos
106,Wiese::N,болын,dôl
107,Wald::N,урман,coedwig
108,Hügel::N,калку,bryn
109,Anhöhe::N,үр,bryn
110,Berg::N,тау,mynydd
111,Gipfel::N,оч,copa
112,Höhle::N,мәгарә,ogof
113,Abhang::N,кабырга,llethr
114,Quelle::N,чишмә,tarddiad
115,Quelle::N,чишмә,ffynhonnell
116,Bach::N,елга,nant
117,Bach::N,елга,afonig
118,Bach::N,елга,cornant
119,Fluss::N,дәрья,afon
120,Ufer::N,су кырые,glan
121,Küste::N,яр буе,traeth
122,Küste::N,яр буе,arfordir
123,Festland::N,коры җир,tir
124,Meer::N,диңгез,môr
125,Bucht::N,бухта,bae
126,Bucht::N,култык,bae
127,Insel::N,атау,ynys
128,Insel::N,утрау,ynys
129,Blume::N,чәчкә,blodyn
130,Gras::N,үлән,glaswellt
131,Wurzel::N,тамыр,gwreiddyn
132,Baum::N,агач,coeden
133,Stamm::N,кәүсә,colfen
134,Stamm::N,кәүсә,boncyff
135,Rinde::N,кабык,rhisgl
136,Ast::N,ботак,cangen
137,Zweig::N,ботак,cainc
138,Zweig::N,ботак,cangen
139,Zweig::N,тармак,cainc
140,Zweig::N,тармак,cangen
141,Blatt::N,яфрак,deilen
142,Birke::N,каен,bedwen
143,Kiefer[Baum]::N,нарат,pinwydden
144,Weide[Baum]::N,тал,helygen
145,Tanne::N,чыршы,ffynidwydden
146,Horn::N,мөгез,corn
147,Feder::N,йон,plufyn
148,Fell::N,тире,ffwr
149,Flügel::N,канат,adain
150,Klaue::N,тырнак,crafanc
151,Kralle::N,тырнак,ewin
152,Schwanz::N,койрык,cwt
153,Schwanz::N,койрык,cynffon
154,Ei::N,күкәй,wy
155,Ei::N,йомырка,wy
