,Concept_ID,fr,ce
0,Auge::N,œil,бӏаьрг
1,Ohr::N,oreille,лерг
2,Nase::N,nez,мара
3,Mund::N,bouche,бага
4,Zahn::N,dent,церг
5,Zunge::N,langue,мотт
6,Lippe::N,lèvre,балда
7,Wange::N,joue,бесни
8,Gesicht::N,face,юьхь
9,Gesicht::N,visage,юьхь
10,Stirn::N,front,хьаж
11,Haar::N,cheveu,мас
12,Schnurrbart::N,moustache,мекх
13,Bart::N,barbe,маж
14,Kinn::N,menton,чӏениг
15,Kiefer[Anatomie]::N,mâchoire,мочхал
16,Kehle::N,gorge,къамкъарг
17,Hals::N,cou,ворта
18,Genick::N,nuque,кӏесаркӏаг
19,Kopf::N,tête,корта
20,Rücken::N,dos,букъ
21,Bauch::N,ventre,кийра
22,Nabel::N,nombril,цӏонга
23,Busen::N,sein,зударийн накха
24,Brust::N,poitrine,накха
25,Schulter::N,épaule,белш
26,Arm::N,bras,пхьарс
27,Ellenbogen::N,coude,пхьаьрсан гола
28,Hand::N,main,куьг
29,Handfläche::N,paume,кераюкъ
30,Finger::N,doigt,пӏелг
31,Fingernagel::N,ongle,мӏара
32,Nagel[Anatomie]::N,ongle,мӏара
33,Zeh::N,orteil,кога пӏелг
34,Zeh::N,doigt de pied,кога пӏелг
35,Fuß::N,pied,ког
36,Ferse::N,talon,кӏажа
37,Knie::N,genou,гола
38,Oberschenkel::N,cuisse,варе
39,Bein::N,jambe,ког
40,Körper::N,corps,хӏума
41,Haut::N,peau,чкъор
42,Blut::N,sang,цӏий
43,Ader::N,veine,пха
44,Sehne::N,tendon,хьорзам
45,Knochen::N,os,даьӏахк
46,Gehirn::N,cerveau,хье
47,Herz::N,cœur,дог
48,Magen::N,estomac,зорх
49,Leber::N,foie,доӏах
50,Atem::N,haleine,садеӏар
51,Hunger::N,faim,мацалла
52,Träne::N,larme,бӏаьрхи
53,Geschmack::N,goût,чам
54,Geschmack::N,saveur,чам
55,Geruch::N,odeur,хьожа
56,Schlaf::N,sommeil,наб
57,Traum::N,songe,гӏан
58,Himmel::N,ciel,стигал
59,Sonne::N,soleil,малх
60,Mond::N,lune,бутт
61,Stern::N,étoile,седа
62,Luft::N,air,xӏаваъ
63,Wind::N,vent,мох
64,Welle::N,vague,тулгӏе
65,Wasser::N,eau,хи
66,Stein::N,pierre,тӏулг
67,Boden::N,sol,цӏенкъа
68,Boden::N,terrain,цӏенкъа
69,Erde::N,terre,латта
70,Staub::N,poussière,чан
71,Rauch::N,fumée,кӏур
72,Funke::N,étincelle,суй
73,Feuer::N,feu,цӏе
74,Licht::N,lumière,серло
75,Schatten::N,ombre,ӏиндагӏ
76,Wetter::N,temps,хенан хӏоттам
77,Nebel::N,brume,дохк
78,Nebel::N,brouillard,дохк
79,Wolke::N,nuage,марха
80,Regen::N,pluie,догӏа
81,Schnee::N,neige,ло
82,Eis::N,glace,ша
83,Frost::N,gel,шело
84,Frost::N,gelée,шело
85,Kälte::N,froid,шело
86,Hitze::N,chaleur,йовхо
87,Raureif::N,givre,йис
88,Regenbogen::N,arc-en-ciel,стелаӏад
89,Donner::N,tonnerre,ткъес
90,Strömung::N,courant,дӏаэхар
91,Strömung::N,courant,дӏасалелар
92,Tropfen::N,goutte,тӏадам
93,Schaum::N,écume,чопа
94,Schaum::N,mousse,чопа
95,Schmutz::N,boue,хатт
96,Schmutz::N,saleté,хатт
97,See::N,lac,ӏам
98,Sumpf::N,marais,уьшал
99,Sumpf::N,marécage,уьшал
100,Moor::N,tourbière,уьшал
101,Wiese::N,pré,бай
102,Wald::N,bois,хьун
103,Wald::N,forêt,хьун
104,Hügel::N,coteau,гу
105,Hügel::N,coteau,шу
106,Hügel::N,coteau,барз
107,Hügel::N,colline,гу
108,Hügel::N,colline,шу
109,Hügel::N,colline,барз
110,Anhöhe::N,éminence,акъари
111,Anhöhe::N,élévation,акъари
112,Berg::N,mont,лам
113,Berg::N,montagne,лам
114,Gipfel::N,cime,бохь
115,Gipfel::N,sommet,бохь
116,Höhle::N,caverne,хьех
117,Abhang::N,pente,басе
118,Abhang::N,versant,басе
119,Quelle::N,source,шовда
120,Quelle::N,fontaine,шовда
121,Bach::N,ruisseau,татол
122,Fluss::N,fleuve,хи
123,Fluss::N,rivière,хи
124,Ufer::N,bord,хийист
125,Ufer::N,rivage,хийист
126,Küste::N,côte,йист
127,Festland::N,terre ferme,латта
128,Meer::N,mer,xӏорд
129,Bucht::N,baie,чож
130,Insel::N,île,гӏайре
131,Blume::N,fleur,зезаг
132,Gras::N,herbe,буц
133,Wurzel::N,racine,орам
134,Baum::N,arbre,дитт
135,Stamm::N,tronc,гӏад
136,Stamm::N,tronc,тайпа
137,Rinde::N,écorce,кевстиг
138,Ast::N,branche,га
139,Zweig::N,rameau,га
140,Blatt::N,feuille,гӏа
141,Birke::N,bouleau,дакх
142,Kiefer[Baum]::N,pin,бага
143,Weide[Baum]::N,saule,дак
144,Tanne::N,sapin,база
145,Horn::N,corne,маӏа
146,Feder::N,plume,пелаг
147,Fell::N,peau,цӏока
148,Flügel::N,aile,тӏам
149,Klaue::N,serre,мӏара
150,Kralle::N,ongle,тlод
151,Kralle::N,griffe,тlод
152,Schwanz::N,queue,цӏога
153,Ei::N,œuf,xӏoa
154,Nest::N,nid,бен
155,Bau::N,terrier,lуьрг
156,Tier::N,animal,дийнат
157,Herde::N,troupeau,жа
158,Kuh::N,vache,етт
159,Bulle::N,taureau,сту
160,Pferd::N,cheval,говр
161,Schaf::N,mouton,жий
162,Schaf::N,mouton,уьстагӏ
163,Schwein::N,porc,хьакха
164,Schwein::N,cochon,хьакха
165,Hund::N,chien,жӏаьла
166,Katze::N,chat,цициг
167,Bär::N,ours,ча
168,Eichhörnchen::N,écureuil,тарсал
169,Elch::N,élan,сай
170,Fuchs::N,renard,цхьогал
171,Hase::N,lièvre,пхьагал
172,Maus::N,souris,дахка
173,Wolf::N,loup,борз
174,Vogel::N,oiseau,олхазар
175,Schwarm::N,nuée,
176,Schwarm::N,volée,
177,Huhn::N,poule,котам
178,Hahn::N,coq,нӏаьна
179,Hahn::N,coq,боргӏал
180,Gans::N,oie,гӏаз
181,Adler::N,aigle,aьрзу
182,Ente::N,canard,бад
183,Eule::N,hibou,бухӏа
184,Kranich::N,grue,гӏаргӏули
185,Krähe::N,corneille,къиг
186,Kuckuck::N,coucou,aттйокх
187,Schwan::N,cygne,гӏургӏаз
188,Fisch::N,poisson,чӏара
189,Barsch::N,perche,окунь
190,Hecht::N,brochet,гӏазкхийн чӏара
191,Schlange[Tier]::N,serpent,лаьхьа
192,Wurm::N,ver,нӏаьна
193,Spinne::N,araignée,гезг
194,Ameise::N,fourmi,зингат
195,Laus::N,pou,меза
196,Laus::N,pou,гӏениг
197,Mücke::N,moucheron,чуьрк
198,Fliege::N,mouche,моза
199,Schmetterling::N,papillon,полла
200,Beere::N,baie,цӏазам
201,Apfel::N,pomme,ӏаж
202,Pilz::N,champignon,жӏаьлин нускал
203,Zwiebel::N,oignon,xох
204,Saat::N,semence,чlу
205,Korn::N,grain,буьртиг
206,Heu::N,foin,йол
207,Schale::N,pelure,пардо
208,Grube::N,fosse,ор
209,Falle::N,piège,кӏело
210,Schlinge::N,lacs,
211,Spur::N,trace,лар
212,Asche::N,cendre,чим
213,Dreck::N,crotte,мода
214,Eisen::N,fer,эчиг
215,Gold::N,or,деши
216,Silber::N,argent,дети
217,Kohle::N,charbon,кӏора
218,Glas::N,verre,aнгали
219,Lehm::N,glaise,поппар
220,Sand::N,sable,гӏум
221,Mensch::N,homme,адам
222,Mann::N,homme,майра
223,Frau::N,femme,зуда
224,Kind::N,enfant,бер
225,Junge::N,garçon,жимха
226,Mädchen::N,fille,жима йоӏ
227,Mädchen::N,jeune fille,жима йоӏ
228,Familie::N,famille,доьзал
229,Großvater::N,grand-père,ненада
230,Großmutter::N,grand-mère,денана
231,Eltern::N,parents,да-нана
232,Vater::N,père,да
233,Mutter::N,mère,нана
234,Sohn::N,fils,кӏант
235,Tochter::N,fille,йоӏ
236,Bruder::N,frère,ваша
237,Schwester::N,sœur,йиша
238,Onkel::N,oncle,деваша
239,Tante::N,tante,дейиша
240,Ehemann::N,mari,майра
241,Ehemann::N,époux,майра
242,Ehefrau::N,femme,зуда
243,Ehefrau::N,épouse,зуда
244,Freude::N,joie,самукъа
245,Freude::N,joie,хазахетар
246,Freude::N,plaisir,самукъа
247,Freude::N,plaisir,хазахетар
248,Gelächter::N,rires,белам
249,Glück::N,bonheur,ирс
250,Kummer::N,peine,бала
251,Kummer::N,chagrin,бала
252,Wunsch::N,désir,лаам
253,Lust::N,envie,лаам
254,Geist::N,esprit,са
255,Gedanke::N,idée,ойла
256,Gedanke::N,pensée,ойла
257,Gedächtnis::N,mémoire,диццадалар
258,Verstand::N,raison,хьекъал
259,Sinn::N,sens,маьӏна
260,Grund::N,cause,бахьана
261,Grund::N,raison,бахьана
262,Wahrheit::N,vérité,бакъдерг
263,Gespräch::N,conversation,къамел
264,Märchen::N,conte,туьйра
265,Märchen::N,conte de fées,туьйра
266,Erzählung::N,conte,дийцар
267,Erzählung::N,narration,дийцар
268,Nachricht::N,message,хаам
269,Neuigkeit::N,nouvelle,керланиг
270,Name::N,nom,цӏе
271,Rätsel::N,énigme,хӏетал-метал
272,Rätsel::N,devinette,хӏетал-метал
273,Rede::N,parole,къамел
274,Rede::N,discours,къамел
275,Sprache::N,langue,мотт
276,Sprache::N,langage,мотт
277,Stimme::N,voix,aз
278,Wort::N,mot,дош
279,Zeichen::N,signe,билгало
280,Ruf::N,cri,кхайкхар
281,Ruf::N,appel,кхайкхар
282,Lärm::N,bruit,гӏовгӏа
283,Laut::N,son,аз
284,Ton::N,ton,aз
285,Lied::N,chant,илли
286,Lied::N,chanson,илли
287,Ruhe::N,calme,тийналла
288,Ruhe::N,tranquillité,тийналла
289,Leute::N,gens,нах
290,Volk::N,peuple,халкъ
291,Arbeit::N,travail,болх
292,Gast::N,hôte,хьаша
293,Gast::N,invité,хьаша
294,Geschenk::N,cadeau,совгӏат
295,Geschenk::N,présent,совгӏат
296,Spiel::N,jeu,ловзар
297,Gesellschaft::N,compagnie,юкъаралла
298,Hilfe::N,aide,гӏо
299,Hilfe::N,secours,гӏо
300,Freund::N,ami,доттагl
301,Kamerad::N,copain,накъост
302,Kamerad::N,camarade,накъост
303,Angelegenheit::N,affaire,гӏуллакх
304,Anzahl::N,nombre,терахь
305,Art::N,sorte,
306,Art::N,espèce,
307,Stück::N,morceau,юьхк
308,Teil::N,part,дакъа
309,Teil::N,partie,дакъа
310,Hälfte::N,moitié,ах
311,Kreis::N,cercle,го
312,Kreuz::N,croix,жӏара
313,Linie::N,ligne,сиз
314,Strich::N,trait,сиз
315,Abstand::N,écart,юкъ
316,Entfernung::N,distance,
317,Gegend::N,région,мeттиг
318,Gegend::N,contrée,мeттиг
319,Platz::N,place,майда
320,Ort::N,lieu,меттиг
321,Ort::N,endroit,меттиг
322,Seite::N,côté,aгӏo
323,Mitte::N,milieu,юкъ
324,Gegenstand::N,objet,хӏума
325,Sache::N,chose,хӏума
326,Rand::N,bord,йист
327,Kante::N,arête,йист
328,Ecke::N,coin,са
329,Ecke::N,tournant,са
330,Spitze::N,cime,ралла
331,Spitze::N,pointe,ралла
332,Ende::N,bout,юьхьиг
333,Loch::N,trou,ӏуьрг
334,Winkel::N,coin,са
335,Winkel::N,réduit,са
336,Muster::N,dessin,дагар
337,Muster::N,dessin,тӏамар
338,Größe::N,grandeur,барам
339,Länge::N,longueur,йохалла
340,Höhe::N,hauteur,локхалла
341,Höhe::N,altitude,локхалла
342,Gewicht::N,poids,йозалла
343,Menge::N,quantité,дукхалла
344,Haufen::N,tas,сал
345,Haufen::N,tas,оьла
346,Reihe::N,file,рагӏ
347,Reihe::N,file,могӏа
348,Reihe::N,rangée,рагӏ
349,Reihe::N,rangée,могӏа
350,Boot::N,canot,кема
351,Boot::N,bateau,кема
352,Ruder::N,rame,пийсиг
353,Ruder::N,aviron,пийсиг
354,Schlitten::N,traîneau,салаз
355,Ski::N,ski,когсалаз
356,Lagerfeuer::N,feu de camp,цӏе
357,Last::N,charge,дукъ
358,Last::N,fardeau,дукъ
359,Gang::N,tour,лелар
360,Gang::N,marche,лелар
361,Schritt::N,pas,гӏулч
362,Norden::N,nord,къилбаседе
363,Süden::N,sud,къилбе
364,Westen::N,ouest,малхбузе
365,Westen::N,occident,малхбузе
366,Osten::N,est,малхбале
367,Osten::N,orient,малхбале
368,Holz::N,bois,дечиг
369,Brett::N,planche,у
370,Platte::N,plaque,у
371,Stütze::N,appui,гӏopтоp
372,Stütze::N,soutien,гӏopтоp
373,Stange::N,barre,гӏуркх
374,Stange::N,perche,гӏуркх
375,Stock::N,canne,ӏаса
376,Stab::N,bâton,гӏаж
377,Rohr::N,tube,биргӏа
378,Rohr::N,tuyau,биргӏа
379,Haus::N,maison,цӏа
380,Heim::N,maison,кхерч
381,Ofen::N,poêle,кхерч
382,Fußboden::N,plancher,цӏенкъа
383,Tisch::N,table,шун
384,Stuhl::N,chaise,гӏант
385,Wiege::N,berceau,ага
386,Bett::N,lit,маьнга
387,Regal::N,étagère,терхи
388,Kiste::N,caisse,яьшка
389,Fenster::N,fenêtre,кор
390,Tür::N,porte,неӏ
391,Tor::N,porte,ков
392,Tor::N,portail,ков
393,Zaun::N,clôture,керт
394,Dach::N,toit,тхов
395,Leiter::N,échelle,лами
396,Besen::N,balai,нуй
397,Spaten::N,bêche,бел
398,Schaufel::N,pelle,аьшкал
399,Gabel::N,fourchette,мӏара
400,Löffel::N,cuiller,ӏайг
401,Messer::N,couteau,урс
402,Nagel::N,clou,хьостам
403,Netz::N,filet,бой
404,Haken::N,croc,мӏара
405,Haken::N,crochet,мӏара
406,Griff::N,prise,
407,Griff::N,manche,
408,Schloss::N,serrure,чӏега
409,Bild::N,image,сурт
410,Bild::N,tableau,сурт
411,Figur::N,figure,
412,Puppe::N,poupée,тайниг
413,Beutel::N,sac,гали
414,Beutel::N,petit sac,гали
415,Bündel::N,paquet,кочар
416,Bündel::N,faisceau,кочар
417,Tasche::N,sac,тӏоьрмиг
418,Eimer::N,seau,чийлик
419,Deckel::N,couvercle,негӏар
420,Geschirr::N,vaisselle,пхьегӏа
421,Sack::N,sac,гали
422,Tasse::N,tasse,кад
423,Topf::N,pot,яй
424,Topf::N,marmite,яй
425,Kessel::N,chaudron,яй
426,Essen::N,repas,юург
427,Essen::N,manger,юург
428,Nahrung::N,nourriture,кхача
429,Speise::N,plat,юург
430,Fleisch::N,viande,жижиг
431,Getreide::N,blé,буьртиг
432,Getreide::N,céréales,буьртиг
433,Brei::N,purée,xудар
434,Brei::N,bouillie,xудар
435,Brot::N,pain,бепиг
436,Brot::N,pain,кхаллар
437,Scheibe::N,tranche,цастар
438,Fett::N,graisse,мохь
439,Butter::N,beurre,налха
440,Öl::N,huile,даьтта
441,Salz::N,sel,туьха
442,Suppe::N,soupe,чорпа
443,Suppe::N,potage,чорпа
444,Honig::N,miel,моз
445,Milch::N,lait,шура
446,Tee::N,thé,чай
447,Leder::N,cuir,цӏока
448,Wolle::N,laine,тӏapгӏa
449,Stoff::N,tissu,кӏади
450,Stoff::N,étoffe,кӏади
451,Nadel::N,aiguille,маха
452,Faden::N,fil,тай
453,Knopf::N,bouton,нуьйда
454,Knoten::N,nœud,шад
455,Farbe::N,peinture,сир
456,Farbe::N,peinture,басар
457,Kleidung::N,vêtements,бедар
458,Kleidung::N,habillement,бедар
459,Hemd::N,chemise,коч
460,Kragen::N,col,кач
461,Ärmel::N,manche,пхьош
462,Hose::N,pantalon,хеча
463,Gürtel::N,ceinture,доьхка
464,Mütze::N,bonnet,куй
465,Mütze::N,casquette,куй
466,Schuh::N,soulier,мача
467,Schuh::N,chaussure,мача
468,Stiefel::N,botte,этка
469,Ring::N,bague,чӏуг
470,Band::N,ruban,лента
471,Kamm::N,peigne,ехк
472,Spiegel::N,glace,куьзга
473,Spiegel::N,miroir,куьзга
474,Riemen::N,lanière,доьхка
475,Riemen::N,courroie,доьхка
476,Schnur::N,corde,муш
477,Schnur::N,ficelle,муш
478,Leine::N,laisse,кочатосу доьхка
479,Decke::N,couverture,юргӏа
480,Kissen::N,oreiller,гIайба
481,Tuch::N,drap,исхар
482,Tuch::N,fichu,исхар
483,Handtuch::N,serviette,гата
484,Handtuch::N,essuie-mains,гата
485,Kraft::N,force,гӏора
486,Stärke::N,vigueur,гӏап
487,Gesundheit::N,santé,могашалла
488,Krankheit::N,maladie,цамгар
489,Schmerz::N,douleur,лазар
490,Wunde::N,plaie,чов
491,Wunde::N,blessure,чов
492,Fieber::N,fièvre,xорша
493,Arznei::N,remède,молха
494,Arznei::N,médecine,молха
495,Brücke::N,pont,тӏай
496,Brunnen::N,puits,гӏу
497,Weide::N,pâturage,дак
498,Pfad::N,sentier,тача
499,Weg::N,voie,некъ
500,Weg::N,chemin,некъ
501,Straße::N,route,урам
502,Dorf::N,village,юрт
503,Stadt::N,cité,гӏала
504,Stadt::N,ville,гӏала
505,Brief::N,lettre,кехат
506,Buch::N,livre,жайна
507,Buchstabe::N,lettre,элп
508,Buchstabe::N,caractère,элп
509,Zeitung::N,journal,газет
510,Leben::N,vie,дахар
511,Tod::N,mort,далар
512,Tod::N,mort,ӏожалла
513,Grab::N,tombe,каш
514,Kirche::N,église,килс
515,Sünde::N,péché,къа
516,Gott::N,dieu,дела
517,Arbeiter::N,ouvrier,белхало
518,Arbeiter::N,travailleur,белхало
519,Chef::N,chef,хьаькам
520,Chef::N,patron,хьаькам
521,Meister::N,maître,говзанча
522,Arzt::N,médecin,лор
523,Lehrer::N,professeur,хьехархо
524,Lehrer::N,instituteur,хьехархо
525,Geld::N,argent,aхча
526,Geschäft::N,affaire,туька
527,Geschäft::N,commerce,туька
528,Laden::N,magasin,туька
529,Laden::N,boutique,туька
530,Preis::N,prix,мах
531,Ware::N,marchandise,хlума
532,Nutzen::N,profit,пайда
533,Reichtum::N,richesse,хьал
534,Welt::N,monde,дуьне
