,Concept_ID,ar,ba
0,Auge::N,عين,күҙ
1,Ohr::N,أذن,ҡолаҡ
2,Nase::N,أنف,танау
3,Mund::N,فم,ауыҙ
4,Zahn::N,سن,теш
5,Zunge::N,لسان,тел
6,Lippe::N,شفة,ирен
7,Wange::N,خد,яцаҡтар
8,Wange::N,وجنة,яцаҡтар
9,Gesicht::N,وجه,бит
10,Stirn::N,جبين,маңлай
11,Haar::N,شعر,сәс
12,Schnurrbart::N,شارب,мылтыҡ
13,Bart::N,لحية,һаҡал
14,Kinn::N,ذقن,эйэк
15,Kiefer[Anatomie]::N,فك,яңаҡ һөйәге
16,Kehle::N,حلق,тамаҡ
17,Hals::N,عنق,муйын
18,Hals::N,رقبة,муйын
19,Genick::N,قفا,соңҡа
20,Kopf::N,رأس,баш
21,Rücken::N,ظهر,арҡа
22,Bauch::N,بطن,ҡорһаҡ
23,Nabel::N,سرة,кендек
24,Busen::N,ثدي,күкрәк
25,Brust::N,صدر,түш
26,Schulter::N,كتف,яурын
27,Arm::N,ذراع,ҡул
28,Ellenbogen::N,كوع,терһәк
29,Hand::N,يد,ҡул
30,Hand::N,يد,ҡул суғы
31,Handfläche::N,كف,ус төбө
32,Finger::N,إصبع,бармаҡ
33,Fingernagel::N,ظفر,тырнаҡ
34,Nagel[Anatomie]::N,ظفر,тырнаҡ
35,Zeh::N,إصبع القدم,бармаҡ
36,Fuß::N,قدم,табан
37,Ferse::N,كعب,үксә
38,Knie::N,ركبة,тубыҡ
39,Oberschenkel::N,فخذ,сандыр
40,Bein::N,ساق,аяҡ
41,Körper::N,جسم,тән
42,Haut::N,بشرة,тире
43,Blut::N,دم,ҡан
44,Ader::N,عرق,тамыр
45,Sehne::N,طنب,һеңер
46,Sehne::N,طنب,тарамыш
47,Knochen::N,عظم,һойәк
48,Gehirn::N,دماغ,мейе
49,Herz::N,قلب,йорәк
50,Magen::N,معدة,ашҡаҙан
51,Leber::N,كبد,бауыр
52,Atem::N,نفس,һулыш
53,Hunger::N,جوع,аслыҡ
54,Träne::N,دمعة,күҙ иәше
55,Geschmack::N,طعم,тәм
56,Geschmack::N,مذاق,тәм
57,Geruch::N,رائحة,еҫ
58,Schlaf::N,نوم,йоҡлау
59,Schlaf::N,منام,йоҡлау
60,Traum::N,حلم,төш
61,Himmel::N,سماء,күк
62,Sonne::N,شمس,ҡояш
63,Mond::N,قمر,ай
64,Stern::N,نجم,йондоҙ
65,Stern::N,كوكب,йондоҙ
66,Luft::N,هواء,һауа
67,Wind::N,ريح,ел
68,Welle::N,موجة,тулҡын
69,Wasser::N,ماء,һыу
70,Stein::N,حجر,таш
71,Boden::N,تراب,тупраҡ
72,Erde::N,أرض,балсҡ
73,Staub::N,غبار,туҙан
74,Rauch::N,دخان,төтөн
75,Funke::N,شرارة,осҡон
76,Feuer::N,نار,ут
77,Licht::N,نور,яҡтылыҡ
78,Licht::N,ضوء,яҡтылыҡ
79,Schatten::N,ظل,күләгә
80,Schatten::N,فيء,күләгә
81,Wetter::N,جو,һауа торошо
82,Wetter::N,طقس,һауа торошо
83,Nebel::N,ضباب,төман
84,Wolke::N,غيمة,болот
85,Wolke::N,سحابة,болот
86,Regen::N,مطر,ямғыр
87,Schnee::N,ثلج,ҡар
88,Eis::N,جليد,боҙ
89,Frost::N,صقيع,һалҡын
90,Kälte::N,برد,һыуыҡ
91,Hitze::N,حر,томра
92,Hitze::N,حر,эҫелек
93,Hitze::N,حرارة,томра
94,Hitze::N,حرارة,эҫелек
95,Raureif::N,صقيع,ҡырау
96,Regenbogen::N,قوس قزح,йәйғор
97,Donner::N,رعد,күк күкрәү
98,Strömung::N,تيار,ағым
99,Tropfen::N,قطرة,тамсы
100,Schaum::N,زبد,күбек
101,Schaum::N,رغوة,күбек
102,Schmutz::N,وسخ,батҡаҡ
103,See::N,بحيرة,күл
104,Sumpf::N,مستنقع,һаҙлык
105,Moor::N,مستنقع,һаҙ
106,Wiese::N,مرج,болон
107,Wald::N,غابة,урман
108,Hügel::N,تل,түбә
109,Anhöhe::N,تل,түбә
110,Anhöhe::N,تل,ҡалҡыулыҡ
111,Berg::N,جبل,тау
112,Gipfel::N,قمة,түбә
113,Höhle::N,كهف,мәмерйә
114,Abhang::N,منحدر,ипкен
115,Quelle::N,منبع,шишмә
116,Bach::N,مجرى,шишмә
117,Fluss::N,نهر,йылға
118,Ufer::N,ضفة,яр
119,Küste::N,ساحل,яр буйы
120,Festland::N,بر,ҡоро ер
121,Meer::N,بحر,диңгез
122,Bucht::N,خليج,бухта
123,Insel::N,جزيرة,үтрау
124,Blume::N,زهرة,сәскә
125,Gras::N,حشيش,үлән
126,Wurzel::N,أصل,тамыр
127,Baum::N,شجرة,ағас
128,Stamm::N,جذع,олон
129,Stamm::N,جذع,көбәк
130,Rinde::N,قشرة,ҡабыҡ
131,Ast::N,فرع,ботаҡ
132,Zweig::N,غصن,ботаҡ
133,Zweig::N,غصن,тармаҡ
134,Blatt::N,ورقة,япраҡ
135,Birke::N,قضبان,ҡайын
136,Kiefer[Baum]::N,صنوبرة,ҡарғай
137,Weide[Baum]::N,صفصاف,тал
138,Tanne::N,شوح,шыршы
139,Tanne::N,تبوب,шыршы
140,Horn::N,قرن,мөғөҙ
141,Feder::N,ريشة,ҡауырһын
142,Fell::N,فرو,тире
143,Flügel::N,جناح,ҡанат
144,Klaue::N,مخلب,тырнаҡ
145,Kralle::N,مخلب,аяҡ
146,Schwanz::N,ذيل,ҡойроҡ
147,Ei::N,بيض,йомортҡа
148,Nest::N,عش,оя
149,Bau::N,جحر,оң
150,Tier::N,حيوان,жайуан
151,Tier::N,حيوان,йыртҡыс
152,Herde::N,قطيع,көтөү
153,Kuh::N,بقرة,һыйыр
154,Bulle::N,ثور,үгеҙ
155,Pferd::N,خيل,ат
156,Schaf::N,شاة,һарыҡ
157,Schwein::N,خنزير,сусҡа
158,Hund::N,كلب,эт
159,Katze::N,قطة,бесәй
160,Bär::N,دب,айыу
161,Eichhörnchen::N,سنجاب,тейен
162,Elch::N,موظ,мышы
163,Fuchs::N,ثعلب,төлкө
164,Hase::N,أرنب,ҡуян
165,Maus::N,فأرة,сысҡан
