,Concept_ID,is,udm
0,Auge::N,auga,син
1,Ohr::N,eyra,пель
2,Nase::N,nef,ныр
3,Mund::N,munnur,ым
4,Zahn::N,tönn,пинь
5,Zunge::N,tunga,кыл
6,Lippe::N,vör,ымдур
7,Wange::N,kinn,бам
8,Wange::N,vangi,бам
9,Gesicht::N,andlit,ымныр
10,Stirn::N,enni,кымес
11,Haar::N,hár,йырси
12,Schnurrbart::N,yfirskegg,мыйык
13,Bart::N,skegg,туш
14,Kinn::N,haka,ангес
15,Kiefer[Anatomie]::N,kjálki,ан
16,Kiefer[Anatomie]::N,kjálki,анлы
17,Kiefer[Anatomie]::N,skoltur,ан
18,Kiefer[Anatomie]::N,skoltur,анлы
19,Kehle::N,kverk,гульым
20,Hals::N,háls,чырты
21,Genick::N,hnakki,йырбер
22,Kopf::N,höfuð,йыр
23,Rücken::N,hryggur,мыш
24,Bauch::N,kviður,кӧт
25,Nabel::N,nafli,гогы
26,Busen::N,barmur,ноны
27,Brust::N,brjóst,мӧля
28,Schulter::N,öxl,пельпум
29,Arm::N,armur,суй
30,Ellenbogen::N,olnbogi,гырпум
31,Hand::N,hönd,ки
32,Handfläche::N,lófi,ки пыдэс
33,Handfläche::N,lófi,кырым пыдэс
34,Finger::N,fingur,чиньы
35,Fingernagel::N,fingurnögl,гижы
36,Fingernagel::N,fingurnögl,гиждӥнь
37,Nagel[Anatomie]::N,nögl,гижы
38,Zeh::N,tá,пыдчиньы
39,Fuß::N,fótur,пыд
40,Ferse::N,hæll,пыдбер
41,Knie::N,kné,пыдес
42,Oberschenkel::N,læri,макес
43,Bein::N,fótleggur,пыд
44,Körper::N,búkur,мугор
45,Körper::N,búkur,вылтыр
46,Körper::N,líkami,мугор
47,Körper::N,líkami,вылтыр
48,Haut::N,húð,ку
49,Haut::N,skinn,ку
50,Blut::N,blóð,вир
51,Ader::N,æð,вирсэр
52,Sehne::N,sin,вуж
53,Knochen::N,bein,лы
54,Gehirn::N,heili,вим
55,Herz::N,hjarta,сюлэм
56,Magen::N,magi,ӝуш
57,Leber::N,lifur,мус
58,Atem::N,andi,лул
59,Atem::N,andi,шокан
60,Atem::N,andardráttur,лул
61,Atem::N,andardráttur,шокан
62,Hunger::N,hungur,кӧтсюман
63,Träne::N,tár,синкыли
64,Geschmack::N,smekkur,шӧм
65,Geruch::N,lykt,зын
66,Schlaf::N,svefn,вӧт
67,Traum::N,draumur,уйвӧт
68,Himmel::N,himinn,ин
69,Sonne::N,sól,шунды
70,Mond::N,tungl,толэзь
71,Stern::N,stjarna,кизили
72,Luft::N,loft,омыр
73,Wind::N,vindur,тӧл
74,Welle::N,alda,тулкым
75,Welle::N,bylgja,тулкым
76,Wasser::N,vatn,ву
77,Stein::N,steinn,из
78,Boden::N,botn,музъем
79,Erde::N,jörð,му
80,Staub::N,ryk,пыль
81,Staub::N,duft,пыль
82,Rauch::N,reykur,ӵын
83,Funke::N,neisti,гизьы
84,Feuer::N,eldur,тыл
85,Licht::N,ljós,тыл
86,Schatten::N,skuggi,вужер
87,Wetter::N,veður,куазь
88,Nebel::N,þoka,бус
89,Wolke::N,ský,пилем
90,Regen::N,regn,зор
91,Schnee::N,snjór,лымы
92,Eis::N,ís,йӧ
93,Frost::N,frost,кезьыт
94,Kälte::N,kuldi,кезьыт
95,Hitze::N,hiti,пӧсь
96,Raureif::N,hrím,гӧр
97,Regenbogen::N,regnbogi,вуюись
98,Donner::N,þruma,гудыри
99,Strömung::N,straumur,бызён
100,Tropfen::N,dropi,шапык
101,Schaum::N,froða,шукы
102,Schmutz::N,óhreinindi,нӧд
103,Schmutz::N,óhreinindi,дэри
104,See::N,stöðuvatn,ты
105,Sumpf::N,fen,нюр
106,Moor::N,mýri,нюр
107,Wiese::N,engi,возь
108,Wiese::N,engi,возьвыл
109,Wald::N,skógur,сик
110,Wald::N,skógur,нюлэс
111,Hügel::N,hæð,выр
112,Hügel::N,hæð,вырйыл
113,Hügel::N,hóll,выр
114,Hügel::N,hóll,вырйыл
115,Anhöhe::N,hæð,выр
116,Anhöhe::N,hæð,вырйыл
117,Anhöhe::N,hóll,выр
118,Anhöhe::N,hóll,вырйыл
119,Berg::N,fell,гурезь
120,Berg::N,fjall,гурезь
121,Gipfel::N,tindur,йыл
122,Höhle::N,hellir,гу
123,Abhang::N,hlíð,бам
124,Abhang::N,brekka,бам
125,Quelle::N,lind,ошмес
126,Quelle::N,uppspretta,ошмес
127,Bach::N,lækur,пичи шур
128,Fluss::N,á,шур
129,Fluss::N,fljót,шур
130,Ufer::N,árbakki,ярдур
131,Ufer::N,sjávarbakki,ярдур
132,Küste::N,strönd,вудур
133,Festland::N,meginland,мувыр
134,Meer::N,haf,зарезь
135,Meer::N,sjór,зарезь
136,Bucht::N,vík,вукож
137,Insel::N,eyja,вумуӵ
138,Insel::N,eyja,шормуӵ
139,Blume::N,blóm,сяська
140,Gras::N,gras,турын
141,Wurzel::N,rót,выжы
142,Baum::N,tré,пу
143,Stamm::N,stofn,модос
144,Rinde::N,börkur,сул
145,Ast::N,grein,ул
146,Zweig::N,angi,вай
147,Zweig::N,kvistur,вай
148,Blatt::N,blað,куар
149,Birke::N,birki,кызьпу
150,Kiefer[Baum]::N,fura,пужым
151,Weide[Baum]::N,víðir,бадьпу
152,Tanne::N,greni,кыз
153,Horn::N,horn,сюр
154,Feder::N,fjöður,тылы
155,Fell::N,skinn,ку
156,Flügel::N,vængur,бурд
157,Klaue::N,kló,гижы
158,Kralle::N,kló,пыд
159,Schwanz::N,rófa,быж
160,Schwanz::N,skott,быж
161,Ei::N,egg,пуз
162,Ei::N,egg,кукей
163,Nest::N,hreiður,кар
164,Nest::N,hreiður,пузкар
165,Bau::N,greni,кар
166,Bau::N,greni,гу
167,Bau::N,bæli,кар
168,Bau::N,bæli,гу
169,Tier::N,dýr,пӧйшур
170,Herde::N,hjörð,уллё
171,Kuh::N,kýr,скал
172,Bulle::N,boli,ош
173,Bulle::N,boli,пороз
174,Pferd::N,hestur,вал
175,Schaf::N,kind,ыж
176,Schwein::N,svín,парсь
177,Hund::N,hundur,пуны
178,Katze::N,köttur,коӵыш
179,Bär::N,björn,гондыр
180,Eichhörnchen::N,íkorni,коньы
181,Elch::N,elgur,койык
182,Fuchs::N,refur,ӟичы
183,Hase::N,héri,кеч
184,Maus::N,mús,шыр
185,Wolf::N,úlfur,кион
186,Vogel::N,fugl,тылобурдо
187,Schwarm::N,sægur,уллё
188,Huhn::N,hæna,курег
189,Hahn::N,hani,атас
190,Gans::N,gæs,ӟазег
191,Adler::N,örn,ӧрзи
192,Ente::N,önd,ӵӧж
193,Eule::N,uggla,кучыран
194,Kranich::N,trana,тури
195,Krähe::N,kráka,куака
196,Kuckuck::N,gaukur,кикы
197,Schwan::N,svanur,юсь
198,Fisch::N,fiskur,чорыг
199,Barsch::N,aborri,юш
200,Hecht::N,gedda,чипей
201,Schlange[Tier]::N,naðra,кый
202,Wurm::N,ormur,нумыр
203,Spinne::N,kónguló,чонари
204,Ameise::N,maur,кузьыли
205,Laus::N,lús,тэй
206,Mücke::N,mý,нымы
207,Mücke::N,mý,чибинь
208,Mücke::N,mýfluga,нымы
209,Mücke::N,mýfluga,чибинь
210,Fliege::N,fluga,кут
211,Schmetterling::N,fiðrildi,бубыли
212,Beere::N,ber,узы-боры
213,Apfel::N,epli,яблок
214,Pilz::N,sveppur,губи
215,Zwiebel::N,laukur,сугон
216,Saat::N,fræ,кидыс
217,Saat::N,útsæði,кидыс
218,Korn::N,korn,тысь
219,Heu::N,hey,турын
220,Schale::N,hýði,кыд
221,Grube::N,gryfja,гу
222,Grube::N,gryfja,гоп
223,Falle::N,gildra,налик
224,Schlinge::N,snara,гиӟ
225,Schlinge::N,snara,герд
226,Spur::N,spor,пытьы
227,Spur::N,spor,бервыл
228,Asche::N,aska,пень
229,Dreck::N,óþverri,дэри
230,Eisen::N,járn,корт
231,Gold::N,gull,зарни
232,Silber::N,silfur,азвесь
233,Kohle::N,kol,эгыр
234,Glas::N,gler,стекло
235,Glas::N,gler,пияла
236,Lehm::N,leir,сюй
237,Sand::N,sandur,луо
238,Mensch::N,maður,мурт
239,Mensch::N,maður,адями
240,Mensch::N,manneskja,мурт
241,Mensch::N,manneskja,адями
242,Mann::N,maður,воргорон
243,Mann::N,karlmaður,воргорон
244,Frau::N,kona,кышномурт
245,Kind::N,barn,нуны
246,Kind::N,barn,пинал
247,Kind::N,krakki,нуны
248,Kind::N,krakki,пинал
249,Junge::N,drengur,пи
250,Mädchen::N,stelpa,ныл
251,Familie::N,fjölskylda,семья
252,Großvater::N,afi,песятай
253,Großvater::N,afi,пересь атай
254,Großmutter::N,amma,песянай
255,Großmutter::N,amma,пересь анай
256,Eltern::N,foreldrar,атай-анай
257,Eltern::N,foreldrar,бубы-мумы
258,Vater::N,faðir,айы
259,Vater::N,faðir,атай
260,Mutter::N,móðir,мумы
261,Sohn::N,sonur,пи
262,Tochter::N,dóttir,ныл
263,Bruder::N,bróðir,агай
264,Schwester::N,systir,апа
265,Schwester::N,systir,сузэр
266,Onkel::N,föðurbróðir,агай
267,Tante::N,frænka,апа
268,Tante::N,frænka,кенак
269,Tante::N,móðursystir,апа
270,Tante::N,móðursystir,кенак
271,Ehemann::N,eiginmaður,карт
272,Ehefrau::N,eiginkona,кышно
273,Freude::N,gleði,шумпотон
274,Gelächter::N,hlátur,горем
275,Glück::N,gæfa,шуд
276,Kummer::N,sorg,кайгу
277,Kummer::N,sorg,куректон
278,Wunsch::N,ósk,мылпотон
279,Lust::N,fýsn,потон
280,Lust::N,löngun,потон
281,Geist::N,andi,лул
282,Gedanke::N,hugsun,малпан
283,Gedächtnis::N,minni,йырсазь
284,Gedächtnis::N,minni,тодэваён
285,Verstand::N,vit,йырвизь
286,Sinn::N,merking,смысл
287,Grund::N,ástæða,муг
288,Grund::N,ástæða,ньӧм
289,Wahrheit::N,sannleikur,зэм
290,Wahrheit::N,sannleikur,шонер
291,Gespräch::N,samtal,вераськон
292,Märchen::N,ævintýri,выжыкыл
293,Erzählung::N,saga,верос
294,Nachricht::N,frétt,ивор
295,Neuigkeit::N,frétt,выльивор
296,Name::N,nafn,ним
297,Rätsel::N,gáta,мадькыл
298,Rede::N,ræða,верам
299,Sprache::N,mál,кыл
300,Sprache::N,tungumál,кыл
301,Stimme::N,rödd,куара
302,Wort::N,orð,кыл
303,Zeichen::N,tákn,пус
304,Zeichen::N,tákn,тодмет
305,Zeichen::N,merki,пус
306,Zeichen::N,merki,тодмет
307,Ruf::N,kall,ӧтён
308,Ruf::N,kall,чортон
309,Lärm::N,hávaði,ӵашетон
310,Laut::N,hljóð,куара
311,Ton::N,tónn,куара
312,Lied::N,ljóð,кырӟан
313,Lied::N,söngur,кырӟан
314,Ruhe::N,ró,чалмыт улон
315,Ruhe::N,kyrrð,чалмыт улон
316,Leute::N,fólk,адямиос
