,Concept_ID,la,de
0,Auge::N,oculus,Auge
1,Ohr::N,auris,Ohr
2,Nase::N,nasus,Nase
3,Mund::N,os,Mund
4,Zahn::N,dens,Zahn
5,Zunge::N,lingua,Zunge
6,Lippe::N,labrum,Lippe
7,Wange::N,gena,Wange
8,Gesicht::N,vultus,Gesicht
9,Stirn::N,frons,Stirn
10,Haar::N,capillus,Haar
11,Schnurrbart::N,barba labri superioris,Schnurrbart
12,Bart::N,barba,Bart
13,Kinn::N,mentum,Kinn
14,Kiefer[Anatomie]::N,mala,Kiefer
15,Kehle::N,iugulums,Kehle
16,Hals::N,collum,Hals
17,Genick::N,cervices,Genick
18,Kopf::N,caput,Kopf
19,Rücken::N,tergum,Rücken
20,Bauch::N,venter,Bauch
21,Nabel::N,umbilicus,Nabel
22,Busen::N,sinus,Busen
23,Brust::N,pectus,Brust
24,Schulter::N,umerus,Schulter
25,Arm::N,bracchium,Arm
26,Ellenbogen::N,cubitum,Ellenbogen
27,Hand::N,manus,Hand
28,Handfläche::N,palma,Handfläche
29,Finger::N,digitus,Finger
30,Fingernagel::N,unguiculus,Fingernagel
31,Nagel[Anatomie]::N,unguis,Nagel
32,Zeh::N,digitus,Zeh
33,Fuß::N,pes,Fuß
34,Ferse::N,calx,Ferse
35,Knie::N,genu,Knie
36,Oberschenkel::N,femur,Oberschenkel
37,Bein::N,crus,Bein
38,Körper::N,corpus,Körper
39,Haut::N,cutis,Haut
40,Haut::N,pellis,Haut
41,Blut::N,sanguis,Blut
42,Ader::N,vena,Ader
43,Sehne::N,nervus,Sehne
44,Knochen::N,os,Knochen
45,Gehirn::N,cerebrum,Gehirn
46,Herz::N,cor,Herz
47,Herz::N,animus,Herz
48,Magen::N,stomachus,Magen
49,Leber::N,iecur,Leber
50,Atem::N,spiritus,Atem
51,Hunger::N,fames,Hunger
52,Träne::N,lacrima,Träne
53,Geschmack::N,sapor,Geschmack
54,Geschmack::N,gustus,Geschmack
55,Geruch::N,odor,Geruch
56,Schlaf::N,somnus,Schlaf
57,Traum::N,somnium,Traum
