,Concept_ID,eu,av
0,Auge::N,begi,
1,Ohr::N,belarri,гӏин
2,Nase::N,sudur,мегӏер
3,Mund::N,aho,кӏал
4,Zahn::N,hortz,гӏус
5,Zunge::N,mihi,мацӏ
6,Lippe::N,ezpain,кӏветӏ
7,Wange::N,masail,гӏоно
8,Gesicht::N,aurpegi,гьумер
9,Stirn::N,bekoki,нодо
10,Haar::N,ile,рас
11,Haar::N,bilo,рас
12,Schnurrbart::N,bibote,михъ
13,Schnurrbart::N,sudurpeko,михъ
14,Bart::N,bizar,мегеж
15,Kinn::N,kokots,нилъу
16,Kiefer[Anatomie]::N,masailezur,чанагъ
17,Kehle::N,eztarri,щекъер
18,Hals::N,sama,габур
19,Genick::N,garondo,гъванща
20,Kopf::N,buru,бетӏер
21,Rücken::N,bizkar,мугъ
22,Bauch::N,sabel,чехь
23,Nabel::N,zilbor,цӏину
24,Busen::N,titi,керен
25,Busen::N,ugatz,керен
26,Brust::N,bular,керен
27,Schulter::N,besaburu,гъажазубетӏер
28,Arm::N,beso,гъеж
29,Ellenbogen::N,ukondo,гӏункӏрукь
30,Hand::N,esku,квер
31,Handfläche::N,ahur,огъохъат
32,Handfläche::N,ahur,жанисахъат
33,Finger::N,hatz,килищ
34,Fingernagel::N,azazkal,малъ
35,Nagel[Anatomie]::N,azazkal,малъ
36,Zeh::N,behatz,килищ
37,Fuß::N,oin,хӏетӏ
38,Fuß::N,oin,хӏетӏе
39,Ferse::N,orpo,эгъе
40,Ferse::N,oinburu,эгъе
41,Knie::N,belaun,наку
42,Oberschenkel::N,izter,мачӏ
43,Bein::N,zango,бох
44,Körper::N,soin,къаркъала
45,Haut::N,azal,тӏом
46,Blut::N,odol,би
47,Ader::N,zain,бидурихь
48,Sehne::N,gihar-zain,
49,Knochen::N,hezur,ракьа
50,Gehirn::N,garun,гӏадалнах
51,Gehirn::N,burmuin,гӏадалнах
52,Herz::N,bihotz,ракӏ
53,Magen::N,urdail,кванирукъ
54,Leber::N,gibel,тӏул
55,Atem::N,hats,хӏухь
56,Atem::N,arnasa,хӏухь
57,Hunger::N,gose,ракъи
58,Träne::N,malko,магӏу
59,Geschmack::N,dasta,тату
60,Geruch::N,usain,махӏ
61,Schlaf::N,lo,макьу
62,Traum::N,amets,макьу
63,Himmel::N,zeru,зоб
64,Sonne::N,eguzki,бакъ
65,Mond::N,ilargi,моцӏ
66,Stern::N,izar,цӏва
67,Luft::N,aire,гьава
68,Wind::N,haize,гьури
69,Welle::N,uhin,карачел
70,Welle::N,olatu,карачел
71,Wasser::N,ur,лъим
72,Stein::N,harri,гьецӏо
73,Boden::N,lur,ракь
74,Boden::N,zoru,ракь
75,Erde::N,lur,ракь
76,Erde::N,lur,дуниял
77,Staub::N,hauts,хӏур
78,Rauch::N,ke,кӏкӏуй
79,Funke::N,zirta,
80,Funke::N,txinparta,
81,Feuer::N,su,цӏа
82,Licht::N,argi,канлъи
83,Schatten::N,itzal,рагӏад
84,Schatten::N,geriza,рагӏад
85,Wetter::N,eguraldi,гьава-бакъ
86,Nebel::N,laino,гӏодобнакӏкӏ
87,Wolke::N,hodei,накӏкӏ
88,Regen::N,euri,цӏад
89,Schnee::N,elur,гӏазу
90,Eis::N,horma,цӏер
91,Frost::N,izotzaldi,замгьари
92,Kälte::N,hotz,квач
93,Hitze::N,bero,багӏари
94,Raureif::N,antzigar,мартӏ
95,Regenbogen::N,ostadar,нур
96,Regenbogen::N,ostadar,чамбара
97,Regenbogen::N,ortzadar,нур
98,Regenbogen::N,ortzadar,чамбара
99,Donner::N,ostots,гъугъай
100,Donner::N,ostots,гъугъади
101,Donner::N,ihurtzuri,гъугъай
102,Donner::N,ihurtzuri,гъугъади
103,Strömung::N,laster,чвахи
104,Tropfen::N,xorta,резел
105,Tropfen::N,xorta,тӏинкӏ
106,Tropfen::N,xorta,къатӏра
107,Tropfen::N,xorta,тӏенкӏел
108,Schaum::N,bits,полоп
109,Schmutz::N,lohi,чороклъи
110,Schmutz::N,zikin,чороклъи
111,See::N,laku,хӏор
112,See::N,aintzira,хӏор
113,Sumpf::N,zingira,хьуцӏ
114,Moor::N,zohikaztegi,
115,Wiese::N,larre,мегъ
116,Wiese::N,larre,гӏурдаллъи
117,Wiese::N,belardi,мегъ
118,Wiese::N,belardi,гӏурдаллъи
119,Wald::N,baso,рохь
120,Wald::N,oihan,рохь
121,Hügel::N,muino,гохӏ
122,Hügel::N,pentoka,гохӏ
123,Anhöhe::N,garai,сийитма
124,Anhöhe::N,goragune,сийитма
125,Berg::N,mendi,мегӏер
126,Gipfel::N,gain,тӏогь
127,Gipfel::N,tontor,тӏогь
128,Höhle::N,kobazulo,нохъо
129,Abhang::N,aldapa,лабаллъи
130,Quelle::N,iturri,ицц
131,Quelle::N,iturbegi,ицц
132,Bach::N,lats,лъар
133,Bach::N,erreka,лъар
134,Fluss::N,ibai,гӏор
135,Fluss::N,uhaitz,гӏор
136,Ufer::N,bazter,рагӏал
137,Küste::N,itsasalde,рагӏал
138,Festland::N,lehor,ракь
139,Festland::N,lehor,ракъдаллъи
140,Meer::N,itsaso,ралъад
141,Bucht::N,golko,кӏветӏ
142,Insel::N,irla,чӏинкӏиллъи
143,Insel::N,uharte,чӏинкӏиллъи
144,Blume::N,lili,тӏегь
145,Gras::N,belar,хер
146,Wurzel::N,zuztar,кьибил
147,Wurzel::N,sustrai,кьибил
148,Baum::N,zuhaitz,гъветӏ
149,Stamm::N,enbor,рохти
150,Rinde::N,azal,макъар
151,Ast::N,adar,ноцӏ
152,Zweig::N,abar,гӏаркьел
153,Blatt::N,hosto,тӏамах
154,Birke::N,urki,мах
155,Birke::N,urki,махигъветӏ
156,Kiefer[Baum]::N,ler,накӏкӏигъветӏ
157,Weide[Baum]::N,zume,рицӏцӏ
158,Weide[Baum]::N,zume,рицӏцӏигъветӏ
159,Weide[Baum]::N,sahats,рицӏцӏ
160,Weide[Baum]::N,sahats,рицӏцӏигъветӏ
161,Tanne::N,izei,ёлка
162,Horn::N,adar,лълъар
163,Feder::N,luma,хӏули
164,Feder::N,hegaki,хӏули
165,Fell::N,ile,тӏом
166,Fell::N,ile,цӏоко
167,Fell::N,larru,тӏом
168,Fell::N,larru,цӏоко
169,Flügel::N,hego,кваркьи
170,Klaue::N,atzapar,галъ
171,Kralle::N,erpe,квачӏ
172,Kralle::N,erpe,катиквачӏ
173,Kralle::N,atzapar,квачӏ
174,Kralle::N,atzapar,катиквачӏ
175,Schwanz::N,isats,рачӏ
176,Schwanz::N,buztan,рачӏ
177,Ei::N,arrautza,хоно
178,Nest::N,habia,бусен
179,Bau::N,ohantze,каратӏ
180,Tier::N,abere,хӏайван
181,Tier::N,piztia,хӏайван
182,Herde::N,saldo,рехъен
183,Herde::N,saldo,рехъед
184,Herde::N,abere talde,рехъен
185,Herde::N,abere talde,рехъед
186,Kuh::N,behi,гӏака
187,Bulle::N,zezen,оц
188,Pferd::N,zaldi,чу
189,Schaf::N,ardi,чахъу
190,Schwein::N,urde,болъон
191,Schwein::N,txerri,болъон
192,Hund::N,txakur,гьой
193,Katze::N,katu,кету
194,Bär::N,hartz,ци
195,Eichhörnchen::N,urtxintxa,гвангва
196,Elch::N,altze,
197,Fuchs::N,azeri,цер
198,Hase::N,erbi,гӏанкӏ
199,Maus::N,sagu,гӏункӏкӏ
200,Wolf::N,otso,бацӏ
201,Vogel::N,txori,хӏинчӏ
202,Vogel::N,hegazti,хӏинчӏ
203,Schwarm::N,aldra,тӏел
204,Huhn::N,oilo,гӏанкӏу
205,Hahn::N,oilar,хӏелеко
206,Gans::N,antzara,хъаз
207,Adler::N,arrano,цӏум
208,Ente::N,ahate,ордек
209,Eule::N,hontza,беццаруз
210,Kranich::N,kurrilo,къункъра
211,Krähe::N,bele,гъеду
212,Kuckuck::N,kuku,гагу
213,Schwan::N,beltxarga,хӏанкъва
214,Fisch::N,arrain,ччугӏа
215,Barsch::N,perka,окунь
216,Hecht::N,lutxo,щука
217,Schlange[Tier]::N,suge,борохь
218,Wurm::N,har,хӏапара
219,Spinne::N,armiarma,хъанхъра
220,Ameise::N,inurri,цӏунцӏра
221,Laus::N,zorri,нацӏ
222,Mücke::N,eltxo,кӏкӏара
223,Fliege::N,euli,тӏутӏ
224,Schmetterling::N,pinpirin,кӏалкӏучӏ
225,Schmetterling::N,tximeleta,кӏалкӏучӏ
226,Beere::N,baia,
227,Apfel::N,sagar,гӏеч
228,Pilz::N,onddo,гӏурдахӏан
229,Pilz::N,perretxiko,гӏурдахӏан
230,Zwiebel::N,tipula,кӏочӏопер
231,Saat::N,haziak,хьон
232,Korn::N,ale,мугь
233,Korn::N,pikor,мугь
234,Heu::N,belar ondu,хер
235,Schale::N,azal,хъал
236,Grube::N,hobi,гвенд
237,Falle::N,harrapagailu,къор
238,Falle::N,harrapagailu,къотен
239,Schlinge::N,bilur,кӏичӏ
240,Schlinge::N,xedera,кӏичӏ
241,Spur::N,lorratz,лъалкӏ
242,Asche::N,errauts,рахъу
243,Dreck::N,satsukeria,гъиз
244,Dreck::N,satsukeria,хӏарщ
245,Eisen::N,burdina,махх
246,Gold::N,urre,месед
247,Gold::N,urregorri,месед
248,Silber::N,zilar,гӏарац
249,Silber::N,urrezuri,гӏарац
250,Kohle::N,ikatz,тӏурччи
251,Glas::N,beira,цӏер
252,Lehm::N,buztin,хӏатӏ
253,Sand::N,harea,сали
254,Sand::N,hondar,сали
255,Mensch::N,gizaki,чи
256,Mann::N,gizon,бихьинчи
257,Frau::N,andere,гӏадан
258,Frau::N,emakume,гӏадан
259,Kind::N,haur,лъимер
260,Junge::N,mutil,вас
261,Mädchen::N,neska,яс
262,Familie::N,sendi,хъизан
263,Familie::N,familia,хъизан
264,Großvater::N,aitona,кӏудада
265,Großvater::N,aitatxi,кӏудада
266,Großmutter::N,amona,кӏодо
267,Großmutter::N,amatxi,кӏодо
268,Eltern::N,gurasoak,эбел-эмен
269,Vater::N,aita,эмен
270,Mutter::N,ama,эбел
271,Sohn::N,seme,вас
272,Tochter::N,alaba,яс
273,Bruder::N,neba,вац
274,Bruder::N,anaia,вац
275,Schwester::N,ahizpa,яц
276,Onkel::N,osaba,даци
277,Tante::N,izeba,ада
278,Ehemann::N,senar,рос
279,Ehefrau::N,emazte,чӏужу
280,Freude::N,poz,ракӏбохи
281,Freude::N,pozkari,ракӏбохи
282,Gelächter::N,barre,релъи
283,Gelächter::N,karkara,релъи
284,Glück::N,zori,талихӏ
285,Glück::N,zori,талихӏ-рохел
286,Kummer::N,xangrin,хӏалкъай
287,Kummer::N,atsekabe,хӏалкъай
288,Wunsch::N,nahi,къасд
289,Wunsch::N,nahikunde,къасд
290,Lust::N,gogo,гъира
291,Geist::N,gogo,чӏанкӏ
292,Geist::N,gogo,рухӏ-жан
293,Gedanke::N,gogoeta,пикру
294,Gedächtnis::N,oroimen,
295,Gedächtnis::N,gogoramen,
296,Verstand::N,adimen,лумалъи
297,Verstand::N,adimen,цӏодорлъи
298,Verstand::N,ulermen,лумалъи
299,Verstand::N,ulermen,цӏодорлъи
300,Sinn::N,zentzu,магӏна
301,Grund::N,zergati,багьана
302,Wahrheit::N,egia,ритӏухълъи
303,Gespräch::N,hizketa,накъит
304,Gespräch::N,elkarrizketa,накъит
305,Märchen::N,ipuin,маргьа
306,Erzählung::N,edesti,къиса
307,Erzählung::N,kontakizun,къиса
308,Nachricht::N,albiste,хабар
309,Neuigkeit::N,berri,хабар-гӏазаб
310,Name::N,izen,цӏар
311,Rätsel::N,asmakizun,бицанкӏо
312,Rede::N,hitzaldi,речь
313,Rede::N,hitzaldi,калам
314,Rede::N,mintzaldi,речь
315,Rede::N,mintzaldi,калам
316,Sprache::N,hizkuntza,мацӏ
317,Stimme::N,ahots,гьаракь
318,Wort::N,hitz,рагӏи
319,Zeichen::N,agerbide,ишара
320,Zeichen::N,agerbide,гӏаламат
321,Zeichen::N,agergarri,ишара
322,Zeichen::N,agergarri,гӏаламат
323,Ruf::N,dei,ахӏи
324,Lärm::N,zarata,хъуй
325,Lärm::N,zarata,хъуди
326,Lärm::N,harrabots,хъуй
327,Lärm::N,harrabots,хъуди
328,Laut::N,hots,гьаракь
329,Laut::N,hots,сас
330,Ton::N,tonu,
331,Ton::N,soinu,
332,Lied::N,abesti,кечӏ
333,Ruhe::N,nasaitasun,рахӏат
334,Leute::N,jende,гӏадамал
335,Volk::N,herri,халкъ
336,Volk::N,populu,халкъ
337,Arbeit::N,lan,хӏалтӏи
338,Gast::N,arrotz,гьобол
339,Gast::N,apopilo,гьобол
340,Geschenk::N,opari,сайигъат
341,Spiel::N,jolas,хӏай
342,Spiel::N,jolas,расанди
343,Gesellschaft::N,gizarte,жамагӏат
344,Hilfe::N,helpide,кумек
345,Hilfe::N,laguntza,кумек
346,Freund::N,lagun,гьудул
347,Kamerad::N,adiskide,гьалмагъ
348,Kamerad::N,lagunkide,гьалмагъ
349,Angelegenheit::N,afera,къваригӏел
350,Anzahl::N,kopuru,рикӏкӏен
351,Art::N,mota,жинс
352,Stück::N,puska,кесек
353,Teil::N,atal,пай
354,Hälfte::N,erdi,бащдаб
355,Kreis::N,biribilki,гор
356,Kreuz::N,gurutze,хъанч
357,Linie::N,linea,мухъ
358,Strich::N,marra,хӏучч
359,Abstand::N,tarte,манзил
360,Entfernung::N,urrunera,манзил
361,Gegend::N,alderdi,рахъ
362,Gegend::N,eskualde,рахъ
363,Platz::N,leku,бакӏ
364,Ort::N,toki,бакӏ
365,Seite::N,albo,рахъ
366,Mitte::N,erdi,бакьулъбакӏ
367,Gegenstand::N,gauzaki,жо
368,Sache::N,gauza,жо
369,Rand::N,ertz,мицӏир
370,Kante::N,ertz,рагӏал
371,Kante::N,ertz,рагӏа-ракьан
372,Ecke::N,kantoi,цили
373,Spitze::N,punta,тӏогь
374,Ende::N,buru,кӏал
375,Ende::N,mutur,кӏал
376,Loch::N,zulo,каратӏ
377,Winkel::N,zoko,
378,Winkel::N,bazter,
379,Muster::N,eredu,накъиш
380,Muster::N,marrazki,накъиш
381,Größe::N,kaizu,кӏодо́лъи
382,Größe::N,tamaina,кӏодо́лъи
383,Länge::N,luzera,халалъи
384,Höhe::N,goiera,борхалъи
385,Höhe::N,garaiera,борхалъи
386,Gewicht::N,hazta,бакӏлъи
387,Menge::N,kopuru,
388,Haufen::N,pila,гъуни
389,Haufen::N,mendoi,гъуни
390,Reihe::N,ilara,ирга́
391,Reihe::N,errenkada,ирга́
392,Boot::N,potin,раса
393,Boot::N,txalupa,раса
394,Ruder::N,arraun,раххан
395,Schlitten::N,lera,чанагъ
396,Schlitten::N,narra,чанагъ
397,Ski::N,eski,лыжаби
398,Lagerfeuer::N,su,цӏа
399,Last::N,zama,бакӏлъи
400,Last::N,karga,бакӏлъи
401,Gang::N,ibilera,хьвади
402,Gang::N,ibilera,хьвада-чӏвади
403,Schritt::N,pauso,гали
404,Schritt::N,urrats,гали
405,Norden::N,ipar,шимал
406,Norden::N,iparralde,шимал
407,Süden::N,hego,юг
408,Süden::N,hego,къибла
409,Süden::N,hegoalde,юг
410,Süden::N,hegoalde,къибла
411,Westen::N,sartalde,гъарб
412,Westen::N,sartalde,магъриб
413,Westen::N,mendebalde,гъарб
414,Westen::N,mendebalde,магъриб
415,Osten::N,ekialde,шаркъ
416,Osten::N,ekialde,машрикъ
417,Osten::N,sortalde,шаркъ
418,Osten::N,sortalde,машрикъ
419,Holz::N,zur,цӏул
420,Brett::N,ohol,хъарщи
421,Platte::N,lauza,къоно
422,Stütze::N,irozgarri,
423,Stütze::N,bermagailu,
424,Stange::N,haga,гӏер
425,Stock::N,makila,тӏил
426,Stab::N,makila,гӏер
427,Rohr::N,hodi,турба
428,Haus::N,etxe,ригь
429,Haus::N,etxe,рукъзал
430,Heim::N,etxe,рукъ
431,Heim::N,etxaleku,рукъ
432,Ofen::N,berogailu,печь
433,Fußboden::N,zoru,чӏабар
434,Tisch::N,mahai,стол
435,Stuhl::N,aulki,бакӏу
436,Wiege::N,kuma,кини
437,Wiege::N,sehaska,кини
438,Bett::N,ohe,кровать
439,Bett::N,ohatze,кровать
440,Regal::N,apalategi,хъарщи
441,Kiste::N,kutxa,ящик
442,Kiste::N,kutxa,тӏалагъуд
443,Fenster::N,leiho,гордо
444,Tür::N,ate,нуцӏа
445,Tor::N,atari,каву
446,Zaun::N,hesi,раци
447,Dach::N,teilatu,тӏох
448,Leiter::N,zurubi,мали
449,Besen::N,erratz,жул
450,Spaten::N,burdinpala,бел
451,Schaufel::N,pala,раххан
452,Gabel::N,sardexka,гӏучӏ
453,Löffel::N,koilara,гъуд
454,Messer::N,aizto,нус
455,Nagel::N,iltze,магӏ
456,Netz::N,sare,гьин
457,Haken::N,mako,гъанцӏа
458,Griff::N,eskutoki,гӏоркь
459,Schloss::N,sarraila,кӏулал
460,Bild::N,irudi,сурат
461,Figur::N,figura,
462,Puppe::N,panpina,нани
463,Puppe::N,andrakila,нани
464,Beutel::N,zorro,таргьа
465,Bündel::N,azao,къай
466,Bündel::N,espal,къай
467,Tasche::N,poltsa,сумка
468,Tasche::N,poltsa,къвачӏа
469,Eimer::N,treska,ведро
470,Deckel::N,tapa,тӏалъел
471,Deckel::N,tapa,дадитӏалъел
472,Deckel::N,estalki,тӏалъел
473,Deckel::N,estalki,дадитӏалъел
474,Geschirr::N,baxera,цӏарагӏ
475,Geschirr::N,ontziteria,цӏарагӏ
476,Sack::N,zaku,хъап
477,Sack::N,zaku,къандалъо
478,Tasse::N,kikara,чашка
479,Topf::N,ontzi,хьаг
480,Topf::N,lapiko,хьаг
481,Kessel::N,pazia,хьаг
482,Kessel::N,pazia,гереги
483,Essen::N,janaldi,тӏагӏам
484,Nahrung::N,jan,квен
485,Speise::N,jaki,квен
486,Fleisch::N,okela,гьан
487,Fleisch::N,haragi,гьан
488,Getreide::N,labore,бугӏа-ролъ
489,Getreide::N,labore,могьолабл_культураби
490,Brei::N,ahi,карщ
491,Brei::N,pure,карщ
492,Brot::N,ogi,чед
493,Scheibe::N,xerra,мочӏу
494,Scheibe::N,pirripita,мочӏу
495,Fett::N,urin,беэнлъи
496,Fett::N,koipe,беэнлъи
497,Butter::N,gurin,нах
498,Öl::N,olio,нах
499,Salz::N,gatz,цӏам
500,Suppe::N,zopa,чурпа
501,Suppe::N,salda,чурпа
502,Honig::N,ezti,гьоцӏо
503,Milch::N,esne,рахь
504,Tee::N,te,чай
505,Leder::N,larru,тӏом
506,Wolle::N,artile,квас
507,Stoff::N,ehun,ххам
508,Nadel::N,orratz,рокӏкӏен
509,Nadel::N,jostorratz,рокӏкӏен
510,Faden::N,hari,кун
511,Knopf::N,botoi,маргъал
512,Knoten::N,korapilo,гарацӏ
513,Farbe::N,pintura,релъен
514,Kleidung::N,arropa,ретӏел
515,Kleidung::N,jantziak,ретӏел
516,Hemd::N,atorra,гурде
517,Hemd::N,alkandora,гурде
518,Kragen::N,idun,габур
519,Ärmel::N,mahuka,къвал
520,Hose::N,prakak,тӏажу
521,Hose::N,galtzak,тӏажу
522,Gürtel::N,gerriko,рачел
523,Mütze::N,txano,тӏагъур
524,Mütze::N,txapel,тӏагъур
525,Schuh::N,oski,
526,Schuh::N,oinetako,
527,Stiefel::N,bota,этек
528,Stiefel::N,bota,чакма
529,Ring::N,uztai,баргъич
530,Band::N,zinta,лента
531,Band::N,xingola,лента
532,Kamm::N,orrazi,гьоркьо
533,Spiegel::N,mirail,матӏу
534,Riemen::N,uhal,рижу
535,Schnur::N,lokailu,
536,Leine::N,lotura,
537,Decke::N,burusi,одея́ло
538,Kissen::N,kuxin,къандалъо
539,Tuch::N,zapi,квархьи
540,Tuch::N,oihal,квархьи
541,Handtuch::N,eskuzapi,беркӏалрацӏцӏ
542,Handtuch::N,eskuoihal,беркӏалрацӏцӏ
543,Kraft::N,indar,гуч
544,Kraft::N,indar,къуват
545,Stärke::N,indar,хӏалкӏвей
546,Gesundheit::N,osasun,сахлъи́
547,Krankheit::N,eritasun,унти
